Contrast,Database,Analysis,Total_Pathways,FDR05_Pathways
Control_DLPFC_vs_NAC,GO_BP,ORA,6238,13
Control_DLPFC_vs_NAC,GO_MF,ORA,1294,0
Control_DLPFC_vs_NAC,GO_CC,ORA,676,7
Control_DLPFC_vs_NAC,KEGG,ORA,336,0
Control_DLPFC_vs_NAC,Reactome,ORA,1464,0
Control_DLPFC_vs_NAC,DO,ORA,1021,0
Control_DLPFC_vs_NAC,Hallmark,ORA,50,0
Control_DLPFC_vs_NAC,C2_Curated,ORA,16,0
Control_DLPFC_vs_NAC,C3_Motif,ORA,3521,40
Control_DLPFC_vs_NAC,C7_Immunologic,ORA,4872,0
Control_DLPFC_vs_NAC,C8_CellType,ORA,816,13
Control_DLPFC_vs_NAC,WikiPathways,ORA,666,0
Control_DLPFC_vs_NAC,PharmGKB,ORA,191,0
Control_DLPFC_vs_NAC,BioCarta,ORA,184,0
Control_Male_vs_Female,GO_BP,ORA,787,0
Control_Male_vs_Female,GO_MF,ORA,217,0
Control_Male_vs_Female,GO_CC,ORA,101,0
Control_Male_vs_Female,KEGG,ORA,36,0
Control_Male_vs_Female,Reactome,ORA,178,0
Control_Male_vs_Female,DO,ORA,147,0
Control_Male_vs_Female,Hallmark,ORA,15,0
Control_Male_vs_Female,C3_Motif,ORA,1019,0
Control_Male_vs_Female,C7_Immunologic,ORA,1587,1
Control_Male_vs_Female,C8_CellType,ORA,273,0
Control_Male_vs_Female,WikiPathways,ORA,51,0
Control_Male_vs_Female,PharmGKB,ORA,19,0
DLPFC_OUD_vs_Control,GO_BP,ORA,4038,401
DLPFC_OUD_vs_Control,GO_MF,ORA,674,20
DLPFC_OUD_vs_Control,GO_CC,ORA,357,2
DLPFC_OUD_vs_Control,KEGG,ORA,245,16
DLPFC_OUD_vs_Control,Reactome,ORA,816,10
DLPFC_OUD_vs_Control,DO,ORA,794,288
DLPFC_OUD_vs_Control,Hallmark,ORA,47,8
DLPFC_OUD_vs_Control,C2_Curated,ORA,8,0
DLPFC_OUD_vs_Control,C3_Motif,ORA,2675,10
DLPFC_OUD_vs_Control,C7_Immunologic,ORA,4617,288
DLPFC_OUD_vs_Control,C8_CellType,ORA,678,105
DLPFC_OUD_vs_Control,WikiPathways,ORA,432,38
DLPFC_OUD_vs_Control,PharmGKB,ORA,124,1
DLPFC_OUD_vs_Control,BioCarta,ORA,76,0
Female_OUD_vs_Control,GO_BP,ORA,4069,458
Female_OUD_vs_Control,GO_MF,ORA,689,30
Female_OUD_vs_Control,GO_CC,ORA,371,12
Female_OUD_vs_Control,KEGG,ORA,235,23
Female_OUD_vs_Control,Reactome,ORA,801,24
Female_OUD_vs_Control,DO,ORA,773,243
Female_OUD_vs_Control,Hallmark,ORA,45,10
Female_OUD_vs_Control,C2_Curated,ORA,12,0
Female_OUD_vs_Control,C3_Motif,ORA,2721,5
Female_OUD_vs_Control,C7_Immunologic,ORA,4723,503
Female_OUD_vs_Control,C8_CellType,ORA,670,134
Female_OUD_vs_Control,WikiPathways,ORA,430,28
Female_OUD_vs_Control,PharmGKB,ORA,117,0
Female_OUD_vs_Control,BioCarta,ORA,80,0
Male_OUD_vs_Control,GO_BP,ORA,2836,343
Male_OUD_vs_Control,GO_MF,ORA,402,17
Male_OUD_vs_Control,GO_CC,ORA,248,25
Male_OUD_vs_Control,KEGG,ORA,168,26
Male_OUD_vs_Control,Reactome,ORA,370,12
Male_OUD_vs_Control,DO,ORA,630,249
Male_OUD_vs_Control,Hallmark,ORA,40,10
Male_OUD_vs_Control,C2_Curated,ORA,6,1
Male_OUD_vs_Control,C3_Motif,ORA,1743,5
Male_OUD_vs_Control,C7_Immunologic,ORA,3855,389
Male_OUD_vs_Control,C8_CellType,ORA,524,147
Male_OUD_vs_Control,WikiPathways,ORA,297,52
Male_OUD_vs_Control,PharmGKB,ORA,79,4
Male_OUD_vs_Control,BioCarta,ORA,56,0
NAC_OUD_vs_Control,GO_BP,ORA,4706,86
NAC_OUD_vs_Control,GO_MF,ORA,870,9
NAC_OUD_vs_Control,GO_CC,ORA,478,5
NAC_OUD_vs_Control,KEGG,ORA,281,6
NAC_OUD_vs_Control,Reactome,ORA,983,8
NAC_OUD_vs_Control,DO,ORA,820,112
NAC_OUD_vs_Control,Hallmark,ORA,48,8
NAC_OUD_vs_Control,C2_Curated,ORA,14,0
