ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BIOCARTA_P53_PATHWAY,BIOCARTA_P53_PATHWAY,3/62,5/602,0.6,5.825806451612903,3.6686302025666606,0.008968723179520426,0.5291546675917052,0.5291546675917052,GADD45A/CDK2/CDKN1A,3
BIOCARTA_STEM_PATHWAY,BIOCARTA_STEM_PATHWAY,3/62,5/602,0.6,5.825806451612903,3.6686302025666606,0.008968723179520426,0.5291546675917052,0.5291546675917052,IL7/CSF3/IL6,3
BIOCARTA_IL6_PATHWAY,BIOCARTA_IL6_PATHWAY,3/62,7/602,0.42857142857142855,4.161290322580645,2.8483353501016264,0.026968199372206705,0.8306148239358847,0.8306148239358847,JAK3/IL6/SHC1,3
BIOCARTA_IL7_PATHWAY,BIOCARTA_IL7_PATHWAY,3/62,9/602,0.3333333333333333,3.236559139784946,2.2888139685307407,0.05568314899563907,0.8306148239358847,0.8306148239358847,IL7/JAK3/IL7R,3
BIOCARTA_INFLAM_PATHWAY,BIOCARTA_INFLAM_PATHWAY,3/62,10/602,0.3,2.9129032258064513,2.065229628730696,0.07382348286117599,0.8306148239358847,0.8306148239358847,IL7/CSF3/IL6,3
BIOCARTA_DSP_PATHWAY,BIOCARTA_DSP_PATHWAY,2/62,5/602,0.4,3.883870967741936,2.192349867041841,0.08513033125505974,0.8306148239358847,0.8306148239358847,DUSP4/DUSP2,2
BIOCARTA_LDL_PATHWAY,BIOCARTA_LDL_PATHWAY,2/62,5/602,0.4,3.883870967741936,2.192349867041841,0.08513033125505974,0.8306148239358847,0.8306148239358847,CCL2/IL6,2
BIOCARTA_MSP_PATHWAY,BIOCARTA_MSP_PATHWAY,2/62,5/602,0.4,3.883870967741936,2.192349867041841,0.08513033125505974,0.8306148239358847,0.8306148239358847,CCL2/IL1B,2
BIOCARTA_PCAF_PATHWAY,BIOCARTA_PCAF_PATHWAY,2/62,5/602,0.4,3.883870967741936,2.192349867041841,0.08513033125505974,0.8306148239358847,0.8306148239358847,IRF1/IRF4,2
BIOCARTA_EXTRINSIC_PATHWAY,BIOCARTA_EXTRINSIC_PATHWAY,2/62,6/602,0.3333333333333333,3.236559139784946,1.864099468260595,0.11938391880662146,0.8306148239358847,0.8306148239358847,TFPI/F3,2
BIOCARTA_IL2RB_PATHWAY,BIOCARTA_IL2RB_PATHWAY,4/62,19/602,0.21052631578947367,2.0441426146010184,1.5658081344808665,0.12149464209879308,0.8306148239358847,0.8306148239358847,BAD/JAK3/SHC1/SOCS3,4
BIOCARTA_ATM_PATHWAY,BIOCARTA_ATM_PATHWAY,2/62,7/602,0.2857142857142857,2.774193548387097,1.5985555536284637,0.15635020658038712,0.8306148239358847,0.8306148239358847,GADD45A/CDKN1A,2
BIOCARTA_IL3_PATHWAY,BIOCARTA_IL3_PATHWAY,2/62,7/602,0.2857142857142857,2.774193548387097,1.5985555536284637,0.15635020658038712,0.8306148239358847,0.8306148239358847,CSF2RB/SHC1,2
BIOCARTA_MCM_PATHWAY,BIOCARTA_MCM_PATHWAY,2/62,7/602,0.2857142857142857,2.774193548387097,1.5985555536284637,0.15635020658038712,0.8306148239358847,0.8306148239358847,CDK2/CDT1,2
BIOCARTA_CASPASE_PATHWAY,BIOCARTA_CASPASE_PATHWAY,2/62,8/602,0.25,2.4274193548387095,1.3760669146180318,0.19512856728423952,0.8306148239358847,0.8306148239358847,LMNB1/CASP4,2
BIOCARTA_ERYTH_PATHWAY,BIOCARTA_ERYTH_PATHWAY,2/62,8/602,0.25,2.4274193548387095,1.3760669146180318,0.19512856728423952,0.8306148239358847,0.8306148239358847,CSF3/IL6,2
BIOCARTA_IL17_PATHWAY,BIOCARTA_IL17_PATHWAY,2/62,8/602,0.25,2.4274193548387095,1.3760669146180318,0.19512856728423952,0.8306148239358847,0.8306148239358847,CSF3/IL6,2
BIOCARTA_LYMPHOCYTE_PATHWAY,BIOCARTA_LYMPHOCYTE_PATHWAY,2/62,8/602,0.25,2.4274193548387095,1.3760669146180318,0.19512856728423952,0.8306148239358847,0.8306148239358847,SELE/PECAM1,2
BIOCARTA_NEUTROPHIL_PATHWAY,BIOCARTA_NEUTROPHIL_PATHWAY,2/62,8/602,0.25,2.4274193548387095,1.3760669146180318,0.19512856728423952,0.8306148239358847,0.8306148239358847,SELE/PECAM1,2
BIOCARTA_P53HYPOXIA_PATHWAY,BIOCARTA_P53HYPOXIA_PATHWAY,2/62,8/602,0.25,2.4274193548387095,1.3760669146180318,0.19512856728423952,0.8306148239358847,0.8306148239358847,GADD45A/CDKN1A,2
BIOCARTA_RACCYCD_PATHWAY,BIOCARTA_RACCYCD_PATHWAY,2/62,8/602,0.25,2.4274193548387095,1.3760669146180318,0.19512856728423952,0.8306148239358847,0.8306148239358847,CDK2/CDKN1A,2
BIOCARTA_TFF_PATHWAY,BIOCARTA_TFF_PATHWAY,2/62,8/602,0.25,2.4274193548387095,1.3760669146180318,0.19512856728423952,0.8306148239358847,0.8306148239358847,BAD/SHC1,2
BIOCARTA_IL1R_PATHWAY,BIOCARTA_IL1R_PATHWAY,3/62,16/602,0.1875,1.8205645161290323,1.1263156455290444,0.22193438515766314,0.8306148239358847,0.8306148239358847,IL1R1/IL1B/IL6,3
BIOCARTA_AMI_PATHWAY,BIOCARTA_AMI_PATHWAY,2/62,9/602,0.2222222222222222,2.157706093189964,1.1847546664029314,0.23497011536669685,0.8306148239358847,0.8306148239358847,TFPI/COL4A1,2
BIOCARTA_CELLCYCLE_PATHWAY,BIOCARTA_CELLCYCLE_PATHWAY,2/62,9/602,0.2222222222222222,2.157706093189964,1.1847546664029314,0.23497011536669685,0.8306148239358847,0.8306148239358847,CDK2/CDKN1A,2
BIOCARTA_HER2_PATHWAY,BIOCARTA_HER2_PATHWAY,2/62,9/602,0.2222222222222222,2.157706093189964,1.1847546664029314,0.23497011536669685,0.8306148239358847,0.8306148239358847,IL6/SHC1,2
BIOCARTA_MONOCYTE_PATHWAY,BIOCARTA_MONOCYTE_PATHWAY,2/62,9/602,0.2222222222222222,2.157706093189964,1.1847546664029314,0.23497011536669685,0.8306148239358847,0.8306148239358847,SELE/PECAM1,2
BIOCARTA_MTA3_PATHWAY,BIOCARTA_MTA3_PATHWAY,2/62,9/602,0.2222222222222222,2.157706093189964,1.1847546664029314,0.23497011536669685,0.8306148239358847,0.8306148239358847,MBD3/CTSD,2
BIOCARTA_NFKB_PATHWAY,BIOCARTA_NFKB_PATHWAY,2/62,9/602,0.2222222222222222,2.157706093189964,1.1847546664029314,0.23497011536669685,0.8306148239358847,0.8306148239358847,TNFRSF1B/IL1R1,2
