ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES,SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES,16/128,16/161,1,1.2578125,2.133477006656279,0.020706338433398124,0.33130141493437,0.3269421857904967,CYTH3/BTK/DAPP1/PTPRC/AKT3/FOXO3/PIK3CA/FLOT2/TEC/PIK3R5/VAV1/CDKN2A/ITPR1/SYK/BCR/PLCG2,16
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES,SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES,20/128,22/161,0.9090909090909091,1.143465909090909,1.4218725209393994,0.12313397147727499,0.8001360532023253,0.7896079472391367,CYTH3/GSK3B/MAPK1/PARD6A/GSK3A/AKT3/PIK3CA/YWHAH/FLOT2/IRS4/PIK3R1/CDKN2A/PARD3/FOXO1/F2RL2/YWHAB/IRS1/YWHAG/PIK3CD/SFN,20
SIG_BCR_SIGNALING_PATHWAY,SIG_BCR_SIGNALING_PATHWAY,21/128,24/161,0.875,1.1005859375,1.0487950080030934,0.22344628900381447,0.8001360532023253,0.7896079472391367,BTK/CD22/PTPRC/GSK3B/BLNK/MAPK1/NFATC2/GSK3A/PPP3CB/CD81/AKT3/PIK3CA/NFATC1/FLOT2/VAV1/PIK3R1/ITPR1/SYK/PIK3CD/BCR/PLCG2,21
SIG_CD40PATHWAYMAP,SIG_CD40PATHWAYMAP,16/128,18/161,0.8888888888888888,1.1180555555555556,1.0434284388134745,0.23852749859714473,0.8001360532023253,0.7896079472391367,MAPK9/MAP2K4/SYT1/NFKB2/MAPK1/CD40/MAPK8/MAPK10/PIK3CA/TRAF3/PIK3R1/NFKBIE/MAPK13/TONSL/PIK3CD/MAPK11,16
SA_MMP_CYTOKINE_CONNECTION,SA_MMP_CYTOKINE_CONNECTION,11/128,12/161,0.9166666666666666,1.1529947916666665,1.0816385109397262,0.25004251662572663,0.8001360532023253,0.7896079472391367,CD44/TNFRSF1B/TGFB1/TNFSF8/TNFRSF8/IL1B/ACE/CSF1/SELL/SPN/FCGR3A,11
SIG_CHEMOTAXIS,SIG_CHEMOTAXIS,18/128,21/161,0.8571428571428571,1.078125,0.7537783614444094,0.3338691916719067,0.843192180851587,0.8320975468930135,BTK/PAK3/ARHGAP4/PAK5/LIMK1/AKT3/PIK3CA/PAK4/ARHGEF11/ROCK2/PIK3R5/PIK3R1/PAK1/ITPR1/RHO/PIK3CD/CFL1/GDI1,18
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES,SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES,25/128,30/161,0.8333333333333334,1.0481770833333335,0.5743458531857204,0.383746066027104,0.843192180851587,0.8320975468930135,CYTH3/IGF1/PAK3/GSK3B/PAK5/PARD6A/GSK3A/MET/AKT3/FOXO3/PIK3CA/YWHAH/PAK4/IRS4/PIK3R5/CREB5/CDKN2A/PARD3/PAK1/F2RL2/YWHAB/IRS1/YWHAG/PIK3CD/SFN,25
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES,SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES,12/128,14/161,0.8571428571428571,1.078125,0.6006249751303728,0.4215960904257935,0.843192180851587,0.8320975468930135,PFN2/PAK3/PAK5/LIMK1/FLNC/PAK4/ROCK2/PAK1/RHO/CFL1/FLNA/GDI1,12
SA_PTEN_PATHWAY,SA_PTEN_PATHWAY,6/128,7/161,0.8571428571428571,1.078125,0.4149413314433078,0.5610993063603997,0.885790828818463,0.8741356863340097,IPCEF1/MAPK1/AKT3/PTK2B/PIK3CA/PIK3CD,6
SA_G2_AND_M_PHASES,SA_G2_AND_M_PHASES,5/128,6/161,0.8333333333333334,1.0481770833333335,0.23613387082914064,0.642978787810905,0.885790828818463,0.8741356863340097,CDKN1A/CDK7/CDC25A/WEE1/CDK1,5
