ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GSE19198_CTRL_VS_IL21_TREATED_TCELL_1H_UP,GSE19198_CTRL_VS_IL21_TREATED_TCELL_1H_UP,81/5771,85/7142,0.9529411764705882,1.1793286921422528,3.4122081158042747,1.0103279517455906e-4,0.4922317780904517,0.4922317780904517,MTMR11/MOXD1/SH2D3C/OCEL1/RSPO4/RENBP/PLPPR2/HAMP/PALD1/LZTS2/EFNB3/BIN2/MYF6/ULBP1/HDGFL1/RASGRF2/ID2/DNAJC6/SLC46A2/DCAF4/LRRC39/KCNJ2/PMEPA1/SH3BP4/APOC1/ALOX5AP/FST/EPHA7/SORL1/GCHFR/ABCG5/MMRN1/AMIGO2/CRTC3/OSBPL1A/MINK1/HAPLN1/MSN/INA/MAGI1/SPOCK1/SLC7A7/LSM11/RIBC1/ZBTB8A/SPATA17/GALNT10/TMEM100/DEGS2/KCNAB1/SLC38A11/PARP15/ZSCAN2/SYNE3/TCERG1L/SCN4B/SLC25A22/GPR137C/C12orf60/CA13/ADSS1/KCNQ5/FAM83G/CCDC9B/SYCP2/TLR7/PDLIM7/PCDHA5/CFAP96/C22orf42/MAGI2-AS3/EFNA4/CEBPA/HHIP-AS1/PCGF3-AS1/GLI4/DENND11/DIO3OS/DNAH17-AS1/SPANXA2-OT1/ZNF229,81
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN,GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN,73/5771,77/7142,0.948051948051948,1.1732779436816865,3.1363093390127768,3.868597598084995e-4,0.7020961422107532,0.7020961422107531,CALCR/CYP3A43/MPPED2/HRH3/PEX11G/JHY/TSPAN11/WNT5B/ST8SIA1/VIPR1/SLC5A7/IGSF21/APOA1/EQTN/GHSR/SLPI/GNG13/LGR6/SLC43A3/KCP/SCN7A/CYP19A1/ITGB7/SSTR1/ABCC12/CTDSP1/CLVS2/ADGRA3/LRFN2/SNX22/GRHL3/TSSK3/ACSL6/BMPER/CFAP47/DHRS13/NTSR2/HSPB3/FRMPD4/ZNF296/S1PR1/OR2M4/DELEC1/C1QA/MARCHF10/CRMA/TEX26/KDF1/UMODL1/CRACR2B/HTR1A/LSMEM2/PRR34/CTNNA3/ADRA2C/H2AP/DIPK1C/PRR19/LINC02487/MAFB/LINC01123/LINC00269/SPATA31H1/ARIH2OS/LINC00951/CFLAR-AS1/SLC8A1-AS1/IDI2-AS1/ASPRV1/HHIP-AS1/UBE2Q2P13/GAS6-DT/GOLGA8IP,73
GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_UP,GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_UP,94/5771,101/7142,0.9306930693069307,1.15179516565415,3.1520114139673447,4.3232521072090715e-4,0.7020961422107532,0.7020961422107531,AASS/MLXIPL/GPRC5A/INSRR/DEPDC1B/CDH10/PHKA1/AMPH/PGR/WNT11/DOCK3/GADD45B/SIX4/GABRE/EYA1/SNX16/LIMK1/SOD3/PPARGC1A/HPX/WNT5B/PRLR/CLDN16/EFEMP1/TSHZ3/TNFAIP6/ACVR1C/BATF3/MCF2L/STAT5A/SULT4A1/LARGE1/NMBR/CYP27A1/SCN2A/TBR1/CD72/CFAP300/UNC13C/CLCA2/KCNH5/ST8SIA2/PIK3R5/FAM163A/SUSD4/SLC22A14/ADAMTS19/ARHGAP36/BEND6/CHODL/SH3RF2/KCNS2/MEGF11/RHBDL2/NBL1/FNDC5/TMPRSS3/MEIOB/BICDL2/SLC25A45/CNST/CAMKV/EBF1/BMPER/CFAP52/LUZP1/GTSF1/HS6ST2/TCEAL1/GPR151/INSM1/CBX2/SERTM1/OR52N4/RAD51B/UBE2E2/IZUMO1/CSMD1/CFAP91/PKP3/COLEC10/GPRIN3/NRG3/NUDT17/RNF133/TMEM120B/SPRED3/KLRG2/SEMA4A/PDCD1LG2/ARC/DMD/TMEFF1/ADORA3,94
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_1H_DN,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_1H_DN,62/5771,65/7142,0.9538461538461539,1.1804486624101942,2.998279214146275,6.641914310902093e-4,0.8089851630678749,0.8089851630678749,ICA1/PRICKLE3/CACNB1/NTN4/FTL/YPEL1/CDKL1/PABPC1L/EEF1A2/MYOM1/RASL12/ATP5F1B/RSPH4A/GPR75/OPN4/ACO1/IL13RA2/MORF4L2/RASL11B/HOXD1/NDFIP1/TPT1/MRO/ALDH1B1/TLNRD1/CCDC81/CNKSR2/PIH1D2/TEX12/LRGUK/XKR8/DMKN/ALOX15/PRKAA2/AXDND1/RFTN2/VSNL1/PTX3/TMEM200A/C11orf65/CRABP1/PKD1L2/CCDC68/SCNN1G/CA4/CACNB3/KRT8/ECEL1/NADSYN1/CNTNAP2/CIDEA/PAWR/IRX3/PLD6/CHRM4/NAP1L2/PLA2G4E/ZNF600/PLIN5/CD27-AS1/TRMT9B/PWWP4,62
GSE24210_IL35_TREATED_VS_UNTREATED_TCONV_CD4_TCELL_UP,GSE24210_IL35_TREATED_VS_UNTREATED_TCONV_CD4_TCELL_UP,78/5771,84/7142,0.9285714285714286,1.1491694927841176,2.82140320488265,0.0016630570131914745,0.9999988261919683,0.9999988261919683,CFTR/IGF1/CCDC85A/FRMPD1/TRPC5/IPCEF1/BRINP1/IGSF9/MYBPC2/TMEM14A/PTK6/FMR1/ERF/TLE4/VSIR/DKK1/GLRB/EHD1/CCKBR/NANOG/HDAC1/IRAG2/MYB/SGK1/SPP1/NPC2/DNMT3A/CNRIP1/KIF18A/DDX54/NKX2-2/ARHGEF6/APOE/NDFIP1/STOML3/LOXL2/SLC38A2/KIAA0513/GCOM1/ARHGAP29/EFHD2/CERS2/EPHX1/CAMK2D/NOCT/PSTPIP2/RANBP2/ABCA6/ANKRD9/RAB11FIP1/NCF1/AZGP1/ALDH16A1/CLPB/COA7/PDLIM5/ARHGEF3/HSPA4L/FHIP1A/ADGRV1/TAGAP/GBX1/RAB3B/CNGB3/TRIM8/ZNF217/BNC2/VWC2L/TGIF1/GRAMD1C/HTR1F/MACIR/ADO/LIMK2/PGP/H2BC13/MITF/SIRPA,78
GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TREATED_CD4_TCELL_DN,GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TREATED_CD4_TCELL_DN,77/5771,83/7142,0.927710843373494,1.1481044608167552,2.784337784327577,0.001924006364421289,0.9999988261919683,0.9999988261919683,CYTH3/EHD3/TUBG2/FAM184B/KITLG/NGFR/PFN2/ST6GALNAC2/USP33/UBE2K/LXN/TCF7/ACHE/MISP/SUSD2/PATZ1/CSF2RB/COCH/CEMIP/HOMER2/MMD/BST1/TRIM3/GLP1R/PEX5L/SLC5A7/PPL/GDA/ESRRB/RDH10/LRAT/CDKN1A/MT2A/C3/NAPB/NECAB3/MCHR1/TESMIN/DCLK1/MORC4/MICAL2/ANXA1/ENPP2/RAB20/CDH11/SLC16A3/FNDC7/SNCA/CRIP3/THRB/GJA1/DNAI4/RASA2/EXTL1/ALB/PTX3/SLC6A20/PRSS12/OXR1/CCDC186/BLCAP/TRH/HAS2/MYOZ2/CCL19/SPSB4/MSC/TMEM30B/CLDN6/SLC24A3/MYT1/METTL9/RPS6KL1/RYR3/SFMBT2/OLIG2/CLEC5A,77
GSE17721_LPS_VS_PAM3CSK4_8H_BMDC_UP,GSE17721_LPS_VS_PAM3CSK4_8H_BMDC_UP,70/5771,75/7142,0.9333333333333333,1.15506266967019,2.7695337962902107,0.0019732954647330137,0.9999988261919683,0.9999988261919683,SCIN/ST3GAL1/TNC/LIMA1/CDK14/PFKP/KLF6/AP3M2/MOCOS/CHRNA3/SNX10/ATXN7L3/BLNK/HIVEP1/TSPO/CALB1/FCGRT/NPTX2/TLE4/TNFSF8/ASPA/LGALS3BP/IL10RA/RGS2/DNMT3A/TRIM6/GLIPR2/PDE1B/NQO2/PPDPF/FAM110A/ZFP36/ALDH1A2/PDLIM4/SLF1/NTS/MTHFS/CASP1/STAT4/SLC40A1/ETV6/TNFRSF11A/RAB13/ECE2/IQGAP2/NRBF2/MFSD6/SFXN2/DUSP2/ASGR2/ATF3/CCR1/ENOX2/TSC22D4/SERTAD3/BATF2/RGS14/PDE7B/TTC36/RESP18/CSF1/SORCS2/PTCH1/GNG2/SPTSSB/TLR7/MAFK/RCSD1/AP1G2/TNFRSF25,70
GSE28737_FOLLICULAR_VS_MARGINAL_ZONE_BCELL_DN,GSE28737_FOLLICULAR_VS_MARGINAL_ZONE_BCELL_DN,95/5771,104/7142,0.9134615384615384,1.130469989203311,2.7497232837429006,0.0023419219852592373,0.9999988261919683,0.9999988261919683,SCIN/ATP6V0A1/CAPG/KIF26A/PFKP/FGFR3/LIMS2/TRPC5/CA12/RARB/SYNJ2/ICAM1/SMPX/TSPAN15/CD40/MID1/CALB1/GSDMD/CCKBR/LY86/KAT2B/MLPH/CCND2/GOT1/DUSP4/LDB3/DBH/CDKN1A/C3/NXNL2/OLFM1/HELZ2/KHDRBS3/GCH1/SYT4/BHLHE40/MEIS2/CMPK2/HTR1B/EDNRB/RTP4/IL33/PARP9/BBS7/TAPBPL/SRRM4/RHCG/ST8SIA2/MINK1/MED12L/GPR174/SERPINH1/TEX12/AMN1/GFRA1/AK5/BTG3/ATP2B2/LRP8/CFAP251/GRHL3/DYNC1I1/CACHD1/SIK3/SLC25A44/NHSL3/NTNG1/GABRG1/NIPAL1/CITED2/C7orf57/LIPC/EVPL/TMC8/ENTPD3/EFNA1/SLC23A1/IRX1/CD8B/SLC16A11/KCMF1/PLAAT3/BOK/SAMD9L/C3orf80/MEX3B/EFNA5/GABRD/DPYD/LITAF/TOGARAM2/MFAP5/CD200R1L/DENND1B/KRT222,95
GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_DN,GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_DN,61/5771,65/7142,0.9384615384615385,1.161409167855191,2.6819248560167015,0.002675839021236982,0.9999988261919683,0.9999988261919683,KDM7A/VPS41/MAP4K3/RWDD2A/PHKA1/NEDD4/N4BP2/PTPRC/TMEM14A/CDKN3/BNIP3L/GPI/AKNA/DOCK8/RIPOR2/GMNN/LY86/KYNU/HSDL2/CNRIP1/FAM117A/ARHGAP9/NMI/CPNE5/SH3TC1/LRRC61/SERINC3/ZNF414/NAPG/ANXA1/TLR4/RDH12/CAMKMT/CABLES2/GPD1L/SUSD3/FCSK/NCF1/SPC24/HPGD/OXR1/DYNLT3/STXBP4/LY6D/APLF/SMAGP/SHLD1/GNB2/PHYHD1/ARHGAP45/CREB3L2/SEPTIN9/RBM43/EVI2B/TNFRSF18/B3GLCT/TMEM63A/CD47/MPEG1/PAPSS2/DENND1B,61
GSE16385_MONOCYTE_VS_MACROPHAGE_DN,GSE16385_MONOCYTE_VS_MACROPHAGE_DN,81/5771,88/7142,0.9204545454545454,1.1391243049101305,2.6940952255561723,0.0027797813413122418,0.9999988261919683,0.9999988261919683,MYCBP2/CLXN/C6/LNX1/IGF2BP2/BRINP1/KCNN2/MEF2C/CADPS2/PGK1/SYTL4/OCA2/AGFG2/ELAVL2/HLF/KIAA1549L/OPRM1/B3GAT2/SERPINI2/RAB3GAP1/HSD11B1/FOXO3/EQTN/GRIA2/TREM1/AIF1L/SLC35D2/CEMIP2/EPHA7/PNMT/TRPC1/GABRB2/TIAM2/ITGB1BP2/ST18/NOCT/CCDC3/RASGRP3/ABCA5/CHODL/NCAM2/MMP16/ART3/CXCL13/SYN2/CPA2/GJD2/KALRN/RBP7/ALPL/IL17RE/TLR3/SPMIP7/STEAP1/DRGX/OXGR1/FEN1/CA7/MN1/PTAFR/CD52/MYRIP/MTM1/CSDC2/RGMB/DNAH12/BDNF/FIBIN/NAALADL2/GSX2/NQO1/TMEM45A/CCSER1/MPEG1/H2BC18/ANKUB1/CD302/ASPRV1/TERB1/ATXN7L3B/TRIL,81
