ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GSE45365_NK_CELL_VS_CD11B_DC_DN,GSE45365_NK_CELL_VS_CD11B_DC_DN,29/278,114/7142,0.2543859649122807,6.535340148933485,11.989308628588189,1.6492362947292045e-16,7.614523972764737e-13,6.640346134041272e-13,GPRC5A/CD44/OSM/SELPLG/CISH/EGR1/IL1B/ZFP36/LIF/CHI3L1/RNF122/STX11/IL6/MYO1G/PIM1/RAB20/OSMR/ADAMTS4/S100A9/NUAK2/ADAMTS9/TIPARP/TM4SF1/CD14/FPR2/FOSL1/TUBB6/MAFF/PLSCR1,29
GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN,GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN,21/278,90/7142,0.23333333333333334,5.994484412470024,9.595531645168991,1.7734790997033216e-11,4.094076501665118e-8,3.5702934507185294e-8,PLAUR/ITPKC/GADD45B/OSM/F3/SRGN/EGR2/IRF1/IL1B/HILPDA/STX11/MYC/PIM1/TLR2/RAB20/BCL2A1/NUAK2/TIPARP/CD14/PLSCR1/ARID5A,21
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_2H_UP,GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_2H_UP,21/278,96/7142,0.21875,5.619829136690647,9.170721139367808,6.61097451998378e-11,9.242305238204267e-8,8.059874271543682e-8,SERPINB1/IRAK3/GADD45B/OSM/SLCO4A1/HES1/CISH/F3/TRIP10/STEAP4/IL6/MYO1G/PIM1/BCL2A1/RGS16/ADM/FPR2/LIMK2/SOCS3/C11orf96/ACSL5,21
GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_DN,GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_DN,20/278,88/7142,0.22727272727272727,5.838783518639633,9.191218238424968,9.14679598845427e-11,9.242305238204267e-8,8.059874271543682e-8,PLAUR/CP/EDN1/CCL2/NR4A3/NR4A1/ZFP36/RASL11B/IL6/MYC/KCNE4/NUAK2/TM4SF1/CD14/ARL4D/GPR4/APOLD1/MAFF/MT1A/CEBPD,20
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP,GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP,21/278,98/7142,0.21428571428571427,5.50513874614594,9.03701102050196,1.0008994193420258e-10,9.242305238204267e-8,8.059874271543682e-8,PLAUR/EDN1/CCL2/NR4A3/EGR1/EGR2/NR4A1/CD93/ZFP36/RASL11B/MYC/THBS1/ADM/KCNE4/NUAK2/TM4SF1/ARL4D/APOLD1/MAFF/MT1A/CEBPD,21
GSE19198_1H_VS_6H_IL21_TREATED_TCELL_DN,GSE19198_1H_VS_6H_IL21_TREATED_TCELL_DN,21/278,99/7142,0.21212121212121213,5.449531284063658,8.971525477003109,1.226438717845237e-10,9.437445933819099e-8,8.230049290803565e-8,MTHFD2/CDKN1A/HELZ2/IL6/MYC/TLR2/THBS1/FCGR1A/KCNE4/ADAMTS4/TIPARP/FPR2/FPR1/TUBB6/SOCS3/MAFF/C11orf96/PLSCR1/CASP4/ACSL5/FCGR3A,21
GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP,GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP,18/278,73/7142,0.2465753424657534,6.334680201044643,9.219430741042473,1.9424473700960533e-10,1.2453400064702694e-7,1.0860151898017125e-7,EDN1/CCL2/GADD45A/NR4A3/EGR1/EGR2/NR4A1/CD93/ZFP36/ADM/KCNE4/ADAMTS9/ARL4D/APOLD1/POLR2A/MAFF/MT1A/CEBPD,18
GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP,GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP,20/278,92/7142,0.21739130434782608,5.5849233656553015,8.907271976133435,2.1578341026125525e-10,1.2453400064702694e-7,1.0860151898017125e-7,EDN1/ITPKC/HAMP/CCL2/NR4A3/EGR1/EGR2/NR4A1/MT2A/CD93/ZFP36/LIF/IL6/LRRC32/KCNE4/ARL4D/APOLD1/MAFF/MT1A/CEBPD,20
GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN,GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN,20/278,94/7142,0.2127659574468085,5.466095208939231,8.771466991000977,3.2544988759241227e-10,1.669557923349075e-7,1.4559600234397392e-7,PLAUR/GADD45B/OSM/SRGN/EGR2/IRF1/IL1B/HELZ2/HILPDA/STX11/MYC/TLR2/RAB20/BCL2A1/HK2/TIPARP/MAFF/C11orf96/PLSCR1/ARID5A,20
GSE9601_NFKB_INHIBITOR_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_DN,GSE9601_NFKB_INHIBITOR_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_DN,20/278,99/7142,0.20202020202020202,5.190029794346342,8.448296382141471,8.660471603952655e-10,3.9985397395449404e-7,3.4869793563283056e-7,CD44/EDN1/CCL2/CISH/SRGN/CDKN1A/LIF/EMP1/RAB20/ADM/KCNE4/ADAMTS4/HK2/TM4SF1/CD14/FPR2/TUBB6/MAFF/C11orf96/PLSCR1,20
GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN,GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN,19/278,95/7142,0.2,5.138129496402878,8.171034065348396,2.7741354211644337e-9,1.164380294501472e-6,1.015413204397508e-6,GADD45B/OSM/CISH/NR4A3/NR4A1/CDKN1A/IRF1/ZFP36/IL6/PIM1/TLR2/RAB20/BCL2A1/PSTPIP2/CD14/SOCS3/MAFF/CASP4/KIAA0040,19
GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN,GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN,19/278,98/7142,0.19387755102040816,4.980839817941565,7.985301970192765,4.80036431902708e-9,1.583091575782002e-6,1.3805559037803445e-6,GADD45B/OSM/CCL2/VEGFA/EGR1/EGR2/IRF1/ZFP36/HILPDA/MYC/PIM1/TLR2/RAB20/TIPARP/CD14/SOCS3/MAFF/PLSCR1/ARID5A,19
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,19/278,98/7142,0.19387755102040816,4.980839817941565,7.985301970192765,4.80036431902708e-9,1.583091575782002e-6,1.3805559037803445e-6,EDN1/IRAK3/GADD45B/CCL2/IL1RL1/MT2A/IL1B/ZFP36/STX11/IL6/PIM1/HK2/S100A9/CD14/FPR1/SOCS3/ARID5A/CASP4/MT1A,19
GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP,GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP,19/278,98/7142,0.19387755102040816,4.980839817941565,7.985301970192765,4.80036431902708e-9,1.583091575782002e-6,1.3805559037803445e-6,PLAUR/GPRC5A/EDN1/GADD45B/SLCO4A1/IL1R1/F3/SPP1/EGR1/EGR2/NR4A1/CDKN1A/RAB20/ADM/BAG3/FOSL1/HIC1/THBD/PNP,19
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_DN,GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_DN,18/278,91/7142,0.1978021978021978,5.081666534903945,7.885806869760418,8.849692114693379e-9,2.7239352329026222e-6,2.3754436728913812e-6,CCL2/CISH/CR2/EGR1/EGR2/IL1B/STEAP4/ZFP36/MYC/PIM1/CXCR1/FPR2/FOSL1/THBD/LIMK2/SOCS3/PNP/KIAA0040,18
