ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GSE45365_NK_CELL_VS_CD11B_DC_DN,GSE45365_NK_CELL_VS_CD11B_DC_DN,39/580,114/7142,0.34210526315789475,4.212613430127042,10.279462821203705,1.3561488607444827e-15,6.570541230307019e-12,5.929939334244823e-12,SELE/GPRC5A/CXCL2/CSF2RB/TIMP1/HAS1/CSF3/CISH/IL1B/ZFP36/LIF/CHSY1/CHI3L1/RNF122/STX11/IL6/MYO1G/PIM1/CH25H/DUSP5/RAB20/S100A8/CSRNP1/OSMR/PTGES/INHBB/S100A9/ADAMTS9/TIPARP/NFIL3/NFKBID/TM4SF1/CD14/FPR2/NRROS/TUBB6/MAFF/PLSCR1/SMIM3,39
GSE9601_NFKB_INHIBITOR_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_DN,GSE9601_NFKB_INHIBITOR_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_DN,31/580,99/7142,0.31313131313131315,3.855834204110066,8.50642631147739,1.70903867141212e-11,4.140146181495861e-8,3.736498232129446e-8,EDN1/HCK/TIMP1/MEDAG/HAS1/CSF3/CCL2/CISH/TNFSF10/SRGN/CDKN1A/LIF/EMP1/RAB20/HDC/ADM/KCNE4/HK2/CILP2/GBP2/INHBB/NFIL3/TM4SF1/CD14/FPR2/SPSB1/TUBB6/MAFF/C11orf96/PLSCR1/SMIM3,31
GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_DN,GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_DN,29/580,89/7142,0.3258426966292135,4.012359550561798,8.501396444204492,2.5993592825504678e-11,4.1979652413190054e-8,3.788680161303384e-8,EDN1/CXCL2/GADD45B/TIMP1/CSF3/CCL2/TNFSF10/CDKN1A/IRF1/LIF/IL15RA/HILPDA/CH25H/GPR84/BCL2A1/PTGES/KCNE4/PSTPIP2/F11R/GBP2/INHBB/NFIL3/CD14/SPSB1/SOCS3/MAFF/C11orf96/COL4A1/PNP,29
GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN,31/580,105/7142,0.29523809523809524,3.6355008210180624,8.087968109057455,9.299814992003514e-11,1.1264400909064256e-7,1.0166166178100685e-7,TNFRSF1B/BCL3/CSF2RB/PYGL/HCK/NAMPT/ADAP1/VNN2/ARAP3/TNFSF10/SRGN/ADGRE2/TMBIM1/BCL2A1/SECTM1/FCGR2A/S100A8/ADM/LY96/SPATA2L/FCER1G/S100A9/NFIL3/FPR1/TNFRSF10C/CXCR2/LIMK2/ADGRG3/CASP4/SERPINA1/C5AR1,31
GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN,GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN,29/580,94/7142,0.30851063829787234,3.7989361702127664,8.120810454719916,1.1696864205818483e-10,1.133426141543811e-7,1.0229215560204205e-7,SELE/PLAUR/GADD45B/NAMPT/BCL6/DUSP4/SRGN/IRF1/IL1B/HILPDA/STX11/TLR2/CH25H/DUSP5/GPR84/RAB20/BCL2A1/CSRNP1/HK2/GBP2/TIPARP/CITED2/NFIL3/NFKBID/NABP1/MAFF/C11orf96/ISG15/PLSCR1,29
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,29/580,98/7142,0.29591836734693877,3.643877551020408,7.834659054865352,3.577850794874228e-10,2.889114516860939e-7,2.6074372284048326e-7,TNFRSF1B/BCL3/EDN1/CXCL2/GADD45B/SLC39A14/CCL2/IL1RL1/ELL2/MT2A/IL1B/ZFP36/IL15RA/STX11/IL6/PIM1/HDC/PTGES/DUSP2/HK2/PDPN/S100A9/IL7R/CD14/FPR1/CXCR2/SOCS3/CASP4/MT1A,29
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_UP,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_UP,29/580,101/7142,0.2871287128712871,3.5356435643564352,7.62969398982719,7.912094353601343e-10,4.86061829426982e-7,4.386727151028588e-7,PLAUR/SERPINB1/TNFRSF1B/BCL3/CXCL2/GADD45B/HCK/HAS1/NAMPT/SLC16A6/G0S2/IL1B/TRIP10/SIGLEC9/IL15RA/IL6/TLR2/DUSP5/ADM/DUSP2/PDPN/IL7R/FPR2/ADGRE1/LIMK2/SOCS3/CASP4/ACSL5/MT1M,29
GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN,GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN,28/580,95/7142,0.29473684210526313,3.6293284936479124,7.669727163940668,8.025788721188557e-10,4.86061829426982e-7,4.386727151028588e-7,PRDM1/BCL3/CXCL2/GADD45B/CSF2RB/HCK/CISH/CDKN1A/IRF1/ZFP36/IL6/PIM1/TLR2/DUSP5/GPR84/RAB20/HDC/BCL2A1/CSRNP1/TIFA/PSTPIP2/DUSP2/CD14/SOCS3/MAFF/TNFAIP8L1/CASP4/KIAA0040,28
GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_UP,GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_UP,28/580,99/7142,0.2828282828282828,3.4826889585510274,7.3949708459402315,2.276299352095722e-9,1.225407817878197e-6,1.1059353811234654e-6,SERPINB1/TNFRSF1B/IL4R/HAS1/NAMPT/CRACD/VNN2/CISH/DUSP4/TRIP10/MYO1G/IRF4/FCGR2A/S100A8/PTGES/FCER1G/RUNX1/S100A9/RAB24/CD14/FPR2/FPR1/P2RY6/LIMK2/SOCS3/PLSCR1/C5AR1/ATP13A3-DT,28
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_DN,GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_DN,26/580,91/7142,0.2857142857142857,3.5182266009852214,7.187296252221822,6.779254643596066e-9,2.985953522565722e-6,2.6948348123921586e-6,CXCL2/COL9A3/NAMPT/CCL2/CISH/RGS2/CR2/ELL2/G0S2/IL1B/STEAP4/ZFP36/PIM1/IRF4/S100A8/SPATA2L/CCR1/FPR2/TNFRSF10C/THBD/CXCR2/LIMK2/ADGRG3/SOCS3/PNP/KIAA0040,26
