ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GSE4984_LPS_VS_VEHICLE_CTRL_TREATED_DC_DN,GSE4984_LPS_VS_VEHICLE_CTRL_TREATED_DC_DN,82/5936,85/7142,0.9647058823529412,1.1607023941652133,3.30654593147065,1.3849299359071167e-4,0.5677778151464903,0.5677778151464903,CD99/CFLAR/PLXND1/CYTH3/CDH1/TBXAS1/RAB27A/GRAMD4/CD82/EPS15/IL12RB1/CEP128/NFATC2/DGKH/RASAL3/DENND3/ATP1A3/BMPR1A/SUFU/ABI3/ZBTB16/CD5/ST8SIA1/PHACTR2/NR3C1/SLC1A4/RHOU/C1orf21/CD58/TNFAIP3/NEK6/FLVCR2/EPCAM/NCAPH/GTDC1/PDE1B/SH3TC1/TMX4/PLEKHG3/RHBDF2/RAP1GAP2/ALOX5AP/PLAAT4/MICAL2/AOAH/PPP2R1B/LPAR6/TBX19/LRIG1/IQGAP2/SNX30/BICD1/ASAP1/SLA/BATF/AUTS2/RUNX1/EFCAB14/ARHGAP35/GAB3/CCR5/AIM2/PTPN13/MSS51/WEE1/TTC39C/EMB/CHST11/SPSB1/CAMTA1/MBOAT1/PTPRM/SLCO4C1/WSB2/FAM89B/MAF/TPRG1/MYO5A/TOX/PRC1/APOBEC3G/H3C7,82
GSE8621_UNSTIM_VS_LPS_PRIMED_UNSTIM_MACROPHAGE_UP,GSE8621_UNSTIM_VS_LPS_PRIMED_UNSTIM_MACROPHAGE_UP,65/5936,67/7142,0.9701492537313433,1.167251679607354,3.0513882941458457,4.208012798308144e-4,0.5677778151464903,0.5677778151464903,CYP26B1/RHBDF1/SLC6A7/STAU2/PLEKHH1/GNA15/DMRT3/SPI1/MPPED2/NUAK1/N4BP2/LXN/SLCO1A2/SIRT4/RANBP1/SLC25A1/TRIB3/STUB1/IL21R/NIPAL2/P2RX1/RTKN/EHBP1/AARS2/GRIA3/NRSN2/STAT5A/MTUS1/BTBD2/TMBIM1/CFAP68/PRICKLE1/ENSA/CPLX2/VAX1/GLB1L2/TMBIM4/TOMM40L/EXTL2/ABHD6/TERT/SMCO2/TMEM100/STX3/RHOH/RNASE6/RNF150/TRH/CXXC5/FUT9/TCEAL1/FADS6/COQ2/MARCHF10/RGMB/BASP1/SIX5/UBA7/C3orf70/TCF4/DPP4/FAM114A1/DMD/TMEM273/SSTR3,65
GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TCONV_CD4_TCELL_DN,GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TCONV_CD4_TCELL_DN,54/5936,55/7142,0.9818181818181818,1.1812913501592746,2.9941945843200335,4.494768353703278e-4,0.5677778151464903,0.5677778151464903,KLHL13/ADAM28/GLP2R/PTPN3/RASAL2/TDRD1/SRPX2/KCNC4/STBD1/ELOVL3/FLRT3/GRPR/LRRC4/GPR12/DTNA/AVIL/SLCO5A1/ST6GAL2/NXPH2/SLC22A14/ADGRG7/TNFRSF21/SYTL5/RSPO2/GPM6A/KCNMA1/SYN2/MEGF11/HPD/SLAMF8/IGFN1/LRRC2/DRGX/AGBL2/CMTM5/MOBP/KCNAB1/ANKK1/NPTX1/AQP4/GAP43/MARCHF10/REP15/ERICH5/ERFE/HYI/TSHZ2/NKAIN3/CLDN4/SLC25A29/DMD/LGR4/TCAM1P/SDR16C6P,54
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP,GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP,74/5936,77/7142,0.961038961038961,1.1562904750236287,3.0589656445451094,4.6615584166378516e-4,0.5677778151464903,0.5677778151464903,KLHL13/CIAPIN1/APBA2/NDC1/HIPK2/CHI3L2/MEF2A/NUCB2/SREBF1/CADPS2/PHGDH/TTC28/RIN3/SNPH/ZNF516/PLLP/BNIP3L/FCGRT/AEBP1/NPM3/KRT18/MYB/MPP1/NDFIP1/BTBD3/DSC1/EDAR/USP44/TAF4B/RNF175/SLC25A37/RGS10/AMN1/PDE3B/CAMK4/PTPRK/ADGRA3/RETREG1/SFXN2/PDE9A/BEND5/OBSCN-AS1/APBB1/GPRC5B/EFNA1/CLCN5/PDE7B/PIK3CD/SH3RF3/SCAI/GP5/ZBTB18/SERTM1/UBE2E2/SATB1/MAML2/LMLN/KCNQ5/NUDT17/TMEM220/AGRN/GAL3ST4/SFMBT2/PDCD4-AS1/CHML/COL5A2/TMEM170B/ANKRD36BP2/SLC25A25-AS1/MIR600HG/RNF157-AS1/LINC02604/ZNF229/TMEM272,74
GSE17721_CTRL_VS_LPS_8H_BMDC_UP,GSE17721_CTRL_VS_LPS_8H_BMDC_UP,50/5936,51/7142,0.9803921568627451,1.1795756038264362,2.8551668301198014,8.837520913893517e-4,0.779625950296845,0.7796259502968449,FKBP4/PIK3C2A/HEBP1/ALDH3A2/STXBP2/LXN/SLC17A9/CDC25B/RASSF2/CORO1A/ERLIN1/PALD1/HDAC5/TRIM3/TMEM14C/SLC46A2/ADRA1A/FAM117A/METTL8/NQO2/HIP1/SYT4/KLRD1/PARVG/TTYH2/MINDY1/CERS2/OSBPL11/INPP5E/RGS10/SLC7A7/FRRS1/LDLRAP1/FDPS/ALKBH4/ASGR2/SLC25A46/NSMF/MCM7/B2M/TK1/ELOVL6/NUDT4/CLTB/ZNF124/RAB40C/LEPROT/IFI30/NFAM1/ZBTB11-AS1,50
GSE9960_GRAM_NEG_VS_GRAM_POS_SEPSIS_PBMC_DN,GSE9960_GRAM_NEG_VS_GRAM_POS_SEPSIS_PBMC_DN,67/5936,70/7142,0.9571428571428572,1.151602810935695,2.8277301120449763,0.0013151508161370969,0.779625950296845,0.7796259502968449,GCLC/SKAP2/MYCBP2/VPS41/CD22/RNASET2/ATP6V0A1/TRAM2/PDK3/ATRN/FOXRED2/ATP6V1D/RIN3/APMAP/RNF125/STS/FCGRT/CORO2A/PHYH/MMD/C11orf21/TSPAN11/QKI/PCYOX1/TXNDC12/PMFBP1/GPAM/AVPI1/PLXDC2/PLBD1/TMX4/DYRK2/MAP1S/PTGFRN/NPL/PLCB2/PARVG/FGD4/AMDHD1/ZFHX3/IQGAP2/TNFRSF21/LRMDA/PAK1/TP53INP1/COMTD1/RAB4A/B3GNT2/TMEM37/TCEAL1/KCNE3/ZBTB18/RAP2B/P2RY13/DIPK2A/GPRIN3/C16orf54/CLN3/ZNF252P/SLC39A10/TMEM170B/HACD2/RTL10/ANKRD34C/CD302/ZNF702P/ADORA3,67
GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_DN,GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_DN,66/5936,69/7142,0.9565217391304348,1.1508555021680533,2.793422841265291,0.0015219421335524192,0.779625950296845,0.7796259502968449,HEBP1/VRK2/FERRY3/FNIP2/MSMO1/LAMP3/SIGLEC1/GINS1/ATP11C/SGK3/ZPR1/ATP6V0E1/FANCL/SLC25A12/CD58/KLHL12/GBP1/FAM98A/DESI2/NMI/GCH1/CARD6/GRSF1/RSAD2/CMPK2/HAVCR2/SUCLA2/SLC31A2/TLR4/DDX60/CASP1/IFI44L/IFI44/PARP9/HERC6/BMP2K/DUSP6/LYSMD2/METTL21A/ADPRH/FGD2/GDPD1/DPH3/NTAN1/TMEM268/CCNYL1/ABHD6/CCR1/TMEM65/CASP7/IKBIP/CRK/WIPF2/SLFN12/MBOAT1/TLR1/FAM241A/PSMG1/ISG15/PLSCR1/TLR7/ZSCAN16/HYLS1/CTNND1/IL10RB/SCAMP1-AS1,66
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP,GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP,74/5936,78/7142,0.9487179487179487,1.1414662381643514,2.7869396853579964,0.001668562083416129,0.779625950296845,0.7796259502968449,CD99/MAP3K9/CNTN1/TRIO/MCUR1/EML1/INPP5A/ADD2/GNB1/GSK3B/ITGAE/MTMR2/ARHGAP28/NRCAM/TYRO3/CERK/COCH/NDRG3/RASSF2/TBL1X/TRIM37/CAP2/PERP/PLXNA1/HPCAL1/PPL/CTNNAL1/PDLIM2/ECHDC2/ACO1/TMX4/PIN1/PALLD/AP1M2/MYH10/ECHDC3/SEMA4F/ADCY3/RAB40B/MPC2/RAB13/ABCA12/FAM171A1/SLC7A11/PDLIM3/NR2F6/ERMAP/GALNT10/AQP3/MARF1/SPINT2/LIMS1/ALCAM/FSHR/GNG12/PITPNA/UCP2/DLEU1/WSB2/FZD2/OXTR/RAP2B/CHST15/CREB3L2/MXRA7/CBX6/POU6F1/JAG2/GAS2L1/MAPK11/AHNAK2/OLFML2A/FAM114A1/UPK3B,74
GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY3_POST_IMMUNIZATION_UP,GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY3_POST_IMMUNIZATION_UP,82/5936,87/7142,0.9425287356321839,1.1340195805062427,2.7901797358590894,0.0017272203450737795,0.779625950296845,0.7796259502968449,CFLAR/MAP3K9/IL20RA/RRM2B/ST3GAL6/EYA2/PACC1/KLF6/PLEKHH3/PDE8A/SUCO/MICALL1/SLC16A8/CYP2D6/RPS16/MEIS3/LFNG/TLE4/PIP5K1B/PPM1H/ADTRP/TENT5A/CYTIP/PRKD3/QPCT/SGK1/FOXO3/GPR68/BCL11B/DYRK2/GAL3ST1/LDLR/CARD6/MYH10/MACROD1/BTG1/ACVR1B/CD72/FRS3/AMIGO2/GPR65/RHBDL3/PIK3R5/OSR1/LRIG1/CYP4V2/PIK3R1/SCML4/LYPD6B/CD226/BAG3/DNAI4/IMPACT/BTG3/C21orf91/FLACC1/EIF4A2/ALKBH4/CDC42EP3/DAPL1/PRSS12/GALNT10/HSPA12A/KCNC2/EEIG1/BEST1/KIF5C/FILIP1L/RAC3/TRIM56/TRH/GPR34/SNTB1/PDE3A/NR1D2/TDRP/BCL9L/ARL4C/HEPACAM2/FAM3C/CHIC1/IFITM10,82
GSE5589_WT_VS_IL6_KO_LPS_STIM_MACROPHAGE_45MIN_UP,GSE5589_WT_VS_IL6_KO_LPS_STIM_MACROPHAGE_45MIN_UP,65/5936,68/7142,0.9558823529411765,1.1500862137307755,2.758770282074008,0.0017602392145454216,0.779625950296845,0.7796259502968449,HEBP1/PRKCH/KITLG/FAM107B/EPB41L3/FTL/MCOLN1/HMOX1/SYNGR1/ATP6V1D/ASPA/TBC1D9/HSPA8/HECA/EFEMP1/AVPI1/TASL/PIK3CA/NLN/HSPA2/WDFY4/PALLD/ANGPTL8/GALNT15/NDFIP1/LDHA/SLC37A2/CCDC102A/UBE2Q2/ULK3/ETNK2/SRD5A1/STOM/DGKZ/PDE3B/GDPD1/C16orf74/TMEM164/SIK3/PRICKLE2/HEY1/FABP5/TMEM65/ATP7A/SCN3B/CDT1/THBS3/DYDC1/SUCLG2/TMEM134/ZFAND4/NPAS4/MCTP1/B3GNTL1/CREG2/CREB3L2/ANXA2/MYO5A/SH2D1B/PCMTD2/SMPD5/MCRIP1/GPX1/MEX3A/TXNIP,65
