ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_2_CELL,TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_2_CELL,37/286,131/7529,0.2824427480916031,7.435354721614264,14.764357551563043,6.770190138547045e-23,4.5901889139348967e-20,3.6202700951388414e-20,TNFRSF12A/PLAUR/CP/YBX3/GADD45B/APOL4/STC2/EGR1/SRGN/NR4A1/CDKN1A/MT2A/IRF1/ZFP36/RNF122/EMP1/CD36/MYC/PIM1/LRRC32/RAB20/ITPRIP/ADM/BAG3/IFI16/ADAMTS9/TM4SF1/THBD/APOLD1/SOCS3/MAFF/C11orf96/COL4A1/PLSCR1/ARID5A/PNP/CEBPD,37
AIZARANI_LIVER_C20_LSECS_3,AIZARANI_LIVER_C20_LSECS_3,37/286,148/7529,0.25,6.581293706293707,13.626104377158407,7.159143472070871e-21,2.4269496370320255e-18,1.9141288862168437e-18,PLAUR/GPRC5A/YBX3/IL4R/ITPKC/SLCO4A1/STC2/IL1R1/IL1RL1/TNFRSF10B/CDKN1A/CD93/EMP1/CD36/LRRC32/OSMR/ITPRIP/ADM/ADAMTS4/STC1/IFI16/ADAMTS9/NOS3/ANGPTL4/TM4SF1/CD14/TNFRSF10D/FOSL1/TUBB6/HIC1/THBD/APOLD1/CDH5/SOCS3/C11orf96/COL4A1/PNP,37
TRAVAGLINI_LUNG_OLR1_CLASSICAL_MONOCYTE_CELL,TRAVAGLINI_LUNG_OLR1_CLASSICAL_MONOCYTE_CELL,54/286,334/7529,0.16167664670658682,4.256165989698923,12.095614843043618,1.5196461250129208e-20,3.434400242529201e-18,2.7087025666896977e-18,PLAUR/SLC11A1/SERPINB1/TYMP/CD44/YBX3/TNFRSF1A/IL4R/IRAK3/GADD45B/OSM/SLCO4A1/HAMP/CCL2/VEGFA/IL1R1/SRGN/CDKN1A/MT2A/IL1B/CD93/ADGRE2/STEAP4/SIGLEC9/EMP1/STX11/IL6/MYO1G/TLR2/THBS1/RAB20/BCL2A1/SLC16A3/FCGR2A/ADM/FCGR1A/PSTPIP2/RUNX1/S100A9/ANGPTL4/TNIP2/CD14/FPR2/FPR1/THBD/LIMK2/CLDN5/SOCS3/PLSCR1/CASP4/ACSL5/PNP/NEAT1/CYFIP1,54
MANNO_MIDBRAIN_NEUROTYPES_HENDO,MANNO_MIDBRAIN_NEUROTYPES_HENDO,64/286,471/7529,0.13588110403397027,3.5770938191320356,11.477926386019366,3.357662328478735e-20,5.691237646771455e-18,4.4886643759663085e-18,SEMA3G/PLAUR/SLC38A5/YBX3/TNFRSF1A/IL4R/EDN1/LXN/GADD45B/APOL4/GABRE/FOXF1/HES1/GADD45A/NR4A3/ARAP3/EGR1/SRGN/CHST3/EGR2/NR4A1/EDN3/CDKN1A/SH3TC1/MT2A/IRF1/CD93/ZFP36/HELZ2/EMP1/MYC/SLC16A3/FCGR2A/OSMR/ITPRIP/ADM/HHEX/IFI16/GPR146/NOS3/ANGPTL4/PXDC1/EFNA1/TM4SF1/CCDC85B/TUBB6/HIC1/GPR4/THBD/APOLD1/GIMAP7/CDH5/RELL1/SRARP/CLDN5/SOCS3/MAFF/MT1X/PLSCR1/CASP4/ACSL5/ARC/PNP/CASP12,64
TRAVAGLINI_LUNG_EREG_DENDRITIC_CELL,TRAVAGLINI_LUNG_EREG_DENDRITIC_CELL,44/286,270/7529,0.16296296296296298,4.29002849002849,10.93973298116874,6.217071058578559e-17,8.430348355432526e-15,6.648993890016648e-15,TNFRSF12A/PLAUR/SLC11A1/TYMP/CD44/YBX3/TNFRSF1A/IRAK3/GADD45B/OSM/CCL2/VEGFA/IL1R1/SRGN/CDKN1A/MT2A/IL1B/CD93/ADGRE2/EMP1/CD36/TLR2/THBS1/RAB20/BCL2A1/SLC16A3/FCGR2A/FCGR1A/PSTPIP2/RUNX1/ANGPTL4/CD14/FPR2/FPR1/THBD/SOCS3/MT1X/PLSCR1/PNP/MT1A/MT1M/CEBPD/NICOL1/NEAT1,44
MANNO_MIDBRAIN_NEUROTYPES_HPERIC,MANNO_MIDBRAIN_NEUROTYPES_HPERIC,54/286,424/7529,0.12735849056603774,3.3527345296213222,9.909172591594146,9.03482813980467e-16,1.0209355797979278e-13,8.052092447404865e-14,PLAUR/CD44/YBX3/TNFRSF1A/GADD45B/GABRE/CRISPLD2/CPED1/CCL2/RERGL/FHL5/TENT5A/HES1/CISH/IL1R1/F3/NR4A3/ARAP3/EGR1/EGR2/NR4A1/CDKN1A/MT2A/IRF1/ZFP36/MYC/LRRC32/ENPEP/RGS16/OSMR/ITPRIP/KCNE4/PTPRK/ZIC1/ADAMTS4/RUNX1/HEYL/ANGPTL4/PXDC1/TUBB6/HIC1/GPR4/APOLD1/SOCS3/MAFF/C11orf96/COL4A1/PLSCR1/CASP4/TEAD4/FCHSD1/LBH/CEBPD/APOL6,54
FAN_OVARY_CL9_PUTATIVE_APOPTOTIC_ENDOTHELIAL_CELL,FAN_OVARY_CL9_PUTATIVE_APOPTOTIC_ENDOTHELIAL_CELL,29/286,146/7529,0.19863013698630136,5.228973081712808,10.253177920679299,9.973305029645639e-14,9.659858300142491e-12,7.618705195578926e-12,TNFRSF12A/YBX3/MTHFD2/TNFRSF1A/ARRDC3/GADD45A/CDKN1A/MT2A/IRF1/EMP1/THBS1/BAG3/HHEX/IFI16/DEPP1/EFNA1/TM4SF1/CCDC85B/TUBB6/GIMAP7/CLDN5/SOCS3/MAFF/PLSCR1/ARID5A/PNP/ACKR1/CEBPD/NEAT1,29
DESCARTES_FETAL_CEREBELLUM_VASCULAR_ENDOTHELIAL_CELLS,DESCARTES_FETAL_CEREBELLUM_VASCULAR_ENDOTHELIAL_CELLS,43/286,321/7529,0.13395638629283488,3.5264252881075304,9.192109011614464,1.9803361137958642e-13,1.6783348564419947e-11,1.3236983497477617e-11,SEMA3G/SLC38A5/EDN1/LXN/FOXF1/STC2/HES1/IL1R1/GADD45A/ARAP3/EDN3/CD93/HELZ2/CCDC102A/LRRC32/ENPEP/OSMR/ADM/KCNE4/HEYL/GPR146/NOS3/DEPP1/ANGPTL4/EFNA1/TM4SF1/VANGL1/CCDC85B/HIC1/GPR4/THBD/GIMAP7/CDH5/SRARP/CLDN5/MT1X/COL4A1/TEAD4/CASP12/D21S2088E/KIAA0040/CRIPTO/FENDRR,43
MANNO_MIDBRAIN_NEUROTYPES_HMGL,MANNO_MIDBRAIN_NEUROTYPES_HMGL,45/286,366/7529,0.12295081967213115,3.2367018227673965,8.716953674312323,1.1488639498109146e-12,8.654775088575555e-11,6.825998672560756e-11,PLAUR/TYMP/CD44/TNFRSF1A/IL4R/GADD45B/SLC1A5/CPED1/CCL2/ABI3/SELPLG/TENT5A/IL1R1/SPP1/EGR1/SRGN/EGR2/NR4A1/CDKN1A/IRF1/IL1B/ZFP36/CD36/STX11/BCL2A1/FCGR2A/FCGR1A/BAG3/HHEX/RUNX1/IFI16/CD14/FPR1/HSPA6/BDNF/MAFF/PLSCR1/CASP4/GAL3ST4/ACSL5/FCGR1BP/FCGR3A/CEBPD/NEAT1/CYFIP1,45
AIZARANI_LIVER_C29_MVECS_2,AIZARANI_LIVER_C29_MVECS_2,29/286,168/7529,0.17261904761904762,4.544226606726606,9.231479140638157,4.18462324155494e-12,2.8371745577742494e-10,2.2376722175893786e-10,GPRC5A/YBX3/EDN1/ITPKC/IL1R1/IL1RL1/CDKN1A/CD93/EMP1/IL6/MYC/LRRC32/FGF2/ITPRIP/ADAMTS4/STC1/ADAMTS9/NOS3/TM4SF1/FOSL1/TUBB6/THBD/APOLD1/CDH5/CLDN5/SOCS3/MAFF/C11orf96/PNP,29
