ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
TRAVAGLINI_LUNG_OLR1_CLASSICAL_MONOCYTE_CELL,TRAVAGLINI_LUNG_OLR1_CLASSICAL_MONOCYTE_CELL,73/581,334/7529,0.218562874251497,2.832288950498315,9.904892431700745,5.740631286364822e-17,4.2882515709145215e-14,3.5954480161969144e-14,PLAUR/SLC11A1/SERPINB1/TNFRSF1B/YBX3/BCL3/IL4R/CXCL2/LYZ/FKBP5/GADD45B/HCK/TIMP1/HAMP/NAMPT/CCL2/SLC16A6/LMNB1/IL1R1/GBP1/ELL2/SRGN/G0S2/CDKN1A/MT2A/IL1B/CD93/ADGRE2/STEAP4/SIGLEC9/EMP1/STX11/IL6/MYO1G/TLR2/THBS1/GPR84/RAB20/BCL2A1/FCGR2A/S100A8/CSRNP1/ADM/FCGR1A/PSTPIP2/LY96/FCER1G/RUNX1/GBP2/S100A9/CCR1/SERPINB8/ANGPTL4/CD14/FPR2/FPR1/LRG1/PPP1R3B/NABP1/THBD/LIMK2/SOCS3/CD300E/ISG15/PLSCR1/CASP4/ACSL5/SERPINA1/C5AR1/PNP/NEAT1/SIGLEC14/SMIM3,73
TRAVAGLINI_LUNG_EREG_DENDRITIC_CELL,TRAVAGLINI_LUNG_EREG_DENDRITIC_CELL,60/581,270/7529,0.2222222222222222,2.8797093134442533,9.09561655860792,1.985427253937519e-14,7.415570793456634e-12,6.217522189962231e-12,PLAUR/SLC11A1/MSR1/YBX3/BCL3/CXCL2/LYZ/FKBP5/GADD45B/HCK/TIMP1/NAMPT/CCL2/IL1R1/RGS2/ELL2/DUSP4/SRGN/G0S2/F13A1/CDKN1A/MT2A/IL1B/CD93/ADGRE2/CHSY1/EMP1/TLR2/THBS1/CH25H/GPR84/RAB20/BCL2A1/FCGR2A/CSRNP1/FCGR1A/PSTPIP2/LY96/SLAMF8/FCER1G/RUNX1/CCR1/NFIL3/SERPINB8/ANGPTL4/CD14/FPR2/FPR1/THBD/SOCS3/CD300E/MT1X/PLSCR1/C5AR1/PNP/MT1A/MT1M/NICOL1/NEAT1/SMIM3,60
MANNO_MIDBRAIN_NEUROTYPES_HENDO,MANNO_MIDBRAIN_NEUROTYPES_HENDO,83/581,471/7529,0.1762208067940552,2.283591143463755,8.319444042080157,2.0043204205948774e-13,4.990757847281245e-11,4.184458421943692e-11,ABCB4/SELE/PLAUR/SLC38A5/TNFRSF1B/ZIC2/PRDM1/YBX3/BCL3/IL4R/EDN1/CXCL2/ANGPT2/FKBP5/GADD45B/TIMP1/LYL1/LSR/NAMPT/NOD1/CSF3/GADD45A/ELL2/ARAP3/SRGN/CHST3/EDN3/CDKN1A/SH3TC1/MT2A/IRF1/CD93/ZFP36/USHBP1/RAMP2/HSPA12B/EMP1/TES/TMBIM1/DUSP5/EVA1B/FCGR2A/CSRNP1/OSMR/ADM/GNA14/ZIC3/F11R/SHC1/MEGF6/IFI16/SOX17/VWA2/SERPINB8/B2M/ANGPTL4/EFNA1/TM4SF1/SPSB1/GLRX/FUT1/TP53I11/CCDC85B/TUBB6/TCIM/GPR4/THBD/APOLD1/CDH5/RELL1/SOCS3/JAG2/MAFF/MT1X/BCAM/ISG15/PLSCR1/CASP4/ACSL5/ADAMTSL2/ARC/PNP/PECAM1,83
AIZARANI_LIVER_C20_LSECS_3,AIZARANI_LIVER_C20_LSECS_3,36/581,148/7529,0.24324324324324326,3.152114248499791,7.6460396250602845,2.895208052957545e-10,5.4068010388982154e-8,4.533286293446683e-8,TFPI/PLAUR/GPRC5A/YBX3/IL4R/ITPKC/TIMP1/NAMPT/IL1R1/IL1RL1/HPCAL1/TNFRSF10B/CDKN1A/CD93/CHSY1/EMP1/DUSP5/OSMR/ADM/IFI16/ADAMTS9/SOX17/ANGPTL4/TM4SF1/CD14/TNFRSF10D/NR2F1/TUBB6/TCIM/THBD/APOLD1/CDH5/SOCS3/C11orf96/COL4A1/PNP,36
TRAVAGLINI_LUNG_NEUTROPHIL_CELL,TRAVAGLINI_LUNG_NEUTROPHIL_CELL,39/581,172/7529,0.22674418604651161,2.9383080494736418,7.435918331256425,4.856761918290648e-10,7.256002305926228e-8,6.083733350279865e-8,PLAUR/SLC11A1/BCL3/FKBP5/PYGL/CRISPLD2/NAMPT/VNN2/BCL6/IL18RAP/RGS2/CTSD/SRGN/G0S2/STEAP4/CHI3L1/TLR2/BCL2A1/FCGR2A/S100A8/ADM/MZT2B/ALDH16A1/S100A9/TMUB1/FPR2/FPR1/LRG1/TNFRSF10C/CXCR2/LIMK2/ADGRG3/SOCS3/NTNG2/C5AR1/CR1/NAMPTP1/NICOL1/NEAT1,39
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_2_CELL,TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_2_CELL,31/581,131/7529,0.2366412213740458,3.0665606811104835,6.899611112562451,1.0438937812511997e-8,1.2996477576577437e-6,1.0896785962183577e-6,PLAUR/CP/PRDM1/YBX3/LYZ/GADD45B/NAMPT/SRGN/CDKN1A/MT2A/IRF1/ZFP36/RNF122/EMP1/PIM1/RAB20/CSRNP1/ADM/IFI16/ADAMTS9/SOX17/PPP1R14A/TM4SF1/THBD/APOLD1/SOCS3/MAFF/C11orf96/COL4A1/PLSCR1/PNP,31
TRAVAGLINI_LUNG_LIPOFIBROBLAST_CELL,TRAVAGLINI_LUNG_LIPOFIBROBLAST_CELL,24/581,89/7529,0.2696629213483146,3.49447871743797,6.845202574461076,3.375457464781724e-8,3.602095323131354e-6,3.0201461526994373e-6,PLAUR/GPRC5A/NGFR/CXCL2/TIMP1/MEDAG/HAS1/NAMPT/IL1R1/RGS2/ELL2/CDKN1A/MT2A/PIM1/PI15/CYP1B1/HK2/PDPN/TIPARP/NFIL3/SOCS3/MAFF/PLSCR1/MT1A,24
FAN_OVARY_CL9_PUTATIVE_APOPTOTIC_ENDOTHELIAL_CELL,FAN_OVARY_CL9_PUTATIVE_APOPTOTIC_ENDOTHELIAL_CELL,32/581,146/7529,0.2191780821917808,2.8402612406573455,6.492880941140717,4.3377746881372634e-8,4.05039711504817e-6,3.3960209729495684e-6,TFPI/SELE/YBX3/MTHFD2/ANGPT2/NAMPT/ARRDC3/GADD45A/GBP1/TNFSF10/CDKN1A/MT2A/IRF1/EMP1/THBS1/GBP2/IFI16/SOX17/DEPP1/B2M/EFNA1/TM4SF1/CCDC85B/TUBB6/SOCS3/MAFF/BCAM/ISG15/PLSCR1/PNP/ACKR1/NEAT1,32
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS,21/581,73/7529,0.2876712328767123,3.727842878362766,6.772137987089243,7.229609962037445e-8,6.00057626849108e-6,5.031132078844772e-6,PLAUR/SLC11A1/TNFRSF1B/CXCL2/TIMP1/NAMPT/RGS2/SRGN/G0S2/IL1B/STX11/BCL2A1/S100A8/FCER1G/S100A9/CD14/FPR1/SERPINA1/C5AR1/FCGR3A/NEAT1,21
HE_LIM_SUN_FETAL_LUNG_C2_NEUTROPHIL_CELL,HE_LIM_SUN_FETAL_LUNG_C2_NEUTROPHIL_CELL,12/581,29/7529,0.41379310344827586,5.362217342275506,6.805713047109289,6.099695847539541e-7,4.3790876899838074e-5,3.671608786782732e-5,SLC11A1/VNN2/G0S2/STEAP4/THBS1/CYP1B1/S100A8/ADM/HK2/FPR2/TNFRSF10C/ADGRG3,12
AIZARANI_LIVER_C18_NK_NKT_CELLS_5,AIZARANI_LIVER_C18_NK_NKT_CELLS_5,19/581,69/7529,0.2753623188405797,3.568335453615705,6.19733317671433,6.448455768383117e-7,4.3790876899838074e-5,3.671608786782732e-5,PLAUR/SLC11A1/TNFRSF1B/LYZ/GADD45B/HCK/RGS2/IL1B/ADGRE2/TLR2/BCL2A1/FCGR2A/S100A8/FCER1G/S100A9/CCR1/FPR1/C5AR1/FCGR3A,19
MURARO_PANCREAS_ENDOTHELIAL_CELL,MURARO_PANCREAS_ENDOTHELIAL_CELL,34/581,181/7529,0.1878453038674033,2.434229419651772,5.647695935926573,8.285937958306731e-7,5.1579963790459396e-5,4.324678144905706e-5,SELE/PRDM1/IL4R/COL5A3/ANGPT2/CSF2RB/HPCAL1/SRGN/CD93/RAMP2/CHSY1/EMP1/THBS1/CYP1B1/NOTCH1/CYGB/IFI16/ADAMTS9/BDKRB2/EFNA1/TM4SF1/P2RY6/TP53I11/TUBB6/TCIM/GPR4/THBD/CDH5/RELL1/SOCS3/COL4A1/PNP/LBH/PECAM1,34
