ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
TRAVAGLINI_LUNG_OLR1_CLASSICAL_MONOCYTE_CELL,TRAVAGLINI_LUNG_OLR1_CLASSICAL_MONOCYTE_CELL,84/435,334/7529,0.25149700598802394,4.3529217427214535,15.521014083759123,5.072802728984118e-33,3.616908345765676e-30,2.7873716047681155e-30,PLAUR/SLC11A1/SERPINB1/YBX3/TNFRSF1A/BCL3/IL4R/CXCL2/FCN1/ICAM1/LYZ/FKBP5/GADD45B/OSM/SLCO4A1/HCK/TIMP1/IL4I1/HAMP/NAMPT/CCL2/SLC16A6/VEGFA/IL1R1/NCF2/GBP1/SRGN/MMP19/G0S2/TREM1/CDKN1A/MT2A/IL1B/FOSB/CD93/ADGRE2/STEAP4/SIGLEC9/EMP1/STX11/IL6/MYO1G/TLR2/THBS1/GPR84/RAB20/BCL2A1/SLC16A3/IFITM3/FCGR2A/S100A8/CSRNP1/ADM/FCGR1A/PSTPIP2/LY96/FCER1G/RUNX1/ITGA5/GBP2/S100A9/PTX3/CCR1/ANGPTL4/CD14/FPR2/FPR1/LRG1/PPP1R3B/THBD/LIMK2/ANXA2/SOCS3/CD300E/PLSCR1/CASP4/ACSL5/SERPINA1/C5AR1/PNP/NEAT1/SIGLEC14/SMIM3/CYFIP1,84
TRAVAGLINI_LUNG_EREG_DENDRITIC_CELL,TRAVAGLINI_LUNG_EREG_DENDRITIC_CELL,70/435,270/7529,0.25925925925925924,4.487271179225202,14.450006619716111,2.5767648327731263e-28,9.186166628836195e-26,7.079322330039854e-26,TNFRSF12A/PLAUR/SLC11A1/MSR1/YBX3/TNFRSF1A/BCL3/CXCL2/FCN1/ICAM1/LYZ/FKBP5/GADD45B/OSM/HCK/TIMP1/NAMPT/CCL2/VEGFA/IL1R1/NCF2/DUSP4/SRGN/MMP19/G0S2/TREM1/CDKN1A/MT2A/IL1B/FOSB/CD93/ADGRE2/CHSY1/EMP1/TLR2/THBS1/CH25H/GPR84/RAB20/BCL2A1/SLC16A3/IFITM3/FCGR2A/CSRNP1/FCGR1A/PSTPIP2/LY96/SLAMF8/FCER1G/RUNX1/ITGA5/CCR1/NFIL3/ANGPTL4/CD14/FPR2/FPR1/THBD/ANXA2/SOCS3/CD300E/MT1X/PLSCR1/C5AR1/PNP/MT1A/MT1M/CEBPD/NEAT1/SMIM3,70
TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_2_CELL,TRAVAGLINI_LUNG_BRONCHIAL_VESSEL_2_CELL,44/435,131/7529,0.33587786259541985,5.813389488461876,13.761581014591384,6.078770094889498e-23,1.444721025885404e-20,1.1133747331692346e-20,TNFRSF12A/PLAUR/CP/PRDM1/YBX3/RGS1/LYZ/GADD45B/APOL4/NAMPT/STC2/EGR1/SRGN/NR4A1/CDKN1A/MT2A/IRF1/FOSB/ZFP36/RNF122/EMP1/MYC/PIM1/LRRC32/RAB20/IFITM3/CSRNP1/ITPRIP/ADM/ADAMTS1/IFI16/ADAMTS9/TM4SF1/THBD/APOLD1/SOCS3/MAFF/IFITM2/C11orf96/COL4A1/PLSCR1/ARID5A/PNP/CEBPD,44
MANNO_MIDBRAIN_NEUROTYPES_HENDO,MANNO_MIDBRAIN_NEUROTYPES_HENDO,85/435,471/7529,0.18046709129511676,3.123532713473412,11.786026790642442,1.5991020567302884e-22,2.850399416121739e-20,2.1966612463505544e-20,SELE/PLAUR/SLC38A5/ZIC2/PRDM1/YBX3/TNFRSF1A/BCL3/IL4R/EDN1/CXCL2/ICAM1/ANGPT2/FKBP5/GADD45B/APOL4/TIMP1/FOXF1/ENTREP2/LSR/NAMPT/CSF3/GADD45A/NR4A3/ARAP3/EGR1/SRGN/CHST3/EGR2/NR4A1/EDN3/CDKN1A/SH3TC1/MT2A/IRF1/FOSB/CD93/ZFP36/DLL4/USHBP1/HELZ2/RAMP2/EMP1/MYC/SLC16A3/IFITM3/EPHA2/FCGR2A/CSRNP1/OSMR/ITPRIP/ADM/HHEX/ADAMTS1/ITGA5/IFI16/GPR146/NOS3/ANGPTL4/PXDC1/EFNA1/TM4SF1/SPSB1/TUBB6/HIC1/GPR4/THBD/APOLD1/GIMAP7/CDH5/RELL1/SRARP/SOCS3/MAFF/IFITM2/MT1X/PLSCR1/HRCT1/HBG2/CASP4/ACSL5/ARC/PNP/TGM2/CASP12,85
AIZARANI_LIVER_C20_LSECS_3,AIZARANI_LIVER_C20_LSECS_3,44/435,148/7529,0.2972972972972973,5.145635290462877,12.612558375432897,1.5261374148676068e-20,2.176271953601207e-18,1.6771446959176649e-18,PLAUR/GPRC5A/YBX3/IL4R/ITPKC/ICAM1/SLCO4A1/TIMP1/NAMPT/PDLIM1/STC2/IL1R1/IL1RL1/TNFRSF10B/CDKN1A/CD93/CHSY1/EMP1/COL4A2/LRRC32/OSMR/ITPRIP/ADM/ADAMTS1/ADAMTS4/ITGA5/IFI16/ADAMTS9/NOS3/ANGPTL4/TM4SF1/CD14/TNFRSF10D/FOSL1/TUBB6/HIC1/THBD/APOLD1/CDH5/SOCS3/C11orf96/COL4A1/PNP/TGM2,44
DESCARTES_FETAL_CEREBELLUM_MICROGLIA,DESCARTES_FETAL_CEREBELLUM_MICROGLIA,70/435,427/7529,0.16393442622950818,2.8373845863953266,9.679713738480473,3.3328017724565106e-16,3.9604794396024865e-14,3.052144781091752e-14,SLC11A1/DHRS9/RGS1/ICAM1/LYZ/BLNK/GADD45B/OSM/SH3BP1/CSF2RB/HCK/IL4I1/CCL2/C11orf21/SELPLG/SPP1/EGR2/CDKN1A/IL1B/RAC2/SIGLEC9/CHI3L1/IL6/TLR2/CH25H/GPR84/RAB20/BCL2A1/SLC2A5/FCGR2A/FCGR1A/MEPE/LY96/FCER1G/RUNX1/HK2/GBP2/DENND2D/HPGDS/S100A9/CCR1/PLD4/CX3CR1/SIGLEC7/P2RY12/CD14/FPR1/P2RY6/CYSLTR1/TNFRSF10C/NRROS/P2RY13/ARID5A/GAL3ST4/SERPINA1/C5AR1/FCGR1BP/CARD11/FCGR3A/MROCKI/LINC01736/LINC02642/LINC01141/LINC00996/HMGB1P21/IL12B-AS1/SIGLEC14/LINC02953/ITGB3/ADGRE4P,70
DESCARTES_FETAL_CEREBELLUM_VASCULAR_ENDOTHELIAL_CELLS,DESCARTES_FETAL_CEREBELLUM_VASCULAR_ENDOTHELIAL_CELLS,59/435,321/7529,0.1838006230529595,3.181229634403982,9.889751022963054,4.546633562464604e-16,4.631071042910376e-14,3.568936420460938e-14,SELE/SLC38A5/EDN1/REM1/ANGPT2/TIMP1/MEDAG/FOXF1/LSR/PDLIM1/ACTA2/STC2/IL1R1/GADD45A/GBP1/ARAP3/EDN3/CD93/F2RL3/DLL4/USHBP1/HELZ2/RAMP2/COL4A2/LRRC32/GCOM1/IFITM3/EPHA2/OSMR/ADM/KCNE4/GPR146/NOS3/DEPP1/ANGPTL4/EFNA1/TM4SF1/HIC1/GPR4/THBD/GIMAP7/FOXS1/CDH5/PTGDR2/SRARP/IFITM2/MT1X/COL4A1/HRCT1/HBG2/TEAD4/TGM2/CASP12/D21S2088E/NAMPTP1/KIAA0040/CRIPTO/FOXD1/FENDRR,59
MANNO_MIDBRAIN_NEUROTYPES_HMGL,MANNO_MIDBRAIN_NEUROTYPES_HMGL,63/435,366/7529,0.1721311475409836,2.9792538157150936,9.612434635207762,1.1298375992996397e-15,1.0069677603758039e-13,7.760200353084369e-14,PLAUR/PRDM1/TNFRSF1A/BCL3/DHRS9/IL4R/CXCL2/RGS1/ICAM1/BLNK/FKBP5/GADD45B/PYGL/SLC1A5/CPED1/CCL2/SELPLG/IL1R1/NCF2/SPP1/EGR1/SRGN/EGR2/NR4A1/CDKN1A/IRF1/IL1B/FOSB/ZFP36/STX11/BCL2A1/FCGR2A/CSRNP1/FCGR1A/HHEX/LY96/DUSP2/FCER1G/RUNX1/PDPN/HPGDS/IFI16/CCR1/PLD4/CX3CR1/P2RY12/CD14/FPR1/P2RY13/MAFF/WNT7B/PLSCR1/HBG2/CASP4/GAL3ST4/ACSL5/FCGR1BP/CARD11/FCGR3A/CEBPD/NEAT1/SIGLEC14/CYFIP1,63
TRAVAGLINI_LUNG_NEUTROPHIL_CELL,TRAVAGLINI_LUNG_NEUTROPHIL_CELL,41/435,172/7529,0.23837209302325582,4.125755145682972,10.26851499990536,1.9567245608348487e-15,1.5501606798613857e-13,1.1946318371412762e-13,PLAUR/SLC11A1/TNFRSF1A/BCL3/FKBP5/PYGL/CRISPLD2/NAMPT/VNN2/IL18RAP/NCF2/SRGN/G0S2/TREM1/STEAP4/CHI3L1/TLR2/BCL2A1/SLC16A3/IFITM3/FCGR2A/S100A8/ADM/FCGR3B/S100A9/CXCR1/FPR2/FPR1/LRG1/TNFRSF10C/CXCR2/P2RY13/LIMK2/ADGRG3/SOCS3/IFITM2/C5AR1/CR1/CEBPD/NAMPTP1/NEAT1,41
AIZARANI_LIVER_C29_MVECS_2,AIZARANI_LIVER_C29_MVECS_2,40/435,168/7529,0.23809523809523808,4.120963327859879,10.130100155971874,4.58727824335993e-15,3.27072938751563e-13,2.5205886768777725e-13,SELE/GPRC5A/YBX3/EDN1/ITPKC/TIMP1/PDLIM1/IL1R1/IL1RL1/CDKN1A/FOSB/CD93/RAMP2/CHSY1/EMP1/IL6/MYC/LRRC32/FGF2/IFITM3/ITPRIP/PGM5/ADAMTS1/ADAMTS4/ITGA5/ADAMTS9/NOS3/TM4SF1/FOSL1/TUBB6/THBD/APOLD1/CDH5/ANXA2/SOCS3/MAFF/IFITM2/C11orf96/PNP/TGM2,40
