ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0034097,response to cytokine,47/253,431/6101,0.10904872389791183,2.629669029648854,7.299078157069058,3.908493399660232e-10,6.834748293000522e-7,5.542843497178025e-7,SLC11A1/CD44/YBX3/TNFRSF1A/IL4R/EDN1/IRAK3/OSM/FOXF1/CCL2/SELPLG/HES1/CISH/IL1R1/IL1RL1/CR2/F3/SPP1/EGR1/MT2A/IRF1/IL1B/ZFP36/CHI3L1/ENTREP1/IL6/PIM1/TLR2/THBS1/RAB20/OSMR/HK2/CXCR1/IFI16/MST1R/IL12A/TNIP2/CD14/FOSL1/OXTR/SOCS3/MT1X/IL17REL/PLSCR1/CASP4/ACKR1/CRIPTO,47
GO:0010557,positive regulation of macromolecule biosynthetic process,77/253,934/6101,0.08244111349036402,1.988036495670794,6.824151975807164,3.960963271353451e-10,6.834748293000522e-7,5.542843497178025e-7,TEAD3/SLC11A1/YBX3/WNT8A/TNFRSF1A/IL4R/EDN1/IRAK3/OSM/FERMT1/FOXF1/HAMP/FHL5/VEGFA/TENT5A/HES1/IL1R1/IL1RL1/F3/SPP1/NR4A3/EGR1/RASL11A/EGR2/NR4A1/CDK2/IRF1/IL1B/ZFP36/LIF/HELZ2/F12/CHI3L1/CD36/HILPDA/EHF/EGR4/IL6/MYC/PIM1/TLR2/LRRC32/THBS1/FGF2/FCGR2A/FCGR1A/HHEX/ZIC1/RUNX1/IFI16/HEYL/NOS3/GDNF/IL12A/TNIP2/CD14/NPAS4/FOSL1/ALOX12B/CDH5/CITED4/POLR2A/CLDN5/MAFF/NWD1/PLSCR1/ARID5A/TEAD4/FCGR1BP/PNP/FCGR3A/NELFE/LBH/CEBPD/NICOL1/ITGB3/MRPL12,77
GO:0006954,inflammatory response,44/253,392/6101,0.11224489795918367,2.7067435669920146,7.265287131355382,6.208815545740795e-10,6.834748293000522e-7,5.542843497178025e-7,SLC11A1/CD44/TNFRSF1A/IL4R/LXN/OSM/FOXF1/HAMP/CCL2/IL1R1/IL1RL1/F3/NR4A1/IL1B/ADGRE2/ZFP36/F12/CHI3L1/CD36/IL6/TLR2/THBS1/FCGR2A/OSMR/ADM/FCGR1A/S100A9/IFI16/TNIP2/CD14/FPR2/FPR1/FOSL1/GPR4/CDH5/SOCS3/PLSCR1/SERPINA3/CASP4/FCGR1BP/FCGR3A/CASP12/ACKR1/NEAT1,44
GO:1901652,response to peptide,47/253,438/6101,0.10730593607305935,2.5876423556590322,7.172787211356293,6.770429215453711e-10,6.834748293000522e-7,5.542843497178025e-7,SLC11A1/CD44/YBX3/TNFRSF1A/IL4R/EDN1/IRAK3/OSM/FOXF1/CCL2/SELPLG/HES1/CISH/IL1R1/IL1RL1/CR2/F3/SPP1/EGR1/MT2A/IRF1/IL1B/ZFP36/CHI3L1/ENTREP1/IL6/PIM1/TLR2/THBS1/RAB20/OSMR/HK2/CXCR1/IFI16/MST1R/IL12A/TNIP2/CD14/FOSL1/OXTR/SOCS3/MT1X/IL17REL/PLSCR1/CASP4/ACKR1/CRIPTO,47
GO:0009891,positive regulation of biosynthetic process,78/253,979/6101,0.07967313585291114,1.9212877543028097,6.543172253372999,1.522549725216284e-9,1.229611158084671e-6,9.971899358206019e-7,TEAD3/SLC11A1/YBX3/WNT8A/TNFRSF1A/IL4R/EDN1/IRAK3/OSM/FERMT1/FOXF1/HAMP/FHL5/VEGFA/TENT5A/HES1/IL1R1/IL1RL1/F3/SPP1/NR4A3/EGR1/RASL11A/EGR2/NR4A1/CDK2/IRF1/IL1B/ZFP36/LIF/HELZ2/F12/CHI3L1/CD36/HILPDA/EHF/EGR4/IL6/MYC/PIM1/TLR2/LRRC32/THBS1/FGF2/FCGR2A/ADM/FCGR1A/HHEX/ZIC1/RUNX1/IFI16/HEYL/NOS3/GDNF/IL12A/TNIP2/CD14/NPAS4/FOSL1/ALOX12B/CDH5/CITED4/POLR2A/CLDN5/MAFF/NWD1/PLSCR1/ARID5A/TEAD4/FCGR1BP/PNP/FCGR3A/NELFE/LBH/CEBPD/NICOL1/ITGB3/MRPL12,78
GO:0001568,blood vessel development,39/253,339/6101,0.11504424778761062,2.7742488369652665,6.991160095612308,3.34662331481273e-9,2.1810109611093374e-6,1.7687560543289145e-6,TNFRSF12A/TYMP/EDN1/FOXF1/CCL2/VEGFA/HES1/GADD45A/F3/EGR1/EGR2/NR4A1/IL1B/CD93/CHI3L1/CD36/IL6/THBS1/FGF2/ENPEP/ADM/HHEX/RUNX1/HK2/ADAMTS9/TIPARP/NOS3/ANGPTL4/IL12A/EFNA1/FOSL1/GPR4/APOLD1/CDH5/CLDN5/SOCS3/COL4A1/CRIPTO/ITGB3,39
GO:0001944,vasculature development,40/253,355/6101,0.11267605633802817,2.7171407894004345,6.9335997277497725,3.780851096524359e-9,2.1810109611093374e-6,1.7687560543289145e-6,TNFRSF12A/TYMP/EDN1/FOXF1/CCL2/VEGFA/HES1/GADD45A/F3/EGR1/EGR2/NR4A1/IL1B/CD93/LIF/CHI3L1/CD36/IL6/THBS1/FGF2/ENPEP/ADM/HHEX/RUNX1/HK2/ADAMTS9/TIPARP/NOS3/ANGPTL4/IL12A/EFNA1/FOSL1/GPR4/APOLD1/CDH5/CLDN5/SOCS3/COL4A1/CRIPTO/ITGB3,40
GO:0071345,cellular response to cytokine stimulus,42/253,388/6101,0.10824742268041238,2.610345951672711,6.817488793201301,4.939278267307288e-9,2.4931007054233537e-6,2.0218545644201283e-6,CD44/YBX3/TNFRSF1A/IL4R/EDN1/IRAK3/OSM/FOXF1/CCL2/SELPLG/HES1/CISH/IL1R1/IL1RL1/CR2/F3/EGR1/MT2A/IRF1/IL1B/ZFP36/CHI3L1/ENTREP1/IL6/PIM1/TLR2/THBS1/RAB20/OSMR/HK2/CXCR1/IFI16/MST1R/IL12A/TNIP2/FOSL1/SOCS3/MT1X/IL17REL/CASP4/ACKR1/CRIPTO,42
GO:0010628,positive regulation of gene expression,48/253,491/6101,0.09775967413441955,2.357437833573493,6.523801840409502,9.96683799947043e-9,4.471787982429066e-6,3.6265301773511706e-6,SLC11A1/YBX3/IL4R/IRAK3/OSM/FERMT1/VEGFA/TENT5A/HES1/IL1R1/IL1RL1/F3/NR4A3/EGR1/IRF1/IL1B/ZFP36/LIF/F12/CHI3L1/CD36/HILPDA/IL6/MYC/TLR2/LRRC32/THBS1/FGF2/FCGR2A/FCGR1A/RUNX1/IFI16/NOS3/GDNF/IL12A/CD14/ALOX12B/CDH5/POLR2A/CLDN5/NWD1/PLSCR1/ARID5A/FCGR1BP/PNP/FCGR3A/NICOL1/ITGB3,48
GO:0048514,blood vessel morphogenesis,35/253,300/6101,0.11666666666666667,2.8133728590250326,6.699120690386594,1.6457547413947227e-8,6.644899688792757e-6,5.388880094844835e-6,TNFRSF12A/TYMP/EDN1/FOXF1/CCL2/VEGFA/HES1/GADD45A/F3/NR4A1/IL1B/CD93/CHI3L1/CD36/IL6/THBS1/FGF2/ENPEP/ADM/HHEX/RUNX1/HK2/ADAMTS9/TIPARP/NOS3/ANGPTL4/IL12A/EFNA1/GPR4/APOLD1/CDH5/CLDN5/COL4A1/CRIPTO/ITGB3,35
