ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0031091,platelet alpha granule,6/100,41/6464,0.14634146341463414,9.45951219512195,6.811147426816956,3.420600666587166e-5,0.002525453712106855,0.002154567895303386,TIMP1/VWF/SRGN/THBS1/SERPINA3/ITGB3,6
GO:0030141,secretory granule,17/100,363/6464,0.046831955922865015,3.0272176308539946,4.9831638479524125,3.43100687581892e-5,0.002525453712106855,0.002154567895303386,PLAUR/SLC11A1/EDN1/TIMP1/CRISPLD2/VWF/SRGN/IL1B/CD93/HILPDA/THBS1/FPR2/FPR1/APOLD1/ANXA2/SERPINA3/ITGB3,17
GO:0033093,Weibel-Palade body,3/100,5/6464,0.6,38.784,10.594056503980136,3.5133893686249404e-5,0.002525453712106855,0.002154567895303386,EDN1/VWF/APOLD1,3
GO:0031093,platelet alpha granule lumen,5/100,26/6464,0.19230769230769232,12.430769230769231,7.320464474788559,4.073312438882024e-5,0.002525453712106855,0.002154567895303386,TIMP1/VWF/SRGN/THBS1/SERPINA3,5
GO:0005773,vacuole,15/100,317/6464,0.0473186119873817,3.058675078864353,4.711268157496468,9.341208819472634e-5,0.004633239574458426,0.0039528062583452615,SLC11A1/CP/CSF3/ARRDC3/SRGN/IL1B/USP6/IFITM3/FPR1/THBD/ANXA2/IFITM2/IFITM1/SERPINA3/HLA-DRB5,15
GO:0000323,lytic vacuole,14/100,291/6464,0.048109965635738834,3.1098281786941584,4.616336271015063,1.373588782580029e-4,0.004866428829712104,0.0041517495533621935,SLC11A1/CP/CSF3/ARRDC3/SRGN/IL1B/USP6/IFITM3/FPR1/ANXA2/IFITM2/IFITM1/SERPINA3/HLA-DRB5,14
GO:0005764,lysosome,14/100,291/6464,0.048109965635738834,3.1098281786941584,4.616336271015063,1.373588782580029e-4,0.004866428829712104,0.0041517495533621935,SLC11A1/CP/CSF3/ARRDC3/SRGN/IL1B/USP6/IFITM3/FPR1/ANXA2/IFITM2/IFITM1/SERPINA3/HLA-DRB5,14
GO:0009986,cell surface,18/100,466/6464,0.03862660944206009,2.496824034334764,4.204481714703311,2.3897948018443096e-4,0.006829792906497131,0.005826775781858758,TFPI/SELE/PLAUR/IL4R/IL1R1/TNFRSF10B/CD93/HILPDA/LRRC32/THBS1/OSMR/ADAMTS9/IL7R/TNFRSF10D/THBD/CDH5/ANXA2/ITGB3,18
GO:0031012,extracellular matrix,14/100,310/6464,0.04516129032258064,2.9192258064516126,4.340903866553225,2.6638327682155643e-4,0.006829792906497131,0.005826775781858758,TIMP1/CRISPLD2/VWF/MGP/SRGN/LRRC32/THBS1/ADAMTS1/ADAMTS9/ANGPTL4/ANXA2/COL4A1/PLSCR1/SERPINA3,14
GO:0030312,external encapsulating structure,14/100,311/6464,0.04501607717041801,2.9098392282958203,4.326986487760283,2.753948752619811e-4,0.006829792906497131,0.005826775781858758,TIMP1/CRISPLD2/VWF/MGP/SRGN/LRRC32/THBS1/ADAMTS1/ADAMTS9/ANGPTL4/ANXA2/COL4A1/PLSCR1/SERPINA3,14
GO:0101003,ficolin-1-rich granule membrane,4/100,25/6464,0.16,10.3424,5.866394194093358,5.314544237297844e-4,0.011981881553180595,0.010222233413367145,SLC11A1/CD93/FPR2/FPR1,4
GO:0099503,secretory vesicle,17/100,465/6464,0.03655913978494624,2.3631827956989246,3.824662646330131,6.878692199383831e-4,0.014215963878726584,0.012128220456808333,PLAUR/SLC11A1/EDN1/TIMP1/CRISPLD2/VWF/SRGN/IL1B/CD93/HILPDA/THBS1/FPR2/FPR1/APOLD1/ANXA2/SERPINA3/ITGB3,17
GO:0098552,side of membrane,14/100,344/6464,0.040697674418604654,2.630697674418605,3.8960897664689544,7.624425053807355e-4,0.014545057025724801,0.01240898328595367,TFPI/SELE/PLAUR/IL4R/IL1R1/PTPN22/THBS1/OSMR/IL7R/THBD/CDH5/SOCS3/HLA-DRB5/ITGB3,14
GO:0009897,external side of plasma membrane,10/100,197/6464,0.050761421319796954,3.2812182741116747,4.075886671681063,8.754952828723414e-4,0.01550877358231005,0.013231169312582003,SELE/PLAUR/IL4R/IL1R1/THBS1/OSMR/IL7R/THBD/CDH5/ITGB3,10
GO:0062023,collagen-containing extracellular matrix,11/100,240/6464,0.04583333333333333,2.9626666666666663,3.883911880683045,0.0011217673545870779,0.01854655359583969,0.01582282373838615,TIMP1/VWF/MGP/THBS1/ADAMTS1/ADAMTS9/ANGPTL4/ANXA2/COL4A1/PLSCR1/SERPINA3,11
