ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0098552,side of membrane,60/549,344/6464,0.1744186046511628,2.0536281611386458,6.11810259951232,3.15253815885062e-8,1.5069132399305965e-5,1.5032629325887695e-5,TFPI/SELE/PLAUR/RTN4R/IL4R/ACHE/CDIP1/CD209/CSF2RB/NTSR1/CHRNA4/HCK/RASAL3/JAK3/VNN2/IL1R1/IL1RL1/RGS2/F3/RTBDN/FCRLA/MTSS2/CNTN6/PTPN22/THBS1/FCGR2A/STAC/OSMR/FCGR1A/LYPD6B/CLEC4F/PGM5/GNA14/FCER1G/SCUBE1/CCR1/MELTF/B2M/DPEP2/IL7R/EFNA1/CD14/TNFRSF10C/ADGRE1/LY6H/THBD/CDH5/CXCR2/CCR10/SOCS3/LYPD6/BCAM/NTNG2/BORCS6/MMP17/FCGR3A/CRIPTO/LRRC24/ITGB3/PECAM1,60
GO:0030141,secretory granule,59/549,363/6464,0.162534435261708,1.9137023488737348,5.458626975711559,5.307419717999083e-7,1.268473312601781e-4,1.2654005959229395e-4,PLAUR/SLC11A1/SERPINB1/TNFRSF1B/EDN1/LYZ/CBARP/PYGL/PCSK1N/TIMP1/CRISPLD2/CALCA/ACRBP/POMC/CTSD/TTR/EQTN/SRGN/F13A1/IL1B/CD93/SIGLEC9/CHI3L1/HILPDA/TMBIM1/TLR2/THBS1/GPR84/CEP131/SLC2A5/FCGR2A/S100A8/NOTCH1/LPCAT1/FCER1G/S100A9/B2M/RAB24/CD14/TRH/FPR2/FPR1/LRG1/FZD8/APOLD1/SLC9A4/CXCR2/ADGRG3/SFTPA2/HYAL3/SERPINA3/SERPINA1/C5AR1/ARC/PNP/CR1/SIGLEC14/ITGB3/PECAM1,59
GO:0099503,secretory vesicle,63/549,465/6464,0.13548387096774195,1.5952053587167285,4.058632733970338,9.537645926616458e-5,0.012351081904522467,0.012321162965753531,PLAUR/SLC11A1/SERPINB1/TNFRSF1B/EDN1/LYZ/SLC17A6/CBARP/PYGL/PCSK1N/TIMP1/CRISPLD2/CALCA/ACRBP/POMC/CTSD/TTR/EQTN/SRGN/F13A1/IL1B/CD93/SIGLEC9/CHI3L1/HILPDA/TMBIM1/TLR2/THBS1/GPR84/CEP131/SLC2A5/FCGR2A/S100A8/NOTCH1/LPCAT1/FCER1G/S100A9/B2M/RAB24/KCNK9/CD14/TRH/FPR2/FPR1/LRG1/FZD8/APOLD1/SLC9A4/CXCR2/ADGRG3/SFTPA2/HYAL3/SLC18A3/SERPINA3/SERPINA1/C5AR1/ARC/PNP/CR1/SYT15/SIGLEC14/ITGB3/PECAM1,63
GO:0009897,external side of plasma membrane,33/549,197/6464,0.16751269035532995,1.9723169953676738,4.222182665583035,1.033563339290583e-4,0.012351081904522467,0.012321162965753531,SELE/PLAUR/RTN4R/IL4R/CD209/CSF2RB/CHRNA4/IL1R1/IL1RL1/F3/RTBDN/FCRLA/THBS1/FCGR2A/OSMR/FCGR1A/CLEC4F/FCER1G/SCUBE1/CCR1/B2M/IL7R/CD14/ADGRE1/THBD/CDH5/CXCR2/CCR10/BCAM/FCGR3A/LRRC24/ITGB3/PECAM1,33
GO:0030667,secretory granule membrane,27/549,155/6464,0.17419354838709677,2.0509783183500794,4.0346439748575404,2.2681244313382177e-4,0.02168326956359336,0.02163074457676237,PLAUR/SLC11A1/TNFRSF1B/ACRBP/EQTN/CD93/SIGLEC9/TMBIM1/TLR2/GPR84/SLC2A5/FCGR2A/LPCAT1/FCER1G/RAB24/CD14/FPR2/FPR1/SLC9A4/CXCR2/ADGRG3/HYAL3/C5AR1/CR1/SIGLEC14/ITGB3/PECAM1,27
GO:0009986,cell surface,58/549,466/6464,0.12446351931330472,1.465450252898364,3.1775242521347193,0.001608881802117314,0.128174250235346,0.1278637642735339,TFPI/SELE/PLAUR/RTN4R/NGFR/IL4R/ACHE/CD209/CSF2RB/NTSR1/CHRNA4/IL1R1/IL1RL1/IL18RAP/F3/TNFRSF10B/CD93/RAMP2/RTBDN/FCRLA/IL15RA/HILPDA/TLR2/THBS1/DUOX1/FCGR2A/OSMR/NOTCH1/FCGR1A/CLEC4F/WNT7A/SLAMF8/FCER1G/SCUBE1/ADAMTS9/CCR1/MELTF/B2M/IL7R/CD14/TNFRSF10D/TNFRSF10C/LRFN4/NRROS/ADGRE1/RTP1/THBD/CDH5/CXCR2/CCR10/BCAM/CR1/FCGR3A/CRIPTO/CD8B2/LRRC24/ITGB3/PECAM1,58
GO:0101002,ficolin-1-rich granule,13/549,63/6464,0.20634920634920634,2.42958336947408,3.4736153410697277,0.002059255382915632,0.14061772471909603,0.14027709600914007,SLC11A1/PYGL/CRISPLD2/CTSD/CD93/FCER1G/FPR2/FPR1/LRG1/SERPINA1/PNP/CR1/SIGLEC14,13
GO:0101003,ficolin-1-rich granule membrane,7/549,25/6464,0.28,3.2967577413479052,3.5051116503580104,0.0038036406425141964,0.22726752839022324,0.22671700145512252,SLC11A1/CD93/FCER1G/FPR2/FPR1/CR1/SIGLEC14,7
GO:0031012,extracellular matrix,40/549,310/6464,0.12903225806451613,1.5192431987778365,2.854294583526547,0.0045241327420264465,0.2287592834112105,0.22820514288764232,SERPINB1/WNT8A/ADAM11/COL5A3/OVGP1/ACHE/ANGPT2/COL9A3/TIMP1/CRISPLD2/IL7/F3/CTSD/SRGN/F13A1/RTBDN/CHI3L1/THBS1/LOXL4/S100A8/PLOD2/WNT7A/S100A9/ADAMTS9/VWA2/SERPINB8/ANGPTL4/LINGO1/COL8A2/SNORC/FREM3/BCAM/COL4A1/PLSCR1/SERPINA3/SERPINA1/ADAMTSL2/MMP17/ELFN1/LRRC24,40
GO:0030312,external encapsulating structure,40/549,311/6464,0.12861736334405144,1.5143581724152069,2.8322282949024844,0.004785759067180136,0.2287592834112105,0.22820514288764232,SERPINB1/WNT8A/ADAM11/COL5A3/OVGP1/ACHE/ANGPT2/COL9A3/TIMP1/CRISPLD2/IL7/F3/CTSD/SRGN/F13A1/RTBDN/CHI3L1/THBS1/LOXL4/S100A8/PLOD2/WNT7A/S100A9/ADAMTS9/VWA2/SERPINB8/ANGPTL4/LINGO1/COL8A2/SNORC/FREM3/BCAM/COL4A1/PLSCR1/SERPINA3/SERPINA1/ADAMTSL2/MMP17/ELFN1/LRRC24,40
GO:0034774,secretory granule lumen,19/549,122/6464,0.1557377049180328,1.83367672967243,2.831981105239693,0.006751277613528321,0.2933736999333216,0.29266303913189756,SERPINB1/LYZ/PYGL/TIMP1/CRISPLD2/POMC/CTSD/TTR/SRGN/F13A1/CHI3L1/THBS1/S100A8/S100A9/B2M/LRG1/SERPINA3/SERPINA1/PNP,19
GO:0060205,cytoplasmic vesicle lumen,19/549,123/6464,0.15447154471544716,1.818768788780784,2.792935035258108,0.00737334643371672,0.2937049662763827,0.29299350302400656,SERPINB1/LYZ/PYGL/TIMP1/CRISPLD2/POMC/CTSD/TTR/SRGN/F13A1/CHI3L1/THBS1/S100A8/S100A9/B2M/LRG1/SERPINA3/SERPINA1/PNP,19
