ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0140375,immune receptor activity,19/292,77/6234,0.24675324675324675,5.2680128091087,8.35334013153517,1.3323917682019017e-9,9.180179282911103e-7,8.765735317117775e-7,IL4R/IL1R2/IL1R1/IL1RL1/IL18RAP/CR2/F3/FCGR2A/OSMR/FCGR1A/FCER1G/CXCR1/CCR1/CX3CR1/FPR2/FPR1/CXCR2/FCGR1BP/FCGR3A,19
GO:0038023,signaling receptor activity,59/292,608/6234,0.09703947368421052,2.07172629776496,6.166084593916722,2.505108422266348e-8,5.7533990098050455e-6,5.493658820759535e-6,PLAUR/IL4R/ICAM1/NLRP1/TLR8/SLC1A5/IL1R2/IL1R1/IL1RL1/IL18RAP/CD207/CR2/F3/TNFRSF10B/NR4A1/CD93/ADGRE2/F2RL3/RAMP2/LGR6/CD36/HTR2B/HCRTR2/TLR2/GPR84/EPHA2/FCGR2A/OSMR/GABRA6/LPAR4/FCGR1A/CLEC4F/FCER1G/TNFRSF13C/CXCR1/CCR1/MST1R/TLR3/GPR146/ZNF219/CD300A/CX3CR1/CD14/FPR2/FPR1/TNFRSF10D/ADGRE1/THBD/OR51E1/CXCR2/ADGRG3/CD300E/CLEC17A/FCGR1BP/FCGR3A/ACKR1/CD8B2/ITGB3/GPR179,59
GO:0060089,molecular transducer activity,59/292,608/6234,0.09703947368421052,2.07172629776496,6.166084593916722,2.505108422266348e-8,5.7533990098050455e-6,5.493658820759535e-6,PLAUR/IL4R/ICAM1/NLRP1/TLR8/SLC1A5/IL1R2/IL1R1/IL1RL1/IL18RAP/CD207/CR2/F3/TNFRSF10B/NR4A1/CD93/ADGRE2/F2RL3/RAMP2/LGR6/CD36/HTR2B/HCRTR2/TLR2/GPR84/EPHA2/FCGR2A/OSMR/GABRA6/LPAR4/FCGR1A/CLEC4F/FCER1G/TNFRSF13C/CXCR1/CCR1/MST1R/TLR3/GPR146/ZNF219/CD300A/CX3CR1/CD14/FPR2/FPR1/TNFRSF10D/ADGRE1/THBD/OR51E1/CXCR2/ADGRG3/CD300E/CLEC17A/FCGR1BP/FCGR3A/ACKR1/CD8B2/ITGB3/GPR179,59
GO:0019955,cytokine binding,16/292,68/6234,0.23529411764705882,5.023368251410153,7.394624853959668,5.7584384764932345e-8,8.083768148538867e-6,7.718822233346255e-6,IL1R2/IL1R1/IL1RL1/ZFP36/CD36/THBS1/FGF2/OSMR/PDPN/CXCR1/CCR1/CX3CR1/LRG1/CXCR2/ACKR1/ITGB3,16
GO:0019956,chemokine binding,9/292,19/6234,0.47368421052631576,10.112833453496755,8.818268792996607,5.8663048973431534e-8,8.083768148538867e-6,7.718822233346255e-6,ZFP36/FGF2/PDPN/CXCR1/CCR1/CX3CR1/CXCR2/ACKR1/ITGB3,9
GO:0038187,pattern recognition receptor activity,9/292,28/6234,0.32142857142857145,6.862279843444227,6.89149335431311,3.0165196309034543e-6,3.2186844423295376e-4,3.0733752600350787e-4,NLRP1/TLR8/CD207/CD36/TLR2/CLEC4F/TLR3/CD14/CLEC17A,9
GO:0004888,transmembrane signaling receptor activity,46/292,492/6234,0.09349593495934959,1.9960741730704978,5.10289112424268,3.2700712766773238e-6,3.2186844423295376e-4,3.0733752600350787e-4,IL4R/ICAM1/IL1R2/IL1R1/IL1RL1/IL18RAP/CR2/F3/TNFRSF10B/ADGRE2/F2RL3/RAMP2/LGR6/HTR2B/HCRTR2/TLR2/GPR84/EPHA2/FCGR2A/OSMR/GABRA6/LPAR4/FCGR1A/FCER1G/CXCR1/CCR1/MST1R/TLR3/GPR146/ZNF219/CD300A/CX3CR1/CD14/FPR2/FPR1/TNFRSF10D/ADGRE1/THBD/OR51E1/CXCR2/ADGRG3/CD300E/FCGR1BP/FCGR3A/ACKR1/GPR179,46
GO:0005102,signaling receptor binding,58/292,686/6234,0.08454810495626822,1.8050441311553973,4.954355719138114,3.793672744041213e-6,3.2673006508054947e-4,3.119796664507577e-4,SEMA3G/PLAUR/EDN1/FGF20/ICAM1/ANGPT2/BLNK/HCK/JAK3/HAMP/NAMPT/CXCL12/ICAM2/CCL2/CALCA/SELPLG/VEGFA/ARRDC3/CISH/IL1R1/ANGPTL1/CR2/SPP1/TNFSF10/EDN3/IL1B/LIF/LGR6/CD36/HILPDA/IL6/TLR2/THBS1/FGF2/SECTM1/S100A8/OSMR/ADM/WNT7A/PIK3AP1/F11R/PDPN/INHBB/S100A9/CX3CR1/COL3A1/EFNA1/FPR2/FPR1/LRG1/SOCS3/MST1L/ISG15/PLSCR1/ENPP1/CRIPTO/CD8B2/ITGB3,58
GO:0019957,C-C chemokine binding,6/292,13/6234,0.46153846153846156,9.853530031612225,7.083235898628361,1.3031646628999883e-5,9.97644947486769e-4,9.526057477339098e-4,ZFP36/CXCR1/CCR1/CX3CR1/CXCR2/ACKR1,6
GO:0019864,IgG binding,5/292,9/6234,0.5555555555555556,11.860730593607306,7.22743647544297,2.351193351561135e-5,0.001619972219225622,0.0015468377312902203,FCGR2A/FCGR1A/FCER1G/FCGR1BP/FCGR3A,5
GO:0004896,cytokine receptor activity,11/292,56/6234,0.19642857142857142,4.193615459882583,5.3214054360558745,4.445953176540152e-5,0.002596709729139901,0.0024794799185890127,IL4R/IL1R2/IL1R1/IL1RL1/IL18RAP/F3/OSMR/CXCR1/CCR1/CX3CR1/CXCR2,11
GO:0019763,immunoglobulin receptor activity,5/292,10/6234,0.5,10.674657534246576,6.78694725629572,4.5225713715063586e-5,0.002596709729139901,0.0024794799185890127,FCGR2A/FCGR1A/FCER1G/FCGR1BP/FCGR3A,5
GO:0005125,cytokine activity,14/292,94/6234,0.14893617021276595,3.1796852229670645,4.720056384206754,1.0539161439869478e-4,0.005585755563130824,0.005333583724630303,EDN1/NAMPT/CXCL12/CCL2/VEGFA/SPP1/TNFSF10/IL1B/LIF/IL6/FGF2/SECTM1/WNT7A/INHBB,14
GO:0030246,carbohydrate binding,16/292,119/6234,0.13445378151260504,2.8704961436629444,4.566734176195817,1.2032475777475882e-4,0.005921697007629202,0.005654358917986786,SLC2A3/PYGL/CD207/CD93/SIGLEC9/CHI3L1/GALNT5/SLC2A5/CLEC4F/PLOD2/PPP1R3B/CD34/SFTPA2/CLEC17A/ENPP1/SIGLEC14,16
