ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0032452,histone demethylase activity,2/32,5/6234,0.4,77.92500000000001,12.359503171884533,2.528488246619512e-4,0.038939880226126336,0.0352190025550555,KDM5D/UTY,2
GO:0140457,protein demethylase activity,2/32,6/6234,0.3333333333333333,64.9375,11.254200444662525,3.780570895740421e-4,0.038939880226126336,0.0352190025550555,KDM5D/UTY,2
GO:0032451,demethylase activity,2/32,8/6234,0.25,48.703125,9.697168393416492,7.011900200479561e-4,0.04613181944270133,0.04172372019089491,KDM5D/UTY,2
GO:0035198,miRNA binding,2/32,10/6234,0.2,38.962500000000006,8.629342063685163,0.001119704355405372,0.04613181944270133,0.04172372019089491,XIST/NEAT1,2
GO:0140463,chromatin-protein adaptor activity,2/32,10/6234,0.2,38.962500000000006,8.629342063685163,0.001119704355405372,0.04613181944270133,0.04172372019089491,XIST/NEAT1,2
GO:0061980,regulatory RNA binding,2/32,13/6234,0.15384615384615385,29.971153846153847,7.510434095503748,0.0019222425672623317,0.06599699480934006,0.059690690246567146,XIST/NEAT1,2
GO:0016706,2-oxoglutarate-dependent dioxygenase activity,2/32,15/6234,0.13333333333333333,25.974999999999998,6.955822958251172,0.002571106386308451,0.07566398793993441,0.0684339594551272,KDM5D/UTY,2
GO:0140375,immune receptor activity,3/32,77/6234,0.03896103896103896,7.590097402597403,4.179364900085278,0.00694770575256782,0.17429556803225682,0.15764085611502018,IL1R2/FPR2/IL3RA,3
GO:0003723,RNA binding,6/32,353/6234,0.0169971671388102,3.311260623229462,3.211207392746158,0.008170218599023284,0.17429556803225682,0.15764085611502018,DDX3Y/TLR8/RPS4Y1/EIF1AY/XIST/NEAT1,6
GO:0038023,signaling receptor activity,8/32,608/6234,0.013157894736842105,2.5633223684210527,2.9144602694894846,0.0099227533827342,0.17429556803225682,0.15764085611502018,SELE/TLR8/IL1R2/LPAR4/FPR2/CD28/ADGRG3/IL3RA,8
GO:0060089,molecular transducer activity,8/32,608/6234,0.013157894736842105,2.5633223684210527,2.9144602694894846,0.0099227533827342,0.17429556803225682,0.15764085611502018,SELE/TLR8/IL1R2/LPAR4/FPR2/CD28/ADGRG3/IL3RA,8
GO:0051213,dioxygenase activity,2/32,30/6234,0.06666666666666667,12.987499999999999,4.727276712759828,0.010153139885374182,0.17429556803225682,0.15764085611502018,KDM5D/UTY,2
GO:0031490,chromatin DNA binding,2/32,37/6234,0.05405405405405406,10.530405405405405,4.176179533910773,0.015202013275562478,0.2408934411358362,0.2178750080789116,ZFX/UTY,2
GO:0030674,protein-macromolecule adaptor activity,5/32,326/6234,0.015337423312883436,2.987921779141104,2.6481679195289782,0.023847539140797888,0.29187330237852444,0.2639835182473113,TBL1Y/FKBP5/CASP8AP2/XIST/NEAT1,5
GO:0004465,lipoprotein lipase activity,1/32,5/6234,0.2,38.962500000000006,6.099416823694074,0.025411632119417438,0.29187330237852444,0.2639835182473113,LIPG,1
GO:0035727,lysophosphatidic acid binding,1/32,5/6234,0.2,38.962500000000006,6.099416823694074,0.025411632119417438,0.29187330237852444,0.2639835182473113,LPAR4,1
GO:0070492,oligosaccharide binding,1/32,5/6234,0.2,38.962500000000006,6.099416823694074,0.025411632119417438,0.29187330237852444,0.2639835182473113,SELE,1
GO:0004908,interleukin-1 receptor activity,1/32,6/6234,0.16666666666666666,32.46875,5.539090834689718,0.030418347125385714,0.29187330237852444,0.2639835182473113,IL1R2,1
GO:0005528,FK506 binding,1/32,6/6234,0.16666666666666666,32.46875,5.539090834689718,0.030418347125385714,0.29187330237852444,0.2639835182473113,FKBP5,1
GO:0050681,nuclear androgen receptor binding,1/32,6/6234,0.16666666666666666,32.46875,5.539090834689718,0.030418347125385714,0.29187330237852444,0.2639835182473113,KDM5D,1
GO:0004896,cytokine receptor activity,2/32,56/6234,0.03571428571428571,6.957589285714286,3.216609149672022,0.03309522489834515,0.29187330237852444,0.2639835182473113,IL1R2/IL3RA,2
GO:0005527,macrolide binding,1/32,7/6234,0.14285714285714285,27.830357142857142,5.1014509166972495,0.03540014110290457,0.29187330237852444,0.2639835182473113,FKBP5,1
GO:0004888,transmembrane signaling receptor activity,6/32,492/6234,0.012195121951219513,2.3757621951219514,2.2837680883596034,0.03647040428329765,0.29187330237852444,0.2639835182473113,SELE/IL1R2/LPAR4/FPR2/ADGRG3/IL3RA,6
GO:0003714,transcription corepressor activity,2/32,63/6234,0.031746031746031744,6.184523809523809,2.9707017116550025,0.041052493517171294,0.29187330237852444,0.2639835182473113,TBL1Y/CASP8AP2,2
GO:0060090,molecular adaptor activity,5/32,377/6234,0.013262599469496022,2.5837201591511936,2.2786057009584764,0.041155615489748144,0.29187330237852444,0.2639835182473113,TBL1Y/FKBP5/CASP8AP2/XIST/NEAT1,5
GO:0003743,translation initiation factor activity,1/32,9/6234,0.1111111111111111,21.645833333333332,4.451861714054928,0.04528944566442483,0.29187330237852444,0.2639835182473113,EIF1AY,1
GO:0004875,complement receptor activity,1/32,9/6234,0.1111111111111111,21.645833333333332,4.451861714054928,0.04528944566442483,0.29187330237852444,0.2639835182473113,FPR2,1
GO:0008656,cysteine-type endopeptidase activator activity involved in apoptotic process,1/32,9/6234,0.1111111111111111,21.645833333333332,4.451861714054928,0.04528944566442483,0.29187330237852444,0.2639835182473113,CASP8AP2,1
GO:0019955,cytokine binding,2/32,68/6234,0.029411764705882353,5.729779411764706,2.816769141860791,0.04713479580031235,0.29187330237852444,0.2639835182473113,IL1R2/IL3RA,2
GO:0004806,triacylglycerol lipase activity,1/32,10/6234,0.1,19.481250000000003,4.2010148966606895,0.05019719469875994,0.29187330237852444,0.2639835182473113,LIPG,1
GO:0016505,peptidase activator activity involved in apoptotic process,1/32,10/6234,0.1,19.481250000000003,4.2010148966606895,0.05019719469875994,0.29187330237852444,0.2639835182473113,CASP8AP2,1
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",2/32,73/6234,0.0273972602739726,5.337328767123287,2.6774159114199185,0.0535272328052162,0.29187330237852444,0.2639835182473113,KDM5D/UTY,2
GO:0004693,cyclin-dependent protein serine/threonine kinase activity,1/32,11/6234,0.09090909090909091,17.710227272727273,3.984157243145529,0.05508049961033479,0.29187330237852444,0.2639835182473113,CDK11A,1
GO:0005123,death receptor binding,1/32,11/6234,0.09090909090909091,17.710227272727273,3.984157243145529,0.05508049961033479,0.29187330237852444,0.2639835182473113,CASP8AP2,1
GO:0008970,phospholipase A1 activity,1/32,11/6234,0.09090909090909091,17.710227272727273,3.984157243145529,0.05508049961033479,0.29187330237852444,0.2639835182473113,LIPG,1
GO:0019843,rRNA binding,1/32,11/6234,0.09090909090909091,17.710227272727273,3.984157243145529,0.05508049961033479,0.29187330237852444,0.2639835182473113,RPS4Y1,1
GO:0045125,bioactive lipid receptor activity,1/32,11/6234,0.09090909090909091,17.710227272727273,3.984157243145529,0.05508049961033479,0.29187330237852444,0.2639835182473113,LPAR4,1
GO:0097472,cyclin-dependent protein kinase activity,1/32,11/6234,0.09090909090909091,17.710227272727273,3.984157243145529,0.05508049961033479,0.29187330237852444,0.2639835182473113,CDK11A,1
GO:0003755,peptidyl-prolyl cis-trans isomerase activity,1/32,12/6234,0.08333333333333333,16.234375,3.7940926592035638,0.05993947824000967,0.29187330237852444,0.2639835182473113,FKBP5,1
GO:0140838,RNA polymerase II CTD heptapeptide repeat peptidyl-prolyl isomerase activity,1/32,12/6234,0.08333333333333333,16.234375,3.7940926592035638,0.05993947824000967,0.29187330237852444,0.2639835182473113,FKBP5,1
GO:0140839,RNA polymerase II CTD heptapeptide repeat P3 isomerase activity,1/32,12/6234,0.08333333333333333,16.234375,3.7940926592035638,0.05993947824000967,0.29187330237852444,0.2639835182473113,FKBP5,1
GO:0140840,RNA polymerase II CTD heptapeptide repeat P6 isomerase activity,1/32,12/6234,0.08333333333333333,16.234375,3.7940926592035638,0.05993947824000967,0.29187330237852444,0.2639835182473113,FKBP5,1
GO:0003724,RNA helicase activity,1/32,13/6234,0.07692307692307693,14.985576923076923,3.62559787318626,0.06477424787940544,0.29187330237852444,0.2639835182473113,DDX3Y,1
GO:0016859,cis-trans isomerase activity,1/32,13/6234,0.07692307692307693,14.985576923076923,3.62559787318626,0.06477424787940544,0.29187330237852444,0.2639835182473113,FKBP5,1
GO:0043274,phospholipase binding,1/32,13/6234,0.07692307692307693,14.985576923076923,3.62559787318626,0.06477424787940544,0.29187330237852444,0.2639835182473113,SELE,1
GO:0003677,DNA binding,7/32,712/6234,0.009831460674157303,1.9152914325842696,1.8638410156132827,0.06517559179326274,0.29187330237852444,0.2639835182473113,ZFX/KDM5D/DDX3Y/ZFY/TLR8/UTY/JPX,7
GO:0000049,tRNA binding,1/32,14/6234,0.07142857142857142,13.915178571428571,3.4747767940863605,0.06958492527337101,0.2986353042982173,0.2700993809953217,EIF1AY,1
GO:0008186,"ATP-dependent activity, acting on RNA",1/32,14/6234,0.07142857142857142,13.915178571428571,3.4747767940863605,0.06958492527337101,0.2986353042982173,0.2700993809953217,DDX3Y,1
GO:0033691,sialic acid binding,1/32,15/6234,0.06666666666666667,12.987499999999999,3.338655764245683,0.0743716266224469,0.3064111016844812,0.2771321665720653,SELE,1
GO:0043028,cysteine-type endopeptidase regulator activity involved in apoptotic process,1/32,15/6234,0.06666666666666667,12.987499999999999,3.338655764245683,0.0743716266224469,0.3064111016844812,0.2771321665720653,CASP8AP2,1
GO:0003727,single-stranded RNA binding,1/32,17/6234,0.058823529411764705,11.459558823529411,3.1017376761238418,0.08387356328124185,0.32599913275350606,0.29484847469274694,TLR8,1
GO:0003785,actin monomer binding,1/32,17/6234,0.058823529411764705,11.459558823529411,3.1017376761238418,0.08387356328124185,0.32599913275350606,0.29484847469274694,TMSB4Y,1
GO:0140693,molecular condensate scaffold activity,1/32,17/6234,0.058823529411764705,11.459558823529411,3.1017376761238418,0.08387356328124185,0.32599913275350606,0.29484847469274694,NEAT1,1
GO:0008135,"translation factor activity, RNA binding",1/32,19/6234,0.05263157894736842,10.25328947368421,2.901416351018879,0.09328097666680013,0.34681464183971844,0.31367496988058335,EIF1AY,1
GO:0180051,translation factor activity,1/32,19/6234,0.05263157894736842,10.25328947368421,2.901416351018879,0.09328097666680013,0.34681464183971844,0.31367496988058335,EIF1AY,1
GO:0140096,"catalytic activity, acting on a protein",7/32,776/6234,0.00902061855670103,1.7573292525773194,1.6194088144437087,0.09427970846128268,0.34681464183971844,0.31367496988058335,CDK11A/KDM5D/DDX3Y/FKBP5/PRKY/USP9Y/UTY,7
GO:0016504,peptidase activator activity,1/32,20/6234,0.05,9.740625000000001,2.8120920529856988,0.09794952191968231,0.3539930090430624,0.3201674123690447,CASP8AP2,1
GO:0003725,double-stranded RNA binding,1/32,23/6234,0.043478260869565216,8.470108695652174,2.5779099704346793,0.11181586617313566,0.39040793951976177,0.3531027352835863,TLR8,1
GO:0032813,tumor necrosis factor receptor superfamily binding,1/32,23/6234,0.043478260869565216,8.470108695652174,2.5779099704346793,0.11181586617313566,0.39040793951976177,0.3531027352835863,CASP8AP2,1
GO:0003735,structural constituent of ribosome,1/32,24/6234,0.041666666666666664,8.1171875,2.509145811360431,0.11639192353627514,0.3918821047165247,0.3544360374799431,RPS4Y1,1
GO:0043021,ribonucleoprotein complex binding,1/32,25/6234,0.04,7.7925,2.4442548925146093,0.1209451374568613,0.3918821047165247,0.3544360374799431,NEAT1,1
GO:0140993,histone modifying activity,3/32,238/6234,0.012605042016806723,2.45561974789916,1.6446113266499653,0.12138742715663615,0.3918821047165247,0.3544360374799431,KDM5D/PRKY/UTY,3
GO:0033218,amide binding,2/32,120/6234,0.016666666666666666,3.2468749999999997,1.7851079722666006,0.12557809252481622,0.3918821047165247,0.3544360374799431,FKBP5/FPR2,2
GO:0004843,cysteine-type deubiquitinase activity,1/32,28/6234,0.03571428571428571,6.957589285714286,2.2693493706418253,0.13446881971333946,0.3918821047165247,0.3544360374799431,USP9Y,1
GO:0038187,pattern recognition receptor activity,1/32,28/6234,0.03571428571428571,6.957589285714286,2.2693493706418253,0.13446881971333946,0.3918821047165247,0.3544360374799431,TLR8,1
GO:0015026,coreceptor activity,1/32,29/6234,0.034482758620689655,6.717672413793103,2.216690434026654,0.13893175844507843,0.3918821047165247,0.3544360374799431,CD28,1
