ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,30/109,117/1726,0.2564102564102564,4.060221124441307,8.898575842205782,1.881690449385744e-12,8.843945112112997e-11,6.932543760894846e-11,PLAUR/CD44/EDN1/GADD45B/CCL2/VEGFA/HES1/GADD45A/F3/NR4A3/EGR1/EGR2/NR4A1/CDKN1A/IRF1/IL1B/TRIP10/ZFP36/LIF/IL6/MYC/TLR2/BCL2A1/TIPARP/TNIP2/EFNA1/FOSL1/SOCS3/MAFF/CEBPD,30
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,23/109,103/1726,0.22330097087378642,3.535940144295003,6.888919975734945,2.2872808958054933e-8,5.375110105142909e-7,4.2134121764838033e-7,PLAUR/CP/LXN/VEGFA/STC2/F3/CHST3/INHA/CDKN1A/MT2A/ZFP36/IL6/PIM1/SLC2A5/ADM/PDK1/STC1/HK2/TIPARP/ANGPTL4/EFNA1/ISG20/MAFF,23
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,15/109,47/1726,0.3191489361702128,5.053679484676947,7.313508603853498,5.387539308522899e-8,8.440478250019208e-7,6.61627634380005e-7,TNFRSF12A/CD44/TNFRSF1A/IL4R/IL1R1/IRF1/IL1B/CD36/IL6/PIM1/TLR2/OSMR/CD14/SOCS3/ITGB3,15
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,20/109,118/1726,0.1694915254237288,2.6838749805628983,4.918816421930566,2.2099806471281723e-5,2.596727260375602e-4,2.035508490775948e-4,PLAUR/IL4R/EDN1/OSM/CCL2/IL1R1/F3/CDKN1A/IRF1/IL1B/LIF/IL6/MYC/TLR2/RGS16/OSMR/ADM/CD14/FPR1/ITGB3,20
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,17/109,99/1726,0.1717171717171717,2.7191177833379667,4.572800371941292,8.419407593127375e-5,7.914243137539732e-4,6.203774015988593e-4,CD44/IL4R/GADD45B/SLC1A5/CISH/IL1RL1/SPP1/LIF/EMP1/MYC/PIM1/RGS16/HK2/MAFF/PLSCR1/PNP/CYFIP1,17
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,17/109,101/1726,0.16831683168316833,2.665273866836225,4.47684913807888,1.095510085826245e-4,8.581495672305585e-4,6.726816316476943e-4,MTHFD2/IL4R/CCL2/CDKN1A/MT2A/IRF1/HELZ2/IL6/PIM1/FCGR1A/FPR1/ISG20/SOCS3/PLSCR1/CASP4/PNP/APOL6,17
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,13/109,76/1726,0.17105263157894737,2.7085948816996623,3.9541825371692094,6.504840773819751e-4,0.004367535948136119,0.003423600407273553,TNFRSF12A/CD44/GADD45B/GADD45A/CDK2/CDKN1A/IRF1/IL1B/EMP1/IL6/CD14/ISG20/CASP4,13
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,12/109,86/1726,0.13953488372093023,2.2095156816727117,2.986699943871673,0.006312093864880724,0.03708355145617425,0.029068853325108595,PLAUR/CP/CR2/F3/IRF1/CD36/IL6/PIM1/S100A9/MAFF/PLSCR1/CASP4,12
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,5/109,23/1726,0.21739130434782608,3.442361388113283,3.060689743729556,0.012333081004098287,0.06440608968806884,0.05048629650800469,MTHFD2/CCL2/VEGFA/STC2/BAG3,5
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,14/109,118/1726,0.11864406779661017,1.878712486394029,2.566832726967368,0.013706789295195516,0.06442190968741893,0.0504986974033519,TNFRSF12A/PLAUR/CD44/GADD45B/VEGFA/GADD45A/SPP1/IL6/THBS1/FGF2/BDNF/OXTR/COL4A1/ITGB3,14
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,3/109,9/1726,0.3333333333333333,5.2782874617737,3.340095295092278,0.015557575188656135,0.0664732758060762,0.05210671115817844,MYC/PLK4/HK2,3
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,4/109,21/1726,0.19047619047619047,3.016164263870686,2.412826850305434,0.039100516456167814,0.15314368945332393,0.12004544526016434,VEGFA/SPP1/STC1/THBD,4
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,9/109,81/1726,0.1111111111111111,1.7594291539245668,1.8171869629202855,0.06460766320394437,0.2335815515834912,0.18309864065895168,CD44/VEGFA/STC2/DSC2/SLC16A3/STC1/HK2/ANGPTL4/ISG20,9
HALLMARK_COAGULATION,HALLMARK_COAGULATION,6/109,54/1726,0.1111111111111111,1.7594291539245668,1.4716983313062901,0.12073007594964297,0.4053081121166585,0.31771072618327095,F3/F12/THBS1/THBD/MAFF/ITGB3,6
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,6/109,56/1726,0.10714285714285714,1.6965923984272606,1.3755212294052104,0.13732217524856097,0.40798182220571777,0.31980657955655367,IL4R/TENT5A/IRF1/HELZ2/ISG20/PLSCR1,6
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,4/109,32/1726,0.125,1.9793577981651376,1.4514846943755708,0.13888742883598904,0.40798182220571777,0.31980657955655367,CCNO/POLR2A/PNP/NELFE,4
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,2/109,13/1726,0.15384615384615385,2.4361326746647847,1.3490882093908376,0.19612269100235752,0.5422215574771061,0.42503369567074384,HES1/HEYL,2
