ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,31/126,117/1726,0.26495726495726496,3.629493962827296,8.264316056815614,1.9829348508613784e-11,8.923206828876202e-10,7.096819466240723e-10,PLAUR/SLC2A3/EDN1/ICAM1/GADD45B/NAMPT/CCL2/SLC16A6/VEGFA/BCL6/GADD45A/F3/NR4A1/G0S2/CDKN1A/IRF1/IL1B/TRIP10/ZFP36/LIF/IL6/MYC/TLR2/BCL2A1/TIPARP/NFIL3/TNIP2/EFNA1/SPSB1/SOCS3/MAFF,31
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,27/126,118/1726,0.2288135593220339,3.134382566585957,6.738916533761184,1.8155157424937004e-8,4.084910420610826e-7,3.248817644462412e-7,SLC7A2/PLAUR/IL4R/EDN1/ICAM1/NAMPT/CCL2/IL1R1/IL18RAP/F3/TNFSF10/CDKN1A/IRF1/IL1B/LIF/IL6/MYC/TLR2/RGS16/OSMR/ADM/PDPN/TLR3/CD14/FPR1/ADGRE1/ITGB3,27
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,24/126,101/1726,0.2376237623762376,3.2550683639792553,6.552598340877024,5.963670436079383e-8,8.945505654119075e-7,7.114554204445581e-7,MTHFD2/IL4R/ICAM1/NAMPT/CCL2/OAS3/OAS2/TNFSF10/CDKN1A/MT2A/IRF1/IL6/PIM1/SECTM1/FCGR1A/GBP4/B2M/FPR1/ISG20/SOCS3/ISG15/PLSCR1/CASP4/APOL6,24
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,14/126,47/1726,0.2978723404255319,4.080378250591017,6.006859309425947,2.578187069292555e-6,2.9004604529541245e-5,2.3067989567354442e-5,IL4R/IL1R2/IL1R1/IRF1/IL1B/CD36/IL6/PIM1/TLR2/OSMR/CCR1/CD14/SOCS3/ITGB3,14
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,19/126,99/1726,0.1919191919191919,2.628988295654962,4.683403925968871,4.9066134986437156e-5,4.415952148779344e-4,3.512102293766028e-4,SLC2A3/IL4R/GADD45B/SLC1A5/CISH/IL1R2/IL1RL1/SPP1/TNFSF10/LIF/EMP1/MYC/PIM1/RGS16/GBP4/NFIL3/MAFF/PLSCR1/ENPP1,19
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,19/126,103/1726,0.18446601941747573,2.526891662813993,4.483192707092971,8.731600232860244e-5,6.548700174645183e-4,5.208322945916637e-4,PLAUR/SLC2A3/VEGFA/F3/CDKN1A/MT2A/ZFP36/IL6/PIM1/SLC2A5/PLAC8/ADM/PDK1/TIPARP/NFIL3/ANGPTL4/EFNA1/ISG20/MAFF,19
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,14/126,86/1726,0.16279069767441862,2.2299741602067185,3.28279013927274,0.0028687484172655233,0.01844195411099265,0.014667285140906436,PLAUR/CR2/F3/IRF1/CD36/IL6/PIM1/FCER1G/S100A9/KLKB1/MAFF/PLSCR1/CASP4/SERPINA1,14
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,14/126,92/1726,0.15217391304347827,2.0845410628019327,2.999395381409188,0.005436695183978109,0.029677133039328826,0.023602866042974974,IL4R/ICAM1/CCL2/IL18RAP/SRGN/IL1B/LIF/IL6/TLR2/CD1D/INHBB/CCR1/TLR3/B2M,14
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,10/126,56/1726,0.17857142857142858,2.4461451247165535,3.0865085665308105,0.005935426607865765,0.029677133039328826,0.023602866042974974,IL4R/OAS1/IRF1/GBP4/B2M/ISG20/UBA7/ISG15/PLSCR1/SAMD9,10
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,12/126,76/1726,0.15789473684210525,2.1629072681704256,2.9089063509467374,0.007402686215041495,0.033312087967686727,0.02649382434856956,GADD45B/GADD45A/TNFSF10/CDK2/CDKN1A/IRF1/IL1B/EMP1/IL6/CD14/ISG20/CASP4,12
