ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,88/1389,96/1726,0.9166666666666666,1.1390688744900408,2.8457875581757515,0.0017014192258228429,0.08507096129114214,0.08507096129114214,WNT16/NRIP2/SPHK2/FGFR3/FGF22/SLC12A3/SIDT1/SNCB/NOS1/SMPX/MYO15A/MYH7/P2RX6/YPEL1/SOX10/CACNA1F/KCND1/MEFV/SLC5A5/KCNN1/ATP4A/LFNG/C5/CPEB3/CACNG1/ZBTB16/CLDN16/TFCP2L1/SLC30A3/IGFBP2/CD207/SGK1/SLC16A7/ZC2HC1C/MYOT/CD80/LYPD3/SLC25A23/RIBC2/IRS4/PDE6B/TEX15/RSAD2/HTR1B/EDAR/IFI44L/BMPR1B/EGF/CLSTN3/COL2A1/PNMT/CELSR2/EPHA5/CYP39A1/ITGB1BP2/THRB/MFSD6/GRID2/TCF7L1/CPB1/NR4A2/CPA2/ACTC1/BTG2/KLHDC8A/NGB/GDNF/KLK7/GPRC5C/PCDHB1/ABCG4/FGGY/ARPP21/SPTBN2/HSD11B2/AMBN/ALOX12B/HTR1D/GPR3/CAMK1D/ADRA2C/KRT5/DCC/SERPINB2/ARHGDIG/UPK3B/SELENOP/MAGIX,88
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,25/1389,27/1726,0.9259259259259259,1.1505746206970109,1.6005442761822937,0.07841212177367056,0.9653716578925284,0.9653716578925285,AP2S1/TPD52/STX7/GNAS/MAPK1/NAPA/SH3GL2/KRT18/CLTA/SSPN/ARFGEF2/TSPAN8/NAPG/STAM/TOM1L1/CLTC/ANP32E/PAM/EGFR/SEC24D/AP2M1/ATP1A1/ABCA1/ATP7A/BNIP3,25
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,55/1389,63/1726,0.873015873015873,1.0848274995143246,1.3921676494795736,0.10549829678889429,0.9653716578925284,0.9653716578925285,FKBP4/MAPK8IP2/BID/AP2S1/GAL/RAB27A/ASNS/TFRC/CXCL2/ICAM1/TYRO3/CDC34/HMOX1/NPTX2/LHX2/ENO2/GLS/IGFBP2/EPCAM/KLHDC3/FOSB/HSPA2/TUBA4A/TST/OLFM1/GCH1/BTG1/E2F5/TGFBRAP1/CTSV/COL2A1/CYP1A1/ARRB2/EPHX1/HTR7/ALDOA/PTPRD/PDLIM3/BTG3/ATP6V1C1/FGF18/MMP14/BTG2/ATF3/MSX1/AQP3/RET/FEN1/TACR3/ONECUT1/CNP/CLTB/CCK/GPX3/NPTXR,55
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,89/1389,104/1726,0.8557692307692307,1.0633964667441989,1.3535896377149021,0.10742775926565853,0.9653716578925284,0.9653716578925285,CYP26B1/FKBP4/CALCR/ALDH3B1/CACNA2D2/CD9/LTF/CD44/CDH1/PTGER3/OPN3/LAMC2/CCN5/FGFR3/GAL/ST6GALNAC2/ALDH3A2/CA12/FDFT1/PGR/SNX10/TFAP2C/SULT2B1/CDC6/SLC7A5/HOMER2/TJP3/TFPI2/CAV1/TSPAN13/CXCL12/NMU/WFS1/MDK/PTPN6/FRK/TPD52L1/PERP/PRLR/ID2/SLC1A4/MYB/SGK1/CHST8/OVOL2/TST/OLFM1/GINS2/TOP2A/LARGE1/SOX3/FLNB/ASCL1/SLC27A2/TOB1/CELSR2/TPBG/IGSF1/PTGES/ST14/PDLIM3/BTG3/BATF/TIAM1/MAPK13/DUSP2/NBL1/TMPRSS3/PLXNB1/HSPA4L/FABP5/DYNLT3/HPRT1/RET/EEIG1/ACOX2/HR/KRT19/SCUBE2/PLAAT3/TH/NRIP1/PCP4/PKP3/SLC24A3/SERPINA5/GJB3/SLC22A5/PAPSS2,89
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,53/1389,61/1726,0.8688524590163934,1.0796539555524083,1.2855704112122022,0.12875364727030844,0.9653716578925284,0.9653716578925285,GCLC/HEBP1/ANK1/ATP6V0A1/XK/SPTB/ASNS/TFRC/P4HA2/ADD2/MOCOS/RAP1GAP/TNS1/DAAM1/ACP5/BNIP3L/BLVRA/FBXO9/NNT/NR3C1/KAT2B/FOXO3/ELL2/YPEL5/OPTN/C3/MPP1/LMO2/GYPC/SDCBP/BMP2K/MGST3/SNCA/SLC25A37/SLC7A11/EPB41/SYNJ1/BTG2/TAL1/ERMAP/ACSL6/AQP3/TSPAN5/GYPA/NUDT4/UCP2/FBXO34/RHCE/SLC6A9/ARHGEF12/LRP10/GYPE/ACKR1,53
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,47/1389,54/1726,0.8703703703703703,1.0815401434551901,1.2356086406571003,0.14275730901565567,0.9653716578925284,0.9653716578925285,CFTR/TKTL1/IFT88/SNAP91/VDAC3/IL12RB2/NOS1/TEKT2/NEFH/CDKN3/SCG3/TULP2/SPMAP2/TLE4/GSG1/PACRG/NEK2/ZC2HC1C/ELOVL3/NCAPH/ARL4A/IL13RA2/CRISP2/HSPA2/ADCYAP1/NPHP1/CAMK4/DDX4/ODF1/ART3/HTR5A/ACE/ALOX15/CLPB/HSPA4L/NPY5R/STRBP/JAM3/SHE/BUB1/CDK1/MLF1/CHRM4/PSMG1/DCC/H1-6/PAPOLB,47
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,46/1389,53/1726,0.8679245283018868,1.0785008897401416,1.1781355626135637,0.1576630048959235,0.9653716578925284,0.9653716578925285,HCCS/MDH1/IDI1/ACSL4/ALDH3A2/MGLL/TP53INP2/LGALS1/SMS/BLVRA/ALDH3A1/AADAT/ENO2/HMGCS1/DHCR24/HSDL2/ACAT2/G0S2/YWHAH/AOC3/HSD17B7/LDHA/CD36/SUCLA2/GAD2/BMPR1B/GABARAPL1/CYP1A1/ALDH9A1/EPHX1/ALDOA/ACSL1/CD1D/CBR3/ALDH1A1/ACAA2/CA4/CEL/SUCLG2/CIDEA/PPARA/CYP4A11/SLC22A5/S100A10/HSD17B11/ECI2,46
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,36/1389,41/1726,0.8780487804878049,1.0910814939682874,1.1979890360645469,0.15849592744030516,0.9653716578925284,0.9653716578925285,PDK4/HCCS/MDH1/NDUFS1/OAT/MAOB/ATP6AP1/SLC25A3/VDAC3/ATP6V1D/PHYH/ATP5F1B/NNT/ATP6V0E1/SLC25A12/NQO2/GOT2/RHOT1/MTX2/ATP6V1E1/LDHA/TIMM17A/SUCLA2/ATP6V1G1/NDUFA9/ATP1B1/MGST3/GLUD1/TOMM70/ATP6V1C1/PDP1/CASP7/ACAA2/CYCS/UQCRH/BCKDHA,36
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,45/1389,52/1726,0.8653846153846154,1.0753447416514372,1.119715306877406,0.17376689842065512,0.9653716578925284,0.9653716578925285,HSD17B6/CYP46A1/ISOC1/IDI1/NEDD4/LIPE/SLCO1A2/SULT2B1/EFHC1/AQP9/PEX11G/PHYH/SLC67A1/RBP1/TFCP2L1/DHCR24/EPHX2/OPTN/PRDX5/BBOX1/CYP27A1/CH25H/SLC27A2/ABCA8/ALDH9A1/RXRG/ABCG8/NR1I2/CYP39A1/NR3C2/ACSL1/BMP6/ABCA9/ABCA6/ABCA1/ALDH1A1/AR/SLC23A1/ABCG4/CYP7B1/ABCD2/SULT1B1/HSD17B11/ABCA4/DIO2,45
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,17/1389,19/1726,0.8947368421052632,1.1118184229472168,0.9947275008168829,0.2512971380511,0.9999999980582318,0.9999999980582318,GCLC/MPO/MGST1/GLRX2/PFKP/IPCEF1/FTL/PTPA/PRDX4/HHEX/PRNP/GLRX/MSRA/NQO1/MBP/GPX3/SRXN1,17
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,16/1389,18/1726,0.8888888888888888,1.1045516358691305,0.9050110333959482,0.286671395851951,0.9999999980582318,0.9999999980582318,ABCC8/ISL1/SYT13/PAK3/SCGN/CHGA/AKT3/LMO2/STXBP1/FOXO1/SST/NEUROD1/INSM1/PCSK1/DPP4/MAFB,16
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,15/1389,17/1726,0.8823529411764706,1.0964299326642104,0.8109536166063631,0.3257587206611727,0.9999999980582318,0.9999999980582318,TCF7/JAG1/DKK1/HDAC5/WNT5B/WNT6/CCND2/HEY2/TP53/NOTCH1/HEY1/AXIN2/FZD8/JAG2/PTCH1,15
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,59/1389,71/1726,0.8309859154929577,1.0326002088846977,0.5693525633050904,0.34748596287669203,0.9999999980582318,0.9999999980582318,ALS2/PAFAH1B1/RANBP9/ANLN/RALBP1/TRIO/NCK2/ARHGAP10/RASAL2/KIFAP3/KIF22/KIF3C/CTTN/PXN/KIF4A/MID1/ARHGEF7/RAB3GAP1/NEK2/TUBA4A/CDC42EP1/PALLD/MAP1S/TOP2A/ARHGEF11/MYH10/DOCK2/ESPL1/FLNB/KIF23/ARHGAP29/KIF20B/CENPE/FGD4/RHOF/PIF1/RASA1/SHROOM2/GSN/INCENP/RASA2/TIAM1/WASF2/EPB41/ARHGAP27/RACGAP1/PDLIM5/PPP4R2/ARHGEF3/PLK1/SAC3D1/BUB1/CDK1/SEPTIN9/BCR/ARHGEF12/DYNC1H1/PRC1/ITSN1,59
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,80/1389,97/1726,0.8247422680412371,1.0248417240022858,0.5111375411860196,0.3599989244789082,0.9999999980582318,0.9999999980582318,CYP26B1/FKBP4/CALCR/ALDH3B1/CD44/OPN3/CCN5/MPPED2/MAST4/CA12/CELSR1/FDFT1/PGR/TTC39A/TFAP2C/SULT2B1/SYNGR1/ESRP2/SLC7A5/TJP3/CXCL12/WFS1/KRT18/TBC1D30/FRK/TPD52L1/STC2/FHL2/SLC1A4/OLFML3/MREG/MYB/TGIF2/ELF1/KCNK15/RAB17/OVOL2/BCL11B/OLFM1/RARA/SOX3/FLNB/TUBB2B/SLC27A2/TOB1/CELSR2/MINDY1/LRIG1/TPBG/ZNF185/PTGES/GFRA1/GJA1/RETREG1/PDLIM3/KLF10/TIAM1/TMEM164/NBL1/TMPRSS3/TIPARP/ADCY1/DYNLT3/AQP3/RET/EEIG1/HR/AR/KRT19/NADSYN1/RHOD/SYT12/PLAAT3/NRIP1/SLC24A3/MUC1/ASB13/SLC22A5/ELOVL2/PAPSS2,80
