category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,4/13,149/2914,0.026845637583892617,6.017552916881775,4.208289241793192,0.0032683376633863693,0.1176601558819093,0.10321066305430641,LAMC3/FN1/MAML1/MX2,4
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,2/13,36/2914,0.05555555555555555,12.452991452991453,4.627994629070058,0.010627748979862165,0.19074994077673077,0.1673245094532726,LAMC3/FN1,2
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,2/13,48/2914,0.041666666666666664,9.33974358974359,3.899449298579141,0.01846305074797484,0.19074994077673077,0.1673245094532726,LAMC3/FN1,2
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,2/13,58/2914,0.034482758620689655,7.729442970822281,3.4648310791398496,0.026384842519645933,0.19074994077673077,0.1673245094532726,LAMC3/FN1,2
NA,NA,hsa03273,Virion - Lassa virus and SFTS virus,1/13,6/2914,0.16666666666666666,37.35897435897436,5.967028360380556,0.026493047330101493,0.19074994077673077,0.1673245094532726,PCDH11X,1
Metabolism,Energy metabolism,hsa00910,Nitrogen metabolism,1/13,10/2914,0.1,22.415384615384617,4.540415804134428,0.04379349461401816,0.24323900839615176,0.21336755122469453,CA2,1
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,2/13,84/2914,0.023809523809523808,5.336996336996337,2.69962558051757,0.052128950485934654,0.24323900839615176,0.21336755122469453,RPS4Y1/MX2,2
Organismal Systems,Excretory system,hsa04966,Collecting duct acid secretion,1/13,13/2914,0.07692307692307693,17.242603550295858,3.928452533033164,0.056582095165965574,0.24323900839615176,0.21336755122469453,CA2,1
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,1/13,14/2914,0.07142857142857142,16.01098901098901,3.7682731856444844,0.06080975209903794,0.24323900839615176,0.21336755122469453,CA2,1
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,2/13,101/2914,0.019801980198019802,4.438690022848439,2.354165025976274,0.07236960164534548,0.24513716044148212,0.2150325968784931,FN1/TMSB4Y,2
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,2/13,103/2914,0.019417475728155338,4.352501867064974,2.3185970128288176,0.07490302124600842,0.24513716044148212,0.2150325968784931,LAMC3/FN1,2
Genetic Information Processing,Information processing in viruses,hsa03250,Viral life cycle - HIV-1,1/13,20/2914,0.05,11.207692307692309,3.0659238162367544,0.08581064013393214,0.25220407659025607,0.22123164613180357,MX2,1
Genetic Information Processing,Translation,hsa03010,Ribosome,1/13,22/2914,0.045454545454545456,10.18881118881119,2.895606733833963,0.09400677948541414,0.25220407659025607,0.22123164613180357,RPS4Y1,1
Environmental Information Processing,Signal transduction,hsa04330,Notch signaling pathway,1/13,23/2914,0.043478260869565216,9.745819397993312,2.818437646098311,0.0980793631184329,0.25220407659025607,0.22123164613180357,MAML1,1
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,1/13,36/2914,0.027777777777777776,6.226495726495727,2.111954265430105,0.14950783700548442,0.3141674201782039,0.2755854562966702,MAML1,1
Human Diseases,Infectious disease: bacterial,hsa05100,Bacterial invasion of epithelial cells,1/13,36/2914,0.027777777777777776,6.226495726495727,2.111954265430105,0.14950783700548442,0.3141674201782039,0.2755854562966702,FN1,1
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,1/13,40/2914,0.025,5.603846153846154,1.9623454842404007,0.1647787192908987,0.3141674201782039,0.2755854562966702,CA2,1
Organismal Systems,Digestive system,hsa04976,Bile secretion,1/13,40/2914,0.025,5.603846153846154,1.9623454842404007,0.1647787192908987,0.3141674201782039,0.2755854562966702,CA2,1
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,2/13,171/2914,0.011695906432748537,2.621682411156095,1.4629147266279932,0.1749527182125042,0.3141674201782039,0.2755854562966702,LAMC3/FN1,2
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,1/13,46/2914,0.021739130434782608,4.872909698996656,1.7721266938354023,0.18721102760570185,0.3141674201782039,0.2755854562966702,LAMC3,1
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,1/13,47/2914,0.02127659574468085,4.769230769230769,1.7436361492655206,0.19089521750846594,0.3141674201782039,0.2755854562966702,CA2,1
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,1/13,52/2914,0.019230769230769232,4.310650887573964,1.6123090711859072,0.20908604167027722,0.3141674201782039,0.2755854562966702,FN1,1
Human Diseases,Infectious disease: viral,hsa05162,Measles,1/13,52/2914,0.019230769230769232,4.310650887573964,1.6123090711859072,0.20908604167027722,0.3141674201782039,0.2755854562966702,MX2,1
Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,1/13,54/2914,0.018518518518518517,4.150997150997151,1.5643355969209478,0.2162560756444628,0.3141674201782039,0.2755854562966702,S1PR3,1
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,1/13,56/2914,0.017857142857142856,4.002747252747253,1.5186221626332843,0.2233660677465532,0.3141674201782039,0.2755854562966702,MX2,1
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,1/13,57/2914,0.017543859649122806,3.9325236167341426,1.4965522356476195,0.22689869235092508,0.3141674201782039,0.2755854562966702,MX2,1
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,1/13,65/2914,0.015384615384615385,3.4485207100591717,1.3362332968189117,0.25463030494928673,0.33175469606005137,0.2910128912807468,TBX3,1
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,1/13,66/2914,0.015151515151515152,3.3962703962703964,1.3179709923304803,0.25803143026892883,0.33175469606005137,0.2910128912807468,FN1,1
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,1/13,78/2914,0.01282051282051282,2.873767258382643,1.1227366199157296,0.2977428458437499,0.36429976171705697,0.31956119448864645,GBP2,1
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,2/13,249/2914,0.008032128514056224,1.8004324992276797,0.8839828400138261,0.3065928980772523,0.36429976171705697,0.31956119448864645,LAMC3/FN1,2
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,1/13,83/2914,0.012048192771084338,2.70064874884152,1.0520873274166835,0.3137025725896879,0.36429976171705697,0.31956119448864645,TBL1Y,1
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecules,1/13,88/2914,0.011363636363636364,2.5472027972027975,0.9864397246339008,0.32932690632745465,0.36931987106614544,0.3239647991808294,NLGN4Y,1
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,1/13,91/2914,0.01098901098901099,2.463229078613694,0.9491735650530142,0.3385432151439667,0.36931987106614544,0.3239647991808294,FN1,1
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,1/13,119/2914,0.008403361344537815,1.8836457659987071,0.6587624400765664,0.4190977619270454,0.44375057145216573,0.38925488723874185,FN1,1
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,1/13,198/2914,0.005050505050505051,1.1320901320901322,0.12885644362692877,0.6001723309335143,0.6173201118173289,0.5415088700152009,S1PR3,1
Metabolism,Global and overview maps,hsa01100,Metabolic pathways,1/13,537/2914,0.00186219739292365,0.4174187079215012,-1.0004540357039635,0.9296311235962609,0.9296311235962609,0.815465897891457,CA2,1
