category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,11/142,52/2914,0.21153846153846154,4.341007583965331,5.5012593551889895,2.6948137406139286e-5,0.004973143586598544,0.003995608381069507,EDN1/CCL2/VEGFA/F3/EGR1/IL1B/IL6/PIM1/NOS3/THBD/COL4A1,11
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,10/142,49/2914,0.20408163265306123,4.187985053176201,5.0929546019982865,8.810221548160443e-5,0.004973143586598544,0.003995608381069507,CD44/IL4R/IL1R1/CR2/IL1B/CD36/IL6/FCGR1A/CD14/ITGB3,10
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,11/142,59/2914,0.1864406779661017,3.825972785867749,4.962593773891763,9.293860478757074e-5,0.004973143586598544,0.003995608381069507,IL4R/OSM/CISH/CDKN1A/LIF/IL6/MYC/PIM1/OSMR/IL12A/SOCS3,11
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,17/142,127/2914,0.13385826771653545,2.746922479760453,4.55538210181937,1.0013016157940778e-4,0.004973143586598544,0.003995608381069507,TNFRSF12A/TNFRSF1A/IL4R/OSM/CCL2/IL1R1/IL1RL1/TNFRSF10B/INHA/IL1B/LIF/IL6/OSMR/CXCR1/IL12A/TNFRSF10D/RELL1,17
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,8/142,32/2914,0.25,5.130281690140845,5.316495792676924,1.0149272625711315e-4,0.004973143586598544,0.003995608381069507,CCL2/IL1B/CD36/IL6/TLR2/THBS1/IL12A/ACKR1,8
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,11/142,66/2914,0.16666666666666666,3.4201877934272296,4.500583700651205,2.655468034766061e-4,0.010843161141961417,0.008711798640372869,TNFRSF1A/EDN1/CCL2/VEGFA/IL1R1/IL1B/RAC2/NOS3/THBD/CDH5/ITGB3,11
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,19/142,171/2914,0.1111111111111111,2.280125195618153,3.9044098383762003,4.747882427961638e-4,0.016617588497865734,0.013351188180884608,IL4R/OSM/VEGFA/SPP1/NR4A1/CDK2/CDKN1A/IL6/MYC/TLR2/THBS1/FGF2/OSMR/NOS3/GDNF/EFNA1/BDNF/COL4A1/ITGB3,19
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,7/142,31/2914,0.22580645161290322,4.633802816901408,4.602965125935386,5.521944000249823e-4,0.016910953500765085,0.013586888526930489,GADD45B/BBC3/GADD45A/TNFRSF10B/CDK2/CDKN1A/THBS1,7
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,11/142,75/2914,0.14666666666666667,3.009765258215962,3.9903507485811085,8.290297020649848e-4,0.022568030778435697,0.018131994653351132,GADD45B/GADD45A/NR4A3/CDKN1A/IL6/MYC/BCL2A1/FCGR1A/HHEX/RUNX1/CD14,11
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,12/142,88/2914,0.13636363636363635,2.7983354673495517,3.876535527393912,9.413984076716896e-4,0.023064260987956393,0.018530684445747996,SELPLG/RAC2/SIGLEC9/TLR2/FCGR2A/FCGR1A/FPR2/FPR1/CASP4/FCGR3A/ITGB3/H4C2,12
Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,5/142,18/2914,0.2777777777777778,5.700312989045384,4.526698334300696,0.001311228829538547,0.02667730104799751,0.02143353510623216,TYMP/VEGFA/CDKN1A/MYC/THBS1,5
