category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,10/64,63/2914,0.15873015873015872,7.2271825396825395,7.486883268886616,6.521425482011046e-7,1.0955994809778558e-4,8.306236666561439e-5,SELE/EDN1/CXCL2/CCL2/IRF1/IL1B/LIF/IL6/MLKL/SOCS3,10
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,13/64,127/2914,0.10236220472440945,4.660679133858268,6.320229361744089,2.186093589121974e-6,1.8363186148624583e-4,1.392196443598731e-4,IL4R/CXCL2/CSF3/CCL2/IL1R1/TNFRSF10B/IL1B/LIF/IL6/OSMR/IL7R/CXCL11/TNFRSF10D,13
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,9/64,59/2914,0.15254237288135594,6.945444915254238,6.912658598711755,3.544124920285963e-6,1.984709955360139e-4,1.504698650367023e-4,IL4R/CSF3/CISH/CDKN1A/LIF/IL6/OSMR/IL7R/SOCS3,9
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,8/64,49/2914,0.16326530612244897,7.433673469387754,6.805069129896819,7.688035372141697e-6,3.1077302933560597e-4,2.3561113126321006e-4,IL4R/CSF3/IL1R1/IL1B/IL6/IL7R/HLA-DRB5/ITGB3,8
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,9/64,66/2914,0.13636363636363635,6.2088068181818175,6.413247867381368,9.24919730165494e-6,3.1077302933560597e-4,2.3561113126321006e-4,SELE/EDN1/CCL2/IL1R1/IL1B/RAC2/THBD/CDH5/ITGB3,9
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,6/64,32/2914,0.1875,8.537109375,6.4234835729277195,5.131470186189844e-5,0.0014368116521331561,0.0010893120921560897,SELE/CSF3/CCL2/IL1B/IL6/THBS1,6
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,7/64,52/2914,0.1346153846153846,6.129206730769231,5.591841590259292,1.0851472544078973e-4,0.0025366988086718218,0.0019231864401584615,SELE/EDN1/CCL2/IL1B/IL6/THBD/COL4A1,7
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,6/64,37/2914,0.16216216216216217,7.3834459459459465,5.854959773304165,1.2079518136532486e-4,0.0025366988086718218,0.0019231864401584615,CXCL2/CCL2/TNFRSF10B/IL6/CXCL11/TNFRSF10D,6
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,7/64,55/2914,0.12727272727272726,5.794886363636363,5.378861792770312,1.5626990281418827e-4,0.0029170381858648477,0.0022115389754990386,GADD45B/CDK2/CDKN1A/IL6/PLK4/DEPP1/IL7R,7
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,12/64,171/2914,0.07017543859649122,3.195175438596491,4.432943392497002,2.547800351094285e-4,0.004280304589838399,0.003245093078762195,IL4R/FLT1/CSF3/VWF/CDK2/CDKN1A/IL6/THBS1/OSMR/IL7R/COL4A1/ITGB3,12
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,6/64,45/2914,0.13333333333333333,6.070833333333333,5.136391499743934,3.6884080080393087e-4,0.005633204957732763,0.00427078821983499,CXCL2/FLT1/CCL2/IL1B/IL6/HLA-DRB5,6
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,5/64,31/2914,0.16129032258064516,7.34375,5.320376721686896,4.772046873665378e-4,0.006680865623131528,0.005065067295732551,GADD45B/TNFRSF10B/CDK2/CDKN1A/THBS1,5
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,6/64,49/2914,0.12244897959183673,5.575255102040816,4.839370136586021,5.911965079316231e-4,0.007094358095179477,0.00537855469622003,EDN1/TIMP1/FLT1/CDKN1A/IL6/PDK1,6
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,6/64,49/2914,0.12244897959183673,5.575255102040816,4.839370136586021,5.911965079316231e-4,0.007094358095179477,0.00537855469622003,CCL2/IL1B/IL6/SOCS3/HLA-DRB5/ITGB3,6
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,5/64,35/2914,0.14285714285714285,6.504464285714286,4.90869498974382,8.520213205827458e-4,0.009542638790526753,0.007234707353720157,IL4R/IL1R1/IL1B/IL6/HLA-DRB5,5
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,3/64,10/2914,0.3,13.659374999999999,6.00830205979278,0.0010865023917232429,0.010929574461205453,0.0082862062017911,IL1B/IL6/HLA-DRB5,3
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,5/64,37/2914,0.13513513513513514,6.152871621621622,4.726264828913563,0.001105968844288647,0.010929574461205453,0.0082862062017911,CXCL2/CSF3/CCL2/IL1B/IL6,5
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,6/64,56/2914,0.10714285714285714,4.878348214285714,4.390838866847827,0.0012172785367467612,0.011361266342969772,0.00861349140037182,CCL2/TNFRSF10B/IL1B/IL6/SOCS3/HLA-DRB5,6
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,4/64,25/2914,0.16,7.285,4.728673351396483,0.0018934075985362708,0.016741709292320713,0.012692649275506304,IL4R/IL1B/IL6/HLA-DRB5,4
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,5/64,48/2914,0.10416666666666667,4.742838541666667,3.917611969452926,0.0036077716688288556,0.030305282018162388,0.02297580904885745,CXCL2/IL1R1/IL1B/IL6/COL4A1,5
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,7/64,95/2914,0.07368421052631578,3.3549342105263156,3.496478344863373,0.004261517958050607,0.034092143664404856,0.025846800647825737,CCL2/IL1R1/CDKN1A/IL1B/RAC2/IL6/ITGB3,7
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,6/64,78/2914,0.07692307692307693,3.5024038461538463,3.356521135960568,0.00660703621355419,0.04861638181958011,0.036858284462213,CXCL2/CCL2/IL1B/IL6/GBP2/CASP4,6
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,7/64,103/2914,0.06796116504854369,3.0943567961165046,3.2424751711552235,0.006655814177680611,0.04861638181958011,0.036858284462213,FLT1/VWF/RAC2/EMP1/THBS1/COL4A1/ITGB3,7
Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,4/64,36/2914,0.1111111111111111,5.059027777777778,3.6716872235874005,0.007358715200410098,0.04922135363739417,0.03731694104088155,GADD45B/CDK2/CDKN1A/COL4A1,4
Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,6/64,80/2914,0.075,3.4148437499999997,3.2814961968311427,0.007470139394318895,0.04922135363739417,0.03731694104088155,IL1R1/TNFRSF10B/IL1B/IL6/MYO1G/CASP4,6
Human Diseases,Infectious disease: parasitic,hsa05143,African trypanosomiasis,3/64,19/2914,0.15789473684210525,7.189144736842104,4.055281017862352,0.00761759044388243,0.04922135363739417,0.03731694104088155,SELE/IL1B/IL6,3
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,6/64,85/2914,0.07058823529411765,3.213970588235294,3.103863655303859,0.00998256000480399,0.06211370669655816,0.0470912187361124,IL1R1/CDK2/CDKN1A/ZFP36/IL6/HLA-DRB5,6
