category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,65/2402,67/2914,0.9701492537313433,1.1769421004883989,3.1731938918610014,2.461762083670566e-4,0.04274468858512367,0.04057531529226965,KCNQ1/CREB3L3/CHAT/CAMK2A/ADCY2/GNB1/CHRNA3/CACNA1S/ACHE/MAPK1/CHRNA4/PLCB4/CACNA1F/GNB3/SLC5A7/KCNQ4/AKT3/ADCY7/PIK3CA/KCNJ2/PRKCG/GNG13/ATF4/CHRM3/KRAS/PLCB2/ADCY3/PIK3R5/CAMK2D/PIK3R1/CREB5/CHRNA6/CAMK2G/ITPR1/CAMK4/ADCY8/KCNJ6/CREB3L1/GNG3/KCNJ3/ADCY1/PRKCB/CHRFAM7A/GNG8/KCNJ4/GNG4/PIK3CD/GNG12/ADCY5/GNG5/ADCY6/HRAS/CHRNA7/GNG7/CHRM4/CHRM2/CREB3L2/KCNJ14/PLCB1/KCNJ12/CHRM5/KCNQ5/GNG2/SLC18A3/PIK3R6,65
Metabolism,Global and overview maps,hsa01100,Metabolic pathways,470/2402,537/2914,0.8752327746741154,1.0617936325563582,3.4335078245443196,2.5443267014954563e-4,0.04274468858512367,0.04057531529226965,GCLC/CYP51A1/CYP26B1/CD38/HCCS/ALDH3B1/GGCT/PNPLA4/PAFAH1B1/NOS2/TKTL1/AASS/MGST1/ST3GAL1/PIK3C2A/MDH1/CPS1/NDUFS1/HSD17B6/TYMP/CHPF2/ATP6V0A1/ADSS2/MAT2B/CTPS2/RRM2B/H6PD/MSMO1/ENTPD2/DGKG/TBXAS1/GATB/DGAT2/SPHK2/ST3GAL6/OAT/GSTO2/MTHFD2/ELOVL1/PFKP/IDI1/ACSL4/INPP5A/MAOB/GUCY2C/GBA2/ASNS/ST6GALNAC2/ATP6AP1/ALDH3A2/P4HA2/PDE8A/PTGS2/CA12/MGLL/MOCOS/ATP12A/FMO4/DGKD/TIGAR/ADCY2/FDFT1/DCT/AACS/OXCT1/MGST2/FOLH1/MTMR2/SULT2B1/DNMT3B/SIRT4/NOS1/PHGDH/ADA2/XYLB/FMO2/CYP26A1/ACOT7/UPB1/PLA2G3/HMOX1/PNPLA3/CERK/PYGL/GNPNAT1/ATP6V1D/MTHFD1/PCK2/PLCB4/ST8SIA5/STS/GUCY2F/PRPS2/RENBP/MTMR8/PGK1/SMS/ACP5/DGKH/GDPD3/SMPD3/DOT1L/PDE4C/ISYNA1/ATP4A/ATP6V0A4/CYP3A5/BLVRA/GALNTL5/NMRK1/TYRP1/PIP5K1B/PTGDS/CYP2C18/ASPA/ALDH3A1/AADAT/BST1/SC5D/ST3GAL4/DAO/ATP5F1B/CYP27B1/TPI1/ENO2/CMAS/ST8SIA1/MAN1A1/GPLD1/B3GAT2/PDE10A/GMDS/HMGCS1/NNT/HMGCR/PDE4D/ATP6V0E1/ATP6V1A/PLCH1/PDE1A/GLS/PLCD4/SMYD1/KYNU/DHCR24/GPX7/AMPD2/PLA2G4A/AGMAT/NT5C1A/KMO/HSD11B1/MAN1C1/TXNDC12/B4GALT6/CA14/ELOVL4/ARG1/GDA/GALNT12/DNMT3A/ELOVL3/GPAM/GOT1/ACAT2/EPHX2/RDH10/LRAT/ADCY7/B4GALT4/PIK3CA/ACO1/PDE1B/DBH/ACSL3/PTGIS/CHST8/SIRT5/GOT2/GAL3ST1/TST/PDE11A/ALDH1A2/CHAC1/BBOX1/TPH1/GALNT8/CYP2E1/HSD17B3/GGT7/ATP6V1E1/GALNT15/AOC3/AOC2/MCCC2/GCH1/HSD17B7/ENOSF1/DDC/GUCY2D/PCBD2/LPIN3/DMGDH/BHMT2/PIK3C2B/CHIT1/KL/PDE6B/LARGE1/GSTT2B/IMPA1/CMPK2/LDHA/CYP2J2/PSAT1/SDS/GLS2/NPL/CYP27A1/ALDH1L2/SUCLA2/DGKB/GAD2/ATP6V1G1/ENPP2/ALDH1B1/GMPR/ITPKA/PLCB2/CYP19A1/KHK/ADCY3/GLCE/NDST4/GPAT3/PDE6H/PIK3C2G/PLCZ1/NDUFA9/TPH2/AMDHD1/RDH12/AK7/GCNT3/CYP1A1/PMM2/PNMT/PLPP2/ALDH9A1/MGST3/CERS2/SMYD2/ITPKB/ETNK2/CAMKMT/ST6GAL2/GADL1/SRD5A1/BHMT/ATP6V1B2/NAPRT/IDNK/PTGES/INPP5E/GLUD1/DGKZ/P4HA3/ALDOA/PIP4K2A/MAT1A/ACAD8/AKR1C2/PIGF/ACSL1/PDE3B/PANK1/GDPD1/AK5/CHST9/CERS3/ATP6V1C1/ADCY8/NAT2/ADK/HKDC1/HK1/PAFAH2/EXTL1/GALNT14/HPD/XDH/PFKFB1/SYNJ1/CBR3/PLA2G4D/ATP6V0D1/PDE9A/FDPS/COX7A1/NAGS/ALOX15/AMDHD2/ALPL/B3GALT2/EXTL2/HAAO/SGPP2/CDS1/MTHFD2L/PLB1/SGMS2/ETNPPL/GUCY1A1/GPX8/ENPP6/ACSL6/GALNT10/PGAM2/ADCY1/CA3/ALDH7A1/ALDH1A1/FBP1/PGAP4/PGM2L1/AK8/HPRT1/LIPC/RIMKLB/NNMT/ACSM1/LDHAL6A/PIP4K2C/PIP5KL1/ACAA2/CA4/MVD/HSD11B1L/MGAT5B/TK1/ENTPD3/PAFAH1B2/ACOX2/DEGS2/AHCYL1/CA7/PLA2G4F/DHRSX/CA5B/NPR1/AGPAT2/UGP2/B3GNT2/ELOVL6/SDR16C5/CEL/MTM1/PGAM1/PDE7B/DSEL/PIK3CD/PAH/RRM2/CYCS/MBOAT1/CERS6/SPTLC3/SUCLG2/FGGY/FUT9/ACOT12/CARNS1/PDE3A/NADSYN1/HPSE2/COQ2/ADCY5/UQCRH/PHOSPHO1/ADCY6/GALNTL6/UGT8/AMY1B/FUT1/HSD11B2/PLAAT3/B3GNT5/TYMS/FUT2/GCNT4/ACER2/RIMKLA/GLDC/DHFR2/HYI/ALOXE3/ALOX12B/ALOX15B/LACC1/TH/FAHD1/NQO1/SGSH/ADO/EXT1/SHMT2/PLCB1/GALNT9/ACSM5/B3GALT5/PGP/ALDH1A3/PDE4B/CA13/ADSS1/INPP5J/GALNT17/PIP5K1C/CYP4F2/GPAT2/HYAL3/AKR1C1/CYP26C1/PLA2G4E/ENO4/DPYD/HACD4/FUT4/TPK1/VKORC1L1/ADA/PGAP1/ENTPD4/UAP1L1/PLCG2/ELOVL2/HSD17B11/NUDT16/PAPSS2/MT-ND6/MT-CYB/COLGALT2/MT-ND2/PNP/MT-ND3/MT-ND4/MT-ATP6/DDO/INPP5B/ASPDH/NT5M/HACD2/GPX3/MT-ND4L/GSTM2/GALT/CKMT1B/PGAM4/GPX1/AMY1A/NME1/AMY2B/PDXP/HOGA1/PI4KA/AMY2A/NME2/GSTA1/BCKDHA/DGKK,470
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,39/2402,39/2914,1,1.2131557035803497,2.9022318258556923,5.052223874997045e-4,0.0565849073999669,0.05371311698681069,CFTR/IGF1/CREB3L3/TBC1D1/PFKP/SREBF1/LIPE/PCK2/HNF4A/CAB39L/PRKAG2/PPARGC1A/CAMKK2/HMGCR/PPP2CA/PRKAG3/AKT3/FOXO3/ADRA1A/PIK3CA/IRS4/CD36/CAB39/PPP2R1B/PIK3R1/CREB5/FOXO1/CREB3L1/PFKFB1/PRKAA2/FBP1/PPP2R3B/IRS1/PIK3CD/PPP2R2D/CIDEA/ULK1/CREB3L2/CPT1B,39
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,58/2402,61/2914,0.9508196721311475,1.1534923083222997,2.623749763199354,0.0031527877297390554,0.22908886005367313,0.21746216978779123,NDUFS1/CREB3L3/ACSL4/RPS6KA6/MGLL/ADCY2/LIPE/SMARCD3/GNAS/ZNF516/PRKAG2/PPARGC1A/ATP5F1B/PRKAG3/ATF2/BMP8B/CNR1/NPPB/ADCY7/NDUFAF4/ACSL3/KRAS/KLB/ACTL6A/RPS6/ADCY3/PRKG2/NDUFA9/CREB5/ACSL1/ADCY8/MAPK13/CREB3L1/COX7A1/COA7/PRKAA2/ACSL6/ADCY1/PLIN1/NPR1/ADCY5/UQCRH/ADCY6/HRAS/NPPA/CREB3L2/MAPK11/PRKG1/SLC25A29/MAP3K5/MT-ND6/MT-CYB/MT-ND2/MT-ND3/MT-ND4/MT-ATP6/CPT1B/MT-ND4L,58
Organismal Systems,Aging,hsa04211,Longevity regulating pathway,39/2402,40/2914,0.975,1.182826810990841,2.5214378110102524,0.004014189564401997,0.22908886005367313,0.21746216978779123,IGF1/RB1CC1/ATG5/CREB3L3/ADCY2/PRKAG2/PPARGC1A/CAMKK2/PRKAG3/ATF2/AKT3/FOXO3/ADCY7/PIK3CA/ATF4/KL/IRS4/KRAS/EIF4E2/ADCY3/TP53/PIK3R1/CREB5/SESN3/FOXO1/EIF4E/CAMK4/ADCY8/CREB3L1/PRKAA2/ADCY1/IRS1/PIK3CD/ADCY5/ADCY6/HRAS/EIF4E1B/ULK1/CREB3L2,39
NA,NA,hsa04082,Neuroactive ligand signaling,113/2402,124/2914,0.9112903225806451,1.1055370524562864,2.6009707300700846,0.004096202756740319,0.22908886005367313,0.21746216978779123,TAC1/GABRA3/GABRA1/OGFR/CHAT/ADCY2/GNB1/CHRNA3/OPRK1/ACHE/GNAS/SLC17A6/P2RX6/HRH3/SLC17A9/CHRNA4/PDYN/PLCB4/SLC32A1/HTR2A/SLC17A7/SLC1A6/GRIN2D/P2RX1/SLC6A4/GLRB/GNB3/OPRM1/GABRG2/TACR1/SLC5A7/GRIN3B/OPRD1/ADRA1A/ADCY7/GRM4/GRIA3/PRKCG/GNG13/ADORA2A/SLC6A11/CHRM3/HTR1B/GABBR2/PLCB2/ADCY3/GNAL/GLRA3/GABRB2/GLRA1/HTR2C/CHRNA6/HTR7/DRD2/HTR3B/ADRA2A/DRD3/GRIA4/GRM1/ADCY8/HTR5A/HTR6/GNG3/GABRG1/GABRB1/GRIK3/GRM2/HTR4/ADCY1/SLC18A2/PRKCB/MC4R/CHRFAM7A/HTR3A/GNG8/PNOC/GNG4/DRD5/TACR3/P2RY1/ADRA1B/GRIK1/ADRA1D/GNG12/ADCY5/GNG5/ADCY6/CHRNA7/GNG7/HTR1A/HTR1F/SLC17A8/HTR1D/CHRM4/CHRM2/PENK/P2RY13/PLCB1/GRIN2A/ADRA2C/DRD1/CHRM5/GABRA5/GNG2/SLC18A3/GABRD/P2RX2/SLC6A9/HRH1/GRIN3A/GABRQ/ADRA2B/ADORA3,113
Organismal Systems,Endocrine system,hsa04918,Thyroid hormone synthesis,38/2402,39/2914,0.9743589743589743,1.1820491470782895,2.478698996301231,0.004772684584451524,0.22908886005367313,0.21746216978779123,CREB3L3/ADCY2/LRP2/GNAS/SLC26A4/PLCB4/ATP1A3/SLC5A5/ATF2/GPX7/TTF2/ADCY7/PRKCG/ATF4/FXYD2/PLCB2/DUOX1/ADCY3/DUOX2/ASGR1/ATP1B1/CREB5/ITPR1/ADCY8/CREB3L1/ASGR2/ATP1A1/ALB/GPX8/ADCY1/TSHR/PRKCB/ADCY5/ADCY6/CREB3L2/PLCB1/GPX3/GPX1,38
Organismal Systems,Digestive system,hsa04970,Salivary secretion,45/2402,47/2914,0.9574468085106383,1.1615320566194838,2.4177732505538,0.006524940655766699,0.27404750754220136,0.2601390814075408,CD38/ATP2B3/ADCY2/GNAS/NOS1/LYZ/PLCB4/KCNN4/ATP1A3/BST1/ADRA1A/ADCY7/PRKCG/CHRM3/FXYD2/PLCB2/ADCY3/PRKG2/ATP1B1/ITPR1/ADCY8/KCNMA1/ATP2B2/CALM3/AQP5/ATP1A1/GUCY1A1/ADCY1/SLC4A2/TRPV6/PRKCB/LPO/ADRA1B/ADRA1D/ADCY5/ADCY6/AMY1B/PLCB1/PRKG1/DMBT1/RYR3/VAMP2/AMY1A/AMY2B/AMY2A,45
Organismal Systems,Sensory system,hsa04742,Taste transduction,34/2402,35/2914,0.9714285714285714,1.1784941120494825,2.3006939359105703,0.009477847303826645,0.3132626493695234,0.29736398107445355,GABRA3/GABRA1/ENTPD2/PLCB4/PKD2L1/ASIC2/GNB3/PDE1A/PDE1B/GRM4/TAS2R5/GNG13/CHRM3/HTR1B/SCN2A/GABBR2/PLCB2/HTR3B/GRM1/SCN3A/ADCY8/HTR3A/SCNN1G/SCN9A/TAS2R1/P2RY1/ADCY6/HTR1A/HTR1F/HTR1D/PLCB1/CALHM1/GABRA5/P2RX2,34
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,65/2402,70/2914,0.9285714285714286,1.1265017247531819,2.32007718923804,0.009844293690690427,0.3132626493695234,0.29736398107445355,GABRA3/GABRA1/NDUFS1/MAPK9/PTGS2/MGLL/ADCY2/GNB1/RIMS1/CACNA1S/SLC17A6/MAPK1/PLCB4/SLC32A1/CACNA1F/SLC17A7/MAPK8/MAPK10/GNB3/GABRG2/FAAH/CNR1/ADCY7/GRIA3/PRKCG/GNG13/DAGLA/PLCB2/ADCY3/NDUFA9/GABRB2/ITPR1/GRIA4/GRM1/ADCY8/MAPK13/KCNJ6/NAPEPLD/GNG3/KCNJ9/KCNJ3/GABRG1/GABRB1/ABHD6/ADCY1/PRKCB/GNG8/GNG4/GNG12/ADCY5/GNG5/ADCY6/GNG7/SLC17A8/PLCB1/MAPK11/GABRA5/GNG2/GABRD/MT-ND6/MT-ND2/MT-ND3/MT-ND4/MT-ND4L/GABRQ,65
