ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
PID_PRL_SIGNALING_EVENTS_PATHWAY,PID_PRL_SIGNALING_EVENTS_PATHWAY,1/7,8/1060,0.125,18.928571428571427,4.14825670527085,0.051792419737174966,0.1660008070941136,0.16600080709411363,RABGGTA,1
PID_S1P_META_PATHWAY,PID_S1P_META_PATHWAY,1/7,9/1060,0.1111111111111111,16.825396825396826,3.8855931069980065,0.058101785765539704,0.1660008070941136,0.16600080709411363,S1PR3,1
PID_INTEGRIN5_PATHWAY,PID_INTEGRIN5_PATHWAY,1/7,10/1060,0.1,15.142857142857142,3.662058852509947,0.06437513257775773,0.1660008070941136,0.16600080709411363,FN1,1
PID_HES_HEY_PATHWAY,PID_HES_HEY_PATHWAY,1/7,13/1060,0.07692307692307693,11.64835164835165,3.148208843281678,0.08298076965000944,0.1660008070941136,0.16600080709411363,MAML1,1
PID_S1P_S1P3_PATHWAY,PID_S1P_S1P3_PATHWAY,1/7,13/1060,0.07692307692307693,11.64835164835165,3.148208843281678,0.08298076965000944,0.1660008070941136,0.16600080709411363,S1PR3,1
PID_INTEGRIN_A9B1_PATHWAY,PID_INTEGRIN_A9B1_PATHWAY,1/7,14/1060,0.07142857142857142,10.816326530612244,3.0132140680076644,0.08911174826744017,0.1660008070941136,0.16600080709411363,FN1,1
PID_LYMPH_ANGIOGENESIS_PATHWAY,PID_LYMPH_ANGIOGENESIS_PATHWAY,1/7,14/1060,0.07142857142857142,10.816326530612244,3.0132140680076644,0.08911174826744017,0.1660008070941136,0.16600080709411363,FN1,1
PID_SYNDECAN_2_PATHWAY,PID_SYNDECAN_2_PATHWAY,1/7,15/1060,0.06666666666666667,10.095238095238097,2.8912415152713162,0.09520755874748599,0.1660008070941136,0.16600080709411363,FN1,1
PID_SYNDECAN_4_PATHWAY,PID_SYNDECAN_4_PATHWAY,1/7,15/1060,0.06666666666666667,10.095238095238097,2.8912415152713162,0.09520755874748599,0.1660008070941136,0.16600080709411363,FN1,1
PID_UPA_UPAR_PATHWAY,PID_UPA_UPAR_PATHWAY,1/7,16/1060,0.0625,9.464285714285714,2.7802437372244775,0.10126836935874683,0.1660008070941136,0.16600080709411363,FN1,1
PID_INTEGRIN_A4B1_PATHWAY,PID_INTEGRIN_A4B1_PATHWAY,1/7,17/1060,0.058823529411764705,8.907563025210084,2.6785994972055573,0.10729434772511548,0.1660008070941136,0.16600080709411363,FN1,1
PID_FRA_PATHWAY,PID_FRA_PATHWAY,1/7,20/1060,0.05,7.571428571428571,2.417914470110951,0.12516495596210175,0.1660008070941136,0.16600080709411363,MGP,1
PID_E2F_PATHWAY,PID_E2F_PATHWAY,1/7,21/1060,0.047619047619047616,7.210884353741497,2.3428157276351644,0.13105326875851075,0.1660008070941136,0.16600080709411363,CES3,1
PID_INTEGRIN3_PATHWAY,PID_INTEGRIN3_PATHWAY,1/7,21/1060,0.047619047619047616,7.210884353741497,2.3428157276351644,0.13105326875851075,0.1660008070941136,0.16600080709411363,FN1,1
PID_NOTCH_PATHWAY,PID_NOTCH_PATHWAY,1/7,21/1060,0.047619047619047616,7.210884353741497,2.3428157276351644,0.13105326875851075,0.1660008070941136,0.16600080709411363,MAML1,1
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY,PID_ANGIOPOIETIN_RECEPTOR_PATHWAY,1/7,27/1060,0.037037037037037035,5.608465608465608,1.9768371163584129,0.16567477791220098,0.19673879877073866,0.19673879877073866,FN1,1
PID_A6B1_A6B4_INTEGRIN_PATHWAY,PID_A6B1_A6B4_INTEGRIN_PATHWAY,1/7,31/1060,0.03225806451612903,4.884792626728111,1.789055505519422,0.18809300993953237,0.21022159934418325,0.21022159934418325,LAMC3,1
PID_AVB3_INTEGRIN_PATHWAY,PID_AVB3_INTEGRIN_PATHWAY,1/7,42/1060,0.023809523809523808,3.6054421768707483,1.4041548678398414,0.24710064533068432,0.24710064533068432,0.24710064533068432,FN1,1
PID_INTEGRIN1_PATHWAY,PID_INTEGRIN1_PATHWAY,1/7,42/1060,0.023809523809523808,3.6054421768707483,1.4041548678398414,0.24710064533068432,0.24710064533068432,0.24710064533068432,FN1,1
