ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
PID_FRA_PATHWAY,PID_FRA_PATHWAY,6/40,20/1060,0.3,7.95,6.210992754421399,5.169638117783084e-5,0.004084014113048636,0.0037003725474657866,PLAUR/CCL2/MGP/LIF/IL6/THBD,6
PID_IL6_7_PATHWAY,PID_IL6_7_PATHWAY,5/40,19/1060,0.2631578947368421,6.973684210526315,5.200817161842136,4.6780776133054655e-4,0.018478406572556588,0.016742593563409035,TIMP1/IRF1/IL6/SOCS3/CEBPD,5
PID_IL23_PATHWAY,PID_IL23_PATHWAY,4/40,14/1060,0.2857142857142857,7.571428571428571,4.899320571610191,0.0013271449014776362,0.03494814907224442,0.0316652116843787,CCL2/IL1B/IL6/SOCS3,4
PID_UPA_UPAR_PATHWAY,PID_UPA_UPAR_PATHWAY,4/40,16/1060,0.25,6.625,4.487558866931832,0.0022837527563723085,0.045104116938353096,0.040867154587715004,PLAUR/FPR2/FPR1/ITGB3,4
PID_INTEGRIN3_PATHWAY,PID_INTEGRIN3_PATHWAY,4/40,21/1060,0.19047619047619047,5.0476190476190474,3.7083387082449195,0.0065461406254844045,0.1034290218826536,0.09371317105956622,PLAUR/THBS1/COL4A1/ITGB3,4
PID_S1P_S1P3_PATHWAY,PID_S1P_S1P3_PATHWAY,3/40,13/1060,0.23076923076923078,6.115384615384616,3.6732840932090416,0.010955197618261558,0.1442434353071105,0.13069358562136596,FLT1/S1PR3/ITGB3,3
PID_PRL_SIGNALING_EVENTS_PATHWAY,PID_PRL_SIGNALING_EVENTS_PATHWAY,2/40,8/1060,0.25,6.625,3.161094944484102,0.033675254505165245,0.31797797751743134,0.28810796097515434,CDK2/CDKN1A,2
PID_RB_1PATHWAY,PID_RB_1PATHWAY,3/40,20/1060,0.15,3.975,2.6586623661012463,0.03635000408425556,0.31797797751743134,0.28810796097515434,CDK2/CDKN1A/CEBPD,3
PID_E2F_PATHWAY,PID_E2F_PATHWAY,3/40,21/1060,0.14285714285714285,3.7857142857142856,2.552209581556798,0.041317314660717405,0.31797797751743134,0.28810796097515434,CDK2/CDKN1A/HIC1,3
PID_REG_GR_PATHWAY,PID_REG_GR_PATHWAY,4/40,36/1060,0.1111111111111111,2.944444444444444,2.3494959522363867,0.0427765252747566,0.31797797751743134,0.28810796097515434,SELE/CDKN1A/IRF1/IL6,4
PID_AP1_PATHWAY,PID_AP1_PATHWAY,4/40,37/1060,0.10810810810810811,2.864864864864865,2.2855372384763832,0.046676969929463095,0.31797797751743134,0.28810796097515434,EDN1/TIMP1/CCL2/IL6,4
PID_IL27_PATHWAY,PID_IL27_PATHWAY,2/40,10/1060,0.2,5.3,2.704280246694315,0.05160017015902663,0.31797797751743134,0.28810796097515434,IL1B/IL6,2
PID_MYC_REPRESS_PATHWAY,PID_MYC_REPRESS_PATHWAY,3/40,24/1060,0.125,3.3125,2.26822103875973,0.058160486938738744,0.31797797751743134,0.28810796097515434,SLC11A1/CDKN1A/CEBPD,3
PID_VEGFR1_2_PATHWAY,PID_VEGFR1_2_PATHWAY,3/40,24/1060,0.125,3.3125,2.26822103875973,0.058160486938738744,0.31797797751743134,0.28810796097515434,FLT1/CDH5/ITGB3,3
PID_IL12_2PATHWAY,PID_IL12_2PATHWAY,3/40,25/1060,0.12,3.1799999999999997,2.183404559467636,0.06440060304150508,0.31797797751743134,0.28810796097515434,GADD45B/IL1R1/IL1B,3
PID_IL4_2PATHWAY,PID_IL4_2PATHWAY,3/40,25/1060,0.12,3.1799999999999997,2.183404559467636,0.06440060304150508,0.31797797751743134,0.28810796097515434,IL4R/SOCS3/ITGB3,3
PID_P53_DOWNSTREAM_PATHWAY,PID_P53_DOWNSTREAM_PATHWAY,5/40,61/1060,0.08196721311475409,2.1721311475409832,1.8665355676816853,0.07418536116539874,0.33530215345485803,0.30380474929953827,TNFRSF10B/CDKN1A/LIF/TNFRSF10D/HIC1,5
PID_IL2_1PATHWAY,PID_IL2_1PATHWAY,3/40,27/1060,0.1111111111111111,2.944444444444444,2.025840039286447,0.07777261012519392,0.33530215345485803,0.30380474929953827,CISH/CDK2/SOCS3,3
PID_IFNG_PATHWAY,PID_IFNG_PATHWAY,2/40,13/1060,0.15384615384615385,4.0769230769230775,2.2094941914039348,0.0833037947077789,0.33530215345485803,0.30380474929953827,IRF1/IL1B,2
PID_ATF2_PATHWAY,PID_ATF2_PATHWAY,3/40,28/1060,0.10714285714285714,2.8392857142857144,1.9523885614080405,0.08488662112781216,0.33530215345485803,0.30380474929953827,SELE/IL6/SOCS3,3
PID_SYNDECAN_4_PATHWAY,PID_SYNDECAN_4_PATHWAY,2/40,15/1060,0.13333333333333333,3.5333333333333337,1.9559498333151681,0.10698396587433798,0.3774153120275237,0.3419619082994219,TFPI/THBS1,2
PID_HIF1_TFPATHWAY,PID_HIF1_TFPATHWAY,3/40,32/1060,0.09375,2.484375,1.687718274668776,0.1159653073440563,0.3774153120275237,0.3419619082994219,CP/EDN1/ADM,3
PID_AMB2_NEUTROPHILS_PATHWAY,PID_AMB2_NEUTROPHILS_PATHWAY,2/40,16/1060,0.125,3.3125,1.8448853119608644,0.11943522532516572,0.3774153120275237,0.3419619082994219,PLAUR/IL6,2
PID_GMCSF_PATHWAY,PID_GMCSF_PATHWAY,2/40,16/1060,0.125,3.3125,1.8448853119608644,0.11943522532516572,0.3774153120275237,0.3419619082994219,CCL2/CISH,2
PID_TRAIL_PATHWAY,PID_TRAIL_PATHWAY,2/40,16/1060,0.125,3.3125,1.8448853119608644,0.11943522532516572,0.3774153120275237,0.3419619082994219,TNFRSF10B/TNFRSF10D,2
PID_P73PATHWAY,PID_P73PATHWAY,3/40,34/1060,0.08823529411764706,2.338235294117647,1.5699150309819292,0.1329291315596538,0.4039000535851019,0.3659587427553222,IL4R/CDK2/CDKN1A,3
PID_IL1_PATHWAY,PID_IL1_PATHWAY,2/40,18/1060,0.1111111111111111,2.944444444444444,1.6469325845767275,0.14533552788014192,0.4252409889826375,0.38529496669979146,IL1R1/IL1B,2
PID_ARF6_PATHWAY,PID_ARF6_PATHWAY,2/40,20/1060,0.1,2.65,1.4745522366611952,0.1722974514400537,0.4615513167608384,0.4181943975980948,USP6/ITGB3,2
PID_HNF3B_PATHWAY,PID_HNF3B_PATHWAY,2/40,20/1060,0.1,2.65,1.4745522366611952,0.1722974514400537,0.4615513167608384,0.4181943975980948,FOXF1/CEBPD,2
PID_BARD1_PATHWAY,PID_BARD1_PATHWAY,1/40,5/1060,0.2,5.3,1.9076782041191187,0.1752726519344956,0.4615513167608384,0.4181943975980948,CDK2,1
PID_PTP1B_PATHWAY,PID_PTP1B_PATHWAY,2/40,22/1060,0.09090909090909091,2.409090909090909,1.3219942509413232,0.2000321188708477,0.50975927067087,0.4618738228596824,SOCS3/ITGB3,2
PID_INTEGRIN1_PATHWAY,PID_INTEGRIN1_PATHWAY,3/40,42/1060,0.07142857142857142,1.8928571428571428,1.1687203963782784,0.20818503509744551,0.51395680539681865,0.4656770521916545,PLAUR/THBS1/COL4A1,3
PID_ARF6_DOWNSTREAM_PATHWAY,PID_ARF6_DOWNSTREAM_PATHWAY,1/40,7/1060,0.14285714285714285,3.7857142857142856,1.4636906399403917,0.23665419579440317,0.5474398457653314,0.4960147836381419,PLAUR,1
PID_VEGF_VEGFR_PATHWAY,PID_VEGF_VEGFR_PATHWAY,1/40,7/1060,0.14285714285714285,3.7857142857142856,1.4636906399403917,0.23665419579440317,0.5474398457653314,0.4960147836381419,FLT1,1
PID_SMAD2_3NUCLEAR_PATHWAY,PID_SMAD2_3NUCLEAR_PATHWAY,2/40,25/1060,0.08,2.12,1.1217491314696113,0.24253664052894433,0.5474398457653314,0.4960147836381419,CDK2/CDKN1A,2
PID_IL5_PATHWAY,PID_IL5_PATHWAY,1/40,8/1060,0.125,3.3125,1.2995612549545752,0.2656511874071513,0.5522748369780252,0.5003955884677642,CISH,1
PID_P38_MKK3_6PATHWAY,PID_P38_MKK3_6PATHWAY,1/40,8/1060,0.125,3.3125,1.2995612549545752,0.2656511874071513,0.5522748369780252,0.5003955884677642,GADD45B,1
