ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-9925563,Developmental Lineage of Pancreatic Ductal Cells,3/19,32/3769,0.09375,18.59703947368421,7.114914117038625,4.913948630154568e-4,0.08746828561675131,0.07707140483084533,LAMC3/CA2/FN1,3
R-HSA-9820448,Developmental Cell Lineages of the Exocrine Pancreas,3/19,47/3769,0.06382978723404255,12.66181410974244,5.725896225054893,0.0015313683481561601,0.13629178298589825,0.12009151782908836,LAMC3/CA2/FN1,3
R-HSA-3214842,HDMs demethylate histones,2/19,17/3769,0.11764705882352941,23.337461300309595,6.569668751598254,0.003130575038131766,0.13929051749094615,0.12273380902513885,KDM5D/UTY,2
R-HSA-9734767,Developmental Cell Lineages,3/19,64/3769,0.046875,9.298519736842104,4.765551045005621,0.003727100685412557,0.13929051749094615,0.12273380902513885,LAMC3/CA2/FN1,3
R-HSA-8874081,MET activates PTK2 signaling,2/19,19/3769,0.10526315789473684,20.880886426592795,6.183203279179232,0.003912654985700734,0.13929051749094615,0.12273380902513885,LAMC3/FN1,2
R-HSA-8875878,MET promotes cell motility,2/19,22/3769,0.09090909090909091,18.033492822966508,5.702822040309741,0.005238109929337965,0.15539726123702632,0.136926031486203,LAMC3/FN1,2
R-HSA-909733,Interferon alpha/beta signaling,2/19,26/3769,0.07692307692307693,15.259109311740893,5.1926108022141575,0.0072816928355769785,0.185163046390386,0.1631537191730782,GBP2/MX2,2
R-HSA-6806834,Signaling by MET,2/19,35/3769,0.05714285714285714,11.335338345864661,4.372080781291626,0.012976271262273584,0.22258418336179808,0.1961268085210403,LAMC3/FN1,2
R-HSA-3000171,Non-integrin membrane-ECM interactions,2/19,48/3769,0.041666666666666664,8.265350877192981,3.6054874696134056,0.023662219418948874,0.22258418336179808,0.1961268085210403,LAMC3/FN1,2
R-HSA-354194,GRB2:SOS provides linkage to MAPK signaling for Integrins,1/19,5/3769,0.2,39.67368421052632,6.158746878204495,0.02496589123757864,0.22258418336179808,0.1961268085210403,FN1,1
R-HSA-9700645,ALK mutants bind TKIs,1/19,5/3769,0.2,39.67368421052632,6.158746878204495,0.02496589123757864,0.22258418336179808,0.1961268085210403,FN1,1
R-HSA-2197563,NOTCH2 intracellular domain regulates transcription,1/19,6/3769,0.16666666666666666,33.061403508771924,5.593809338897423,0.029887689342383505,0.22258418336179808,0.1961268085210403,MAML1,1
R-HSA-372708,p130Cas linkage to MAPK signaling for integrins,1/19,6/3769,0.16666666666666666,33.061403508771924,5.593809338897423,0.029887689342383505,0.22258418336179808,0.1961268085210403,FN1,1
R-HSA-3247509,Chromatin modifying enzymes,2/19,55/3769,0.03636363636363636,7.213397129186603,3.303741974481581,0.030506925054764693,0.22258418336179808,0.1961268085210403,KDM5D/UTY,2
R-HSA-4839726,Chromatin organization,2/19,58/3769,0.034482758620689655,6.840290381125226,3.190212219558863,0.03365579263749901,0.22258418336179808,0.1961268085210403,KDM5D/UTY,2
R-HSA-419408,Lysosphingolipid and LPA receptors,1/19,7/3769,0.14285714285714285,28.338345864661655,5.152624232597813,0.03478594443207139,0.22258418336179808,0.1961268085210403,S1PR3,1
R-HSA-6803205,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,1/19,7/3769,0.14285714285714285,28.338345864661655,5.152624232597813,0.03478594443207139,0.22258418336179808,0.1961268085210403,RABGGTA,1
R-HSA-1475029,Reversible hydration of carbon dioxide,1/19,8/3769,0.125,24.79605263157895,4.795289829703866,0.039660762894535684,0.22258418336179808,0.1961268085210403,CA2,1
R-HSA-210744,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,1/19,8/3769,0.125,24.79605263157895,4.795289829703866,0.039660762894535684,0.22258418336179808,0.1961268085210403,MAML1,1
R-HSA-8941856,RUNX3 regulates NOTCH signaling,1/19,9/3769,0.1111111111111111,22.04093567251462,4.4978917024897465,0.04451225066507636,0.22258418336179808,0.1961268085210403,MAML1,1
R-HSA-8956321,Nucleotide salvage,1/19,9/3769,0.1111111111111111,22.04093567251462,4.4978917024897465,0.04451225066507636,0.22258418336179808,0.1961268085210403,PUDP,1
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,1/19,9/3769,0.1111111111111111,22.04093567251462,4.4978917024897465,0.04451225066507636,0.22258418336179808,0.1961268085210403,RPS4Y1,1
R-HSA-1266738,Developmental Biology,6/19,551/3769,0.010889292196007259,2.160091699302703,2.0974504628936272,0.04776135090930099,0.22258418336179808,0.1961268085210403,LAMC3/CA2/FN1/RPS4Y1/TBX3/MAML1,6
R-HSA-1474244,Extracellular matrix organization,3/19,167/3769,0.017964071856287425,3.563504569807753,2.4117766767675066,0.04912545481470476,0.22258418336179808,0.1961268085210403,LAMC3/FN1/ADAMTS9,3
R-HSA-354192,Integrin signaling,1/19,10/3769,0.1,19.83684210526316,4.245106090269838,0.049340513228204874,0.22258418336179808,0.1961268085210403,FN1,1
R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",1/19,10/3769,0.1,19.83684210526316,4.245106090269838,0.049340513228204874,0.22258418336179808,0.1961268085210403,RPS4Y1,1
R-HSA-9008059,Interleukin-37 signaling,1/19,10/3769,0.1,19.83684210526316,4.245106090269838,0.049340513228204874,0.22258418336179808,0.1961268085210403,PTPN20,1
R-HSA-9754678,SARS-CoV-2 modulates host translation machinery,1/19,10/3769,0.1,19.83684210526316,4.245106090269838,0.049340513228204874,0.22258418336179808,0.1961268085210403,RPS4Y1,1
R-HSA-1474228,Degradation of the extracellular matrix,2/19,72/3769,0.027777777777777776,5.510233918128655,2.7501552007043797,0.04991720543583727,0.22258418336179808,0.1961268085210403,FN1/ADAMTS9,2
R-HSA-6802948,Signaling by high-kinase activity BRAF mutants,1/19,11/3769,0.09090909090909091,18.033492822966508,4.026598062532426,0.0541456556194434,0.22258418336179808,0.1961268085210403,FN1,1
