ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,15/172,61/3769,0.2459016393442623,5.3883911551658406,7.555267360179953,4.7501411857140676e-8,3.876115207542679e-5,3.6251077469923145e-5,IL4R/OSM/CCL2/VEGFA/CDKN1A/IL1B/LIF/CD36/IL6/MYC/PIM1/FGF2/IL12A/SOCS3/CEBPD,15
R-HSA-6783589,Interleukin-6 family signaling,5/172,8/3769,0.625,13.695494186046512,7.859454232988184,9.361351445835813e-6,0.0038194313899010115,0.0035720946306478756,OSM/LIF/IL6/OSMR/SOCS3,5
R-HSA-1280215,Cytokine Signaling in Immune system,31/172,309/3769,0.10032362459546926,2.198370587792579,4.807084798636869,1.609300954055888e-5,0.004377298595032016,0.00409383576031761,TNFRSF12A/CD44/TNFRSF1A/IL4R/IRAK3/OSM/CCL2/VEGFA/CISH/IL1R1/IL1RL1/EGR1/CDKN1A/MT2A/IRF1/IL1B/LIF/CD36/IL6/MYC/PIM1/FGF2/OSMR/FCGR1A/IL12A/TNIP2/FPR1/ISG20/TUBB6/SOCS3/CEBPD,31
R-HSA-449147,Signaling by Interleukins,23/172,200/3769,0.115,2.5199709302325584,4.829770088294193,2.6967191893689365e-5,0.00491842282360242,0.004599918146428992,TNFRSF1A/IL4R/IRAK3/OSM/CCL2/VEGFA/CISH/IL1R1/IL1RL1/CDKN1A/IL1B/LIF/CD36/IL6/MYC/PIM1/FGF2/OSMR/IL12A/TNIP2/FPR1/SOCS3/CEBPD,23
R-HSA-6783783,Interleukin-10 signaling,8/172,29/3769,0.27586206896551724,6.044907778668804,5.963014716374278,3.0137394752465812e-5,0.00491842282360242,0.004599918146428992,TNFRSF1A/CCL2/IL1R1/IL1B/LIF/IL6/IL12A/FPR1,8
R-HSA-5661231,Metallothioneins bind metals,4/172,6/3769,0.6666666666666666,14.608527131782944,7.294055964047325,5.8504138882564304e-5,0.007956562888028745,0.007441315910501601,MT2A/MT1X/MT1A/MT1M,4
R-HSA-6798695,Neutrophil degranulation,21/172,187/3769,0.11229946524064172,2.4607946772789453,4.480192161384234,8.855994281665978e-5,0.010323559048342054,0.009655031359711028,PLAUR/SLC11A1/SERPINB1/CD44/CRISPLD2/CD93/SIGLEC9/CHI3L1/CD36/TLR2/SLC2A5/FCGR2A/S100A9/CXCR1/CD14/FPR2/FPR1/HSPA6/SERPINA3/PNP/CYFIP1,21
R-HSA-168256,Immune System,55/172,759/3769,0.07246376811594203,1.5878833838894506,3.962582133801853,1.1930596049453602e-4,0.011936230879346116,0.011163270623743463,TNFRSF12A/PLAUR/SLC11A1/SERPINB1/CD44/TNFRSF1A/IL4R/IRAK3/OSM/CRISPLD2/CCL2/VEGFA/CISH/IL1R1/IL1RL1/CR2/EGR1/CDKN1A/MT2A/IRF1/IL1B/CD93/RAC2/LIF/SIGLEC9/CHI3L1/CD36/IL6/MYC/PIM1/TLR2/FGF2/SLC2A5/FCGR2A/OSMR/FCGR1A/S100A9/CXCR1/IFI16/NOS3/IL12A/TNIP2/CD14/FPR2/FPR1/ISG20/HSPA6/TUBB6/SOCS3/SERPINA3/CASP4/PNP/FCGR3A/CEBPD/CYFIP1,55
R-HSA-5660526,Response to metal ions,4/172,7/3769,0.5714285714285714,12.521594684385382,6.671164798606318,1.3164960528690568e-4,0.011936230879346116,0.011163270623743463,MT2A/MT1X/MT1A/MT1M,4
R-HSA-9031628,NGF-stimulated transcription,6/172,24/3769,0.25,5.478197674418604,4.812075376510209,5.60536017290874e-4,0.04573973901093531,0.04277774868798775,F3/EGR1/EGR2/EGR4/FOSL1/ARC,6
