ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-168256,Immune System,89/206,759/3769,0.11725955204216074,2.145394425470407,8.489338510647254,7.41356318006257e-15,5.938264107230119e-12,5.610896764699988e-12,PLAUR/SLC11A1/SERPINB1/SLC2A3/DAPP1/IL4R/OAS1/ICAM1/IRAK3/NLRP1/BLNK/FKBP5/PYGL/HCK/TLR8/CRISPLD2/JAK3/ICAM2/CCL2/OAS3/OAS2/VEGFA/LMNB1/BCL6/CISH/IL1R2/IL1R1/IL1RL1/IL18RAP/CD207/NCF2/CR2/CDKN1A/MT2A/IRF1/IL1B/CD93/RAC2/LIF/SIGLEC9/TRIM22/CHI3L1/CD36/IL6/MYC/PIM1/TLR2/FGF2/GPR84/SLC2A5/FCGR2A/S100A8/PLAC8/TIFA/OSMR/FCGR1A/PIK3AP1/CD1D/FCER1G/TNFRSF13C/GBP4/S100A9/CXCR1/IFI16/CCR1/TLR3/B2M/CD300A/COL3A1/TNIP2/CD14/FPR2/FPR1/LRG1/SPSB1/ISG20/CD34/TUBB6/CXCR2/UBA7/ADGRG3/SOCS3/SFTPA2/CD300E/ISG15/CASP4/SERPINA1/FCGR3A/SIGLEC14,89
R-HSA-1280215,Cytokine Signaling in Immune system,44/206,309/3769,0.1423948220064725,2.6052722531184216,7.080615890960902,9.650209522862885e-10,3.8649089139065855e-7,3.6518424457570604e-7,IL4R/OAS1/ICAM1/IRAK3/BLNK/FKBP5/HCK/JAK3/CCL2/OAS3/OAS2/VEGFA/LMNB1/BCL6/CISH/IL1R2/IL1R1/IL1RL1/IL18RAP/CDKN1A/MT2A/IRF1/IL1B/LIF/TRIM22/CD36/IL6/MYC/PIM1/FGF2/TIFA/OSMR/FCGR1A/TNFRSF13C/GBP4/CCR1/B2M/TNIP2/FPR1/ISG20/TUBB6/UBA7/SOCS3/ISG15,44
R-HSA-168249,Innate Immune System,49/206,389/3769,0.12596401028277635,2.30465220755235,6.532694516121892,6.613153085231057e-9,1.765711873756692e-6,1.6683709011512737e-6,PLAUR/SLC11A1/SERPINB1/SLC2A3/IRAK3/NLRP1/PYGL/HCK/TLR8/CRISPLD2/ICAM2/NCF2/CR2/IL1B/CD93/RAC2/SIGLEC9/CHI3L1/CD36/TLR2/GPR84/SLC2A5/FCGR2A/S100A8/PLAC8/TIFA/FCGR1A/FCER1G/S100A9/CXCR1/IFI16/TLR3/B2M/CD300A/TNIP2/CD14/FPR2/FPR1/LRG1/CXCR2/UBA7/ADGRG3/SFTPA2/CD300E/ISG15/CASP4/SERPINA1/FCGR3A/SIGLEC14,49
R-HSA-6798695,Neutrophil degranulation,29/206,187/3769,0.15508021390374332,2.837365661180624,6.196333067948857,1.6519049298974733e-7,3.3079396221196904e-5,3.1255780120954826e-5,PLAUR/SLC11A1/SERPINB1/SLC2A3/PYGL/CRISPLD2/CD93/SIGLEC9/CHI3L1/CD36/TLR2/GPR84/SLC2A5/FCGR2A/S100A8/PLAC8/FCER1G/S100A9/CXCR1/B2M/CD300A/CD14/FPR2/FPR1/LRG1/CXCR2/ADGRG3/SERPINA1/SIGLEC14,29
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,15/206,61/3769,0.2459016393442623,4.499045042177303,6.6240825175035605,5.263240658061952e-7,8.431711534215245e-5,7.966884280308512e-5,IL4R/ICAM1/JAK3/CCL2/VEGFA/BCL6/CDKN1A/IL1B/LIF/CD36/IL6/MYC/PIM1/FGF2/SOCS3,15
R-HSA-449147,Signaling by Interleukins,29/206,200/3769,0.145,2.6529368932038833,5.775361096288404,7.239210543377476e-7,9.66434607540893e-5,9.131565580155099e-5,IL4R/ICAM1/IRAK3/BLNK/HCK/JAK3/CCL2/VEGFA/LMNB1/BCL6/CISH/IL1R2/IL1R1/IL1RL1/IL18RAP/CDKN1A/IL1B/LIF/CD36/IL6/MYC/PIM1/FGF2/TIFA/OSMR/CCR1/TNIP2/FPR1/SOCS3,29
R-HSA-877300,Interferon gamma signaling,11/206,40/3769,0.275,5.031432038834952,6.162746347788962,5.67200897097296e-6,6.490398836784773e-4,6.132593158089561e-4,OAS1/ICAM1/OAS3/OAS2/MT2A/IRF1/TRIM22/FCGR1A/GBP4/B2M/SOCS3,11
R-HSA-1236975,Antigen processing-Cross presentation,9/206,27/3769,0.3333333333333333,6.098705501618123,6.392504827244026,7.247261526576487e-6,7.256320603484707e-4,6.856290838958544e-4,CD207/NCF2/CD36/TLR2/S100A8/FCGR1A/S100A9/B2M/CD14,9
R-HSA-6783783,Interleukin-10 signaling,9/206,29/3769,0.3103448275862069,5.678105122196183,6.080150377109485,1.406788154791615e-5,0.0012520414577645374,0.001183018343035288,ICAM1/CCL2/IL1R2/IL1R1/IL1B/LIF/IL6/CCR1/FPR1,9
R-HSA-913531,Interferon Signaling,16/206,92/3769,0.17391304347826086,3.1819333051920644,5.094126392845994,2.759495857378047e-5,0.0022103561817598152,0.002088502654162964,OAS1/ICAM1/FKBP5/OAS3/OAS2/MT2A/IRF1/TRIM22/FCGR1A/GBP4/B2M/ISG20/TUBB6/UBA7/SOCS3/ISG15,16
R-HSA-5686938,Regulation of TLR by endogenous ligand,6/206,14/3769,0.42857142857142855,7.841192787794729,6.165552816562007,5.148486429618303e-5,0.003749034209203873,0.0035423557348282873,CD36/TLR2/S100A8/S100A9/CD14/SFTPA2,6
R-HSA-1236974,ER-Phagosome pathway,6/206,15/3769,0.4,7.318446601941749,5.895083500577014,8.192398326869153e-5,0.005468425883185159,0.005166959997385019,CD36/TLR2/S100A8/S100A9/B2M/CD14,6
R-HSA-5602498,MyD88 deficiency (TLR2/4),5/206,10/3769,0.5,9.148058252427184,6.20296182558051,9.351898342000782e-5,0.005762208132263558,0.00544454648412839,CD36/TLR2/S100A8/S100A9/CD14,5
R-HSA-5661231,Metallothioneins bind metals,4/206,6/3769,0.6666666666666666,12.197411003236246,6.599442989307026,1.1927589799350772e-4,0.006824285306628549,0.006448072981754289,MT2A/MT1X/MT1A/MT1M,4
R-HSA-5603041,IRAK4 deficiency (TLR2/4),5/206,11/3769,0.45454545454545453,8.31641659311562,5.842483933574277,1.638650008762275e-4,0.008750391046790549,0.008267995482807548,CD36/TLR2/S100A8/S100A9/CD14,5
R-HSA-5260271,Diseases of Immune System,6/206,18/3769,0.3333333333333333,6.098705501618123,5.213192894268806,2.6450428450907866e-4,0.011231054355518034,0.010611903648882934,CD36/TLR2/S100A8/S100A9/TLR3/CD14,6
R-HSA-5602358,Diseases associated with the TLR signaling cascade,6/206,18/3769,0.3333333333333333,6.098705501618123,5.213192894268806,2.6450428450907866e-4,0.011231054355518034,0.010611903648882934,CD36/TLR2/S100A8/S100A9/TLR3/CD14,6
R-HSA-2029481,FCGR activation,4/206,7/3769,0.5714285714285714,10.45492371705964,6.019754773036375,2.6640453527446026e-4,0.011231054355518034,0.010611903648882934,HCK/FCGR2A/FCGR1A/FCGR3A,4
R-HSA-5660526,Response to metal ions,4/206,7/3769,0.5714285714285714,10.45492371705964,6.019754773036375,2.6640453527446026e-4,0.011231054355518034,0.010611903648882934,MT2A/MT1X/MT1A/MT1M,4
R-HSA-909733,Interferon alpha/beta signaling,7/206,26/3769,0.2692307692307692,4.925877520537714,4.8294164031346565,3.5505260665791787e-4,0.01421985689664961,0.013435938115107524,OAS1/OAS3/OAS2/IRF1/ISG20/SOCS3/ISG15,7
R-HSA-6783589,Interleukin-6 family signaling,4/206,8/3769,0.5,9.148058252427184,5.546622359794654,5.100545645834273e-4,0.019454938391967873,0.018382417640876406,LIF/IL6/OSMR/SOCS3,4
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,11/206,65/3769,0.16923076923076924,3.096265870052278,4.098724227721085,6.54974477832702e-4,0.023847025306545193,0.022532375577115443,ICAM1/ICAM2/SIGLEC9/FCGR1A/CD1D/B2M/CD300A/COL3A1/CD34/CD300E/FCGR3A,11
