ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-112316,Neuronal System,214/3111,235/3769,0.9106382978723404,1.103245176689441,3.553554137548955,1.0354136649849483e-4,0.15158456055379643,0.15158456055379643,CAMKK1/ABCC8/CACNG3/CACNA2D2/SYN1/SYT7/GABRA3/GABRA1/APBA2/AP2S1/KCNQ1/RASGRF1/CACNB1/SYT1/KCNAB2/CHAT/CAMK2A/RPS6KA6/PANX2/CACNG4/ACTN2/ADCY2/GNB1/RIMS1/CHRNA3/KCNN2/EPB41L3/KCNK2/ACHE/KCNH4/MAPK1/KCNK10/CHRNA4/SLC32A1/GLRA2/KCND1/ARHGEF7/HOMER2/NCALD/KCNN4/SLC17A7/SLC1A6/PTPRS/GRIN2D/KCNN1/RAB3A/STX1A/PRKAG2/SLC6A4/GLRB/HSPA8/PPFIBP1/CAMKK2/SYT10/LIN7A/SLC38A1/GNB3/SLC22A2/RASGRF2/GABRG2/BCHE/GLS/PRKAG3/SLC5A7/GRIN3B/KCNC4/KCNQ4/CHRNA2/ADCY7/KCNJ8/TUBA1B/KCNJ2/KCNS1/GRIA3/PRKCG/GNG13/TUBA4A/LRFN1/KCNC1/KCNA5/KCNC3/SLC6A11/FLOT2/SNAP25/RTN3/KRAS/SLC38A2/GLS2/KCNH3/KCNMB4/KCNK1/GAD2/STXBP1/GABBR2/TUBB2A/TUBB2B/PLCB2/ADCY3/CHRNA1/PPFIA2/KCNH5/GNAL/KCNH1/KCNN3/PPFIA4/SYT2/CAMK2D/GLRA3/GABRB2/GLRA1/CHRNB3/CHRNA6/CAMK2G/HTR3B/KCNJ1/KCNK13/CAMK4/GRIA4/GRM1/PTPRD/CACNA2D1/NRGN/ADCY8/KCNMA1/KCNS2/LRFN2/SYN2/NRG1/KCNJ6/KCNB1/EPB41/GJD2/CALM3/AP2M1/SHANK1/GNG3/PRKAA2/KCNJ9/LRRTM1/KCNJ3/PDLIM5/GABRB1/GRIK3/HCN1/ADCY1/KCNV1/SLC18A2/KCNC2/PRKCB/CHRFAM7A/HTR3A/CACNG2/GNG8/CACNB3/KCNJ4/GNG4/KCNG4/CPLX1/KCNAB1/KCNK9/KCNAB3/DLGAP1/KCNS3/GRIK1/KCNK3/GNG12/ADCY5/SYT12/KCNK7/LRFN4/GNG5/ADCY6/HRAS/PPM1E/CHRNA7/LRRTM4/GNG7/KCNA2/PPFIA3/SLITRK1/SLITRK4/AKAP5/NRXN1/KCNA4/KCNJ14/KPNA2/PLCB1/KCNB2/GJC1/AP2A2/BEGAIN/GRIN2A/KCNH8/KCNJ12/SLITRK6/KCNH7/SYN3/KCNQ5/GABRA5/GNG2/SLC18A3/PRKAR1B/TUBB4B/IL1RAPL2/IL1RAP/AP2A1/SIPA1L1/KCNMB2/CACNA1E/GRIN3A/VAMP2/TUBB8/GABRQ/NEFL,214
R-HSA-112315,Transmission across Chemical Synapses,135/3111,147/3769,0.9183673469387755,1.1126089780174364,3.027958839151693,8.331098977564553e-4,0.6098364451577253,0.6098364451577253,CAMKK1/CACNG3/CACNA2D2/SYN1/GABRA3/GABRA1/AP2S1/RASGRF1/CACNB1/SYT1/CHAT/CAMK2A/RPS6KA6/CACNG4/ACTN2/ADCY2/GNB1/RIMS1/CHRNA3/ACHE/MAPK1/CHRNA4/SLC32A1/GLRA2/ARHGEF7/NCALD/SLC17A7/SLC1A6/GRIN2D/RAB3A/STX1A/PRKAG2/SLC6A4/GLRB/HSPA8/CAMKK2/LIN7A/SLC38A1/GNB3/SLC22A2/RASGRF2/GABRG2/BCHE/GLS/PRKAG3/SLC5A7/GRIN3B/CHRNA2/ADCY7/TUBA1B/KCNJ2/GRIA3/PRKCG/GNG13/TUBA4A/SLC6A11/SNAP25/KRAS/SLC38A2/GLS2/GAD2/STXBP1/GABBR2/TUBB2A/TUBB2B/PLCB2/ADCY3/CHRNA1/PPFIA2/GNAL/PPFIA4/CAMK2D/GLRA3/GABRB2/GLRA1/CHRNB3/CHRNA6/CAMK2G/HTR3B/CAMK4/GRIA4/CACNA2D1/NRGN/ADCY8/SYN2/NRG1/KCNJ6/CALM3/AP2M1/GNG3/PRKAA2/KCNJ9/KCNJ3/GABRB1/GRIK3/ADCY1/SLC18A2/PRKCB/CHRFAM7A/HTR3A/CACNG2/GNG8/CACNB3/KCNJ4/GNG4/CPLX1/GRIK1/GNG12/ADCY5/GNG5/ADCY6/HRAS/PPM1E/CHRNA7/GNG7/PPFIA3/AKAP5/KPNA2/PLCB1/AP2A2/GRIN2A/KCNJ12/SYN3/GABRA5/GNG2/SLC18A3/PRKAR1B/TUBB4B/AP2A1/CACNA1E/GRIN3A/VAMP2/TUBB8/GABRQ/NEFL,135
R-HSA-422475,Axon guidance,209/3111,234/3769,0.8931623931623932,1.0820729861231309,2.8184216120694883,0.0020856737228266953,0.9999999296440789,0.9999999296440789,PLXND1/CACNA1G/SCN4A/RANBP9/TYROBP/ISL1/CNTN1/ANK1/TRIO/AP2S1/EPHA3/COL9A2/NTN1/CACNB1/TRPC7/PFN2/SPTB/CLTCL1/PABPC1/NCK2/RPS6KA6/TRPC5/NTN4/SEMA3A/RAP1GAP/USP33/PAK3/EPHA6/COL5A3/PTPRC/CACNA1S/GSK3B/MMP2/KIF4A/NRCAM/DPYSL2/TREM2/HSP90AB1/EFNA2/MAPK1/CACNA1I/PSMC1/RPS6KA5/DOK5/PAK5/LAMA1/ARHGEF7/RPS16/RPS19/RPL18A/SCN1B/MET/GRB10/EPHB6/LIMK1/LHX2/DNM1/SH3GL2/CXCL12/PPP3CB/CNTNAP1/EFNB3/HSPA8/CAP2/RPS12/DPYSL3/UNC5A/PLXNA1/DOK1/EPHA4/ARTN/NRP2/LHX4/PIK3CA/RPL21/CLTA/TUBA1B/DOK4/EFNB2/FLRT3/TUBA4A/COL5A1/PLXNA3/ARHGEF11/MYH10/EPHB2/KRAS/CNTN6/CHL1/VAV3/EPHA7/PLXNC1/SCN2A/SCN7A/TLN1/CD72/RPS6/TUBB2A/TUBB2B/SDCBP/TRPC6/RDX/RPLP1/SPTBN5/ITGAV/COL2A1/ST8SIA2/CLTC/ERBB2/GRB7/COL6A1/RPS11/RPL13A/LHX9/SCN1A/ITGA9/SLIT2/EPHA5/ANK2/RPL37/PIK3R1/RASA1/GFRA3/EGFR/MSN/RPL10/ARHGAP39/SHC3/PAK1/RPS3/DOCK1/GFRA1/SCN3A/EPHB1/RHOC/TIAM1/UNC5D/DPYSL5/ARHGAP35/KALRN/AP2M1/PLXNB1/ITGA2/RET/SCN3B/RPL27A/MAPK7/CACNB3/SCN11A/HJV/GFRA2/GDNF/EFNA1/SCN9A/SDC2/ROBO1/ALCAM/DSCAM/PIK3CD/PRNP/GAP43/RND1/COL6A5/DAB1/SPTBN2/RGMB/PITPNA/RPL4/HRAS/CLTB/YES1/CDK5R1/SCN4B/RPS27/AKAP5/LIMK2/EPHB3/AP2A2/SCN5A/CNTN2/EFNA5/NELL2/PIP5K1C/SLIT1/DCC/COL4A5/AGRN/TUBB4B/SEMA4A/SRGAP3/CACNA1H/SCN8A/ARHGEF12/SRGAP1/AP2A1/PSMD12/DNM3/RPL23A/PLXNB3/L1CAM/COL5A2/ITSN1/RNPS1/DOK6/COL6A6/ARHGEF28/EFNA4/TUBB8/CD24,209
R-HSA-1430728,Metabolism,642/3111,747/3769,0.8594377510040161,1.0412153273976652,2.73504408394702,0.0031637666277268108,0.9999999296440789,0.9999999296440789,GCLC/CYP51A1/HS3ST1/CYP26B1/CD38/PDK4/SLC25A13/HCCS/CIAPIN1/PON1/ABCC8/ALDH3B1/GGCT/PNPLA4/CACNA2D2/AASS/MGST1/ST3GAL1/MLXIPL/RANBP9/PRSS3/SLC6A7/PIK3C2A/MDH1/CYP3A43/CPS1/NDUFS1/ABCC2/NR1H3/TYMP/CD44/SARS1/CHPF2/ADSS2/CYP46A1/MAT2B/VCAN/PHKA2/CTPS2/RRM2B/MSMO1/ENTPD2/NDC1/TBXAS1/GNA15/DGAT2/SPHK2/ST3GAL6/CTSA/OAT/GSTO2/MTHFD2/ELOVL1/PFKP/IDI1/PHKA1/PDK3/ACSL4/INPP5A/MAOB/SLC44A1/GBA2/ASNS/CHAT/OSBPL3/ALDH3A2/SREBF1/HMMR/PTGS2/CA12/MGLL/MOCOS/ADCY2/GNB1/OSBPL6/LIPE/FDFT1/DCT/LRP2/AACS/SMARCD3/OXCT1/SLCO1A2/APOB/GCKR/SEH1L/CPNE3/MGST2/FOLH1/MTMR2/ACHE/GNAS/SULT2B1/SIRT4/OSBPL8/RAPGEF4/PHGDH/XYLB/FMO2/CYP26A1/HSP90AB1/ACOT7/UPB1/PLA2G3/CYP2D6/HMOX1/PNPLA5/PNPLA3/CERK/ABHD4/PYGL/DDHD1/MTHFD1/PSMC1/PCK2/TRIB3/PLCB4/ST8SIA5/STS/TBL1X/PRPS2/MTMR8/PGK1/SMS/ACP5/PARP4/GDPD3/HAS3/SMPD3/FA2H/SLC7A5/CRYM/CEMIP/OCA2/MTMR9/MAN2B1/RPS16/PIAS4/DMAC2/PLIN3/RPS19/HAS1/PLEKHA4/RPL18A/SLC5A5/ISYNA1/PON3/PON2/CAV1/STX1A/CYP3A5/NUDT1/BLVRA/PRKAG2/NMRK1/TYRP1/PIP5K1B/PTGDS/PHYH/CUBN/PLEKHA1/CYP2C18/ASPA/ALDH3A1/ABCC3/AADAT/BST1/PPARGC1A/SC5D/FOXRED1/ST3GAL4/PITPNM1/DAO/ATP5F1B/CYP27B1/GNB3/TPI1/ENO2/UST/GLP1R/RPS12/B3GAT2/HMGCS1/NNT/HMGCR/PPP2CA/RBP1/BCHE/PODXL2/PLCH1/GLS/PLCD4/FHL2/PRKD3/SLC25A12/SDC1/KYNU/DHCR24/AMPD2/SLC35D1/PLA2G4A/AGMAT/NT5C1A/KMO/FAAH/HSD11B1/B4GALT6/CA14/ELOVL4/ARG1/GDA/ABCD4/ELOVL3/GPAM/GOT1/ACAT2/EPHX2/UBIAD1/LRAT/ADCY7/PLBD1/B4GALT4/FABP3/PIK3CA/RPL21/HS3ST2/ACO1/CHST3/ACOT9/DBH/NDUFAF4/G0S2/ACSL3/SDC4/PTGIS/NQO2/GOT2/HS3ST3B1/FFAR1/GNG13/GAL3ST1/TPST2/TST/CHAC1/BBOX1/TPH1/LDLR/APOE/SULT4A1/CYP2E1/HSD17B3/SLC35D2/GGT7/AOC3/AOC2/MCCC2/GCH1/SLC6A11/HSD17B7/DDC/RIDA/SNAP25/BCAN/LPIN3/SERINC3/DMGDH/BHMT2/TPTE2/ALOX5AP/CHRM3/PIK3C2B/CSNK1G2/PLAAT4/MED10/GSTT2B/IMPA1/BMAL1/LYVE1/LDHA/CYP2J2/CLOCK/SLC37A2/PSAT1/SDS/CD36/GLS2/CHST5/CYP27A1/ALDH1L2/SUCLA2/NMT1/BRIP1/HS6ST1/STXBP1/ENPP2/ALDH1B1/RPS6/GMPR/TPMT/SLCO2B1/TTPA/PPP2R1B/RPLP1/ITPKA/PLCB2/DUOX1/CYP19A1/SLC44A5/KHK/ADCY3/CH25H/PARP9/GLCE/NDST4/PRKG2/GPAT3/PIK3C2G/PLCZ1/NDUFA9/GLIPR1/TPH2/LUM/AMDHD1/AK7/DUOX2/SLC27A2/CYP1A1/NUDT7/OSBPL1A/PIK3R5/PNMT/PLPP2/RPS11/RPL13A/SLC44A3/ALDH9A1/MPC2/MGST3/CERS2/ITPKB/EPHX1/ETNK2/GADL1/OSBPL10/PLA1A/CYP4V2/SRD5A1/RPL37/PIK3R1/BHMT/TNFAIP8/TNFRSF21/CYP39A1/TIAM2/GPC3/RPL10/SLC25A37/NAPRT/PLIN2/PTGES/INPP5E/GLUD1/GLYAT/RPS3/GLB1L2/ALDOA/ADRA2A/PIP4K2A/SEC24D/ITPR1/MAT1A/ACAD8/AKR1C2/ACSL1/PARP8/GPD1L/PANK1/RANBP2/PLA2R1/HS3ST3A1/GDPD1/AK5/CHST9/CERS3/AZIN1/ADCY8/NAT2/ADK/HKDC1/HK1/GLYATL2/B3GNT7/LRP8/ARSL/LDLRAP1/HPD/XDH/KCNB1/PFKFB1/SYNJ1/CBR3/PLA2G4D/MED8/CALM3/FDPS/SLC25A44/COX7A1/CYGB/NAGS/IP6K3/ALOX15/GNG3/PRKAA2/SDC3/B3GALT2/HAAO/SGPP2/TNFAIP8L2/GLB1L/PPM1L/CDS1/PTPN13/ALB/MTHFD2L/PLB1/SGMS2/ETNPPL/SLC45A2/SERINC5/ENPP6/ACSL6/FABP7/FABP5/PGAM2/ADCY1/PHKG1/CA3/ALDH7A1/SLC25A32/PDP1/ABCA1/ALDH1A1/FBP1/PGM2L1/FOLR2/AK8/HPRT1/PIP4P1/KCNC2/RPL27A/RIMKLB/NNMT/ACSM1/LDHAL6A/PLIN1/GLYATL1/PIP4K2C/ACAA2/GNG8/CA4/MVD/CACNB3/NUDT8/TK1/PLAAT5/ENTPD3/RAB4A/GNG4/ACOX2/DEGS2/SERINC2/AHCYL1/CA7/PLA2G4F/CHST14/CA5B/SDC2/AGPAT2/UGP2/FABP6/B3GNT2/SLC23A1/HSD17B13/ELOVL6/KCNS3/HAS2/HS6ST2/MTM1/CHST11/PGAM1/DSEL/PIK3CD/PAH/RRM2/CYCS/MBOAT1/CERS6/SPTLC3/SUCLG2/STARD5/GNG12/FUT9/ACOT12/CARNS1/CYP7B1/PDP2/NADSYN1/SLC22A13/HPSE2/COQ2/ESRRA/ADCY5/PARP14/GLRX/SULT1B1/NUDT4/UQCRH/PHOSPHO1/GNG5/ADCY6/RPL4/UGT8/FUT1/CHST1/LPL/UCP2/ZDHHC21/CIDEA/HSD11B2/PLAAT3/GNG7/B3GNT5/TYMS/FUT2/ACER2/RIMKLA/SLC25A22/RPS27/GLDC/DHFR2/CPNE7/ALOXE3/GPC5/ALOX12B/ALOX15B/PLD6/AKAP5/TH/FAHD1/ARSJ/NQO1/SGSH/ADO/CHST15/EXT1/SHMT2/HS3ST4/PLCB1/CHST6/ACSM5/B3GALT5/ADRA2C/PGP/RNLS/CA13/ADSS1/INPP5J/HS6ST3/TNFAIP8L1/PIP5K1C/CYP4F2/SLC51B/CYP4F12/GPAT2/GNG2/INSIG1/HYAL3/PPARA/CYP4A11/AKR1C1/CHP1/AGMO/CYP26C1/PLA2G4E/AGRN/PRKAR1B/ENO4/DPYD/RHCE/PRELP/HACD4/FUT4/TPK1/SPTSSB/VKORC1L1/ADA/PSMD12/ENTPD4/FITM2/LRP10/SLC22A5/DIO3/PLCG2/ELOVL2/SULT1C4/HSD17B11/CACNA1E/RPL23A/NUDT16/PAPSS2/MT-ND6/ECI2/MT-CYB/MT-ND2/PNP/MT-ND3/MT-ND4/MT-ATP6/SREBF2/DDO/INPP5B/NT5M/CPT1B/MFSD2B/HACD2/DIO2/GSTM2/GALT/LYRM4/VAMP2/CKMT1B/GPX1/NME1/HOGA1/PI4KA/NME2/GSTA1/PGAM5/BCKDHA/HS3ST5/PIK3R6/GPIHBP1,642
R-HSA-9675108,Nervous system development,221/3111,249/3769,0.8875502008032129,1.075273772686374,2.6721727497161236,0.00348175660333138,0.9999999296440789,0.9999999296440789,CYP51A1/PLXND1/CACNA1G/SCN4A/RANBP9/TYROBP/ISL1/CNTN1/WWTR1/ANK1/TRIO/AP2S1/EPHA3/COL9A2/NTN1/CACNB1/TRPC7/PFN2/SPTB/CLTCL1/PABPC1/NCK2/RPS6KA6/TRPC5/NTN4/SEMA3A/RAP1GAP/USP33/PAK3/EPHA6/COL5A3/PTPRC/CACNA1S/GSK3B/MMP2/KIF4A/NRCAM/DPYSL2/TREM2/HSP90AB1/EFNA2/MAPK1/SOX10/CACNA1I/PSMC1/RPS6KA5/DOK5/PAK5/LAMA1/ARHGEF7/RPS16/RPS19/RPL18A/MAG/SCN1B/MET/GRB10/EPHB6/LIMK1/LHX2/DNM1/SH3GL2/CXCL12/PPP3CB/CNTNAP1/EFNB3/PMP22/HSPA8/CAP2/RPS12/HMGCR/DPYSL3/UNC5A/PLXNA1/DOK1/EPHA4/ARTN/NRP2/LHX4/PIK3CA/RPL21/CLTA/TUBA1B/DOK4/EFNB2/FLRT3/TUBA4A/COL5A1/PLXNA3/ARHGEF11/MYH10/EPHB2/KRAS/CNTN6/CHL1/VAV3/EPHA7/PLXNC1/SCN2A/SCN7A/TLN1/CD72/RPS6/TUBB2A/TUBB2B/SDCBP/TRPC6/YAP1/RDX/RPLP1/SPTBN5/ITGAV/COL2A1/ST8SIA2/CLTC/ERBB2/GRB7/COL6A1/RPS11/RPL13A/LHX9/SCN1A/ITGA9/SLIT2/EPHA5/ANK2/RPL37/PIK3R1/RASA1/GFRA3/EGFR/MSN/RPL10/ARHGAP39/SHC3/PAK1/RPS3/DOCK1/GFRA1/UTRN/SCN3A/EPHB1/RHOC/TIAM1/UNC5D/DPYSL5/ARHGAP35/KALRN/AP2M1/PLXNB1/ITGA2/ADGRV1/RET/SCN3B/RPL27A/MAPK7/CACNB3/SCN11A/HJV/GFRA2/GDNF/EFNA1/SCN9A/SDC2/ROBO1/ALCAM/DSCAM/PIK3CD/PRNP/GAP43/RND1/COL6A5/DAB1/SPTBN2/RGMB/PITPNA/RPL4/HRAS/CLTB/YES1/CDK5R1/SCN4B/RPS27/AKAP5/LIMK2/EPHB3/AP2A2/SCN5A/CNTN2/EFNA5/NELL2/POU3F1/PIP5K1C/SLIT1/DCC/COL4A5/AGRN/TUBB4B/SEMA4A/SRGAP3/CACNA1H/SCN8A/ARHGEF12/SRGAP1/AP2A1/PSMD12/DNM3/MBP/RPL23A/PLXNB3/L1CAM/SREBF2/COL5A2/ITSN1/RNPS1/DOK6/COL6A6/ARHGEF28/EFNA4/TUBB8/CD24,221
R-HSA-373760,L1CAM interactions,60/3111,64/3769,0.9375,1.135788331726133,2.382049814045502,0.007832192894048068,0.9999999296440789,0.9999999296440789,SCN4A/RANBP9/CNTN1/ANK1/AP2S1/SPTB/RPS6KA6/KIF4A/NRCAM/DPYSL2/MAPK1/RPS6KA5/LAMA1/SCN1B/DNM1/SH3GL2/CNTNAP1/HSPA8/NRP2/CLTA/TUBA1B/TUBA4A/EPHB2/CNTN6/CHL1/SCN2A/SCN7A/TUBB2A/TUBB2B/SDCBP/RDX/SPTBN5/ITGAV/CLTC/SCN1A/ITGA9/ANK2/EGFR/MSN/PAK1/SCN3A/AP2M1/ITGA2/SCN3B/SCN11A/SCN9A/ALCAM/GAP43/SPTBN2/SCN4B/AP2A2/SCN5A/CNTN2/TUBB4B/SCN8A/AP2A1/DNM3/L1CAM/TUBB8/CD24,60
R-HSA-9830369,Kidney development,23/3111,23/3769,1,1.2115075538412086,2.2120677277529683,0.011948291483499593,0.9999999296440789,0.9999999296440789,ITGA8/WNT11/HNF4A/JAG1/WFDC2/SALL1/EYA1/LFNG/BMP4/FGF2/OSR1/SLIT2/PLAC8/GFRA1/WNT4/PCDH19/RET/GDNF/NPNT/IRX1/IRX2/ID4/WT1,23
R-HSA-1483255,PI Metabolism,32/3111,33/3769,0.9696969696969697,1.1747952037248084,2.1926815062726503,0.013906140980165226,0.9999999296440789,0.9999999296440789,PIK3C2A/MTMR2/MTMR8/GDPD3/MTMR9/PLEKHA4/PIP5K1B/PLEKHA1/PIK3CA/TPTE2/PIK3C2B/PIK3C2G/PIK3R5/PIK3R1/TNFAIP8/INPP5E/PIP4K2A/GDPD1/SYNJ1/TNFAIP8L2/PTPN13/ENPP6/PIP4P1/PIP4K2C/RAB4A/MTM1/PIK3CD/INPP5J/TNFAIP8L1/PIP5K1C/PI4KA/PIK3R6,32
R-HSA-1266738,Developmental Biology,472/3111,551/3769,0.8566243194192378,1.0378068337804909,2.088072593841513,0.019715512312045318,0.9999999296440789,0.9999999296440789,CFTR/CYP51A1/PLXND1/CACNG3/CACNA1G/SCN4A/ADAM22/PAX7/RANBP9/PRSS3/TYROBP/BRCA1/MAMLD1/ISL1/CNTN1/WWTR1/SNAI2/CD74/ANK1/TRIO/CDH1/AP2S1/ZIC2/EPHA3/DSG2/COL9A2/KITLG/PKP2/LAMC2/NTN1/CTNNA2/SPI1/CACNB1/CBFB/MEF2A/TRPC7/RAB27A/PFN2/SPTB/CLTCL1/PABPC1/NCK2/MBD3/RPS6KA6/TFRC/SREBF1/TRPC5/TP63/ADAM11/TEAD2/NTN4/SEMA3A/CACNG4/RAP1GAP/RARB/USP33/PAK3/ITGA8/DCT/EPHA6/SLC4A4/COL5A3/TCF7/MEF2C/PTPRC/CACNA1S/SMARCD3/GSK3B/WNT11/MMP2/TFAP2C/PXN/KIF4A/DLL3/NRCAM/DPYSL2/TREM2/SRPK1/HSP90AB1/STX1B/BCL7C/EFNA2/MAPK1/SOX10/MCM5/CACNA1I/PSMC1/RPS6KA5/HNF4A/SALL4/DOK5/BMP7/CDC25B/PAK5/JAG1/WFDC2/LAMA1/TBL1X/GPR143/KLF5/ARHGEF7/FGF9/AQP8/SALL1/EYA1/RPS16/TGFB1/RPS19/RPL18A/MAG/SCN1B/TFPI2/DLX5/TFEC/MET/LFNG/GRB10/STX1A/EPHB6/LIMK1/LHX2/DNM1/TYRP1/SH3GL2/PTGDS/CXCL12/PPP3CB/CNTNAP1/COL1A1/EFNB3/MAP2K6/PMP22/PPARGC1A/HSPA8/MYF6/KRT18/NANOG/CAP2/RPS12/PERP/TFEB/LAMA4/HMGCR/DPYSL3/ATP6V0E1/UNC5A/KAT2B/PLXNA1/ATP6V1A/DOK1/FN1/SMYD1/EPHA4/HDAC1/NR5A2/AKT3/ARTN/NRP2/MYB/FOXO3/PPL/CSF3R/ELOVL3/LHX4/DPPA4/PIK3CA/RPL21/CLTA/TUBA1B/ACVR1C/EDN3/DOK4/EFNB2/BMP4/SOX9/FLRT3/TUBA4A/YWHAH/KRT17/HOXD1/RNASE1/COL5A1/LAMA5/PLXNA3/ATP6V1E1/RARA/ITGB4/H3-3B/ARHGEF11/MYH10/EPHB2/MED10/KRAS/CNTN6/CHL1/VAV3/DSC2/DSG3/DSG1/DSC1/CLDN10/ANXA1/CD36/EPHA7/KRT7/ACVR1B/HEY2/PLXNC1/EDNRB/ACTL6A/SCN2A/SCN7A/CFC1/ATP6V1G1/TLN1/CD72/RPS6/GMPR/TUBB2A/TUBB2B/SYTL2/SDCBP/TRPC6/YAP1/RDX/RPLP1/SPTBN5/ITGAV/FGF2/EGF/COL2A1/TCF12/BNIP2/PCSK6/ST8SIA2/CLTC/TP53/ERBB2/GRB7/COL6A1/RPS11/RPL13A/LHX9/OSR1/MEIS1/SCN1A/ITGA9/LRIG1/SLIT2/EPHA5/PLAC8/ANK2/RPL37/PIK3R1/RASA1/GFRA3/EGFR/MSN/RPL10/ATP6V1B2/POLR2K/ARHGAP39/CER1/SHC3/NOTCH1/PAK1/RPS3/ST14/DOCK1/FOXO1/EIF4E/GFRA1/TCF7L1/ZFP36L2/HHEX/UTRN/ZIC1/CPB1/LGI2/SCN3A/LGI4/EPHB1/ATP6V1C1/MOV10/RHOC/TIAM1/UNC5D/ZIC3/EIF4A2/DPYSL5/H2BC5/CPA2/NPM2/RUNX1/MED8/ATP6V0D1/ARHGAP35/KALRN/AP2M1/DMKN/COX7A1/NTN3/TAL1/WNT4/NEUROD1/MSX1/PLXNB1/ITGA2/ADGRV1/EBF1/TERT/HEY1/FABP5/HNF4G/PCDH19/AQP3/OTX2/RET/SCN3B/RPL27A/MAPK7/MC4R/PLIN1/MESP1/PLK1/CACNG2/YWHAB/CACNB3/KLK5/EVPL/SCN11A/LGI3/GBX2/HJV/GFRA2/GDNF/NPNT/KLK7/EFNA1/SCN9A/SDC2/ROBO1/ONECUT1/ZFPM2/MYRIP/ALCAM/YWHAG/KRT86/KRT83/IRX1/IRX2/KRT19/HOPX/COL24A1/DSCAM/PIK3CD/PRNP/GAP43/ID4/RND1/COL6A5/INSM1/DAB1/JUP/SPTBN2/RGMB/PITPNA/RPL4/HRAS/CLTB/LPL/YES1/CIDEA/CDK5R1/SCN4B/ERICH5/JUN/RPS27/CDH4/AKAP5/BHLHA15/H2AC6/H2BC4/ZNF467/SOX2/LIMK2/EPHB3/ANXA2/SOX1/AP2A2/NOG/SCN5A/CNTN2/EFNA5/PKP3/CSF1/MAML2/NELL2/H2BC21/WT1/RFX6/H2BC13/MAPK11/NR2F2/PDIA2/POU3F1/KRT5/PIP5K1C/KRT14/PPARA/MITF/SLIT1/DCC/COL4A5/AGRN/TUBB4B/GJB3/SBSN/SEMA4A/SRGAP3/CACNA1H/TCF4/MAML3/SCN8A/LAMB3/ARHGEF12/SRGAP1/AP2A1/PSMD12/H4C11/MYO5A/H4C16/DNM3/MBP/RPL23A/PLXNB3/ZNF521/L1CAM/SREBF2/MAFB/COL5A2/KRTAP5-11/PABPN1L/KRT81/ITSN1/RNPS1/DOK6/COL6A6/DIO2/ARHGEF28/EBF2/AQP1/EFNA4/AMY2A/H2AJ/KRTAP5-9/MC1R/TUBB8/H4C14/CD24/H4C12/H2BC14/H4C6/H3C1/UHRF1/H4C9/H2AC8/H3C7/H2BC10/H4C1/H3C10/H3C2,472
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,98/3111,109/3769,0.8990825688073395,1.08924532363705,2.0556571392724727,0.021777527816476808,0.9999999296440789,0.9999999296440789,CAMKK1/CACNG3/GABRA3/GABRA1/AP2S1/RASGRF1/CAMK2A/RPS6KA6/CACNG4/ACTN2/ADCY2/GNB1/CHRNA3/MAPK1/CHRNA4/GLRA2/ARHGEF7/NCALD/GRIN2D/PRKAG2/GLRB/CAMKK2/LIN7A/GNB3/RASGRF2/GABRG2/PRKAG3/GRIN3B/CHRNA2/ADCY7/TUBA1B/KCNJ2/GRIA3/PRKCG/GNG13/TUBA4A/KRAS/GABBR2/TUBB2A/TUBB2B/PLCB2/ADCY3/CHRNA1/GNAL/CAMK2D/GLRA3/GABRB2/GLRA1/CHRNB3/CHRNA6/CAMK2G/HTR3B/CAMK4/GRIA4/NRGN/ADCY8/NRG1/KCNJ6/CALM3/AP2M1/GNG3/PRKAA2/KCNJ9/KCNJ3/GABRB1/GRIK3/ADCY1/PRKCB/CHRFAM7A/HTR3A/CACNG2/GNG8/KCNJ4/GNG4/GRIK1/GNG12/ADCY5/GNG5/ADCY6/HRAS/PPM1E/CHRNA7/GNG7/AKAP5/KPNA2/PLCB1/AP2A2/GRIN2A/KCNJ12/GABRA5/GNG2/PRKAR1B/TUBB4B/AP2A1/GRIN3A/TUBB8/GABRQ/NEFL,98
