ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-9705683,SARS-CoV-2-host interactions,3/18,54/3769,0.05555555555555555,11.632716049382715,5.451046094040355,0.001948735389712731,0.19238087813850438,0.16998694572361125,TLR8/TJP1/RPS4Y1,3
R-HSA-3214842,HDMs demethylate histones,2/18,17/3769,0.11764705882352941,24.633986928104573,6.76469475126122,0.0028084799728248814,0.19238087813850438,0.16998694572361125,KDM5D/UTY,2
R-HSA-9694516,SARS-CoV-2 Infection,3/18,82/3769,0.036585365853658534,7.6605691056910565,4.223766132350228,0.006398511242706207,0.2469566622104092,0.21820988209141037,TLR8/TJP1/RPS4Y1,3
R-HSA-9679506,SARS-CoV Infections,3/18,123/3769,0.024390243902439025,5.107046070460705,3.2076868640386924,0.019340733656382364,0.2469566622104092,0.21820988209141037,TLR8/TJP1/RPS4Y1,3
R-HSA-9824446,Viral Infection Pathways,4/18,229/3769,0.017467248908296942,3.657447840853954,2.8740811534356423,0.020675914775583636,0.2469566622104092,0.21820988209141037,TLR8/TJP1/RPS4Y1/CD28,4
R-HSA-351906,Apoptotic cleavage of cell adhesion  proteins,1/18,5/3769,0.2,41.87777777777778,6.335277470340954,0.02366445756330926,0.2469566622104092,0.21820988209141037,TJP1,1
R-HSA-444473,Formyl peptide receptors bind formyl peptides and many other ligands,1/18,5/3769,0.2,41.87777777777778,6.335277470340954,0.02366445756330926,0.2469566622104092,0.21820988209141037,FPR2,1
R-HSA-3247509,Chromatin modifying enzymes,2/18,55/3769,0.03636363636363636,7.6141414141414145,3.422567631311784,0.027549905069140294,0.2469566622104092,0.21820988209141037,KDM5D/UTY,2
R-HSA-9909505,Modulation of host responses by IFN-stimulated genes,1/18,6/3769,0.16666666666666666,34.898148148148145,5.755759738312742,0.02833343730928728,0.2469566622104092,0.21820988209141037,FKBP5,1
R-HSA-4839726,Chromatin organization,2/18,58/3769,0.034482758620689655,7.2203065134099615,3.3067279995854495,0.030409245600891532,0.2469566622104092,0.21820988209141037,KDM5D/UTY,2
R-HSA-1679131,Trafficking and processing of endosomal TLR,1/18,7/3769,0.14285714285714285,29.912698412698415,5.303302721138829,0.032981324135870516,0.2469566622104092,0.21820988209141037,TLR8,1
R-HSA-389359,CD28 dependent Vav1 pathway,1/18,7/3769,0.14285714285714285,29.912698412698415,5.303302721138829,0.032981324135870516,0.2469566622104092,0.21820988209141037,CD28,1
R-HSA-417957,P2Y receptors,1/18,7/3769,0.14285714285714285,29.912698412698415,5.303302721138829,0.032981324135870516,0.2469566622104092,0.21820988209141037,LPAR4,1
R-HSA-8964058,HDL remodeling,1/18,7/3769,0.14285714285714285,29.912698412698415,5.303302721138829,0.032981324135870516,0.2469566622104092,0.21820988209141037,LIPG,1
R-HSA-3899300,SUMOylation of transcription cofactors,1/18,8/3769,0.125,26.17361111111111,4.936930496396411,0.03760820775244511,0.2469566622104092,0.21820988209141037,CASP8AP2,1
R-HSA-164938,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,1/18,9/3769,0.1111111111111111,23.26543209876543,4.632086145031847,0.04221417751060952,0.2469566622104092,0.21820988209141037,CD28,1
R-HSA-418038,Nucleotide-like (purinergic) receptors,1/18,9/3769,0.1111111111111111,23.26543209876543,4.632086145031847,0.04221417751060952,0.2469566622104092,0.21820988209141037,LPAR4,1
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,1/18,9/3769,0.1111111111111111,23.26543209876543,4.632086145031847,0.04221417751060952,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",1/18,10/3769,0.1,20.93888888888889,4.373035046660398,0.04679932240550555,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-9022699,MECP2 regulates neuronal receptors and channels,1/18,10/3769,0.1,20.93888888888889,4.373035046660398,0.04679932240550555,0.2469566622104092,0.21820988209141037,FKBP5,1
R-HSA-912526,Interleukin receptor SHC signaling,1/18,10/3769,0.1,20.93888888888889,4.373035046660398,0.04679932240550555,0.2469566622104092,0.21820988209141037,IL3RA,1
R-HSA-9754678,SARS-CoV-2 modulates host translation machinery,1/18,10/3769,0.1,20.93888888888889,4.373035046660398,0.04679932240550555,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-168256,Immune System,7/18,759/3769,0.00922266139657444,1.9311228224271701,1.9882124057110888,0.05255108611858421,0.2469566622104092,0.21820988209141037,FKBP5/TLR8/IL1R2/FPR2/CD28/ADGRG3/IL3RA,7
R-HSA-164952,The role of Nef in HIV-1 replication and disease pathogenesis,1/18,12/3769,0.08333333333333333,17.449074074074073,3.9530258048120284,0.05590749181174326,0.2469566622104092,0.21820988209141037,CD28,1
R-HSA-389357,CD28 dependent PI3K/Akt signaling,1/18,12/3769,0.08333333333333333,17.449074074074073,3.9530258048120284,0.05590749181174326,0.2469566622104092,0.21820988209141037,CD28,1
R-HSA-72702,Ribosomal scanning and start codon recognition,1/18,12/3769,0.08333333333333333,17.449074074074073,3.9530258048120284,0.05590749181174326,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-72649,Translation initiation complex formation,1/18,13/3769,0.07692307692307693,16.10683760683761,3.779206410564224,0.06043069254301514,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",1/18,13/3769,0.07692307692307693,16.10683760683761,3.779206410564224,0.06043069254301514,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-5663205,Infectious disease,4/18,322/3769,0.012422360248447204,2.601104209799862,2.0808705371036313,0.06138046754747685,0.2469566622104092,0.21820988209141037,TLR8/TJP1/RPS4Y1/CD28,4
R-HSA-111465,Apoptotic cleavage of cellular proteins,1/18,14/3769,0.07142857142857142,14.956349206349207,3.623673351876116,0.06493342085351161,0.2469566622104092,0.21820988209141037,TJP1,1
R-HSA-389356,Co-stimulation by CD28,1/18,18/3769,0.05555555555555555,11.632716049382715,3.132024164066031,0.08274134932086052,0.2469566622104092,0.21820988209141037,CD28,1
R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",1/18,18/3769,0.05555555555555555,11.632716049382715,3.132024164066031,0.08274134932086052,0.2469566622104092,0.21820988209141037,IL3RA,1
R-HSA-72764,Eukaryotic Translation Termination,1/18,18/3769,0.05555555555555555,11.632716049382715,3.132024164066031,0.08274134932086052,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-75153,Apoptotic execution phase,1/18,18/3769,0.05555555555555555,11.632716049382715,3.132024164066031,0.08274134932086052,0.2469566622104092,0.21820988209141037,TJP1,1
R-HSA-8963899,Plasma lipoprotein remodeling,1/18,18/3769,0.05555555555555555,11.632716049382715,3.132024164066031,0.08274134932086052,0.2469566622104092,0.21820988209141037,LIPG,1
R-HSA-156902,Peptide chain elongation,1/18,19/3769,0.05263157894736842,11.020467836257309,3.0329645382555017,0.0871430170660552,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,1/18,19/3769,0.05263157894736842,11.020467836257309,3.0329645382555017,0.0871430170660552,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-192823,Viral mRNA Translation,1/18,19/3769,0.05263157894736842,11.020467836257309,3.0329645382555017,0.0871430170660552,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-2408557,Selenocysteine synthesis,1/18,19/3769,0.05263157894736842,11.020467836257309,3.0329645382555017,0.0871430170660552,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),1/18,19/3769,0.05263157894736842,11.020467836257309,3.0329645382555017,0.0871430170660552,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-451927,Interleukin-2 family signaling,1/18,20/3769,0.05,10.469444444444445,2.9410333254838616,0.0915247305841379,0.2469566622104092,0.21820988209141037,IL3RA,1
R-HSA-72689,Formation of a pool of free 40S subunits,1/18,20/3769,0.05,10.469444444444445,2.9410333254838616,0.0915247305841379,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,1/18,21/3769,0.047619047619047616,9.97089947089947,2.8553806606437075,0.09588657503585463,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-8868773,rRNA processing in the nucleus and cytosol,1/18,21/3769,0.047619047619047616,9.97089947089947,2.8553806606437075,0.09588657503585463,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-927802,Nonsense-Mediated Decay (NMD),1/18,21/3769,0.047619047619047616,9.97089947089947,2.8553806606437075,0.09588657503585463,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),1/18,21/3769,0.047619047619047616,9.97089947089947,2.8553806606437075,0.09588657503585463,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-156842,Eukaryotic Translation Elongation,1/18,22/3769,0.045454545454545456,9.517676767676768,2.7752928491199,0.10022863524112557,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-2408522,Selenoamino acid metabolism,1/18,22/3769,0.045454545454545456,9.517676767676768,2.7752928491199,0.10022863524112557,0.2469566622104092,0.21820988209141037,RPS4Y1,1
R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,1/18,22/3769,0.045454545454545456,9.517676767676768,2.7752928491199,0.10022863524112557,0.2469566622104092,0.21820988209141037,FKBP5,1
R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes,1/18,22/3769,0.045454545454545456,9.517676767676768,2.7752928491199,0.10022863524112557,0.2469566622104092,0.21820988209141037,CDK11A,1
