ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
WP_SMALL_CELL_LUNG_CANCER,WP_SMALL_CELL_LUNG_CANCER,2/16,38/3279,0.05263157894736842,10.786184210526315,4.248362809141526,0.01416863200207062,0.18909098089196796,0.1522094583031321,LAMC3/FN1,2
WP_MODULATION_OF_PI3KAKTMTOR_SIGNALING_BY_BIOACTIVE_SPHINGOLIPIDS,WP_MODULATION_OF_PI3KAKTMTOR_SIGNALING_BY_BIOACTIVE_SPHINGOLIPIDS,1/16,6/3279,0.16666666666666666,34.15625,5.691463528243126,0.028944192313246186,0.18909098089196796,0.1522094583031321,S1PR3,1
WP_BURN_WOUND_HEALING,WP_BURN_WOUND_HEALING,2/16,58/3279,0.034482758620689655,7.066810344827586,3.2638860045986013,0.03147959088866112,0.18909098089196796,0.1522094583031321,FN1/XIST,2
WP_HEMATOPOIETIC_STEM_CELL_GENE_REGULATION_BY_GABP_ALPHABETA_COMPLEX,WP_HEMATOPOIETIC_STEM_CELL_GENE_REGULATION_BY_GABP_ALPHABETA_COMPLEX,1/16,7/3279,0.14285714285714285,29.27678571428571,5.243585360117248,0.033691180679572885,0.18909098089196796,0.1522094583031321,ZFX,1
WP_INTERACTIONS_BETWEEN_LOXL4_AND_OXIDATIVE_STRESS_PATHWAY,WP_INTERACTIONS_BETWEEN_LOXL4_AND_OXIDATIVE_STRESS_PATHWAY,1/16,8/3279,0.125,25.6171875,4.880890717968905,0.038416407179917456,0.18909098089196796,0.1522094583031321,FN1,1
WP_TGFBETA_SIGNALING_IN_THYROID_CELLS_FOR_EPITHELIALMESENCHYMAL_TRANSITION,WP_TGFBETA_SIGNALING_IN_THYROID_CELLS_FOR_EPITHELIALMESENCHYMAL_TRANSITION,1/16,8/3279,0.125,25.6171875,4.880890717968905,0.038416407179917456,0.18909098089196796,0.1522094583031321,FN1,1
WP_LACTATE_SHUTTLE_IN_GLIAL_CELLS,WP_LACTATE_SHUTTLE_IN_GLIAL_CELLS,1/16,9/3279,0.1111111111111111,22.770833333333332,4.579081365036344,0.0431199649558639,0.18909098089196796,0.1522094583031321,CA2,1
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS,WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS,1/16,9/3279,0.1111111111111111,22.770833333333332,4.579081365036344,0.0431199649558639,0.18909098089196796,0.1522094583031321,FN1,1
WP_MAMMARY_GLAND_DEVELOPMENT_PUBERTY_STAGE_2_OF_4,WP_MAMMARY_GLAND_DEVELOPMENT_PUBERTY_STAGE_2_OF_4,1/16,10/3279,0.1,20.493750000000002,4.322588173020911,0.04780194677870975,0.18909098089196796,0.1522094583031321,FN1,1
WP_NOTCH1_REGULATION_OF_ENDOTHELIAL_CELL_CALCIFICATION,WP_NOTCH1_REGULATION_OF_ENDOTHELIAL_CELL_CALCIFICATION,1/16,10/3279,0.1,20.493750000000002,4.322588173020911,0.04780194677870975,0.18909098089196796,0.1522094583031321,MGP,1
