ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
WP_OREXIN_RECEPTOR_PATHWAY,WP_OREXIN_RECEPTOR_PATHWAY,20/161,100/3279,0.2,4.073291925465839,7.091496749648929,3.704311995269042e-8,1.600262781956226e-5,1.2711639057449556e-5,GADD45B/VEGFA/TENT5A/HES1/SPP1/NR4A3/EGR1/EGR2/NR4A1/CDKN1A/IL1B/IL6/MYC/HCRTR2/PDK1/RUNX1/NOS3/NPAS4/MAFF/ARC,20
WP_SPINAL_CORD_INJURY,WP_SPINAL_CORD_INJURY,16/161,71/3279,0.22535211267605634,4.589624704750241,6.9476894379601015,1.6598371796419086e-7,3.5852483080265224e-5,2.847931160859275e-5,XYLT1/CCL2/IL1R1/GADD45A/EGR1/NR4A1/CDK2/IL1B/PLA2G5/ZFP36/IL6/MYC/FCGR2A/GDNF/BDNF/COL4A1,16
WP_COMPLEMENT_SYSTEM,WP_COMPLEMENT_SYSTEM,13/161,49/3279,0.2653061224489796,5.403346431740398,7.056006802668877,3.3497906993687615e-7,4.8236986070910164e-5,3.831690414014795e-5,PLAUR/SELPLG/CR2/SPP1/CD93/F12/TLR2/THBS1/ADM/ALB/FPR1/FCGR3A/ITGB3,13
WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING,WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING,11/161,47/3279,0.23404255319148937,4.766618210651513,5.909411213019464,1.0642805726704463e-5,0.001149423018484082,9.130407018172776e-4,CCL2/VEGFA/EGR1/NR4A1/IL1B/IL6/HK2/MST1R/CLDN5/SOCS3/COL4A1,11
WP_CATABOLISM_OF_SKELETAL_MUSCLE_IN_CACHEXIA,WP_CATABOLISM_OF_SKELETAL_MUSCLE_IN_CACHEXIA,6/161,13/3279,0.46153846153846156,9.399904443382704,6.894730397341954,1.6456882090875287e-5,0.0013328503229542595,0.0010587456269081108,TNFRSF12A/TNFRSF1A/IL1R1/IL1B/IL6/PDK1,6
WP_P53_TRANSCRIPTIONAL_GENE_NETWORK,WP_P53_TRANSCRIPTIONAL_GENE_NETWORK,9/161,33/3279,0.2727272727272727,5.554488989271598,5.9745022068255995,1.8511810041031382e-5,0.0013328503229542595,0.0010587456269081108,BBC3/CCL2/GADD45A/TNFRSF10B/CDK2/CDKN1A/LIF/THBS1/TNFRSF10D,9
WP_VITAMIN_D_RECEPTOR_PATHWAY,WP_VITAMIN_D_RECEPTOR_PATHWAY,13/161,77/3279,0.16883116883116883,3.4384931838347987,4.919665805172094,7.024782932445764e-5,0.004107193805950349,0.003262536990106759,SERPINB1/IL1RL1/GADD45A/SPP1/CDK2/CDKN1A/STEAP4/HILPDA/MYC/S100A9/IL12A/CD14/THBD,13
WP_DNA_DAMAGE_RESPONSE,WP_DNA_DAMAGE_RESPONSE,7/161,23/3279,0.30434782608695654,6.198487712665407,5.684314506160545,7.60591445546361e-5,0.004107193805950349,0.003262536990106759,GADD45B/BBC3/GADD45A/TNFRSF10B/CDK2/CDKN1A/MYC,7
WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE,WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE,7/161,26/3279,0.2692307692307692,5.483277591973244,5.214583541211728,1.8007228085474328e-4,0.008643469481027677,0.00686591386650834,GADD45B/BBC3/GADD45A/TNFRSF10B/CDK2/CDKN1A/MYC,7
WP_HEPATITIS_C_AND_HEPATOCELLULAR_CARCINOMA,WP_HEPATITIS_C_AND_HEPATOCELLULAR_CARCINOMA,6/161,19/3279,0.3157894736842105,6.431513566525008,5.394711524469763,2.0324280794323056e-4,0.00878008930314756,0.006974437409420334,CD44/VEGFA/CDKN1A/IL6/MYC/CXCR1,6
WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,12/161,77/3279,0.15584415584415584,3.1739937081551988,4.38603748313573,2.959017981195099e-4,0.010735803738463709,0.008527953262035013,SLC38A5/TNFRSF1A/IL4R/IL1R1/IL1B/LIF/IL6/FGF2/IL12A/BDNF/SOCS3/ARC,12
WP_LUNG_FIBROSIS,WP_LUNG_FIBROSIS,7/161,28/3279,0.25,5.091614906832298,4.940201239653211,2.982167705128808e-4,0.010735803738463709,0.008527953262035013,EDN1/CCL2/SPP1/MT2A/IL1B/IL6/FGF2,7
WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY,WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY,5/161,14/3279,0.35714285714285715,7.273735581188998,5.344757345280522,3.7430823459337647e-4,0.011315078754430274,0.008988098620721904,CCL2/IL1R1/IL1B/TLR2/S100A9,5
WP_ZINC_HOMEOSTASIS,WP_ZINC_HOMEOSTASIS,5/161,14/3279,0.35714285714285715,7.273735581188998,5.344757345280522,3.7430823459337647e-4,0.011315078754430274,0.008988098620721904,MT2A/MT1X/MT1A/MT1M/MT1L,5
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,8/161,38/3279,0.21052631578947367,4.2876757110166714,4.631488746438087,3.928846789732734e-4,0.011315078754430274,0.008988098620721904,OSM/CCL2/VEGFA/SPP1/IL1B/LIF/IL6/IL12A,8
WP_ONCOSTATIN_M_SIGNALING,WP_ONCOSTATIN_M_SIGNALING,7/161,31/3279,0.22580645161290322,4.598877980364656,4.5742438834807215,5.845828007722705e-4,0.015783735620851305,0.012537762700773697,OSM/CCL2/VEGFA/EGR1/CDK2/OSMR/SOCS3,7
WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,5/161,16/3279,0.3125,6.3645186335403725,4.887216403348921,7.536794201280036e-4,0.018088306083072086,0.01436839128431165,CCL2/VEGFA/IL1B/IL6/IL12A,5
WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,5/161,16/3279,0.3125,6.3645186335403725,4.887216403348921,7.536794201280036e-4,0.018088306083072086,0.01436839128431165,TNFRSF1A/VEGFA/IL1B/IL6/BCL2A1,5
WP_PROSTAGLANDIN_SIGNALING,WP_PROSTAGLANDIN_SIGNALING,5/161,17/3279,0.29411764705882354,5.990135184508587,4.6867754948555165,0.0010257736027203504,0.023322852440799544,0.018526437367691648,CCL2/VEGFA/IL1B/IL6/IL12A,5
WP_MAMMARY_GLAND_DEVELOPMENT_INVOLUTION_STAGE_4_OF_4,WP_MAMMARY_GLAND_DEVELOPMENT_INVOLUTION_STAGE_4_OF_4,3/161,5/3279,0.6,12.219875776397515,5.704440707412361,0.0010803188511539514,0.02333488718492535,0.018535997130325693,CHI3L1/MYC/SOCS3,3
WP_APOPTOSIS_MODULATION_AND_SIGNALING,WP_APOPTOSIS_MODULATION_AND_SIGNALING,8/161,45/3279,0.17777777777777778,3.6207039337474125,4.021921288179255,0.0012908782388727507,0.0265552094853823,0.021094050419675024,TNFRSF1A/BBC3/IL1R1/TNFRSF10B/BCL2A1/BAG3/TNFRSF10D/CASP4,8
WP_ANTIVIRAL_AND_ANTIINFLAMMATORY_EFFECTS_OF_NRF2_ON_SARSCOV2_PATHWAY,WP_ANTIVIRAL_AND_ANTIINFLAMMATORY_EFFECTS_OF_NRF2_ON_SARSCOV2_PATHWAY,4/161,11/3279,0.36363636363636365,7.405985319028798,4.835268718734254,0.0014092284837696192,0.027672122954021612,0.02198126725879885,CCL2/IL1B/IL6/IL12A,4
WP_ADIPOGENESIS,WP_ADIPOGENESIS,9/161,58/3279,0.15517241379310345,3.160312700792461,3.771504328684237,0.001772233830175608,0.030293658167930528,0.024063675835149494,GADD45B/OSM/GADD45A/EGR2/CDKN1A/LIF/IL6/SOCS3/CEBPD,9
WP_BLADDER_CANCER,WP_BLADDER_CANCER,5/161,19/3279,0.2631578947368421,5.35959463877084,4.33005554561112,0.0017793334560634961,0.030293658167930528,0.024063675835149494,TYMP/VEGFA/CDKN1A/MYC/THBS1,5
WP_PI3KAKT_SIGNALING,WP_PI3KAKT_SIGNALING,17/161,161/3279,0.10559006211180125,2.1504957370471818,3.401255472905564,0.0019298881873637589,0.030293658167930528,0.024063675835149494,IL4R/OSM/VEGFA/SPP1/CDK2/CDKN1A/IL6/MYC/TLR2/THBS1/FGF2/OSMR/NOS3/EFNA1/BDNF/COL4A1/ITGB3,17
WP_ACUTE_MYELOID_LEUKEMIA,WP_ACUTE_MYELOID_LEUKEMIA,6/161,28/3279,0.21428571428571427,4.364241348713398,4.061973000844706,0.0019522228463402737,0.030293658167930528,0.024063675835149494,MYC/PIM1/BCL2A1/FCGR1A/RUNX1/CD14,6
WP_FOLATE_METABOLISM,WP_FOLATE_METABOLISM,6/161,28/3279,0.21428571428571427,4.364241348713398,4.061973000844706,0.0019522228463402737,0.030293658167930528,0.024063675835149494,MTHFD2/CCL2/IL1B/IL6/ALB/SERPINA3,6
WP_LTF_DANGER_SIGNAL_RESPONSE_PATHWAY,WP_LTF_DANGER_SIGNAL_RESPONSE_PATHWAY,4/161,12/3279,0.3333333333333333,6.788819875776397,4.564418419908268,0.002033602052939781,0.030293658167930528,0.024063675835149494,IL1B/IL6/TLR2/CD14,4
WP_PLATELETMEDIATED_INTERACTIONS_WITH_VASCULAR_AND_CIRCULATING_CELLS,WP_PLATELETMEDIATED_INTERACTIONS_WITH_VASCULAR_AND_CIRCULATING_CELLS,4/161,12/3279,0.3333333333333333,6.788819875776397,4.564418419908268,0.002033602052939781,0.030293658167930528,0.024063675835149494,CCL2/SELPLG/IL1B/TLR2,4
WP_TP53_NETWORK,WP_TP53_NETWORK,4/161,13/3279,0.3076923076923077,6.266602962255137,4.322883406512733,0.002826093349794874,0.03881122699018901,0.030829580893766126,BBC3/GADD45A/CDKN1A/MYC,4
WP_COPPER_HOMEOSTASIS,WP_COPPER_HOMEOSTASIS,5/161,21/3279,0.23809523809523808,4.849157054125998,4.020491018039955,0.0028749057029769636,0.03881122699018901,0.030829580893766126,MT2A/STEAP4/MT1X/MT1A/MT1L,5
WP_TH17_CELL_DIFFERENTIATION_PATHWAY,WP_TH17_CELL_DIFFERENTIATION_PATHWAY,5/161,21/3279,0.23809523809523808,4.849157054125998,4.020491018039955,0.0028749057029769636,0.03881122699018901,0.030829580893766126,IL4R/IL1B/IL6/RUNX1/SOCS3,5
WP_PLEURAL_MESOTHELIOMA,WP_PLEURAL_MESOTHELIOMA,19/161,199/3279,0.09547738693467336,1.9445363463279126,3.1235553897189137,0.003413310132549823,0.0441272270888044,0.03505232951011266,TEAD3/CD44/BBC3/CCL2/VEGFA/CDK2/CDKN1A/IL1B/IL6/MYC/FGF2/PDK1/EFNA1/FOSL1/BDNF/CDH5/COL4A1/TEAD4/ITGB3,19
WP_COVID19_ADVERSE_OUTCOME_PATHWAY,WP_COVID19_ADVERSE_OUTCOME_PATHWAY,3/161,7/3279,0.42857142857142855,8.728482697426797,4.650674760274737,0.003514023614044274,0.0441272270888044,0.03505232951011266,CCL2/IL1B/IL6,3
WP_VITAMIN_B12_METABOLISM,WP_VITAMIN_B12_METABOLISM,5/161,22/3279,0.22727272727272727,4.628740824392999,3.8800539925485302,0.003575122565065171,0.0441272270888044,0.03505232951011266,CCL2/IL1B/IL6/ALB/SERPINA3,5
WP_INTEGRATED_CANCER_PATHWAY,WP_INTEGRATED_CANCER_PATHWAY,4/161,14/3279,0.2857142857142857,5.818988464951198,4.105420711720319,0.003806807395875478,0.04444704851400558,0.035306378692899175,BBC3/CDK2/CDKN1A/MYC,4
WP_LDL_INFLUENCE_ON_CD14_AND_TLR4,WP_LDL_INFLUENCE_ON_CD14_AND_TLR4,4/161,14/3279,0.2857142857142857,5.818988464951198,4.105420711720319,0.003806807395875478,0.04444704851400558,0.035306378692899175,CCL2/IL1B/IL6/CD14,4
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586,WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586,5/161,23/3279,0.21739130434782608,4.427491223332433,3.7478088162176433,0.0043899520735662,0.04990682357317364,0.039643334514752944,VEGFA/CDK2/CDKN1A/CD36/MYC,5
WP_CHROMOSOMAL_AND_MICROSATELLITE_INSTABILITY_IN_COLORECTAL_CANCER,WP_CHROMOSOMAL_AND_MICROSATELLITE_INSTABILITY_IN_COLORECTAL_CANCER,6/161,33/3279,0.18181818181818182,3.702992659514399,3.545740399711647,0.004682191872115143,0.05186427919881389,0.041198233476640665,GADD45B/BBC3/GADD45A/CDKN1A/RAC2/MYC,6
WP_ANGIOGENESIS,WP_ANGIOGENESIS,3/161,8/3279,0.375,7.637422360248447,4.270547263438879,0.00542092976234291,0.052040925718491934,0.041338552105819625,VEGFA/FGF2/NOS3,3
WP_ASPIRIN_AND_MIRNAS,WP_ASPIRIN_AND_MIRNAS,3/161,8/3279,0.375,7.637422360248447,4.270547263438879,0.00542092976234291,0.052040925718491934,0.041338552105819625,VEGFA/PDK1/NOS3,3
WP_INTERACTIONS_OF_NATURAL_KILLER_CELLS_IN_PANCREATIC_CANCER,WP_INTERACTIONS_OF_NATURAL_KILLER_CELLS_IN_PANCREATIC_CANCER,3/161,8/3279,0.375,7.637422360248447,4.270547263438879,0.00542092976234291,0.052040925718491934,0.041338552105819625,CCL2/MYC/FCGR3A,3
WP_MACROPHAGE_MARKERS,WP_MACROPHAGE_MARKERS,3/161,8/3279,0.375,7.637422360248447,4.270547263438879,0.00542092976234291,0.052040925718491934,0.041338552105819625,F3/RAC2/CD14,3
WP_PATHOPHYSIOLOGICAL_ROLES_OF_DUX4_IN_FSHD1,WP_PATHOPHYSIOLOGICAL_ROLES_OF_DUX4_IN_FSHD1,3/161,8/3279,0.375,7.637422360248447,4.270547263438879,0.00542092976234291,0.052040925718491934,0.041338552105819625,VEGFA/CDKN1A/MYC,3
WP_UNFOLDED_PROTEIN_RESPONSE,WP_UNFOLDED_PROTEIN_RESPONSE,3/161,8/3279,0.375,7.637422360248447,4.270547263438879,0.00542092976234291,0.052040925718491934,0.041338552105819625,BBC3/TNFRSF10B/IL1B,3
WP_NUCLEAR_RECEPTORS_METAPATHWAY,WP_NUCLEAR_RECEPTORS_METAPATHWAY,13/161,121/3279,0.10743801652892562,2.18813202607669,3.0257335578652462,0.005673569598512499,0.053282218838204345,0.04232456954496738,GADD45B/CCL2/HES1/EGR1/SRGN/IL1B/MYC/SLC2A5/SLC5A12/ANGPTL4/IL12A/THBD/MAFF,13
WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,5/161,26/3279,0.19230769230769232,3.91662685140946,3.3923829303913244,0.0076180519620103115,0.06641498727842392,0.05275654447555116,YBX3/TNFRSF10B/CDKN1A/THBS1/SOCS3,5
WP_GALANIN_RECEPTOR_PATHWAY,WP_GALANIN_RECEPTOR_PATHWAY,3/161,9/3279,0.3333333333333333,6.788819875776397,3.951088631128318,0.00784065822036949,0.06641498727842392,0.05275654447555116,VEGFA/CDKN1A/IL6,3
WP_HYPERTROPHY_MODEL,WP_HYPERTROPHY_MODEL,3/161,9/3279,0.3333333333333333,6.788819875776397,3.951088631128318,0.00784065822036949,0.06641498727842392,0.05275654447555116,VEGFA/IL1R1/NR4A3,3
WP_SEROTONIN_TRANSPORTER_ACTIVITY,WP_SEROTONIN_TRANSPORTER_ACTIVITY,3/161,9/3279,0.3333333333333333,6.788819875776397,3.951088631128318,0.00784065822036949,0.06641498727842392,0.05275654447555116,IL1R1/IL1B/ITGB3,3
WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19,WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19,3/161,9/3279,0.3333333333333333,6.788819875776397,3.951088631128318,0.00784065822036949,0.06641498727842392,0.05275654447555116,F3/IL1B/FCGR2A,3
