ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
WP_FARNESOID_X_RECEPTOR_PATHWAY,WP_FARNESOID_X_RECEPTOR_PATHWAY,1/17,5/3279,0.2,38.576470588235296,6.069439792497058,0.02567063611203424,0.2033100349684273,0.18299453948340522,FKBP5,1
WP_MRNA_VACCINE_ACTIVATION_OF_DENDRITIC_CELL_AND_INDUCTION_OF_IFN1,WP_MRNA_VACCINE_ACTIVATION_OF_DENDRITIC_CELL_AND_INDUCTION_OF_IFN1,1/17,5/3279,0.2,38.576470588235296,6.069439792497058,0.02567063611203424,0.2033100349684273,0.18299453948340522,TLR8,1
WP_FOXP3_IN_COVID19,WP_FOXP3_IN_COVID19,1/17,6/3279,0.16666666666666666,32.14705882352941,5.511967174632089,0.030729768422997683,0.2033100349684273,0.18299453948340522,CD28,1
WP_NUCLEOTIDE_GPCRS,WP_NUCLEOTIDE_GPCRS,1/17,6/3279,0.16666666666666666,32.14705882352941,5.511967174632089,0.030729768422997683,0.2033100349684273,0.18299453948340522,LPAR4,1
WP_RESOLVIN_E1_AND_RESOLVIN_D1_SIGNALING_DECREASE_INFLAMMATION,WP_RESOLVIN_E1_AND_RESOLVIN_D1_SIGNALING_DECREASE_INFLAMMATION,1/17,6/3279,0.16666666666666666,32.14705882352941,5.511967174632089,0.030729768422997683,0.2033100349684273,0.18299453948340522,FPR2,1
WP_BURN_WOUND_HEALING,WP_BURN_WOUND_HEALING,2/17,58/3279,0.034482758620689655,6.651115618661258,3.1342943812321273,0.035277495586371575,0.2033100349684273,0.18299453948340522,TLR8/XIST,2
WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE,WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE,1/17,7/3279,0.14285714285714285,27.554621848739494,5.076559149012454,0.03576416925917547,0.2033100349684273,0.18299453948340522,CD28,1
WP_HEMATOPOIETIC_STEM_CELL_GENE_REGULATION_BY_GABP_ALPHABETA_COMPLEX,WP_HEMATOPOIETIC_STEM_CELL_GENE_REGULATION_BY_GABP_ALPHABETA_COMPLEX,1/17,7/3279,0.14285714285714285,27.554621848739494,5.076559149012454,0.03576416925917547,0.2033100349684273,0.18299453948340522,ZFX,1
WP_CANCER_IMMUNOTHERAPY_BY_CTLA4_BLOCKADE,WP_CANCER_IMMUNOTHERAPY_BY_CTLA4_BLOCKADE,1/17,8/3279,0.125,24.110294117647058,4.723861446576399,0.04077395199835432,0.2033100349684273,0.18299453948340522,CD28,1
WP_MFAP5_EFFECT_ON_PERMEABILITY_AND_MOTILITY_OF_ENDOTHELIAL_CELLS_VIA_CYTOSKELETON_REARRANGEMENT,WP_MFAP5_EFFECT_ON_PERMEABILITY_AND_MOTILITY_OF_ENDOTHELIAL_CELLS_VIA_CYTOSKELETON_REARRANGEMENT,1/17,8/3279,0.125,24.110294117647058,4.723861446576399,0.04077395199835432,0.2033100349684273,0.18299453948340522,TJP1,1
WP_TRANSLATION_FACTORS,WP_TRANSLATION_FACTORS,1/17,10/3279,0.1,19.288235294117648,4.180722072490255,0.05072011427249268,0.2033100349684273,0.18299453948340522,EIF1AY,1
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME,WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME,1/17,11/3279,0.09090909090909091,17.53475935828877,3.9649722699363816,0.055656718144431294,0.2033100349684273,0.18299453948340522,TJP1,1
WP_KYNURENINE_PATHWAY_AND_LINKS_TO_CELL_SENESCENCE,WP_KYNURENINE_PATHWAY_AND_LINKS_TO_CELL_SENESCENCE,1/17,11/3279,0.09090909090909091,17.53475935828877,3.9649722699363816,0.055656718144431294,0.2033100349684273,0.18299453948340522,IL1R2,1
WP_LUNG_PATHOLOGY_OF_COVID19,WP_LUNG_PATHOLOGY_OF_COVID19,1/17,11/3279,0.09090909090909091,17.53475935828877,3.9649722699363816,0.055656718144431294,0.2033100349684273,0.18299453948340522,TLR8,1
WP_EICOSANOID_METABOLISM_VIA_LIPOOXYGENASES_LOX,WP_EICOSANOID_METABOLISM_VIA_LIPOOXYGENASES_LOX,1/17,12/3279,0.08333333333333333,16.073529411764707,3.775878102477783,0.060569152597168,0.2033100349684273,0.18299453948340522,FPR2,1
WP_PLATELETMEDIATED_INTERACTIONS_WITH_VASCULAR_AND_CIRCULATING_CELLS,WP_PLATELETMEDIATED_INTERACTIONS_WITH_VASCULAR_AND_CIRCULATING_CELLS,1/17,12/3279,0.08333333333333333,16.073529411764707,3.775878102477783,0.060569152597168,0.2033100349684273,0.18299453948340522,SELE,1
WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION,WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION,1/17,12/3279,0.08333333333333333,16.073529411764707,3.775878102477783,0.060569152597168,0.2033100349684273,0.18299453948340522,CD28,1
WP_T_CELL_RECEPTOR_AND_COSTIMULATORY_SIGNALING,WP_T_CELL_RECEPTOR_AND_COSTIMULATORY_SIGNALING,1/17,12/3279,0.08333333333333333,16.073529411764707,3.775878102477783,0.060569152597168,0.2033100349684273,0.18299453948340522,CD28,1
WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT,WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT,1/17,13/3279,0.07692307692307693,14.83710407239819,3.60824277181939,0.06545752860140719,0.2033100349684273,0.18299453948340522,TLR8,1
WP_MYD88_DISTINCT_INPUTOUTPUT_PATHWAY,WP_MYD88_DISTINCT_INPUTOUTPUT_PATHWAY,1/17,13/3279,0.07692307692307693,14.83710407239819,3.60824277181939,0.06545752860140719,0.2033100349684273,0.18299453948340522,TLR8,1
WP_POSTCOVID_NEUROINFLAMMATION,WP_POSTCOVID_NEUROINFLAMMATION,1/17,13/3279,0.07692307692307693,14.83710407239819,3.60824277181939,0.06545752860140719,0.2033100349684273,0.18299453948340522,TLR8,1
WP_PURINERGIC_SIGNALING,WP_PURINERGIC_SIGNALING,1/17,13/3279,0.07692307692307693,14.83710407239819,3.60824277181939,0.06545752860140719,0.2033100349684273,0.18299453948340522,LPAR4,1
WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES,WP_METABOLIC_PATHWAY_OF_LDL_HDL_AND_TG_INCLUDING_DISEASES,1/17,14/3279,0.07142857142857142,13.777310924369747,3.4581899558774727,0.07032195665216523,0.2033100349684273,0.18299453948340522,LIPG,1
WP_GENETIC_CAUSES_OF_PORTOSINUSOIDAL_VASCULAR_DISEASE,WP_GENETIC_CAUSES_OF_PORTOSINUSOIDAL_VASCULAR_DISEASE,1/17,15/3279,0.06666666666666667,12.858823529411765,3.3227611027229,0.07516254677066858,0.2033100349684273,0.18299453948340522,TLR8,1
WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,1/17,16/3279,0.0625,12.055147058823529,3.199653394131258,0.07997940850623797,0.2033100349684273,0.18299453948340522,SELE,1
WP_TOLLLIKE_RECEPTOR_SIGNALING_RELATED_TO_MYD88,WP_TOLLLIKE_RECEPTOR_SIGNALING_RELATED_TO_MYD88,1/17,16/3279,0.0625,12.055147058823529,3.199653394131258,0.07997940850623797,0.2033100349684273,0.18299453948340522,TLR8,1
WP_INFLAMMATORY_RESPONSE_PATHWAY,WP_INFLAMMATORY_RESPONSE_PATHWAY,1/17,17/3279,0.058823529411764705,11.346020761245674,3.0870437532236386,0.08477265093816999,0.2033100349684273,0.18299453948340522,CD28,1
WP_PROSTAGLANDIN_SIGNALING,WP_PROSTAGLANDIN_SIGNALING,1/17,17/3279,0.058823529411764705,11.346020761245674,3.0870437532236386,0.08477265093816999,0.2033100349684273,0.18299453948340522,CD28,1
WP_DISRUPTION_OF_POSTSYNAPTIC_SIGNALING_BY_CNV,WP_DISRUPTION_OF_POSTSYNAPTIC_SIGNALING_BY_CNV,1/17,18/3279,0.05555555555555555,10.715686274509803,2.9834673732449257,0.08954238267760928,0.2033100349684273,0.18299453948340522,TJP1,1
WP_MIRNA_ROLE_IN_IMMUNE_RESPONSE_IN_SEPSIS,WP_MIRNA_ROLE_IN_IMMUNE_RESPONSE_IN_SEPSIS,1/17,18/3279,0.05555555555555555,10.715686274509803,2.9834673732449257,0.08954238267760928,0.2033100349684273,0.18299453948340522,TLR8,1
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,1/17,19/3279,0.05263157894736842,10.151702786377708,2.887731862535672,0.09428871186941556,0.2033100349684273,0.18299453948340522,RPS4Y1,1
WP_TCELL_ANTIGEN_RECEPTOR_TCR_PATHWAY_DURING_STAPHYLOCOCCUS_AUREUS_INFECTION,WP_TCELL_ANTIGEN_RECEPTOR_TCR_PATHWAY_DURING_STAPHYLOCOCCUS_AUREUS_INFECTION,1/17,19/3279,0.05263157894736842,10.151702786377708,2.887731862535672,0.09428871186941556,0.2033100349684273,0.18299453948340522,CD28,1
WP_MODULATORS_OF_TCR_SIGNALING_AND_T_CELL_ACTIVATION,WP_MODULATORS_OF_TCR_SIGNALING_AND_T_CELL_ACTIVATION,1/17,20/3279,0.05,9.644117647058824,2.7988552834702896,0.09901174619402286,0.20702456022386598,0.18633789554855978,CD28,1
WP_IL3_SIGNALING,WP_IL3_SIGNALING,1/17,22/3279,0.045454545454545456,8.767379679144385,2.638541641500899,0.10838835865235597,0.21367990705750178,0.1923282153530527,IL3RA,1
WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_PATHWAY,WP_NOVEL_INTRACELLULAR_COMPONENTS_OF_RIGILIKE_RECEPTOR_PATHWAY,1/17,22/3279,0.045454545454545456,8.767379679144385,2.638541641500899,0.10838835865235597,0.21367990705750178,0.1923282153530527,DDX3Y,1
WP_15Q11Q13_COPY_NUMBER_VARIATION,WP_15Q11Q13_COPY_NUMBER_VARIATION,1/17,25/3279,0.04,7.715294117647058,2.4328381961489662,0.12228123134730773,0.22803797197200631,0.20525156897556635,TJP1,1
WP_NETRINUNC5B_SIGNALING,WP_NETRINUNC5B_SIGNALING,1/17,25/3279,0.04,7.715294117647058,2.4328381961489662,0.12228123134730773,0.22803797197200631,0.20525156897556635,SELE,1
WP_T_CELL_MODULATION_IN_PANCREATIC_CANCER,WP_T_CELL_MODULATION_IN_PANCREATIC_CANCER,1/17,26/3279,0.038461538461538464,7.418552036199095,2.3717486701693624,0.12686673198255527,0.23036327649463983,0.20734452041470255,CD28,1
WP_TCELL_ACTIVATION_SARSCOV2,WP_TCELL_ACTIVATION_SARSCOV2,1/17,27/3279,0.037037037037037035,7.143790849673202,2.313822251960453,0.13142967866447874,0.23252943148330854,0.20929422513371787,CD28,1
WP_MECP2_AND_ASSOCIATED_RETT_SYNDROME,WP_MECP2_AND_ASSOCIATED_RETT_SYNDROME,1/17,29/3279,0.034482758620689655,6.651115618661258,2.206370632263526,0.14048832584495596,0.238188382890222,0.21438771305145846,FKBP5,1
WP_GPCRS_CLASS_A_RHODOPSINLIKE,WP_GPCRS_CLASS_A_RHODOPSINLIKE,2/17,129/3279,0.015503875968992248,2.990424076607387,1.6648386573029885,0.14233273868777474,0.238188382890222,0.21438771305145846,LPAR4/FPR2,2
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME,WP_1P36_COPY_NUMBER_VARIATION_SYNDROME,1/17,30/3279,0.03333333333333333,6.429411764705883,2.156381058143233,0.1449842330636134,0.238188382890222,0.21438771305145846,CDK11A,1
