TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
ATF2,-1.253671085301157,0,1,24,1,0.055760789567065094,0.055760789567065094,FALSE,1,1,1
DUX4,-1.0722493713777654,0,1,37,1,0.08467410768021388,0.08467410768021388,FALSE,1,1,1
TBP,-0.9822221825400254,0,1,46,1,0.10417843222159862,0.10417843222159862,FALSE,1,1,1
ELF1,-0.9399192912816849,0,1,51,1,0.11483670126912904,0.11483670126912904,FALSE,1,1,1
PAX5,-0.9091309378414554,0,1,55,1,0.12327331136824315,0.12327331136824315,FALSE,1,1,1
SNAI2,-0.8354455284350284,0,1,66,1,0.14606779440878814,0.14606779440878814,FALSE,1,1,1
GATA3,-0.7951520327874315,0,1,73,1,0.16026842433189603,0.16026842433189603,FALSE,1,1,1
IRF2,-0.7791522160020314,0,1,76,1,0.16628297425337246,0.16628297425337246,FALSE,1,1,1
IRF3,0.7664170692967135,1,0,74,0.17123121200489666,1,0.17123121200489666,FALSE,1,1,1
NRF1,-0.7638279279493995,0,1,79,1,0.1722550932631277,0.1722550932631277,FALSE,1,1,1
CEBPA,-0.5274353650591197,0,1,147,1,0.29686885329354573,0.29686885329354573,FALSE,1,1,1
ESR1,-0.5059693691854366,0,1,156,1,0.3119109567311703,0.3119109567311703,FALSE,1,1,1
E2F4,-0.36272450824967,0,1,237,1,0.4337859603032459,0.4337859603032459,FALSE,1,1,1
STAT1,-0.2995128500202011,0,1,290,1,0.5017497329130334,0.5017497329130334,FALSE,1,1,1
ZNF263,-0.2730965774891183,0,1,317,1,0.5332163067868667,0.5332163067868667,FALSE,1,1,1
SP1,-0.2694531597841219,0,1,321,1,0.5377084237749721,0.5377084237749721,FALSE,1,1,1
NFKB1,0,0,0,7,1,1,1,FALSE,1,1,1
RELA,0,0,0,6,1,1,1,FALSE,1,1,1
STAT3,0,0,0,6,1,1,1,FALSE,1,1,1
JUN,0,0,0,6,1,1,1,FALSE,1,1,1
FOS,0,0,0,6,1,1,1,FALSE,1,1,1
CREB1,0,0,0,6,1,1,1,FALSE,1,1,1
EGR1,0,0,0,6,1,1,1,FALSE,1,1,1
HIF1A,0,0,0,6,1,1,1,FALSE,1,1,1
TP53,0,0,0,6,1,1,1,FALSE,1,1,1
MYC,0,0,0,6,1,1,1,FALSE,1,1,1
FOSB,0,0,0,6,1,1,1,FALSE,1,1,1
CREB1,0,0,0,6,1,1,1,FALSE,1,1,1
NPAS4,0,0,0,6,1,1,1,FALSE,1,1,1
NR4A1,0,0,0,6,1,1,1,FALSE,1,1,1
ELK1,0,0,0,6,1,1,1,FALSE,1,1,1
AHR,0,0,0,44,1,1,1,FALSE,1,1,1
AR,0,0,0,138,1,1,1,FALSE,1,1,1
ARID2,0,0,0,30,1,1,1,FALSE,1,1,1
ARID3A,0,0,0,25,1,1,1,FALSE,1,1,1
ARNT,0,0,0,63,1,1,1,FALSE,1,1,1
ARNTL,0,0,0,10,1,1,1,FALSE,1,1,1
ASCL1,0,0,0,54,1,1,1,FALSE,1,1,1
ATF1,0,0,0,20,1,1,1,FALSE,1,1,1
ATF3,0,0,0,50,1,1,1,FALSE,1,1,1
ATF4,0,0,0,16,1,1,1,FALSE,1,1,1
ATF6,0,0,0,10,1,1,1,FALSE,1,1,1
ATF7,0,0,0,28,1,1,1,FALSE,1,1,1
BACH1,0,0,0,30,1,1,1,FALSE,1,1,1
BACH2,0,0,0,51,1,1,1,FALSE,1,1,1
BATF,0,0,0,49,1,1,1,FALSE,1,1,1
BCL11A,0,0,0,36,1,1,1,FALSE,1,1,1
BCL6,0,0,0,46,1,1,1,FALSE,1,1,1
BHLHE22,0,0,0,21,1,1,1,FALSE,1,1,1
BHLHE40,0,0,0,58,1,1,1,FALSE,1,1,1
CDX2,0,0,0,17,1,1,1,FALSE,1,1,1
CEBPB,0,0,0,42,1,1,1,FALSE,1,1,1
CEBPD,0,0,0,14,1,1,1,FALSE,1,1,1
CEBPG,0,0,0,45,1,1,1,FALSE,1,1,1
CLOCK,0,0,0,52,1,1,1,FALSE,1,1,1
CREB1,0,0,0,6,1,1,1,FALSE,1,1,1
CREB3,0,0,0,25,1,1,1,FALSE,1,1,1
CREB3L1,0,0,0,21,1,1,1,FALSE,1,1,1
CREM,0,0,0,52,1,1,1,FALSE,1,1,1
CTCF,0,0,0,117,1,1,1,FALSE,1,1,1
CTCFL,0,0,0,54,1,1,1,FALSE,1,1,1
CUX1,0,0,0,41,1,1,1,FALSE,1,1,1
E2F1,0,0,0,324,1,1,1,FALSE,1,1,1
E2F2,0,0,0,14,1,1,1,FALSE,1,1,1
E2F3,0,0,0,13,1,1,1,FALSE,1,1,1
E2F5,0,0,0,13,1,1,1,FALSE,1,1,1
E2F6,0,0,0,69,1,1,1,FALSE,1,1,1
E2F7,0,0,0,30,1,1,1,FALSE,1,1,1
EBF1,0,0,0,75,1,1,1,FALSE,1,1,1
EGR1,0,0,0,6,1,1,1,FALSE,1,1,1
EHF,0,0,0,20,1,1,1,FALSE,1,1,1
ELF3,0,0,0,53,1,1,1,FALSE,1,1,1
ELF5,0,0,0,20,1,1,1,FALSE,1,1,1
ELK1,0,0,0,6,1,1,1,FALSE,1,1,1
ELK4,0,0,0,14,1,1,1,FALSE,1,1,1
EOMES,0,0,0,22,1,1,1,FALSE,1,1,1
EPAS1,0,0,0,13,1,1,1,FALSE,1,1,1
ERG,0,0,0,12,1,1,1,FALSE,1,1,1
ESR2,0,0,0,17,1,1,1,FALSE,1,1,1
ESRRA,0,0,0,69,1,1,1,FALSE,1,1,1
ETS1,0,0,0,145,1,1,1,FALSE,1,1,1
ETS2,0,0,0,30,1,1,1,FALSE,1,1,1
ETV1,0,0,0,29,1,1,1,FALSE,1,1,1
ETV4,0,0,0,15,1,1,1,FALSE,1,1,1
FLI1,0,0,0,13,1,1,1,FALSE,1,1,1
FOS,0,0,0,6,1,1,1,FALSE,1,1,1
FOSL1,0,0,0,11,1,1,1,FALSE,1,1,1
FOSL2,0,0,0,10,1,1,1,FALSE,1,1,1
FOXA1,0,0,0,31,1,1,1,FALSE,1,1,1
FOXA2,0,0,0,11,1,1,1,FALSE,1,1,1
FOXJ2,0,0,0,37,1,1,1,FALSE,1,1,1
FOXK2,0,0,0,51,1,1,1,FALSE,1,1,1
FOXL2,0,0,0,23,1,1,1,FALSE,1,1,1
FOXM1,0,0,0,34,1,1,1,FALSE,1,1,1
FOXO1,0,0,0,43,1,1,1,FALSE,1,1,1
FOXO3,0,0,0,38,1,1,1,FALSE,1,1,1
FOXO4,0,0,0,14,1,1,1,FALSE,1,1,1
FOXP1,0,0,0,174,1,1,1,FALSE,1,1,1
FOXP2,0,0,0,36,1,1,1,FALSE,1,1,1
GABPA,0,0,0,54,1,1,1,FALSE,1,1,1
GATA1,0,0,0,15,1,1,1,FALSE,1,1,1
GATA2,0,0,0,40,1,1,1,FALSE,1,1,1
GATA4,0,0,0,10,1,1,1,FALSE,1,1,1
GATA6,0,0,0,53,1,1,1,FALSE,1,1,1
GFI1B,0,0,0,29,1,1,1,FALSE,1,1,1
GLI2,0,0,0,16,1,1,1,FALSE,1,1,1
GRHL2,0,0,0,79,1,1,1,FALSE,1,1,1
HBP1,0,0,0,39,1,1,1,FALSE,1,1,1
HHEX,0,0,0,11,1,1,1,FALSE,1,1,1
HIF1A,0,0,0,6,1,1,1,FALSE,1,1,1
HINFP,0,0,0,16,1,1,1,FALSE,1,1,1
HMBOX1,0,0,0,27,1,1,1,FALSE,1,1,1
HNF1A,0,0,0,27,1,1,1,FALSE,1,1,1
HNF1B,0,0,0,40,1,1,1,FALSE,1,1,1
HNF4A,0,0,0,84,1,1,1,FALSE,1,1,1
HNF4G,0,0,0,56,1,1,1,FALSE,1,1,1
HOXA9,0,0,0,22,1,1,1,FALSE,1,1,1
HOXB13,0,0,0,46,1,1,1,FALSE,1,1,1
HSF1,0,0,0,12,1,1,1,FALSE,1,1,1
IKZF1,0,0,0,40,1,1,1,FALSE,1,1,1
IRF1,0,0,0,32,1,1,1,FALSE,1,1,1
IRF4,0,0,0,68,1,1,1,FALSE,1,1,1
IRF9,0,0,0,12,1,1,1,FALSE,1,1,1
JUN,0,0,0,6,1,1,1,FALSE,1,1,1
JUNB,0,0,0,52,1,1,1,FALSE,1,1,1
JUND,0,0,0,19,1,1,1,FALSE,1,1,1
KDM5B,0,0,0,18,1,1,1,FALSE,1,1,1
KLF1,0,0,0,51,1,1,1,FALSE,1,1,1
KLF13,0,0,0,31,1,1,1,FALSE,1,1,1
KLF3,0,0,0,13,1,1,1,FALSE,1,1,1
KLF4,0,0,0,12,1,1,1,FALSE,1,1,1
KLF5,0,0,0,82,1,1,1,FALSE,1,1,1
KLF6,0,0,0,51,1,1,1,FALSE,1,1,1
KLF9,0,0,0,68,1,1,1,FALSE,1,1,1
KMT2A,0,0,0,11,1,1,1,FALSE,1,1,1
LEF1,0,0,0,22,1,1,1,FALSE,1,1,1
LHX2,0,0,0,10,1,1,1,FALSE,1,1,1
LYL1,0,0,0,84,1,1,1,FALSE,1,1,1
MAF,0,0,0,39,1,1,1,FALSE,1,1,1
MAFB,0,0,0,53,1,1,1,FALSE,1,1,1
MAFF,0,0,0,42,1,1,1,FALSE,1,1,1
MAFG,0,0,0,37,1,1,1,FALSE,1,1,1
MAFK,0,0,0,50,1,1,1,FALSE,1,1,1
MAX,0,0,0,55,1,1,1,FALSE,1,1,1
MAZ,0,0,0,72,1,1,1,FALSE,1,1,1
MBD1,0,0,0,44,1,1,1,FALSE,1,1,1
MBD2,0,0,0,32,1,1,1,FALSE,1,1,1
MEF2A,0,0,0,102,1,1,1,FALSE,1,1,1
MEF2B,0,0,0,36,1,1,1,FALSE,1,1,1
MEF2C,0,0,0,73,1,1,1,FALSE,1,1,1
MEIS1,0,0,0,53,1,1,1,FALSE,1,1,1
MEIS2,0,0,0,62,1,1,1,FALSE,1,1,1
MITF,0,0,0,35,1,1,1,FALSE,1,1,1
MNT,0,0,0,56,1,1,1,FALSE,1,1,1
MXI1,0,0,0,77,1,1,1,FALSE,1,1,1
MYB,0,0,0,25,1,1,1,FALSE,1,1,1
MYBL2,0,0,0,27,1,1,1,FALSE,1,1,1
MYC,0,0,0,6,1,1,1,FALSE,1,1,1
MYCN,0,0,0,13,1,1,1,FALSE,1,1,1
MYOD1,0,0,0,47,1,1,1,FALSE,1,1,1
NANOG,0,0,0,49,1,1,1,FALSE,1,1,1
NCOA1,0,0,0,20,1,1,1,FALSE,1,1,1
NCOA2,0,0,0,18,1,1,1,FALSE,1,1,1
NCOA3,0,0,0,23,1,1,1,FALSE,1,1,1
NEUROD1,0,0,0,35,1,1,1,FALSE,1,1,1
NFATC1,0,0,0,35,1,1,1,FALSE,1,1,1
NFATC2,0,0,0,10,1,1,1,FALSE,1,1,1
NFE2,0,0,0,48,1,1,1,FALSE,1,1,1
NFE2L1,0,0,0,31,1,1,1,FALSE,1,1,1
NFE2L2,0,0,0,11,1,1,1,FALSE,1,1,1
NFIC,0,0,0,28,1,1,1,FALSE,1,1,1
NFKB1,0,0,0,7,1,1,1,FALSE,1,1,1
NFKB2,0,0,0,18,1,1,1,FALSE,1,1,1
NFYA,0,0,0,10,1,1,1,FALSE,1,1,1
NFYB,0,0,0,76,1,1,1,FALSE,1,1,1
NR1H2,0,0,0,13,1,1,1,FALSE,1,1,1
NR1H3,0,0,0,12,1,1,1,FALSE,1,1,1
NR2C2,0,0,0,88,1,1,1,FALSE,1,1,1
NR2F1,0,0,0,68,1,1,1,FALSE,1,1,1
NR2F2,0,0,0,18,1,1,1,FALSE,1,1,1
NR2F6,0,0,0,32,1,1,1,FALSE,1,1,1
NR3C1,0,0,0,10,1,1,1,FALSE,1,1,1
NR4A1,0,0,0,6,1,1,1,FALSE,1,1,1
NR5A1,0,0,0,15,1,1,1,FALSE,1,1,1
NR5A2,0,0,0,32,1,1,1,FALSE,1,1,1
ONECUT1,0,0,0,55,1,1,1,FALSE,1,1,1
OTX2,0,0,0,24,1,1,1,FALSE,1,1,1
PAX6,0,0,0,13,1,1,1,FALSE,1,1,1
PAX8,0,0,0,11,1,1,1,FALSE,1,1,1
PBX2,0,0,0,46,1,1,1,FALSE,1,1,1
PBX3,0,0,0,52,1,1,1,FALSE,1,1,1
PDX1,0,0,0,52,1,1,1,FALSE,1,1,1
PGR,0,0,0,11,1,1,1,FALSE,1,1,1
PKNOX1,0,0,0,36,1,1,1,FALSE,1,1,1
POU2F1,0,0,0,34,1,1,1,FALSE,1,1,1
POU2F2,0,0,0,10,1,1,1,FALSE,1,1,1
POU4F2,0,0,0,28,1,1,1,FALSE,1,1,1
POU5F1,0,0,0,72,1,1,1,FALSE,1,1,1
PPARA,0,0,0,32,1,1,1,FALSE,1,1,1
PPARG,0,0,0,41,1,1,1,FALSE,1,1,1
PRDM1,0,0,0,42,1,1,1,FALSE,1,1,1
