TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
STAT1,10.702833010824769,29,2,290,1.906465527540586e-11,0.961749496577042,4.716271557150567e-10,TRUE,5.452491408766076e-9,1,1.348853665345062e-7
CEBPA,6.695918531467952,16,0,147,2.0141020362580086e-7,1,2.0141020362580086e-7,TRUE,2.880165911848952e-5,1,2.880165911848952e-5
NPAS4,-5.892904036960693,0,4,6,1,1.279664031405233e-6,1.279664031405233e-6,TRUE,1,3.6598391298189664e-4,1.219946376606322e-4
ERG,5.422340129131653,5,0,12,3.7814631349729016e-6,1,3.7814631349729016e-6,TRUE,3.604994855340833e-4,1,2.703746141505625e-4
SPI1,4.673049994479821,11,1,102,1.7650951765467297e-5,0.8314155112577214,1.7800149572926588e-4,TRUE,0.0012620430512309117,1,0.0031647124492487
STAT4,4.334444213409044,4,0,10,4.6297313041826125e-5,1,4.6297313041826125e-5,TRUE,0.0019926877468514634,1,0.002324802371326707
JUND,4.311828742805571,5,0,19,4.8772077720140714e-5,1,4.8772077720140714e-5,TRUE,0.0019926877468514634,1,0.002324802371326707
SP1,4.207728873331259,20,5,321,4.045815207719489e-5,0.6527320172435845,3.0480049648253795e-4,TRUE,0.0019926877468514634,1,0.004142220704261651
REL,4.194911204955302,5,0,20,6.383939977013726e-5,1,6.383939977013726e-5,TRUE,0.0022822585417824072,1,0.002344681877555088
CREB1,-4.0071008603691425,0,3,6,1,9.837826059671699e-5,9.837826059671699e-5,TRUE,1,0.004689363755110176,0.002344681877555088
CREB1,-4.0071008603691425,0,3,6,1,9.837826059671699e-5,9.837826059671699e-5,TRUE,1,0.004689363755110176,0.002344681877555088
NR4A1,-4.0071008603691425,0,3,6,1,9.837826059671699e-5,9.837826059671699e-5,TRUE,1,0.004689363755110176,0.002344681877555088
CREB1,-4.0071008603691425,0,3,6,1,9.837826059671699e-5,9.837826059671699e-5,TRUE,1,0.004689363755110176,0.002344681877555088
NR4A1,-4.0071008603691425,0,3,6,1,9.837826059671699e-5,9.837826059671699e-5,TRUE,1,0.004689363755110176,0.002344681877555088
RELA,3.6772781767099993,3,0,6,2.1024313474029825e-4,1,2.1024313474029825e-4,TRUE,0.00429496689540895,1,0.0031647124492487
STAT3,3.6772781767099993,3,0,6,2.1024313474029825e-4,1,2.1024313474029825e-4,TRUE,0.00429496689540895,1,0.0031647124492487
TP53,3.6772781767099993,3,0,6,2.1024313474029825e-4,1,2.1024313474029825e-4,TRUE,0.00429496689540895,1,0.0031647124492487
RELA,3.6772781767099993,3,0,6,2.1024313474029825e-4,1,2.1024313474029825e-4,TRUE,0.00429496689540895,1,0.0031647124492487
STAT3,3.6772781767099993,3,0,6,2.1024313474029825e-4,1,2.1024313474029825e-4,TRUE,0.00429496689540895,1,0.0031647124492487
TP53,3.6772781767099993,3,0,6,2.1024313474029825e-4,1,2.1024313474029825e-4,TRUE,0.00429496689540895,1,0.0031647124492487
GATA2,3.616003262087619,6,0,40,2.4210108618880017e-4,1,2.4210108618880017e-4,TRUE,0.00461606070999979,1,0.003462045532499843
CEBPB,3.496710117215993,6,0,42,3.1863236186628087e-4,1,3.1863236186628087e-4,TRUE,0.005695553468359771,1,0.004142220704261651
STAT5B,3.442907380711675,4,0,16,3.60655549590993e-4,1,3.60655549590993e-4,TRUE,0.006067499246060235,1,0.0044846733557836515
SMAD3,3.1138653262399303,5,0,33,7.693689829220352e-4,1,7.693689829220352e-4,TRUE,0.010203984595502365,1,0.009168313713154252
FOXM1,3.0527431840836146,5,0,34,8.856391693244515e-4,1,8.856391693244515e-4,TRUE,0.011012730540295354,1,0.010131712097071725
STAT5A,2.9643487571878566,4,0,21,0.001085553527226727,1,0.001085553527226727,TRUE,0.012936179532785164,1,0.011088153885244426
FOXP2,2.936759334345194,5,0,36,0.001156753082977453,1,0.001156753082977453,TRUE,0.012979169771128514,1,0.011248613801644712
FOSL2,2.9281457719965953,3,0,10,0.0011799245246480467,1,0.0011799245246480467,TRUE,0.012979169771128514,1,0.011248613801644712
ETS2,2.921275713093865,5,1,30,4.880990112356169e-4,0.40717737758456984,0.0018927275059601408,TRUE,0.006979815860669322,1,0.015921178432488244
E2F1,2.9181437295913017,18,7,324,3.9590480860486355e-4,0.32789478255747284,0.0012915824707484275,TRUE,0.0062904875144994985,1,0.011915889891420978
RARA,2.8283231448055397,5,0,38,0.0014848304157462165,1,0.0014848304157462165,TRUE,0.01572820366308955,1,0.01327067184073181
FOSL1,2.7970772221635727,3,0,11,0.0015955954082303892,1,0.0015955954082303892,TRUE,0.016297867384067546,1,0.013828493537996705
ETS1,2.7555444715762505,11,4,145,4.248490862726843e-4,0.24197982601153045,0.0010468292195589806,TRUE,0.006395096772315143,1,0.011088153885244426
SP3,2.6491562820707437,7,1,77,0.0016576614222233842,0.7390130585917357,0.009438621876288435,FALSE,0.01634797126744441,1,0.05774186261189792
TBP,2.4553696616103005,5,0,46,0.0035045344893916974,1,0.0035045344893916974,TRUE,0.03037263224139471,1,0.028637053256172156
AR,2.4108238858935933,9,0,138,0.0038830779975949337,1,0.0038830779975949337,TRUE,0.03266353845035738,1,0.03084889742533753
ELK1,-2.3704135365884134,0,2,6,1,0.00426173521752126,0.00426173521752126,TRUE,1,0.15235703402638504,0.03207516505818632
ELK1,-2.3704135365884134,0,2,6,1,0.00426173521752126,0.00426173521752126,TRUE,1,0.15235703402638504,0.03207516505818632
ESR1,2.2317922628392557,11,5,156,7.849218919617204e-4,0.13385010149458523,0.001067529623635566,TRUE,0.010203984595502365,1,0.011088153885244426
POU2F1,2.1743367491906316,4,0,34,0.00669365386460259,1,0.00669365386460259,TRUE,0.05430505103569067,1,0.04669231720186197
HIF1A,2.1533240828819005,2,0,6,0.007025478630491451,1,0.007025478630491451,TRUE,0.05430505103569067,1,0.046727602053966394
HIF1A,2.1533240828819005,2,0,6,0.007025478630491451,1,0.007025478630491451,TRUE,0.05430505103569067,1,0.046727602053966394
MYBL2,2.117481127712798,4,1,27,0.002863795919011267,0.37533856873206517,0.008422361236459962,FALSE,0.026420826865716854,1,0.05474534803698976
TCF7L2,2.022386763152752,3,0,20,0.00949758604582591,1,0.00949758604582591,FALSE,0.06929023513427751,1,0.05774186261189792
NFKB1,2.0136340067002307,2,0,7,0.00969094197682203,1,0.00969094197682203,FALSE,0.06929023513427751,1,0.05774186261189792
NFKB1,2.0136340067002307,2,0,7,0.00969094197682203,1,0.00969094197682203,FALSE,0.06929023513427751,1,0.05774186261189792
FOXO3,2.002800796337491,4,0,38,0.009935716787375313,1,0.009935716787375313,FALSE,0.06930768295583756,1,0.05799214288141509
RBPJ,1.9358206267256899,5,0,61,0.011592560558099449,1,0.011592560558099449,FALSE,0.07710400743294052,1,0.06630944639232884
GATA6,-1.8796520857944905,0,4,53,1,0.01319313219867732,0.01319313219867732,FALSE,1,0.38372478552059935,0.07398501585924927
RELB,1.879441967261516,3,1,13,0.0026752321241710697,0.20267651967587053,0.004619527217387757,TRUE,0.025503879583764197,1,0.033876532927510215
FOXA2,-1.830953495952123,0,2,11,1,0.014758645596946129,0.014758645596946129,FALSE,1,0.38372478552059935,0.07964099322125646
HHEX,-1.830953495952123,0,2,11,1,0.014758645596946129,0.014758645596946129,FALSE,1,0.38372478552059935,0.07964099322125646
FOXO4,1.8104731215190895,3,1,14,0.0033487878708422583,0.21645157960370554,0.005965189356630916,TRUE,0.029929791595652684,1,0.04265110389991105
REST,-1.7567127472347641,0,2,12,1,0.017510044619546496,0.017510044619546496,FALSE,1,0.41732273009919146,0.09178610994057425
