"","Control_DLPFC_vs_NAC_full","Control_Male_vs_Female_full","DLPFC_OUD_vs_Control_full","Female_OUD_vs_Control_full","Male_OUD_vs_Control_full","NAC_OUD_vs_Control_full","OUD_DLPFC_vs_NAC_full","OUD_Male_vs_Female_full","Pooled_OUD_vs_Control_full"
"AHR",1.38039280565402,-0.889662944509455,0.940564789109261,1.73675253560618,0.77240804424143,1.43069021222365,0.958988606848826,-2.63081968465756,1.34104682773162
"AR",0.387306326147101,0.964150765767787,1.77998008472258,2.10941804186289,0.313893269862273,1.22182404593451,0.429004492595065,-1.89607601359903,1.82534815510648
"ARID2",0.763294690788539,1.07563132682598,1.34738307474979,2.44427642425381,1.23334033639519,2.19423221362722,0.29479453476813,-1.04910881949636,2.10583353541602
"ARID3A",-0.32829183077994,-2.88073330081169,1.77023674409408,0.716644907256131,0.191831800038658,0.0323178669186874,0.411821998559476,-3.32847218089534,0.63557286936322
"ARNT",1.69085190342587,0.702438390140436,1.23309498176644,1.86691111190079,0.895573376220178,1.34718568897783,1.80499565870726,-0.799596128172904,1.28257617128206
"ASCL1",1.44426938717675,0.0278276097384424,-0.640793834650981,-1.92596053064826,-2.31497252365706,-1.90984877050283,2.02450670468367,-2.73809825570033,-1.16632900524115
"ATF1",-1.81623007664268,-0.292428777801757,1.26229163318942,-0.498145855764767,0.316257890767375,-0.210832230441655,-1.5984254149811,1.03458090886737,-0.562724754965609
"ATF2",0.295094865297624,-2.80810786740494,0.822484136445188,-0.460850519607183,2.04543442297533,0.612393450424063,-0.407189331605391,-0.55565574736671,0.491950594568499
"ATF3",-0.308919094230573,1.87426024008765,-1.36101833976453,-1.34239374114721,-0.870338198085013,-1.26768639804439,-0.10787169327731,2.12651048639622,-1.36090715439492
"ATF4",0.441855114500641,0.134223056700259,2.87497414853401,1.66768270250173,2.27982954085333,0.55418027712406,1.12072679806284,-0.494615363925481,2.19348023692162
"ATF6",0.156231827836117,1.84851450625015,0.481642673428992,1.35934270921072,-0.69196604317387,0.429954486737254,0.0677324368954424,-0.56098834494157,0.599027075781708
"ATF7",-0.0449671980677263,-0.854102775830299,-0.951084508436282,-0.964492626047108,-1.12133516969514,-1.21286731533458,0.185195875873157,-1.07964376940564,-1.13432617318209
"BACH1",0.629877571018134,-0.0501239890267809,-0.972156407358433,-0.710423561606133,-0.540897717217899,-1.13941338723463,0.706435050579472,0.181846199667641,-0.674945478118799
"BACH2",1.83684073854923,1.16562532922879,0.0862064067377462,0.769805292095338,-0.71667775959435,-0.0989801764901375,1.65118064093722,-0.43180200025416,0.262204790088674
"BATF",-1.14208188993778,0.403048553538659,1.56498699067392,3.59406395709062,0.627792521499911,3.46791669480286,-1.50900236894186,-3.60535518660679,2.77144745182923
"BCL11A",-0.313121657903755,-1.29410532006343,0.364990123185908,1.42703079840037,0.604967147892254,1.34616241399522,-0.625414213628741,-2.8598758593733,1.01169039539212
"BCL6",-1.17811178138349,1.52558820106609,-1.42630294254645,-1.93407014526404,-0.723616690520964,-1.71097645604921,-1.10394617432215,3.07318133030986,-1.57456245045565
"BHLHE22",-0.0127012259085262,1.16492257210007,1.0284885323935,0.902173660317725,0.755826326194898,0.737832107403852,0.00994599033903015,0.934619220869127,1.24413050019552
