TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
STAT1,6.921465804576963,15,1,290,6.502382198321943e-8,0.5426731039425632,6.407976380123259e-7,TRUE,1.8596813087200758e-5,1,1.832681244715252e-4
RELA,4.851571521304615,3,0,6,1.4074354273349703e-5,1,1.4074354273349703e-5,TRUE,0.0013417551073926716,1,0.0013417551073926716
RELA,4.851571521304615,3,0,6,1.4074354273349703e-5,1,1.4074354273349703e-5,TRUE,0.0013417551073926716,1,0.0013417551073926716
REL,4.5597827239924005,4,0,20,2.755606979052587e-5,1,2.755606979052587e-5,TRUE,0.0019702589900226,1,0.0019702589900226
ETS1,4.282241082943041,8,0,145,5.22106280039559e-5,1,5.22106280039559e-5,TRUE,0.002488706601521898,1,0.002986447921826278
E2F1,4.159792807563755,12,1,324,4.0354201970147075e-5,0.5830174731491953,2.7426493578861655e-4,TRUE,0.002308260352692413,1,0.009804971454443041
FOSL1,3.9495837007322456,3,0,11,1.1230944969930756e-4,1,1.1230944969930756e-4,TRUE,0.004588643230571708,1,0.00535341710233366
SMAD3,3.672928223313099,4,0,33,2.1235954037084021e-4,1,2.1235954037084021e-4,TRUE,0.007591853568257537,1,0.008676404078008614
CEBPA,3.4202552886892628,7,0,147,3.7996597756723345e-4,1,3.7996597756723345e-4,TRUE,0.012074474398247641,1,0.012074474398247641
CEBPB,3.263378260925568,4,0,42,5.452827249647239e-4,1,5.452827249647239e-4,TRUE,0.015595085933991105,1,0.015595085933991105
JUND,3.203826290220072,3,0,19,6.254228003340862e-4,1,6.254228003340862e-4,TRUE,0.01626099280868624,1,0.01626099280868624
STAT3,2.9281759377893684,2,0,6,0.0011798425707571613,1,0.0011798425707571613,TRUE,0.02595653655665755,1,0.02595653655665755
STAT3,2.9281759377893684,2,0,6,0.0011798425707571613,1,0.0011798425707571613,TRUE,0.02595653655665755,1,0.02595653655665755
NFKB1,2.784628693151684,2,0,7,0.001641993020820828,1,0.001641993020820828,TRUE,0.03130733359698379,1,0.03130733359698379
NFKB1,2.784628693151684,2,0,7,0.001641993020820828,1,0.001641993020820828,TRUE,0.03130733359698379,1,0.03130733359698379
STAT4,2.4613666247040342,2,0,10,0.0034564746437011243,1,0.0034564746437011243,FALSE,0.05557368729790728,1,0.05557368729790728
STAT6,2.4613666247040342,2,0,10,0.0034564746437011243,1,0.0034564746437011243,FALSE,0.05557368729790728,1,0.05557368729790728
FOXM1,2.4562243149724474,3,0,34,0.0034976446551130452,1,0.0034976446551130452,FALSE,0.05557368729790728,1,0.05557368729790728
GATA3,2.369567134462974,4,0,73,0.004270049067187294,1,0.004270049067187294,FALSE,0.06427547543239821,1,0.06427547543239821
RARA,2.318515738409964,3,0,38,0.004802686754542674,1,0.004802686754542674,FALSE,0.0651273528980395,1,0.0651273528980395
ERG,2.3001799256779307,2,0,12,0.00500979637677227,1,0.00500979637677227,FALSE,0.0651273528980395,1,0.0651273528980395
KLF4,2.3001799256779307,2,0,12,0.00500979637677227,1,0.00500979637677227,FALSE,0.0651273528980395,1,0.0651273528980395
E2F3,2.2301987989651084,2,0,13,0.005885741729520194,1,0.005885741729520194,FALSE,0.07013842227678231,1,0.07013842227678231
RELB,2.2301987989651084,2,0,13,0.005885741729520194,1,0.005885741729520194,FALSE,0.07013842227678231,1,0.07013842227678231
E2F2,2.1658196657648823,2,0,14,0.006826220838283694,1,0.006826220838283694,FALSE,0.07809196638996546,1,0.07809196638996546
TWIST1,2.10623752891077,2,0,15,0.007830012783306577,1,0.007830012783306577,FALSE,0.08613014061637234,1,0.08613014061637234
TBP,2.0861920335621438,3,0,46,0.008199888867045275,1,0.008199888867045275,FALSE,0.08685808207314626,1,0.08685808207314626
ATF1,1.8614736902835551,2,0,20,0.013757081486470679,1,0.013757081486470679,FALSE,0.1405187608975219,1,0.1405187608975219
TFAP2A,1.7351161198064107,3,0,62,0.01840279889493981,1,0.01840279889493981,FALSE,0.1814896718604409,1,0.1814896718604409
ATF2,1.7095243660476513,2,0,24,0.019519812152638944,1,0.019519812152638944,FALSE,0.18608887585515793,1,0.18608887585515793
MYBL2,1.612760886876644,2,0,27,0.024391533936999818,1,0.024391533936999818,FALSE,0.21799933456193588,1,0.21799933456193588
SMAD4,1.612760886876644,2,0,27,0.024391533936999818,1,0.024391533936999818,FALSE,0.21799933456193588,1,0.21799933456193588
SP1,1.5750538407742043,7,0,321,0.0266039522227244,1,0.0266039522227244,FALSE,0.23056758593027812,1,0.23056758593027812
TEAD4,1.5500732716004815,3,0,73,0.028179074704484174,1,0.028179074704484174,FALSE,0.23703574604360217,1,0.23703574604360217
ETS2,1.5271960313145816,2,0,30,0.02970324987424227,1,0.02970324987424227,FALSE,0.2427179846866654,1,0.2427179846866654
WT1,1.5007675810846388,2,0,31,0.03156693521188163,1,0.03156693521188163,FALSE,0.2496383094873633,1,0.2496383094873633
