TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
STAT1,10.221685965437048,36,7,290,5.825028799400933e-11,0.9704743075783999,1.3904356175248197e-9,TRUE,1.6659582366286667e-8,1,1.9883229330604922e-7
SIX5,-9.884085777657443,0,12,25,1,1.3059129313310013e-10,1.3059129313310013e-10,TRUE,1,3.567704520855635e-8,3.734910983606664e-8
IRF3,-9.47146300968232,2,19,74,0.7387812265997031,2.494898266332612e-10,4.315696715416103e-9,TRUE,1,3.567704520855635e-8,4.114297535363351e-7
ZNF263,-9.323508036214712,3,41,317,0.9991065191764257,4.743552991243676e-10,1.0649220444982594e-8,TRUE,1,4.522187184985638e-8,6.091354094530044e-7
MAZ,-8.059307430570232,0,17,72,1,8.72353623680887e-9,8.72353623680887e-9,TRUE,1,6.237328409318341e-7,6.091354094530044e-7
NR2F1,-5.969103396926565,0,14,68,1,1.0737337471393978e-6,1.0737337471393978e-6,TRUE,1,6.141757033637356e-5,5.1181308613644626e-5
ZBTB7A,-5.140963571701319,0,15,90,1,7.2283043153932185e-6,7.2283043153932185e-6,TRUE,1,3.4454917236707676e-4,2.953278620289229e-4
SNAPC4,-4.51305400701559,0,8,30,1,3.068640361592282e-5,3.068640361592282e-5,TRUE,1,0.0010970389292692408,0.0010970389292692408
SNAI2,-4.455322412534533,2,12,66,0.6794748908175501,2.3815022710334134e-5,1.9469233026731507e-4,TRUE,1,9.730137850222231e-4,0.006186889606272457
SPI1,4.21805751849033,13,1,102,5.9877387209876355e-5,0.9892825755985225,6.358347539557231e-4,TRUE,0.005708310914008212,1,0.015154061635944733
REL,4.096406754288739,6,1,20,4.713676194357669e-5,0.588527146084989,3.1881896134570406e-4,TRUE,0.005708310914008212,1,0.009118222294487137
THAP1,-3.253502551151887,0,9,55,1,5.578243253352102e-4,5.578243253352102e-4,TRUE,1,0.015953775704587014,0.014503432458715465
CTCFL,-3.2464762753278507,1,9,54,0.855472782686159,4.849868033447899e-4,0.00364586812765111,FALSE,1,0.015411802861845547,0.05487990971095882
RELA,3.0970885571995592,3,0,6,7.996711770413237e-4,1,7.996711770413237e-4,TRUE,0.04574119132676372,1,0.016336139759558468
RELA,3.0970885571995592,3,0,6,7.996711770413237e-4,1,7.996711770413237e-4,TRUE,0.04574119132676372,1,0.016336139759558468
PRDM14,-3.023826178615288,2,19,196,0.992817549607977,9.398169355782745e-4,0.007443104997078784,FALSE,1,0.020675972582722038,0.08869700121518884
KLF5,-2.9838525823159334,2,11,82,0.7884555370832254,8.183227501103675e-4,0.005384888641861061,FALSE,1,0.019503358877630425,0.0700035523441938
KLF9,-2.8050176786397296,3,10,68,0.4296981978213271,6.732027069276772e-4,0.0026463178755104216,TRUE,1,0.017503270380119607,0.047302932024748785
FOXP2,2.7356815923586115,6,1,36,0.0014664160564360844,0.7978822425127813,0.009068563798593367,FALSE,0.052424374017590016,1,0.10374436985590811
CEBPA,2.6761591282754256,13,1,147,0.002104818752882987,0.9985592354478201,0.015059230315069965,FALSE,0.06688646259161492,1,0.1367885436422394
MBD2,-2.6439378890697256,0,6,32,1,0.0022701895014138633,0.0022701895014138633,TRUE,1,0.04637672838602606,0.04328494649362433
E2F1,2.556110094755713,23,15,324,0.0012136770417959485,0.43673020706638876,0.00452796858045787,FALSE,0.049587376279091606,1,0.061666619714807185
ZNF274,2.5044831469565167,4,0,18,0.003129801922944425,1,0.003129801922944425,TRUE,0.08137484999655505,1,0.04972907499789476
BCL6,2.4877620384222014,7,3,46,0.0010488233773166848,0.32245149679539487,0.0030410088761007393,TRUE,0.049587376279091606,1,0.04972907499789476
STAT4,2.364829785850338,3,0,10,0.004316882363531989,1,0.004316882363531989,FALSE,0.09497141199770377,1,0.061666619714807185
GATA2,2.3094770789694428,6,2,40,0.0025655396623329007,0.5231856360907041,0.010219119993874965,FALSE,0.07337443434272096,1,0.11241031993262462
FOSL1,2.237946741945333,3,0,11,0.005781669443663219,1,0.005781669443663219,FALSE,0.11811124720626288,1,0.07189380264729046
JUND,2.1696964344868808,4,1,19,0.0038552782443950573,0.5698389906129471,0.015643409127174743,FALSE,0.09188413149141553,1,0.1367885436422394
BATF,2.092768337239668,6,1,49,0.00716075302011324,0.8865985814025272,0.038470048884423395,FALSE,0.13653169091682577,1,0.22004867961890182
FOXP1,2.051777135907756,13,3,174,0.008721606059678899,0.9825928561998369,0.04935779834855243,FALSE,0.14672819606283324,1,0.25207732728010707
E2F6,-1.966982627602494,1,8,69,0.9156083697344248,0.009879321672738021,0.05160941230354136,FALSE,1,0.17659287490019213,0.2522482188153143
NR2F6,-1.9353724537933699,0,5,32,1,0.011604529748930538,0.011604529748930538,FALSE,1,0.184383083788563,0.11910553096831221
MBD1,-1.8429639023497364,1,6,44,0.793155856653706,0.011386614904606658,0.05154244539251646,FALSE,1,0.184383083788563,0.2522482188153143
CEBPB,1.8124667728286514,5,0,42,0.015400443478649618,1,0.015400443478649618,FALSE,0.19697319558272572,1,0.1367885436422394
MAX,-1.7904589179592314,2,7,55,0.5805842267706882,0.009406029031366859,0.033913442445256015,FALSE,1,0.17659287490019213,0.20636690509240893
STAT3,1.7733783998153985,2,0,6,0.016850841754875195,1,0.016850841754875195,FALSE,0.19697319558272572,1,0.1367885436422394
TP53,1.7733783998153985,2,0,6,0.016850841754875195,1,0.016850841754875195,FALSE,0.19697319558272572,1,0.1367885436422394
STAT3,1.7733783998153985,2,0,6,0.016850841754875195,1,0.016850841754875195,FALSE,0.19697319558272572,1,0.1367885436422394
TP53,1.7733783998153985,2,0,6,0.016850841754875195,1,0.016850841754875195,FALSE,0.19697319558272572,1,0.1367885436422394
STAT5B,1.7640138066246198,3,0,16,0.017218138360561602,1,0.017218138360561602,FALSE,0.19697319558272572,1,0.1367885436422394
ZNF639,1.7469855544409991,4,0,29,0.017906654143884156,1,0.017906654143884156,FALSE,0.19697319558272572,1,0.1384135968959694
ARID2,1.6967798855946654,4,0,30,0.020101113435257348,1,0.020101113435257348,FALSE,0.21292290527717045,1,0.15128732743377898
HBP1,1.6519100783919924,5,2,39,0.011357681471029772,0.5095652025490602,0.035604910642359634,FALSE,0.17748208029491472,1,0.2097033614132319
NRF1,-1.64784705812109,1,8,79,0.9410533384146229,0.021172258196508132,0.09794387993032716,FALSE,1,0.3027632922100663,0.3501493707509196
NFKB1,1.6374036346558836,2,0,7,0.023046042866001062,1,0.023046042866001062,FALSE,0.22728166412676912,1,0.1647792064919076
NFKB1,1.6374036346558836,2,0,7,0.023046042866001062,1,0.023046042866001062,FALSE,0.22728166412676912,1,0.1647792064919076
SP4,-1.625743316125765,2,7,60,0.628107860551435,0.014869313303983507,0.05298782937486272,FALSE,1,0.22382229499680437,0.2522482188153143
EGR1,-1.599649125902352,0,2,6,1,0.02513916648445549,0.02513916648445549,FALSE,1,0.3268091642979214,0.17118575272748263
