TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
SPIB,-4.134230312212636,15,35,61,0.7452826052517105,5.471301818007728e-5,4.52922709172338e-4,FALSE,1,0.015647923199502103,0.06476794741164434
NR2F6,3.7864867487037603,19,4,32,1.6311552511161703e-4,0.9976588220456428,0.001582323615410092,FALSE,0.01698751381409059,1,0.0826509031008522
ZNF263,3.734084293119994,117,85,317,1.823292502997383e-4,0.9884179855749329,0.0017339350300878084,FALSE,0.01698751381409059,1,0.0826509031008522
THAP11,3.6158079827230543,50,28,116,2.3758760579147678e-4,0.9809158765297475,0.0021823691136000113,FALSE,0.01698751381409059,1,0.08576189578341092
TBX21,-3.4455573575715657,17,40,77,0.8900152943133024,3.1903630898654005e-4,0.0026028650713850955,FALSE,1,0.045622192185075225,0.08576189578341092
NCOA2,3.148512022593955,12,4,18,6.28715196945985e-4,0.8850462791515861,0.004726389541561501,FALSE,0.02996875772109195,1,0.11264561740721576
SOX13,-2.9459192511019285,10,24,42,0.7615659991349075,8.625579755868622e-4,0.005470611334778706,FALSE,1,0.06538107227756133,0.12035344936513152
MAFF,2.9385747020316635,22,14,42,5.906097610297401e-4,0.5127141723824526,0.0027563316293203423,FALSE,0.02996875772109195,1,0.08576189578341092
FOSB,-2.9280946394857055,0,6,6,1,0.0011800634535498447,0.0011800634535498447,FALSE,1,0.06749962954305112,0.0826509031008522
HOXB13,2.873936042179988,23,13,46,0.0010401384107091886,0.778085239456486,0.006571098936305364,FALSE,0.03636731113466654,1,0.13423816398452385
CUX1,2.858909667564648,21,11,41,0.001144425874867129,0.8269844357175951,0.007536192612561249,FALSE,0.03636731113466654,1,0.13470944294953233
FOXP1,2.6784414562135646,70,65,174,2.0972983046032293e-4,0.10002341127850582,2.4695262561456356e-4,FALSE,0.01698751381409059,0.8298061973291758,0.06476794741164434
SP4,2.4742961575130558,27,16,60,0.0029074275119519207,0.8665727998765633,0.01759540470936292,FALSE,0.06604470826368641,1,0.2012914298751118
ZEB2,-2.465051372346152,15,28,53,0.5073534645698392,0.0017388385424896716,0.007086834062322861,FALSE,1,0.08288463719200767,0.13470944294953233
ARNT,2.4580737579939207,29,22,63,0.0013468761044235485,0.38672425006871464,0.004458649808580122,FALSE,0.03852065658651349,1,0.11264561740721576
MEF2A,2.452642297607861,43,36,102,0.0010835200697434915,0.3072410620316271,0.0029986676847346475,FALSE,0.03636731113466654,1,0.08576189578341092
IKZF1,-2.409541094754125,10,22,40,0.700940506719022,0.0027298580418864313,0.013889554680648822,FALSE,1,0.11153419999707419,0.1805642108484347
MEIS2,2.390080674517991,28,20,62,0.0023003163173294853,0.5647655983860209,0.0099332898174954,FALSE,0.059808224250566616,1,0.1495221519896676
E2F6,2.3138195586442976,30,21,69,0.003332812464852119,0.6864840253144018,0.01619874553906616,FALSE,0.06808459749626472,1,0.19303505100720506
SIX2,2.2799628996225696,19,11,39,0.004036959547939899,0.7691610741031714,0.021035989155561572,FALSE,0.0769713620473874,1,0.21486760351752177
NANOG,2.2592509403551,23,16,49,0.0030020321938039277,0.5453386587422986,0.012138971687453804,FALSE,0.06604470826368641,1,0.16747544853600888
NFYB,2.237422736405194,32,22,76,0.004531003789209656,0.7827393400634942,0.02355565818930123,FALSE,0.0809916927321226,1,0.2208662338394582
ASCL1,2.1769134859200303,24,14,54,0.005872857043607941,0.8825979519613323,0.032459825613532146,FALSE,0.08840195339325636,1,0.2436997211321624
TEAD1,-2.089917075537807,42,59,128,0.11247683123818834,9.144205912945642e-4,0.0010472536559406845,FALSE,0.4948980574480287,0.06538107227756133,0.0826509031008522
MXI1,2.0486672673681374,32,24,77,0.005731480864496981,0.6411123074850679,0.024275118262970408,FALSE,0.08840195339325636,1,0.2208662338394582
ZBTB11,2.046343813653513,12,6,22,0.006921662643341991,0.7701126228611392,0.033231780154385784,FALSE,0.09897977579979048,1,0.2436997211321624
MYOD1,2.0332296020565406,21,10,47,0.008969806830756643,0.9683061550361729,0.04990784519902824,FALSE,0.12216022636173332,1,0.33011425991782695
SPI1,-2.0327709577005977,11,45,102,0.9999910405863364,0.009273104442736043,0.05267675192183324,FALSE,1,0.2930554825658215,0.33011425991782695
BATF,-1.9549873287848691,14,25,49,0.4943112763636547,0.005482936157260885,0.018729924290275334,FALSE,1,0.19601496762207662,0.20602916719302866
STAT2,-1.936731996522493,4,20,39,0.9978898088135926,0.011543847763537849,0.0629392003428685,FALSE,1,0.30014004185198406,0.35295316270706645
SOX10,-1.861439325544353,2,10,16,0.9596774963167932,0.01320340623187421,0.068023546847804,FALSE,1,0.3047310797311577,0.3705731854156843
FOXK2,1.8607764102349202,22,13,51,0.012277602955097567,0.8910252162804955,0.06033614144896825,FALSE,0.15690305927553244,1,0.35295316270706645
