TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
ELF1,-2.5830902003899854,0,2,51,1,0.002611618880303508,0.002611618880303508,FALSE,1,0.7469229997668033,0.7469229997668033
IRF2,-2.243912299616257,0,2,76,1,0.00570279421509451,0.00570279421509451,FALSE,1,0.8154995727585149,0.8154995727585149
EOMES,-1.4931201575718847,0,1,22,1,0.03212771528417635,0.03212771528417635,FALSE,1,1,1
REL,1.3784932150579297,1,0,20,0.041831822394693186,1,0.041831822394693186,FALSE,1,1,1
KLF13,-1.3469938155487513,0,1,31,1,0.04497862599053404,0.04497862599053404,FALSE,1,1,1
NR2F6,-1.3335177077317804,0,1,32,1,0.04639618722195793,0.04639618722195793,FALSE,1,1,1
HBP1,-1.2497863974977708,0,1,39,1,0.056261797401549574,0.056261797401549574,FALSE,1,1,1
SOX13,-1.2185363940343978,0,1,42,1,0.0604593684052791,0.0604593684052791,FALSE,1,1,1
ZKSCAN1,-1.1712442549491815,0,1,47,1,0.06741487677865177,0.06741487677865177,FALSE,1,1,1
BATF,-1.1537681240841342,0,1,49,1,0.07018299152410079,0.07018299152410079,FALSE,1,1,1
BHLHE40,-1.0833322238551644,0,1,58,1,0.08254062939042828,0.08254062939042828,FALSE,1,1,1
ARNT,-1.048970605323955,0,1,63,1,0.08933659480381673,0.08933659480381673,FALSE,1,1,1
SNAI2,-1.029696957175159,0,1,66,1,0.09339057360012137,0.09339057360012137,FALSE,1,1,1
ZNF384,-1.029696957175159,0,1,66,1,0.09339057360012137,0.09339057360012137,FALSE,1,1,1
IRF4,-1.0173514616593984,0,1,68,1,0.09608343888558768,0.09608343888558768,FALSE,1,1,1
ESRRA,-1.0113209213392287,0,1,69,1,0.09742694365287785,0.09742694365287785,FALSE,1,1,1
ATF3,0.9940747573990422,1,0,50,0.10137368708443928,1,0.10137368708443928,FALSE,1,1,1
NRF1,-0.9556355154842083,0,1,79,1,0.11075529151413288,0.11075529151413288,FALSE,1,1,1
AR,-0.7314895444012082,0,1,138,1,0.1855711484975202,0.1855711484975202,FALSE,1,1,1
ETS1,-0.7121328454273383,0,1,145,1,0.19402922748788298,0.19402922748788298,FALSE,1,1,1
FOXP1,-0.6417489220141692,0,1,174,1,0.22816607837319702,0.22816607837319702,FALSE,1,1,1
E2F4,-0.5264601029652342,0,1,237,1,0.297536258192974,0.297536258192974,FALSE,1,1,1
SP1,0.3025697368570848,1,0,321,0.4982304461693252,1,0.4982304461693252,FALSE,1,1,1
NFKB1,0,0,0,7,1,1,1,FALSE,1,1,1
RELA,0,0,0,6,1,1,1,FALSE,1,1,1
STAT3,0,0,0,6,1,1,1,FALSE,1,1,1
JUN,0,0,0,6,1,1,1,FALSE,1,1,1
FOS,0,0,0,6,1,1,1,FALSE,1,1,1
CREB1,0,0,0,6,1,1,1,FALSE,1,1,1
EGR1,0,0,0,6,1,1,1,FALSE,1,1,1
HIF1A,0,0,0,6,1,1,1,FALSE,1,1,1
TP53,0,0,0,6,1,1,1,FALSE,1,1,1
MYC,0,0,0,6,1,1,1,FALSE,1,1,1
FOSB,0,0,0,6,1,1,1,FALSE,1,1,1
CREB1,0,0,0,6,1,1,1,FALSE,1,1,1
NPAS4,0,0,0,6,1,1,1,FALSE,1,1,1
NR4A1,0,0,0,6,1,1,1,FALSE,1,1,1
ELK1,0,0,0,6,1,1,1,FALSE,1,1,1
AHR,0,0,0,44,1,1,1,FALSE,1,1,1
ARID2,0,0,0,30,1,1,1,FALSE,1,1,1
ARID3A,0,0,0,25,1,1,1,FALSE,1,1,1
ARNTL,0,0,0,10,1,1,1,FALSE,1,1,1
ASCL1,0,0,0,54,1,1,1,FALSE,1,1,1
ATF1,0,0,0,20,1,1,1,FALSE,1,1,1
ATF2,0,0,0,24,1,1,1,FALSE,1,1,1
ATF4,0,0,0,16,1,1,1,FALSE,1,1,1
ATF6,0,0,0,10,1,1,1,FALSE,1,1,1
ATF7,0,0,0,28,1,1,1,FALSE,1,1,1
BACH1,0,0,0,30,1,1,1,FALSE,1,1,1
BACH2,0,0,0,51,1,1,1,FALSE,1,1,1
BCL11A,0,0,0,36,1,1,1,FALSE,1,1,1
