TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
STAT1,10.131630260632202,39,6,290,6.433068359784218e-11,0.8710607141696847,1.3787656562624389e-9,TRUE,1.8398575508982864e-8,1,3.943269776910575e-7
SPI1,6.097041156855285,17,1,102,7.64372213968856e-7,0.9557538327482646,1.1052856606299177e-5,TRUE,1.0930522659754642e-4,1,7.902792473503912e-4
SIX5,-5.189648244749864,0,7,25,1,6.4617738618612644e-6,6.4617738618612644e-6,TRUE,1,0.0018480673244923216,7.902792473503912e-4
REL,5.050156622234004,7,0,20,8.909295788918251e-6,1,8.909295788918251e-6,TRUE,8.493528652102066e-4,1,7.902792473503912e-4
CEBPA,4.469353438198721,18,2,147,3.182591261377745e-5,0.9378519898049993,3.408459867905931e-4,TRUE,0.0022755527518850877,1,0.01624699203701827
ERG,4.158342343800748,5,0,12,6.944766626657968e-5,1,6.944766626657968e-5,TRUE,0.0039724065104483584,1,0.0039724065104483584
ZNF263,-3.994965367689737,4,23,317,0.9990934867777781,1.0107430414284108e-4,0.0010300800322494972,TRUE,1,0.014453625492426275,0.020359174019097537
GATA2,3.596777271340283,8,1,40,1.7844920957497186e-4,0.7051668696616153,0.0012559143351773133,TRUE,0.00729092484834885,1,0.020359174019097537
ETS2,3.5639685946028647,7,1,30,1.6370139738001335e-4,0.5998200535085967,0.001004359584995069,TRUE,0.00729092484834885,1,0.020359174019097537
STAT4,3.325047191526254,4,0,10,4.730998479537752e-4,1,4.730998479537752e-4,TRUE,0.015034061834975524,1,0.018063821810918413
NPAS4,-3.296466405597203,0,3,6,1,5.052817289767388e-4,5.052817289767388e-4,TRUE,1,0.04817019149578243,0.018063821810918413
ETS1,3.181051937564438,16,5,145,2.912164823423117e-4,0.44184290867393283,0.0012813466165865583,TRUE,0.010410989243737644,1,0.020359174019097537
RARA,3.116972561929563,7,0,38,7.638840430950745e-4,1,7.638840430950745e-4,TRUE,0.020360599579248132,1,0.020359174019097537
E2F1,3.001799317211637,26,7,324,8.542908914369846e-4,0.857837629927503,0.006022927226827207,FALSE,0.020360599579248132,1,0.06151989953116361
RELA,2.9097906644626192,3,0,6,0.0012308619191564684,1,0.0012308619191564684,TRUE,0.022001656804921874,1,0.020359174019097537
STAT3,2.9097906644626192,3,0,6,0.0012308619191564684,1,0.0012308619191564684,TRUE,0.022001656804921874,1,0.020359174019097537
RELA,2.9097906644626192,3,0,6,0.0012308619191564684,1,0.0012308619191564684,TRUE,0.022001656804921874,1,0.020359174019097537
STAT3,2.9097906644626192,3,0,6,0.0012308619191564684,1,0.0012308619191564684,TRUE,0.022001656804921874,1,0.020359174019097537
THAP1,-2.9036144635244243,0,7,55,1,0.0012484913463408987,0.0012484913463408987,TRUE,1,0.08926713126337425,0.020359174019097537
JUND,2.7385888712009017,5,1,19,8.033732372378371e-4,0.4400542616222557,0.0031632072459946365,TRUE,0.020360599579248132,1,0.03769488634810275
SMAD3,2.710688024171004,6,0,33,0.0019467580348252825,1,0.0019467580348252825,TRUE,0.02986907796694048,1,0.028446740920895695
AR,2.7059742398273983,14,3,138,0.0015504355174630793,0.7878217172573926,0.00941470294355888,FALSE,0.026083797529084747,1,0.07596807491777949
NFKB1,2.680114220955689,3,0,7,0.0020887467109748587,1,0.0020887467109748587,TRUE,0.02986907796694048,1,0.028446740920895695
NFKB1,2.680114220955689,3,0,7,0.0020887467109748587,1,0.0020887467109748587,TRUE,0.02986907796694048,1,0.028446740920895695
FOXM1,2.6413965990409003,6,0,34,0.0022835125403370313,1,0.0022835125403370313,TRUE,0.031099266025542426,1,0.029685663024381408
FOXP2,2.510563459414839,6,0,36,0.003086288642069318,1,0.003086288642069318,TRUE,0.04012175234690113,1,0.03769488634810275
STAT5B,2.472222111282061,4,0,16,0.00337114853870792,1,0.00337114853870792,TRUE,0.04191949922045501,1,0.0385659392828186
NR2F1,-2.3699442208991317,0,7,68,1,0.004266343105410306,0.004266343105410306,TRUE,1,0.18792102742819136,0.04692977415951337
SP3,2.3505396289522773,9,1,77,0.0040369631592843905,0.9048871376833476,0.02415436822357026,FALSE,0.04810714431480565,1,0.12335980914180524
ZNF274,2.2747430322417936,4,0,18,0.005311986562654181,1,0.005311986562654181,FALSE,0.060769126276763834,1,0.056267709515522076
MAZ,-2.2106128839006094,1,7,72,0.9502014936066642,0.005850632574482691,0.03442465448712656,FALSE,1,0.18792102742819136,0.16409085305530327
FOSL2,2.184912023607493,3,0,10,0.006532628727495661,1,0.006532628727495661,FALSE,0.07161190953859554,1,0.06442523503668135
CEBPB,2.1700170145842583,6,0,42,0.006760564886510768,1,0.006760564886510768,FALSE,0.07161190953859554,1,0.06445071858473599
CREB3L1,2.0254918632799717,4,0,21,0.00942992278717034,1,0.00942992278717034,FALSE,0.08699864248808765,1,0.07596807491777949
STAT5A,2.0254918632799717,4,0,21,0.00942992278717034,1,0.00942992278717034,FALSE,0.08699864248808765,1,0.07596807491777949
JUN,-1.9036370539644856,0,2,6,1,0.012484264059914811,0.012484264059914811,FALSE,1,0.18792102742819136,0.07596807491777949
FOS,-1.9036370539644856,0,2,6,1,0.012484264059914811,0.012484264059914811,FALSE,1,0.18792102742819136,0.07596807491777949
CREB1,-1.9036370539644856,0,2,6,1,0.012484264059914811,0.012484264059914811,FALSE,1,0.18792102742819136,0.07596807491777949
EGR1,-1.9036370539644856,0,2,6,1,0.012484264059914811,0.012484264059914811,FALSE,1,0.18792102742819136,0.07596807491777949
CREB1,-1.9036370539644856,0,2,6,1,0.012484264059914811,0.012484264059914811,FALSE,1,0.18792102742819136,0.07596807491777949
NR4A1,-1.9036370539644856,0,2,6,1,0.012484264059914811,0.012484264059914811,FALSE,1,0.18792102742819136,0.07596807491777949
ELK1,-1.9036370539644856,0,2,6,1,0.012484264059914811,0.012484264059914811,FALSE,1,0.18792102742819136,0.07596807491777949
CREB1,-1.9036370539644856,0,2,6,1,0.012484264059914811,0.012484264059914811,FALSE,1,0.18792102742819136,0.07596807491777949
EGR1,-1.9036370539644856,0,2,6,1,0.012484264059914811,0.012484264059914811,FALSE,1,0.18792102742819136,0.07596807491777949
ELK1,-1.9036370539644856,0,2,6,1,0.012484264059914811,0.012484264059914811,FALSE,1,0.18792102742819136,0.07596807491777949
FOS,-1.9036370539644856,0,2,6,1,0.012484264059914811,0.012484264059914811,FALSE,1,0.18792102742819136,0.07596807491777949
JUN,-1.9036370539644856,0,2,6,1,0.012484264059914811,0.012484264059914811,FALSE,1,0.18792102742819136,0.07596807491777949
NR4A1,-1.9036370539644856,0,2,6,1,0.012484264059914811,0.012484264059914811,FALSE,1,0.18792102742819136,0.07596807491777949
BHLHE40,1.764295774007951,7,2,58,0.009010717638973681,0.5236669373441079,0.029992648707649158,FALSE,0.08699864248808765,1,0.1478947850066838
TWIST1,1.6720089328847108,3,0,15,0.021280952733214658,1,0.021280952733214658,FALSE,0.16309961845459522,1,0.12040856859635837
HIF1A,1.6514327699477744,2,0,6,0.02231347599862585,1,0.02231347599862585,FALSE,0.16309961845459522,1,0.12040856859635837
TP53,1.6514327699477744,2,0,6,0.02231347599862585,1,0.02231347599862585,FALSE,0.16309961845459522,1,0.12040856859635837
HIF1A,1.6514327699477744,2,0,6,0.02231347599862585,1,0.02231347599862585,FALSE,0.16309961845459522,1,0.12040856859635837
TP53,1.6514327699477744,2,0,6,0.02231347599862585,1,0.02231347599862585,FALSE,0.16309961845459522,1,0.12040856859635837
MYBL2,1.641853096721919,4,0,27,0.022811135448195137,1,0.022811135448195137,FALSE,0.16309961845459522,1,0.12081453218858906
IRF3,-1.6228308750566867,0,6,74,1,0.023832473837661832,0.023832473837661832,FALSE,1,0.32457559607482306,0.12335980914180524
FOXO3,1.573501004977473,5,1,38,0.01833137464635023,0.6865877307280924,0.06765231609935575,FALSE,0.158871913601702,1,0.27016441117076345
ZNF639,1.5381213799048454,4,0,29,0.028965339293629905,1,0.028965339293629905,FALSE,0.1887182074361749,1,0.14533486031540618
HBP1,1.5342353149198569,5,1,39,0.02034163255133855,0.6960190396458893,0.07443603365375563,FALSE,0.16309961845459522,1,0.272932123397104
FOSL1,1.5149371468144448,3,1,11,0.008712556462680474,0.28515615650998216,0.017385380343597098,FALSE,0.08699864248808765,1,0.1035878912139327
AHR,1.4877137204779982,5,0,44,0.03253016600366566,1,0.03253016600366566,FALSE,0.20674727726774172,1,0.15768860130590473
TEAD4,1.4877101193370905,7,1,73,0.02903357037479614,0.8925048100920091,0.12057200446040306,FALSE,0.1887182074361749,1,0.3859981797464721
