TF,Activity_Score,P_value,FDR,Significant
ZNF263,8.309618748604583,9.601003566740336e-17,2.4098518952518242e-14,TRUE
PRDM14,-7.520250570064082,5.467136120663422e-14,6.861255831432595e-12,TRUE
ZBTB7A,4.61050386946584,4.016941633660418e-6,3.360841166829217e-4,TRUE
STAT2,-4.332149536918688,1.4766059265320904e-5,9.265702188988867e-4,TRUE
MAZ,-4.119913761069161,3.790142317381731e-5,0.0015184477838536487,TRUE
MNT,4.098777577835176,4.153379242071168e-5,0.0015184477838536487,TRUE
STAT3,-4.094285911576801,4.234714935050017e-5,0.0015184477838536487,TRUE
MYC,3.8646078869594205,1.1126780155429335e-4,0.0034910272737659538,TRUE
NR2F1,-3.8159745391031508,1.356464920231695e-4,0.0037830299442017275,TRUE
PPARA,-3.5176486199883876,4.3538846671882254e-4,0.010928250514642447,TRUE
SMAD3,-3.458188686231821,5.438203684019481e-4,0.012181671416210729,TRUE
THAP11,-3.4396854333427203,5.823906653168475e-4,0.012181671416210729,TRUE
MBD2,-3.1123274137209815,0.0018561851025803127,0.032332655162390374,TRUE
RELB,-3.10226291901995,0.0019204730830617795,0.032332655162390374,TRUE
RARA,-3.1004558167151983,0.0019322303881906598,0.032332655162390374,TRUE
ARID3A,-2.8807333008116855,0.003967512015564839,0.062240344744173406,FALSE
ATF2,-2.808107867404945,0.004983353174526067,0.07357774392976722,FALSE
ZBTB11,2.7219791172137247,0.006489224295029277,0.08584048138967135,FALSE
E2F4,2.721538323085654,0.006497885045433289,0.08584048138967135,FALSE
ZNF639,-2.697878567314448,0.006978289066117354,0.08727257246212207,FALSE
SRF,-2.6827621815624507,0.007301689329500253,0.08727257246212207,FALSE
IRF9,-2.5915422233172394,0.009554681597769829,0.10499843385931121,FALSE
CTCFL,-2.5845207843772084,0.009751442691903704,0.10499843385931121,FALSE
FOXL2,-2.574459261701675,0.010039690886946092,0.10499843385931121,FALSE
SNAI2,2.529518701095383,0.011421908693831096,0.11467596328606419,FALSE
TP63,-2.47505482212711,0.013321572534051291,0.1286044117710336,FALSE
NFKB2,2.4580353220162956,0.0139699433236229,0.12986873237886473,FALSE
ZNF740,-2.407537986051091,0.016060491319474013,0.1439708328995706,FALSE
BHLHE40,2.388520668162046,0.016916356800411415,0.14641398472080225,FALSE
FOXO1,-2.242171574328492,0.024950285553652553,0.20268664070524875,FALSE
SP3,-2.235719042172376,0.025370180888420062,0.20268664070524875,FALSE
NEUROD1,-2.2286000474652456,0.02584052789867713,0.20268664070524875,FALSE
ETS2,-2.201509685569868,0.02769996178324831,0.21068758810894928,FALSE
KLF5,-2.1634307737670957,0.030508062795893416,0.2187100629077559,FALSE
MBD1,2.1570474719517256,0.03100196577872158,0.2187100629077559,FALSE
KLF1,-2.152363019000705,0.03136877396286539,0.2187100629077559,FALSE
TEAD4,-2.1368519119340728,0.03261003830504673,0.22121944904234406,FALSE
ZBTB33,2.118503865571306,0.03413241788551631,0.22545360234906828,FALSE
PAX5,-2.0903857907762307,0.036583158262034975,0.235445454455661,FALSE
NR2C2,2.055844993869192,0.03979745952626438,0.24169953349649867,FALSE
REL,-2.0523442346479595,0.040136219933231465,0.24169953349649867,FALSE
TBX21,-2.049187881188786,0.040443746640848384,0.24169953349649867,FALSE
ZKSCAN1,-2.019771684597303,0.043407075503870615,0.2533761849179424,FALSE
EPAS1,-1.96976106223308,0.04886576108486084,0.27796787771968645,FALSE
TBP,-1.9613785656828544,0.049834878475641,0.27796787771968645,FALSE
PPARG,-1.937581350884839,0.05267431952523076,0.28741856958332435,FALSE
FLI1,-1.9242426090390858,0.054324180552445187,0.29011424082263276,FALSE
ELK1,-1.9075400796137885,0.05645068608815209,0.29519004600262866,FALSE
RELA,-1.8760864481658721,0.060643410247449056,0.30454597979493503,FALSE
ATF3,1.8742602400876547,0.06089456479311502,0.30454597979493503,FALSE
E2F6,1.86047722213117,0.06281803815805428,0.30454597979493503,FALSE
NFKB1,-1.8575226176125283,0.06323683639778113,0.30454597979493503,FALSE
ATF6,1.8485145062501456,0.06452794781900098,0.30454597979493503,FALSE
IRF3,-1.841694479133701,0.06551985222679878,0.30454597979493503,FALSE
KLF13,1.8282811138405914,0.0675073727747372,0.30807910120834614,FALSE
SP1,-1.7702579453205531,0.0766841803588727,0.3437094512513758,FALSE
ESR1,-1.7541587899619946,0.07940330233794657,0.3496531383653437,FALSE
IRF1,-1.7390317879238089,0.08202917165044102,0.3549883117975982,FALSE
EGR1,-1.7279062239922407,0.08400503829086943,0.35737736628827504,FALSE
ESRRA,-1.7165970709418343,0.08605281804331878,0.3599876221478836,FALSE
TFDP1,1.681300745027126,0.092704513261749,0.37222642598307504,FALSE
KLF9,-1.6716693192042442,0.09458954732143209,0.37222642598307504,FALSE
CEBPA,-1.6687114605432567,0.09517457677308722,0.37222642598307504,FALSE
HBP1,-1.6674340279398412,0.09542813233865527,0.37222642598307504,FALSE
CEBPB,-1.6570871615724614,0.09750185437334308,0.37222642598307504,FALSE
SOX13,-1.6519236148394572,0.09855012337338537,0.37222642598307504,FALSE
ZEB2,-1.647967964672461,0.09935924518273317,0.37222642598307504,FALSE
ETS1,-1.6287087178485096,0.10337469636296212,0.3770800587145946,FALSE
NR1H2,-1.6273656690185943,0.10365945837174115,0.3770800587145946,FALSE
STAT5A,-1.5866249704375623,0.1125976085352439,0.4037428534620889,FALSE
SMAD4,-1.576935438914327,0.11481038112241573,0.4058789529820613,FALSE
NR5A2,-1.5644386569624333,0.11771458836665463,0.41036613444486547,FALSE
CLOCK,-1.557021776560484,0.11946531526384235,0.41076430316745793,FALSE
MYOD1,-1.5413402884024687,0.12323398835439593,0.4179963659047754,FALSE
CUX1,-1.528562321756356,0.1263729826176993,0.41980559937434386,FALSE
BCL6,1.5255882010660862,0.12711245240019972,0.41980559937434386,FALSE
