TF,Activity_Score,P_value,FDR,Significant
NFKB1,6.210511529860519,5.281240121568516e-10,1.2939038297842865e-7,TRUE
STAT3,5.400467507263161,6.646744997563991e-8,8.14226262201589e-6,TRUE
CEBPB,5.203652199912403,1.9540957050324917e-7,1.595844825776535e-5,TRUE
REL,4.537643461446652,5.688633057341343e-6,3.484287747621573e-4,TRUE
RELA,4.197929802331877,2.6936609517128427e-5,0.0010664705794118867,TRUE
STAT1,4.18427041711226,2.8608340297053524e-5,0.0010664705794118867,TRUE
SMAD3,4.169920524867906,3.0470587983196763e-5,0.0010664705794118867,TRUE
FOXO1,3.475017937502803,5.108191924733016e-4,0.014674408492743443,TRUE
ETS2,3.4605565976658106,5.390599038150653e-4,0.014674408492743443,TRUE
FOXL2,3.2931266492378044,9.907983296688716e-4,0.024274559076887355,TRUE
RARA,3.201971705751492,0.0013649040377775143,0.030400135386862818,TRUE
HIF1A,3.127002892275601,0.0017659819003726176,0.03527133613675058,TRUE
RELB,3.109894734978214,0.0018715402848071738,0.03527133613675058,TRUE
CEBPA,2.875296852886832,0.004036477999479537,0.06599656129815544,FALSE
ATF4,2.8749741485340063,0.004040605793764619,0.06599656129815544,FALSE
KLF5,2.817558228380458,0.004839033946268322,0.07409770730223368,FALSE
BHLHE40,-2.67413692725038,0.007492185388136555,0.1041233817732701,FALSE
CEBPD,2.6671443329489186,0.007649881109872906,0.1041233817732701,FALSE
E2F4,2.602429677588176,0.009256579682368279,0.11936115906211729,FALSE
TBP,2.5192727161984836,0.011759753450852924,0.14405697977294832,FALSE
EGR1,2.4697261217839355,0.013521653081515839,0.1530404295484559,FALSE
GATA2,2.4639270990868427,0.013742405918636855,0.1530404295484559,FALSE
E2F1,2.4252143602781784,0.015299350051873412,0.16297133750908635,FALSE
HNF4A,2.3559509140340213,0.01847535885254461,0.1886026216197262,FALSE
JUN,2.3138942482110703,0.020673523705148397,0.2026005323104543,FALSE
HHEX,2.2618304886736804,0.02370787836681175,0.20983285433934218,FALSE
USF2,2.2523250804698938,0.024301736346195004,0.20983285433934218,FALSE
POU2F1,2.2439964506707537,0.024832629711707147,0.20983285433934218,FALSE
NFKB2,-2.2439229651033097,0.02483735826873846,0.20983285433934218,FALSE
IRF2,2.2018462685051663,0.027676169523873372,0.2260220511116325,FALSE
VDR,2.05655844515123,0.039728718918389236,0.3139850366130762,FALSE
MAFF,1.980591260655247,0.04763712979833612,0.36467344752535297,FALSE
CREB3L1,1.9675548354979535,0.04911928068708836,0.36467344752535297,FALSE
PRDM14,-1.9482547577386877,0.05138448769808216,0.37027057311853323,FALSE
IRF3,-1.9335632552749384,0.0531668487335961,0.3721679411351727,FALSE
HNF1B,1.9099512871829265,0.05613948564610354,0.38206038842487133,FALSE
SMAD1,1.85384064769309,0.0637619612556868,0.41441519152690937,FALSE
ESR1,1.8485343630286946,0.06452507804640402,0.41441519152690937,FALSE
KLF1,1.838640144647361,0.06596813252877333,0.41441519152690937,FALSE
NR1H3,1.817383634723921,0.06915839181390278,0.4235951498601545,FALSE
AR,1.779980084722576,0.07507922000052261,0.43319256673801965,FALSE
ARID3A,1.7702367440940805,0.07668771064826765,0.43319256673801965,FALSE
MEF2A,1.755433730676311,0.07918514669020243,0.43319256673801965,FALSE
ELF1,1.7474259722872882,0.08056347552961855,0.43319256673801965,FALSE
ZBTB33,1.7375035928249347,0.08229832040197763,0.43319256673801965,FALSE
RBPJ,1.733738657123034,0.08296446419548704,0.43319256673801965,FALSE
FOXM1,1.7329629880249662,0.08310224749668133,0.43319256673801965,FALSE
TP53,1.6929988616821643,0.09045568388147585,0.45824514280506273,FALSE
SPI1,1.6858270588998816,0.0918291143515117,0.45824514280506273,FALSE
ETS1,1.6675778387259625,0.09539956057114414,0.45824514280506273,FALSE
GATA3,1.6607323579685032,0.09676721160930797,0.45824514280506273,FALSE
FOXP2,-1.656846758316052,0.09755046084320372,0.45824514280506273,FALSE
STAT5B,1.6490832439007155,0.09913058191293193,0.45824514280506273,FALSE
ETV1,-1.6232766099453908,0.10453028730508478,0.47425778499529203,FALSE
