TF,Activity_Score,P_value,FDR,Significant
ZNF263,5.8941211291295605,3.766807892672192e-9,9.454687810607202e-7,TRUE
PRDM14,-5.0606289939151345,4.178756345831796e-7,5.244339214018904e-5,TRUE
CEBPB,4.742412579254587,2.111879712514045e-6,1.649924750035249e-4,TRUE
ZBTB7A,4.697833048314028,2.6293621514505963e-6,1.649924750035249e-4,TRUE
MAZ,-4.535723231557962,5.740642184897513e-6,2.881802376818552e-4,TRUE
IRF3,-4.200807358129128,2.6596482896974958e-5,0.0011126195345234524,TRUE
RELA,4.052985735266826,5.0568086894531515e-5,0.0017096535382599757,TRUE
NR2F1,-4.035479276265901,5.449094942661277e-5,0.0017096535382599757,TRUE
SIX5,-3.919814566641538,8.861712624358664e-5,0.0024714331874600274,TRUE
NFKB1,3.852144428521279,1.170879254972173e-4,0.0029389069299801543,TRUE
CTCFL,-3.7500432205125125,1.7680409413923007e-4,0.004034347966267886,TRUE
REL,3.664102045705294,2.482078205039335e-4,0.005191680245540609,TRUE
MBD2,-3.6092000256614187,3.0714271685264473e-4,0.005836823310381837,TRUE
BATF,3.5940639570906248,3.2555986591771205e-4,0.005836823310381837,TRUE
ETS2,3.242946115308098,0.0011830058269469575,0.01979563083757909,TRUE
STAT3,3.15752999281657,0.0015911186775836765,0.024960674254593924,TRUE
CEBPD,3.021761147927593,0.0025130876119722804,0.0366499481649076,TRUE
THAP1,-3.008167406873509,0.0026282831353320194,0.0366499481649076,TRUE
CEBPA,2.9676217975046493,0.0030011335319757937,0.03964655350136444,TRUE
MAFF,2.8441772714661315,0.004452626744106411,0.05333090908594731,FALSE
STAT1,2.8435108820587054,0.004461948568943799,0.05333090908594731,FALSE
FOXO1,2.736032435185867,0.006218489631297269,0.07094731352070974,FALSE
RARA,2.698020951978377,0.006975305036833487,0.07612180714109587,FALSE
ZNF639,-2.6731875690340097,0.00751342271138325,0.07857787918988315,FALSE
IRF9,-2.635014598950006,0.008413366446563745,0.08125946454069327,FALSE
MEF2A,2.634855329893995,0.008417315052024005,0.08125946454069327,FALSE
REST,2.515641227110313,0.011881606382407397,0.11045493340682432,FALSE
E2F1,2.4493178385137258,0.014312708655796487,0.12562377796234472,FALSE
ARID2,2.4442764242538066,0.014514301039474093,0.12562377796234472,FALSE
RFX1,-2.3958299277287622,0.016582782680609226,0.1311877933511284,FALSE
HIF1A,2.3904622122864208,0.016827180653591015,0.1311877933511284,FALSE
TFAP2C,-2.383362831810803,0.017155276447482763,0.1311877933511284,FALSE
ZBTB11,2.3813823869509623,0.01724779753222007,0.1311877933511284,FALSE
SNAPC4,-2.343510062671793,0.01910324692475634,0.14102691112099533,FALSE
JUN,2.247648073953735,0.024598639529087654,0.17341971207702758,FALSE
FOXL2,2.243370279965297,0.02487294675208364,0.17341971207702758,FALSE
ZBTB33,2.173386041247779,0.029751274533002452,0.20182621372388151,FALSE
VDR,2.1477629419805697,0.03173259233204774,0.2086199260949816,FALSE
BHLHE40,-2.1362383178260806,0.03265999366656147,0.2086199260949816,FALSE
STAT5B,2.1235039148303323,0.0337116477938738,0.2086199260949816,FALSE
