TF,Activity_Score,P_value,FDR,Significant
ZNF263,7.4306883490194355,1.0803398080898308e-13,2.657635927900984e-11,TRUE
NFKB1,6.1338240485989814,8.579140242597024e-10,1.055234249839434e-7,TRUE
ZBTB7A,5.806140246127598,6.392941888921224e-9,5.242212348915403e-7,TRUE
REL,5.097838839595056,3.435531039058057e-7,2.112851589020705e-5,TRUE
SMAD3,4.672275762115072,2.9788065084263e-6,1.4655728021457397e-4,TRUE
NR2F1,-4.307964422666133,1.6476387883329476e-5,6.755319032165085e-4,TRUE
PRDM14,-4.198200417696616,2.6904447468690517e-5,9.454991538996954e-4,TRUE
ETS2,4.120267202913178,3.7843326397538083e-5,0.0010876982517914514,TRUE
MAZ,-4.108673388507784,3.979383848017505e-5,0.0010876982517914514,TRUE
STAT1,4.013348890892345,5.986333044684744e-5,0.0014726379289924472,TRUE
RARA,3.905691786676308,9.395620556516461e-5,0.0020789367517392993,TRUE
CEBPB,3.887189583859303,1.0141154886533168e-4,0.0020789367517392993,TRUE
RELA,3.779208224823669,1.573278240707305e-4,0.002977126517030747,TRUE
FOXL2,3.7553999695785443,1.7306487367759003e-4,0.003040997066049082,TRUE
RELB,3.6487100284859095,2.6356038430729587e-4,0.004322390302639652,TRUE
STAT2,3.6094587710150203,3.068365350675939e-4,0.00467615082169293,TRUE
SIX5,-3.5959993265503614,3.2314863401943015e-4,0.00467615082169293,TRUE
STAT3,3.4118304149847885,6.452824429648198e-4,0.008818860053852537,TRUE
FOXO1,3.2043958157368437,0.001353462647208143,0.017523779537537008,TRUE
ZNF740,-3.1530694288406784,0.001615633757339904,0.01987229521528082,TRUE
HIF1A,2.978044235401056,0.002900941135648494,0.03398245330331093,TRUE
IRF3,-2.8387185728198863,0.004529508605797825,0.05064814168301204,FALSE
THAP1,-2.7893279018956862,0.0052817559206274475,0.05649182419453704,FALSE
TBP,2.75313245008343,0.005902800976064287,0.06050371000465894,FALSE
LYL1,-2.672561432482075,0.007527459030326821,0.07202477697859629,FALSE
KLF9,-2.6687956553725205,0.007612374802615867,0.07202477697859629,FALSE
EPAS1,2.6231589992530235,0.008711860543080853,0.0781344729903517,FALSE
KLF13,2.616126715408097,0.008893354649308323,0.0781344729903517,FALSE
JUN,2.55729141171651,0.010549080321757144,0.08948530203973301,FALSE
MBD2,-2.515794630995154,0.011876436424654897,0.09738677868217015,FALSE
TBX21,2.4936591825452457,0.012643387853951943,0.10033140038942509,FALSE
IRF2,2.470536044696611,0.013491072229065133,0.10371261776093821,FALSE
IRF9,2.443761184201614,0.01453504442980125,0.10835214938579113,FALSE
PPARA,2.4317819760888923,0.01502474828481762,0.10870847288426866,FALSE
SOX10,-2.3157232393160405,0.020573384699245058,0.14086531134393393,FALSE
ASCL1,-2.314972523657061,0.020614435806429358,0.14086531134393393,FALSE
NEUROD1,-2.2877575070560985,0.022151646689646337,0.1464204962409141,FALSE
ATF4,2.279829540853327,0.022617800232336324,0.1464204962409141,FALSE
HNF1B,2.260209423193793,0.023808256299857604,0.15017515512217872,FALSE
MBD1,2.2273159506384066,0.025926165237447923,0.15613211073863342,FALSE
NR2F6,2.2258830133088123,0.026022018456438905,0.15613211073863342,FALSE
HHEX,2.1986380341372764,0.02790367027864623,0.1634357830606422,FALSE
REST,2.116311872690838,0.03431829163977348,0.19633255217172735,FALSE
SMAD4,2.0839901168237094,0.037161066262005486,0.20776414319212158,FALSE
ATF2,2.045434422975331,0.04081204815268811,0.223105863234695,FALSE
RFX1,-2.033959231220666,0.04195570613327784,0.22437181975622497,FALSE
NFATC1,1.9921816296413455,0.04635113307971881,0.2406731275615867,FALSE
THAP11,1.9866552843478167,0.046960610255919355,0.2406731275615867,FALSE
ZKSCAN1,-1.9179187321504896,0.05512131662087111,0.2767315079333529,FALSE
SNAPC4,-1.8916984013055644,0.05853117647461954,0.28797338825512814,FALSE
MYBL2,1.8818052031359722,0.059862469104583614,0.28874838038681505,FALSE
HNF4A,1.8436125459405202,0.06523962631176687,0.30305321420428977,FALSE
PPARG,1.843253871813156,0.06529195265376975,0.30305321420428977,FALSE
CREB1,-1.8348559476454074,0.06652703632679052,0.3030676099331568,FALSE
CEBPD,1.7982144817886352,0.0721430255106019,0.32107794558389446,FALSE
TFAP4,-1.7922625798730611,0.07309091444186215,0.32107794558389446,FALSE
CTCFL,-1.757399674802045,0.07884970872180407,0.3357191187918121,FALSE
E2F6,1.7504621754185117,0.08003859546129038,0.3357191187918121,FALSE
CLOCK,-1.7476883914256347,0.0805180000354346,0.3357191187918121,FALSE
ZNF592,-1.7351719159798744,0.08271035926342805,0.339112472980055,FALSE
HSF1,-1.7147169920037262,0.08639712667906375,0.34540257996310186,FALSE
FLI1,1.7111540274892374,0.08705268275492811,0.34540257996310186,FALSE
SPI1,1.6696375441454683,0.09499109754451769,0.36529181424632895,FALSE
STAT5B,1.6694144658213386,0.09503526874701242,0.36529181424632895,FALSE
NRF1,-1.6426709280207752,0.10045103692258373,0.37946075003525104,FALSE
NFYB,-1.6361579107227866,0.10180654269238443,0.37946075003525104,FALSE
STAT5A,1.6184774653106397,0.10555973941061433,0.3829891722964903,FALSE
EHF,-1.6170526074201623,0.10586692567545261,0.3829891722964903,FALSE
SNAI2,1.5988435415509312,0.10985537151335316,0.38735571276736813,FALSE
USF2,1.597190856294614,0.1102231702996576,0.38735571276736813,FALSE
VDR,1.587622127279684,0.11237181157210867,0.38934458657378496,FALSE
HMBOX1,-1.5635844754214412,0.11791518304574433,0.40287687540629313,FALSE
CEBPA,1.5532291253496677,0.12036840551542684,0.40562503776431513,FALSE
FOXM1,1.5220798937248976,0.1279890632670833,0.4203370583057433,FALSE
SP1,-1.5214316869029016,0.12815154216638516,0.4203370583057433,FALSE
GATA3,1.512261979327074,0.13046722925886545,0.4223018210221171,FALSE
TEAD4,1.4903627282847685,0.13612888706809462,0.4345737066968733,FALSE
NFIC,1.4836814258068722,0.13789345616294924,0.4345737066968733,FALSE
TCF4,1.4774381621129966,0.13955822288232922,0.4345737066968733,FALSE
MAX,-1.4510440381422944,0.14676759787499732,0.4513103634656168,FALSE
TFAP2C,-1.4175426847448067,0.15632432384230296,0.46942545665531377,FALSE
ETS1,1.4167558359553685,0.15655432601488006,0.46942545665531377,FALSE
NFKB2,-1.4105295213736673,0.15838338578207742,0.46942545665531377,FALSE
TP53,1.395047628108838,0.16300147755994965,0.47736146999699536,FALSE
ETV1,-1.3872532098009678,0.16536456534378488,0.47854495627500154,FALSE
TCF7L2,1.379996988784294,0.16758757197495291,0.47854495627500154,FALSE
E2F4,1.374645068825097,0.16924150892652495,0.47854495627500154,FALSE
E2F5,1.3445419045265319,0.1787732152623535,0.49975239721067005,FALSE
GLI2,-1.31289590353627,0.18921802744799537,0.5230071320472681,FALSE
TEAD1,1.2885073186435338,0.19756942287785748,0.5400230891994771,FALSE
ZNF217,1.265251789881935,0.20578108254181574,0.5562873220361173,FALSE
PDX1,1.2450069854201415,0.213129182518838,0.5687005806899855,FALSE
