TF,Activity_Score,P_value,FDR,Significant
ZNF263,7.286970208977094,3.1700296750868635e-13,7.956774484468027e-11,TRUE
ZBTB7A,5.699079752904832,1.2045586850439043e-8,1.5117211497300999e-6,TRUE
NFKB1,5.41336067730958,6.185272405230114e-8,4.510985103118461e-6,TRUE
PRDM14,-5.386386702048673,7.188820881463684e-8,4.510985103118461e-6,TRUE
RELA,5.192191735991459,2.0783280399476365e-7,1.0433206760537136e-5,TRUE
MAZ,-5.111257775735396,3.200209595360118e-7,1.338754347392316e-5,TRUE
REL,4.770672028344088,1.8361229533572626e-6,6.583812304181041e-5,TRUE
CEBPB,4.587028910039228,4.495984427699282e-6,1.4106151141906497e-4,TRUE
ETS2,4.284906948197938,1.828156883003474e-5,5.098526418154133e-4,TRUE
NR2F1,-4.16738081004073,3.081195261765413e-5,7.733800107031188e-4,TRUE
SIX5,-4.136384181123751,3.5282130467974354e-5,8.050740679510511e-4,TRUE
IRF3,-4.110411766461803,3.949541797712217e-5,8.261124926881388e-4,TRUE
FOXL2,3.986354536087542,6.709623118344267e-5,0.0012954733866957005,TRUE
MBD2,-3.869910582412752,1.08875278333161e-4,0.001951978204401672,TRUE
CTCFL,-3.7980945557524626,1.458127020054433e-4,0.0024399325468910846,TRUE
STAT3,3.5799886678876782,3.4360910843791857e-4,0.005390367888619848,TRUE
STAT1,3.5231706214495726,4.2641675189547214e-4,0.006295917925044913,TRUE
RARA,3.4129732841515725,6.42582412037039e-4,0.0089604547456276,TRUE
THAP1,-3.161352877893398,0.0015703812596653812,0.020745562956632144,TRUE
FOXO1,3.0565664135250588,0.002238878760402318,0.02809792844304909,TRUE
JUN,3.0012167866179955,0.0026890304992835236,0.03214031692000783,TRUE
CEBPD,2.93966859334278,0.0032856346662333323,0.037486104601116656,TRUE
BATF,2.771447451829226,0.005580767920772444,0.06090316296147319,FALSE
EPAS1,2.753516632441176,0.005895877430502093,0.06166105146066773,FALSE
CREB1,-2.688496098905968,0.007177467433560134,0.07206177303294374,FALSE
RELB,2.545273131766569,0.01091922919532055,0.10240509904584912,FALSE
RFX1,-2.542200764971665,0.011015687945171021,0.10240509904584912,FALSE
ZNF740,-2.5180132986098758,0.011801886496412685,0.1057954825214137,FALSE
SNAPC4,-2.471247848326482,0.01346424661118229,0.11653537584161223,FALSE
SPI1,2.4539911332133117,0.014128046503276464,0.11820465574407975,FALSE
NEUROD1,-2.3566465278543522,0.01844079074331505,0.14570659225018792,FALSE
STAT5B,2.3539293919413686,0.018576139251019974,0.14570659225018792,FALSE
TFAP2C,-2.2578075117433163,0.023957662704768845,0.18222343451202971,FALSE
SMAD4,2.2285463180242315,0.025844106244143975,0.19079031374353347,FALSE
ATF4,2.19348023692162,0.028272796959019734,0.19435200504107172,FALSE
MAFF,2.188114202474863,0.028661284627309602,0.19435200504107172,FALSE
REST,2.185247169344921,0.02887072870110928,0.19435200504107172,FALSE
HHEX,2.1777613396833884,0.02942380952813038,0.19435200504107172,FALSE
VDR,2.163196017118422,0.03052610647927549,0.19626723177705155,FALSE
TBP,2.1535223884143253,0.03127764649833491,0.19626723177705155,FALSE
MBD1,2.142017842205307,0.032192046300559773,0.19707813710830496,FALSE
HIF1A,2.11687424646778,0.034270521903069895,0.20212771750549952,FALSE
ARID2,2.1058335354160227,0.03521881469595451,0.20212771750549952,FALSE
TBX21,2.101776051665095,0.03557289792205645,0.20212771750549952,FALSE
NFATC1,2.094246392741026,0.036238037002978,0.20212771750549952,FALSE
KLF13,2.0650313112758316,0.03892003776885328,0.21236803217352548,FALSE
ZNF639,-2.0266797753377497,0.042695172126768786,0.22376760703103665,FALSE
SOX10,-2.025732428079449,0.04279221170314645,0.22376760703103665,FALSE
USF2,2.011088024727129,0.04431615985099463,0.22700726780815614,FALSE
MEF2A,1.9506170076425022,0.05110262249284887,0.25210227639845195,FALSE
CEBPA,1.949598699675809,0.05122396851123924,0.25210227639845195,FALSE
ERG,1.9341689337632142,0.05309236066560625,0.25627274090513785,FALSE
E2F1,1.912853547777537,0.05576680375923577,0.26185782680473035,FALSE
STAT5A,1.9084277984741382,0.05633594680261131,0.26185782680473035,FALSE
HMBOX1,-1.8865243031032373,0.05922433657994343,0.26823508042284894,FALSE
EGR1,1.878682845374483,0.06028781153794448,0.26823508042284894,FALSE
NR2F6,1.8718711784375488,0.061224427860522485,0.26823508042284894,FALSE
GATA3,1.858569707718824,0.06308815418076212,0.26823508042284894,FALSE
HNF4A,1.8552960533370857,0.06355396149832655,0.26823508042284894,FALSE
MYBL2,1.8346396366347233,0.06655910168160253,0.26823508042284894,FALSE
AR,1.8253481551064832,0.0679485076331494,0.26823508042284894,FALSE
ZNF217,1.821900592783616,0.06847007036462083,0.26823508042284894,FALSE
RBPJ,1.8188906587167903,0.06892811326856892,0.26823508042284894,FALSE
ZBTB11,1.8170009822594861,0.06921696294267204,0.26823508042284894,FALSE
IRF4,1.8153947465854858,0.06946326783858638,0.26823508042284894,FALSE
GLI2,-1.8068165161335235,0.07079089264458586,0.26921990990592504,FALSE
HNF1B,1.7762815433517536,0.07568652375210896,0.2835420516683485,FALSE
CDX2,1.7432744382514271,0.08128568819032297,0.3000398196436922,FALSE
JUND,1.7094180560457894,0.08737353867081814,0.31324078525701154,FALSE
IRF2,1.7028123684990006,0.08860318745852082,0.31324078525701154,FALSE
TEAD4,1.70279756252145,0.08860595917628612,0.31324078525701154,FALSE
TFAP4,-1.6891646437403627,0.09118788249408621,0.3154434485958868,FALSE
TEAD1,1.686276698752765,0.09174251692230971,0.3154434485958868,FALSE
FOXA1,-1.6726040423851611,0.09440527059139549,0.3202124718708144,FALSE
PROX1,-1.6625020813129945,0.09641214638762288,0.32265931657724456,FALSE
HSF1,-1.6233341008364377,0.10451800358238972,0.3372320386410001,FALSE
E2F4,1.622242345529617,0.10475146806878587,0.3372320386410001,FALSE
EHF,-1.6157852559445647,0.10614075040363061,0.3372320386410001,FALSE
ZKSCAN1,-1.6157852061842362,0.10614076116589245,0.3372320386410001,FALSE
TP53,1.5888213835705385,0.1121007241248576,0.34700027521734744,FALSE
SP2,-1.5868502459108647,0.11254656573449773,0.34700027521734744,FALSE
GATA2,1.5773519410643766,0.11471456708788817,0.34700027521734744,FALSE
BCL6,-1.5745624504556497,0.11535747588052324,0.34700027521734744,FALSE
ZNF592,-1.5712371143026278,0.11612758214445093,0.34700027521734744,FALSE
PPARG,1.5394489037164392,0.12369474295158099,0.3652632997746686,FALSE
ESRRA,-1.4976597959347449,0.13422166240215494,0.39173996817373125,FALSE
BHLHE40,-1.4763537056434042,0.13984896366711286,0.4034722974763831,FALSE
ZBTB33,1.4561275835156102,0.14535735362367266,0.41067859654220856,FALSE
KLF5,-1.45518120058708,0.1456191039532134,0.41067859654220856,FALSE
ETS1,1.4342333318571114,0.1515056881210435,0.42253253020424353,FALSE
KLF9,-1.408046631391096,0.1591172624123127,0.4388838776427526,FALSE
SP1,-1.4011468997757837,0.16117014932942622,0.4397142117574563,FALSE
GATA6,-1.3784721727194242,0.16805755368961028,0.4526054053251564,FALSE
NRF1,-1.3738069404296886,0.16950162589866416,0.4526054053251564,FALSE
ATF3,-1.3609071543949223,0.1735430323153505,0.45851895906476825,FALSE
AHR,1.3410468277316216,0.17990524930178647,0.47037726640362926,FALSE
E2F6,1.331492213244672,0.18302710546830947,0.4736062213664503,FALSE
TFAP2A,1.3116348865351286,0.18964335614717628,0.4857192080912372,FALSE
ARNT,1.2825761712820634,0.1996406028784172,0.49849602064237986,FALSE
E2F5,1.2824107736013104,0.19969858685201614,0.49849602064237986,FALSE
MAX,-1.279872353453811,0.20059003221067875,0.49849602064237986,FALSE
HBP1,-1.2490074243618323,0.21166235836596428,0.5151570756692604,FALSE
ZNF274,-1.2466740462386507,0.21251703898848176,0.5151570756692604,FALSE
BHLHE22,1.2441305001955163,0.21345153732909597,0.5151570756692604,FALSE
ZBED1,1.232690090344956,0.21769141042803844,0.5203861334994062,FALSE
RUNX3,-1.1855158662890077,0.23581354519633022,0.5557771862797568,FALSE
KLF4,1.1812487551357898,0.23750391810031043,0.5557771862797568,FALSE
ASCL1,-1.166329005241145,0.2434814503473498,0.5557771862797568,FALSE
PAX5,-1.16597464032541,0.2436246988395584,0.5557771862797568,FALSE
MYC,1.165751319601897,0.24371500442965327,0.5557771862797568,FALSE
PDX1,1.158858386189042,0.2465139137149971,0.5557771862797568,FALSE
