Node,Degree,Betweenness,Closeness,PageRank
E2F1,326,2352.366666666666,3.191828917969997e-4,6.550910359733964e-4
SP1,323,3195.583333333333,4.992511233150275e-4,6.571059076873471e-4
STAT1,291,1291.9999999999998,2.995805871779509e-4,6.647043364144138e-4
ESR1,161,6145.083333333333,4.5351473922902497e-4,7.30280523830273e-4
CEBPA,147,0,3.397893306150187e-4,6.493719433085183e-4
ETS1,146,773.3333333333336,0.004975124378109453,6.640252954289758e-4
AR,142,1205.6666666666667,0.006756756756756757,6.706087927951757e-4
SPI1,105,749.9,0.006097560975609756,6.711011137393518e-4
TBP,46,0,0.021739130434782608,6.493719433085183e-4
FOXO1,44,230.16666666666666,0.023255813953488372,6.533510359063115e-4
