Node,Degree,Betweenness,Closeness,PageRank
NFKB1,9,23.98333333333333,0.14285714285714285,6.550045054522557e-4
STAT3,9,12.333333333333332,0.16666666666666666,6.60667595701585e-4
CEBPB,43,203.83333333333334,0.023809523809523808,6.533510359063116e-4
REL,22,94.73333333333333,0.05,6.567044526567644e-4
RELA,9,20.95,0.16666666666666666,6.569611078069745e-4
STAT1,291,1291.9999999999998,2.995805871779509e-4,6.647043364144138e-4
SMAD3,33,0,0.030303030303030304,6.493719433085183e-4
FOXO1,44,230.16666666666666,0.023255813953488372,6.533510359063115e-4
ETS2,32,70.53333333333333,0.013513513513513514,6.550045054522557e-4
FOXL2,23,0,0.043478260869565216,6.493719433085183e-4
RARA,40,843.3666666666667,0.0024875621890547263,6.550910359733964e-4
HIF1A,6,0,0.16666666666666666,6.493719433085183e-4
RELB,13,0,0.07692307692307693,6.493719433085183e-4
CEBPA,147,0,3.397893306150187e-4,6.493719433085183e-4
NPAS4,6,0,0.125,6.493719433085183e-4
ERG,16,102.74999999999997,0.08333333333333333,6.813945682519393e-4
SPI1,105,749.9,0.006097560975609756,6.711011137393518e-4
STAT4,10,0,0.1,6.493719433085183e-4
JUND,19,0,0.03225806451612903,6.493719433085183e-4
SP1,323,3195.583333333333,4.992511233150275e-4,6.571059076873471e-4
CREB1,7,4.833333333333333,0.16666666666666666,6.53126815089554e-4
NR4A1,7,1,0.16666666666666666,7.413663019438917e-4
TP53,12,37.5,0.16666666666666666,6.812089333952062e-4
GATA2,40,0,0.00303951367781155,6.493719433085183e-4
STAT5B,16,0,3.053435114503817e-4,6.493719433085183e-4
FOXM1,35,730.4999999999999,3.096934035305048e-4,6.510905463349917e-4
STAT5A,22,71,3.0627871362940275e-4,6.533510359063114e-4
FOXP2,36,0,2.155636990730761e-4,6.493719433085183e-4
FOSL2,10,0,0.038461538461538464,6.493719433085183e-4
E2F1,326,2352.366666666666,3.191828917969997e-4,6.550910359733964e-4
FOSL1,17,86.58333333333333,0.09090909090909091,7.617895243144681e-4
ETS1,146,773.3333333333336,0.004975124378109453,6.640252954289758e-4
TBP,46,0,0.021739130434782608,6.493719433085183e-4
AR,142,1205.6666666666667,0.006756756756756757,6.706087927951757e-4
ELK1,6,0,0.16666666666666666,6.493719433085183e-4
ESR1,161,6145.083333333333,4.5351473922902497e-4,7.30280523830273e-4
POU2F1,34,0,0.0031746031746031746,6.493719433085183e-4
FOXO4,14,0,0.07142857142857142,6.493719433085183e-4
IL6,10,0,NA,0.0010927832728553821
TNF,6,0,NA,8.464253468709971e-4
IL1B,8,0,NA,8.852846769392681e-4
PTGS2,9,0,NA,8.74665070446302e-4
NOS2,4,0,NA,8.151039412923386e-4
ICAM1,8,0,NA,8.495910580086267e-4
VCAM1,2,0,NA,7.451425032675766e-4
SOCS3,5,0,NA,8.078453702571655e-4
BCL2L1,4,0,NA,8.171321453202482e-4
MYC,15,0,NA,9.236825750947317e-4
CCND1,12,0,NA,8.663696065694181e-4
IL10,7,0,NA,7.795240692802972e-4
ABCB1,6,0,NA,7.273559710934119e-4
ADM,1,0,NA,6.625945237970984e-4
ALB,2,0,NA,6.66349395578134e-4
ASNS,1,0,NA,6.625945237970984e-4
CDKN1A,16,0,NA,9.075928373763596e-4
CRP,2,0,NA,6.905044630350108e-4
CSF3R,5,0,NA,6.943929279237619e-4
CSH2,1,0,NA,6.625945237970984e-4
CSRP1,3,0,NA,6.942593348160465e-4
CXCL8,4,0,NA,6.72276759506797e-4
CYP19A1,5,0,NA,6.942604161325089e-4
F8,1,0,NA,6.625945237970984e-4
FASLG,3,0,NA,6.682270859408359e-4
FOS,13,0,NA,0.0011201231209869965
FURIN,2,0,NA,6.643345238641833e-4
GADD45G,2,0,NA,6.665736163948916e-4
GFER,2,0,NA,6.643345238641833e-4
HP,2,0,NA,6.66349395578134e-4
IGF2,3,0,NA,6.680893956452189e-4
IL12B,8,0,NA,7.25991138559629e-4
IL24,1,0,NA,6.625945237970984e-4
IL3,6,0,NA,7.172671063999655e-4
IL4,3,0,NA,6.82583694160847e-4
IL5,6,0,NA,7.106272265064748e-4
INSR,3,0,NA,6.680893956452189e-4
PRL,4,0,NA,6.833812570882969e-4
S100A9,2,0,NA,6.66349395578134e-4
SAA1,2,0,NA,6.66349395578134e-4
SAA2,1,0,NA,6.625945237970984e-4
SFTPD,2,0,NA,6.66349395578134e-4
SLC10A1,2,0,NA,6.66349395578134e-4
SLC19A1,3,0,NA,6.682270859408359e-4
STAR,3,0,NA,6.680893956452189e-4
TNFAIP6,1,0,NA,6.625945237970984e-4
TOP1,2,0,NA,6.643131268235719e-4
XBP1,1,0,NA,6.625945237970984e-4
BIRC3,1,0,NA,6.772818825464309e-4
CCL2,4,0,NA,7.740396442170402e-4
CCL5,3,0,NA,7.119252419229732e-4
CD40LG,2,0,NA,7.063327326418119e-4
CSF2,4,0,NA,7.053254148920586e-4
EPHB2,1,0,NA,6.772818825464309e-4
F3,3,0,NA,6.827767543945513e-4
IER3,5,0,NA,7.193923661001092e-4
IFNG,5,0,NA,7.9536981452395e-4
IL2,4,0,NA,6.991487432728812e-4
IL2RA,5,0,NA,7.9536981452395e-4
NFKBIA,1,0,NA,6.772818825464309e-4
SELE,1,0,NA,6.772818825464309e-4
TNFAIP3,4,0,NA,7.474942174219168e-4
CXCL10,2,0,NA,7.443897049120428e-4
A2M,1,0,NA,6.513202146393881e-4
ADAR,1,0,NA,6.513202146393881e-4
AGFG2,1,0,NA,6.513202146393881e-4
AIM2,1,0,NA,6.513202146393881e-4
AOX1,1,0,NA,6.513202146393881e-4
APOE,2,0,NA,6.53060214706473e-4
APOL4,1,0,NA,6.513202146393881e-4
APP,3,0,NA,6.650594788763044e-4
ATG4C,1,0,NA,6.513202146393881e-4
B3GAT3,2,0,NA,6.552127767160407e-4
BAX,4,0,NA,7.534573756807799e-4
BCL2,8,0,NA,7.353094399203758e-4
BCL6,6,0,NA,8.12478538268073e-4
BRD8,1,0,NA,6.513202146393881e-4
BST2,1,0,NA,6.513202146393881e-4
CASP4,1,0,NA,6.513202146393881e-4
CCL3,2,0,NA,6.753187429790507e-4
CCND2,7,0,NA,7.806205801645981e-4
CCND3,4,0,NA,7.139818631312869e-4
CCR1,1,0,NA,6.513202146393881e-4
CCR5,1,0,NA,6.513202146393881e-4
CD274,1,0,NA,6.513202146393881e-4
CD40,3,0,NA,6.993716586753371e-4
CD86,3,0,NA,6.608918165183426e-4
CDC7,1,0,NA,6.513202146393881e-4
CEBPE,2,0,NA,6.659735667598456e-4
CFTR,2,0,NA,6.550750864204237e-4
CIITA,2,0,NA,6.569127239205493e-4
CISH,1,0,NA,6.513202146393881e-4
CLC,1,0,NA,6.513202146393881e-4
CLIC2,1,0,NA,6.513202146393881e-4
COL1A1,4,0,NA,6.736790238077389e-4
COL1A2,2,0,NA,6.53060214706473e-4
CREM,2,0,NA,6.53060214706473e-4
CSF1,3,0,NA,6.60667595701585e-4
CTSB,2,0,NA,6.552127767160407e-4
CTSL,2,0,NA,6.53060214706473e-4
CX3CL1,1,0,NA,6.513202146393881e-4
CXCL9,1,0,NA,6.513202146393881e-4
DCLRE1C,2,0,NA,6.530388176658616e-4
DDX50,1,0,NA,6.513202146393881e-4
DIMT1,1,0,NA,6.513202146393881e-4
DUOX2,1,0,NA,6.513202146393881e-4
EARS2,1,0,NA,6.513202146393881e-4
EDEM2,1,0,NA,6.513202146393881e-4
EDN1,3,0,NA,6.718013334450371e-4
EGFR,5,0,NA,6.628884717356374e-4
EGLN3,1,0,NA,6.513202146393881e-4
EIF2AK1,1,0,NA,6.513202146393881e-4
EIF2AK2,1,0,NA,6.513202146393881e-4
EIF2AK3,1,0,NA,6.513202146393881e-4
ELF5,1,0,NA,6.513202146393881e-4
ELP3,1,0,NA,6.513202146393881e-4
ESR2,3,0,NA,7.122632601048133e-4
ETV7,1,0,NA,6.513202146393881e-4
FAS,4,0,NA,6.607076485641613e-4
FBXO5,2,0,NA,6.530388176658616e-4
FCGR1A,3,0,NA,6.914106084088144e-4
FCGR3A,1,0,NA,6.513202146393881e-4
FCGRT,1,0,NA,6.513202146393881e-4
FGF2,2,0,NA,6.995856632239005e-4
FGFR3,1,0,NA,6.513202146393881e-4
FOXP3,2,0,NA,6.680464616640015e-4
GATA3,2,0,NA,6.530388176658616e-4
GBP1,1,0,NA,6.513202146393881e-4
GCK,1,0,NA,6.513202146393881e-4
GLS,1,0,NA,6.513202146393881e-4
GREB1,2,0,NA,6.552993072371814e-4
GSTK1,1,0,NA,6.513202146393881e-4
HCFC1,1,0,NA,6.513202146393881e-4
HDAC7,1,0,NA,6.513202146393881e-4
HLA-DMA,1,0,NA,6.513202146393881e-4
HLA-DMB,1,0,NA,6.513202146393881e-4
HLA-DQA2,1,0,NA,6.513202146393881e-4
HLA-DRB1,1,0,NA,6.513202146393881e-4
HLA-E,2,0,NA,6.55450776044286e-4
HMOX1,3,0,NA,7.034782253005531e-4
HSP90AA1,1,0,NA,6.513202146393881e-4
HSPB1,3,0,NA,6.570393073042662e-4
IDO1,1,0,NA,6.513202146393881e-4
IFI35,2,0,NA,6.55450776044286e-4
IFI6,1,0,NA,6.513202146393881e-4
IFIT1,1,0,NA,6.513202146393881e-4
IFIT3,2,0,NA,6.569127239205493e-4
IFITM1,1,0,NA,6.513202146393881e-4
