Node,Degree,Betweenness,Closeness,PageRank
ZNF263,317,0,0.002652519893899204,4.952815441172735e-4
PRDM14,196,0,7.911392405063291e-4,4.952815441172735e-4
CEBPB,42,0,0.023809523809523808,4.952815441172735e-4
ZBTB7A,92,164,0.011111111111111112,5.08924716281615e-4
MAZ,72,0,0.004424778761061947,4.952815441172735e-4
IRF3,75,73.5,0.013513513513513514,4.965808938472107e-4
RELA,8,16.833333333333336,0.16666666666666666,4.997046516674178e-4
NR2F1,68,0,0.014705882352941176,4.952815441172735e-4
SIX5,25,0,0.04,4.952815441172735e-4
NFKB1,10,27.333333333333332,0.14285714285714285,5.189099660218466e-4
CTCFL,54,0,0.0043859649122807015,4.952815441172735e-4
REL,21,25.5,0.05,4.994327559255353e-4
MBD2,32,0,0.03125,4.952815441172735e-4
BATF,49,0,0.015873015873015872,4.952815441172735e-4
ETS2,31,26.499999999999996,0.013513513513513514,4.982900813279846e-4
STAT3,9,9.5,0.16666666666666666,5.038143283251422e-4
CEBPD,14,0,0.07142857142857142,4.952815441172735e-4
THAP1,55,0,0.01818181818181818,4.952815441172735e-4
CEBPA,147,0,0.002570694087403599,4.952815441172735e-4
STAT1,292,597,0.0028735632183908046,5.178033675096917e-4
SPI1,103,109,0.006097560975609756,4.98145416991421e-4
STAT4,10,0,0.1,4.952815441172735e-4
STAT2,40,40,0.001644736842105263,4.967992436427329e-4
IRF9,13,12,0.08333333333333333,4.967992436427329e-4
FOXP2,36,0,0.001430615164520744,4.952815441172735e-4
GATA2,41,169.83333333333334,0.00303951367781155,4.974294487728841e-4
FOSL1,14,37.83333333333333,0.09090909090909091,5.345656325357696e-4
SMAD3,34,30,0.030303030303030304,4.966095861125405e-4
ERG,15,54,0.08333333333333333,5.16559512107206e-4
E2F1,324,0,0.0013513513513513514,4.952815441172735e-4
JUND,19,0,0.03225806451612903,4.952815441172735e-4
AR,140,399.83333333333337,0.006756756756756757,5.071512696336345e-4
ETS1,147,524.6666666666667,0.0033444816053511705,5.132210535919129e-4
STAT5B,16,0,0.0625,4.952815441172735e-4
NFATC1,35,0,0.02127659574468085,4.952815441172735e-4
HIF1A,6,0,0.16666666666666666,4.952815441172735e-4
TP53,10,32,0.16666666666666666,5.152253495543409e-4
