Node,Degree,Betweenness,Closeness,PageRank
ZNF263,317,0,0.002652519893899204,6.268575770241431e-4
NFKB1,8,7.5,0.14285714285714285,6.306144562142121e-4
ZBTB7A,92,166,0.011111111111111112,6.482797931980309e-4
REL,20,0,0.05,6.268575770241431e-4
SMAD3,34,30,0.030303030303030304,6.285384254167944e-4
NR2F1,68,0,0.014705882352941176,6.268575770241431e-4
PRDM14,196,0,0.00510204081632653,6.268575770241431e-4
ETS2,31,15.5,0.020833333333333332,6.306144562142121e-4
MAZ,72,0,0.004424778761061947,6.26857577024143e-4
STAT1,291,272,0.0030120481927710845,6.405607775456485e-4
RARA,38,0,0.0026666666666666666,6.268575770241431e-4
CEBPB,42,0,0.023809523809523808,6.268575770241431e-4
RELA,7,5,0.16666666666666666,6.285021107910274e-4
FOXL2,23,0,0.043478260869565216,6.268575770241431e-4
RELB,13,0,0.07692307692307693,6.268575770241431e-4
STAT2,40,20,0.0017123287671232876,6.28735082751432e-4
SIX5,25,0,0.04,6.268575770241431e-4
STAT3,8,3,0.16666666666666666,6.323597694212995e-4
FOXO1,43,0,0.023255813953488372,6.268575770241431e-4
ZNF740,38,0,0.004629629629629629,6.268575770241431e-4
HIF1A,6,0,0.16666666666666666,6.268575770241431e-4
ETS1,146,160,0.00546448087431694,6.408793912470515e-4
E2F1,324,0,0.0029940119760479044,6.268575770241432e-4
FOSL1,14,28,0.09090909090909091,6.765254942527648e-4
CEBPA,147,0,0.006711409395973154,6.268575770241431e-4
JUND,19,0,0.03225806451612903,6.268575770241431e-4
AATK,1,0,NA,6.285384254167944e-4
ABCA7,1,0,NA,6.285384254167944e-4
ABR,2,0,NA,6.346610679081094e-4
ACOT7,1,0,NA,6.285384254167944e-4
ACSF3,1,0,NA,6.285384254167944e-4
ACTRT2,1,0,NA,6.285384254167944e-4
ADCY3,1,0,NA,6.285384254167944e-4
ADGRB1,1,0,NA,6.285384254167944e-4
ADGRD1,1,0,NA,6.285384254167944e-4
ADGRG1,2,0,NA,6.363741451295964e-4
AGAP1,2,0,NA,6.312569404191952e-4
AGAP3,2,0,NA,6.312569404191952e-4
AGPAT2,1,0,NA,6.285384254167944e-4
AGPAT3,4,0,NA,6.464930620829764e-4
AGRN,3,0,NA,6.420614698590888e-4
AHDC1,5,0,NA,6.526157045742911e-4
AHRR,2,0,NA,6.346610679081094e-4
AKT2,1,0,NA,6.285384254167944e-4
ANK1,1,0,NA,6.285384254167944e-4
ANKRD11,2,0,NA,6.425602396397031e-4
ANO7,1,0,NA,6.285384254167944e-4
AP2A2,1,0,NA,6.285384254167944e-4
APBA2,1,0,NA,6.285384254167944e-4
ARAP1,2,0,NA,6.359388273677741e-4
ARHGAP22,1,0,NA,6.285384254167944e-4
ARHGAP23,2,0,NA,6.346610679081094e-4
ARHGEF1,2,0,NA,6.363741451295964e-4
ARHGEF16,1,0,NA,6.285384254167944e-4
ARHGEF17,3,0,NA,6.329014741860796e-4
ARID1B,2,0,NA,6.312569404191952e-4
ASAP1,2,0,NA,6.322953046068634e-4
ASAP2,1,0,NA,6.285384254167944e-4
ASS1,2,0,NA,6.312569404191952e-4
ATP11A,2,0,NA,6.363741451295964e-4
ATP2B2,2,0,NA,6.346610679081094e-4
BAHCC1,2,0,NA,6.498515830356155e-4
BAIAP2,1,0,NA,6.285384254167944e-4
BCOR,2,0,NA,6.312569404191952e-4
BCR,2,0,NA,6.346610679081094e-4
BIN1,2,0,NA,6.301829591836788e-4
BLACE,1,0,NA,6.285384254167944e-4
C2CD2,1,0,NA,6.285384254167944e-4
CACNA1A,2,0,NA,6.359388273677741e-4
CACNA1I,1,0,NA,6.285384254167944e-4
CAMK2B,1,0,NA,6.285384254167944e-4
CASZ1,2,0,NA,6.425602396397031e-4
CBFA2T3,1,0,NA,6.285384254167944e-4
CBX8,1,0,NA,6.285384254167944e-4
CCNY,1,0,NA,6.285384254167944e-4
CDC42EP4,3,0,NA,6.373795829105099e-4
CDH22,1,0,NA,6.285384254167944e-4
CDH23,2,0,NA,6.312569404191952e-4
CFAP46,1,0,NA,6.285384254167944e-4
CHD5,1,0,NA,6.285384254167944e-4
CHST8,1,0,NA,6.285384254167944e-4
CLIP2,2,0,NA,6.359388273677741e-4
CLTCL1,1,0,NA,6.285384254167944e-4
COL13A1,1,0,NA,6.285384254167944e-4
COL16A1,1,0,NA,6.285384254167944e-4
COL18A1,1,0,NA,6.285384254167944e-4
COL26A1,1,0,NA,6.285384254167944e-4
COL27A1,2,0,NA,6.363741451295964e-4
CPNE5,1,0,NA,6.285384254167944e-4
CRTC1,2,0,NA,6.359388273677741e-4
CSNK1D,1,0,NA,6.285384254167944e-4
CTNNA1,1,0,NA,6.285384254167944e-4
CUX1,4,0,NA,6.50327415897902e-4
CUX2,1,0,NA,6.285384254167944e-4
CXXC5,1,0,NA,6.285384254167944e-4
DCAKD,1,0,NA,6.285384254167944e-4
DENND1A,1,0,NA,6.285384254167944e-4
DGCR8,1,0,NA,6.285384254167944e-4
DGKZ,3,0,NA,6.386573423701746e-4
DIP2C,1,0,NA,6.285384254167944e-4
DISP3,1,0,NA,6.285384254167944e-4
DLG5,1,0,NA,6.285384254167944e-4
DLGAP4,2,0,NA,6.312569404191952e-4
DNAH17,1,0,NA,6.285384254167944e-4
DNAJB12,1,0,NA,6.285384254167944e-4
DNAJB6,1,0,NA,6.285384254167944e-4
DNM1,1,0,NA,6.285384254167944e-4
DPP6,1,0,NA,6.285384254167944e-4
DYSF,2,0,NA,6.312569404191952e-4
EHD1,2,0,NA,6.346610679081094e-4
ELL,1,0,NA,6.285384254167944e-4
