Node,Degree,Betweenness,Closeness,PageRank
ZNF263,319,632,0.0031545741324921135,6.673381390726034e-4
ZBTB7A,93,339,0.006756756756756757,6.569353875448952e-4
PRDM14,196,0,0.00510204081632653,6.257035706706546e-4
NR2F1,68,0,0.014705882352941176,6.257035706706546e-4
MAZ,72,0,0.0032258064516129032,6.257035706706547e-4
SIX5,25,0,0.04,6.257035706706546e-4
CTCFL,54,0,0.0031746031746031746,6.257035706706546e-4
IRF3,74,0,0.013513513513513514,6.257035706706545e-4
RELA,6,0,0.16666666666666666,6.257035706706546e-4
REL,21,14.5,0.05,6.309177670929101e-4
MBD2,32,0,0.03125,6.257035706706546e-4
NFKB1,8,7,0.14285714285714285,6.365576122026966e-4
SNAI2,66,0,0.015151515151515152,6.257035706706546e-4
THAP1,55,0,0.01818181818181818,6.257035706706546e-4
ETS2,30,0,0.03333333333333333,6.257035706706546e-4
RARA,38,0,0.02631578947368421,6.257035706706546e-4
SNAPC4,30,0,0.03333333333333333,6.257035706706546e-4
CEBPB,42,0,0.023809523809523808,6.257035706706546e-4
KLF5,82,0,0.012195121951219513,6.257035706706546e-4
BATF,49,0,0.015873015873015872,6.257035706706546e-4
NEUROD1,35,0,0.02857142857142857,6.257035706706546e-4
ZNF740,38,0,0.0033003300330033004,6.257035706706546e-4
STAT1,290,0,0.002617801047120419,6.257035706706546e-4
MBD1,44,0,0.001483679525222552,6.257035706706546e-4
ZKSCAN1,47,0,0.02127659574468085,6.257035706706546e-4
STAT3,8,6.5,0.16666666666666666,6.32751725834531e-4
REST,12,0,0.08333333333333333,6.257035706706546e-4
SPI1,102,0,0.004273504273504274,6.257035706706546e-4
JUN,7,4,0.16666666666666666,6.275375294122755e-4
NR2F6,33,115,0.03125,6.319079604419119e-4
KLF9,68,0,0.014705882352941176,6.257035706706546e-4
ZNF274,18,0,0.0015337423312883436,6.257035706706547e-4
BCL6,48,87,0.021739130434782608,6.32751725834531e-4
AATK,1,0,NA,6.274929631571269e-4
ABCA7,2,0,NA,6.346800987661817e-4
ABR,2,0,NA,6.336973529283842e-4
ACOT7,2,0,NA,6.355512667187943e-4
ACSF3,1,0,NA,6.274929631571269e-4
ACTRT2,1,0,NA,6.274929631571269e-4
ADCY3,1,0,NA,6.274929631571269e-4
ADGRB1,2,0,NA,6.441132142530662e-4
ADGRD1,1,0,NA,6.274929631571269e-4
ADGRG1,3,0,NA,6.466301734302985e-4
AGAP1,2,0,NA,6.302064735401373e-4
AGAP3,3,0,NA,6.468267246360766e-4
AGPAT2,1,0,NA,6.274929631571269e-4
AGPAT3,6,0,NA,6.702579051992882e-4
AGRN,5,0,NA,6.55391377473825e-4
AHDC1,5,0,NA,6.516189362096398e-4
AHRR,3,0,NA,6.453895043840223e-4
AKT2,1,0,NA,6.274929631571269e-4
ANK1,2,0,NA,6.355512667187943e-4
ANKRD11,3,0,NA,6.535764194225244e-4
ANO7,1,0,NA,6.274929631571269e-4
AP2A2,1,0,NA,6.274929631571269e-4
APBA2,1,0,NA,6.274929631571269e-4
ARAP1,2,0,NA,6.348797414219888e-4
ARHGAP22,2,0,NA,6.388088787969154e-4
ARHGAP23,2,0,NA,6.336973529283842e-4
ARHGEF1,3,0,NA,6.505099159353689e-4
ARHGEF16,3,0,NA,6.523363219180327e-4
ARHGEF17,2,0,NA,6.302064735401373e-4
ARID1B,2,0,NA,6.302064735401373e-4
ASAP1,1,0,NA,6.274929631571269e-4
ASAP2,1,0,NA,6.274929631571269e-4
ASS1,2,0,NA,6.302064735401373e-4
ATP11A,2,0,NA,6.353142577905101e-4
ATP2B2,3,0,NA,6.504824081276225e-4
BAHCC1,2,0,NA,6.487668845599292e-4
BAIAP2,1,0,NA,6.274929631571269e-4
BCOR,3,0,NA,6.398764378141384e-4
BCR,2,0,NA,6.336973529283842e-4
BIN1,1,0,NA,6.274929631571269e-4
BLACE,1,0,NA,6.274929631571269e-4
C2CD2,1,0,NA,6.274929631571269e-4
CACNA1A,2,0,NA,6.348797414219888e-4
CACNA1I,1,0,NA,6.274929631571269e-4
CAMK2B,1,0,NA,6.274929631571269e-4
CASZ1,2,0,NA,6.414889640800231e-4
CBFA2T3,3,0,NA,6.558053657087043e-4
CBX8,2,0,NA,6.373420008436094e-4
CCNY,1,0,NA,6.274929631571269e-4
CDC42EP4,3,0,NA,6.364108633113947e-4
CDH22,1,0,NA,6.274929631571269e-4
CDH23,3,0,NA,6.454021316849961e-4
CFAP46,1,0,NA,6.274929631571269e-4
CHD5,2,0,NA,6.373420008436094e-4
CHST8,1,0,NA,6.274929631571269e-4
CLIP2,2,0,NA,6.348797414219888e-4
CLTCL1,1,0,NA,6.274929631571269e-4
COL13A1,2,0,NA,6.373420008436094e-4
COL16A1,1,0,NA,6.274929631571269e-4
COL18A1,2,0,NA,6.371629274311279e-4
COL26A1,1,0,NA,6.274929631571269e-4
COL27A1,3,0,NA,6.451632954769926e-4
CPNE5,1,0,NA,6.274929631571269e-4
CRTC1,2,0,NA,6.348797414219888e-4
CSNK1D,2,0,NA,6.371629274311279e-4
CTNNA1,1,0,NA,6.274929631571269e-4
CUX1,3,0,NA,6.476933538512805e-4
CUX2,1,0,NA,6.274929631571269e-4
CXXC5,1,0,NA,6.274929631571269e-4
DCAKD,1,0,NA,6.274929631571269e-4
DENND1A,2,0,NA,6.383470046891689e-4
DGCR8,1,0,NA,6.274929631571269e-4
DGKZ,5,0,NA,6.552635841248649e-4
DIP2C,1,0,NA,6.274929631571269e-4
DISP3,1,0,NA,6.274929631571269e-4
