TF,Target,Weight,Contrast
SPI1,ACP5,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,APBB1IP,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,B2M,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,BCL6,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,BPI,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,BTK,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CCL5,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CD14,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CD163,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CD22,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CD33,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CD40,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CD47,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CD53,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CD58,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CD68,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CD86,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CDKN2A,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CIITA,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CLEC4G,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CREBBP,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CSF1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CSF1R,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CSF2,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CSF2RA,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CSF3R,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CTSE,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CTSG,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CTSK,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CTSS,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CXCR1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CXCR2,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,CYBB,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,DAB2,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,DAPK2,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,EGR2,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,ELANE,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,ERAP2,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,ERG,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,FCER1A,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,FCGR1A,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,FES,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,FLI1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,FLII,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,FOS,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,FPR1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,GATA1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,HCK,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,ICAM1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,IFIT3,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,IL12B,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,IL1B,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,IL5,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,IL5RA,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,ITGA2B,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,ITGAM,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,ITGAX,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,ITGB1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,ITGB2,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,JCHAIN,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,KCNMA1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,LCP2,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,LSP1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,LY96,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,MACROD1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,MCM3AP,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,MME,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,MMP2,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,MNDA,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,MPO,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,MSR1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,MYB,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,NCF1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,NCF2,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,NCF4,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,NR3C1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,P2RY10,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,PARG,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,PDGFRB,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,PPBP,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,PRTN3,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,PTGIR,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,PTPRC,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,PTPRE,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,REL,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,RNASE2,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,RUNX1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,SCARB1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,SCARB2,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,SERPINB1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,STAT3,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,TAL1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,TBXAS1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,TFEC,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,TGFBR2,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,TLR4,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,TNF,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,TYROBP,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,VAV1,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,VIP,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,WAS,4.738814274553814,OUD_DLPFC_vs_NAC_full
SPI1,ZNF300,4.738814274553814,OUD_DLPFC_vs_NAC_full
NFKB1,IL6,4.250993683130268,OUD_DLPFC_vs_NAC_full
NFKB1,TNF,4.250993683130268,OUD_DLPFC_vs_NAC_full
NFKB1,IL1B,4.250993683130268,OUD_DLPFC_vs_NAC_full
NFKB1,PTGS2,4.250993683130268,OUD_DLPFC_vs_NAC_full
NFKB1,NOS2,4.250993683130268,OUD_DLPFC_vs_NAC_full
NFKB1,ICAM1,4.250993683130268,OUD_DLPFC_vs_NAC_full
NFKB1,VCAM1,4.250993683130268,OUD_DLPFC_vs_NAC_full
ZNF263,AATK,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ABCA7,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ABR,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ACOT7,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ACSF3,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ACTRT2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ADCY3,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ADGRB1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ADGRD1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ADGRG1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,AGAP1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,AGAP3,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,AGPAT2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,AGPAT3,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,AGRN,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,AHDC1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,AHRR,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,AKT2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ANK1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ANKRD11,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ANO7,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,AP2A2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,APBA2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ARAP1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ARHGAP22,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ARHGAP23,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ARHGEF1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ARHGEF16,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ARHGEF17,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ARID1B,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ASAP1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ASAP2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ASS1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ATP11A,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ATP2B2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,BAHCC1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,BAIAP2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,BCOR,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,BCR,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,BIN1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,BLACE,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,C2CD2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CACNA1A,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CACNA1I,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CAMK2B,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CASZ1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CBFA2T3,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CBX8,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CCNY,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CDC42EP4,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CDH22,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CDH23,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CFAP46,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CHD5,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CHST8,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CLIP2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CLTCL1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,COL13A1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,COL16A1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,COL18A1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,COL26A1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,COL27A1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CPNE5,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CRTC1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CSNK1D,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CTNNA1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CUX1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CUX2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,CXXC5,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DCAKD,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DENND1A,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DGCR8,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DGKZ,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DIP2C,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DISP3,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DLG5,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DLGAP4,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DNAH17,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DNAJB12,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DNAJB6,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DNM1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DPP6,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,DYSF,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,EHD1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ELL,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,EPB41L1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,EPHA2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,EPHB2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,EPHB4,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,ERGIC1,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,FADS2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,FAM102A,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,FAM178B,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,FAM78A,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,FBLN2,4.204355300051327,OUD_DLPFC_vs_NAC_full
ZNF263,FBRS,4.204355300051327,OUD_DLPFC_vs_NAC_full
