Node,Degree,Betweenness,Closeness,PageRank
ZNF263,317,0,0.0021413276231263384,6.344412324202859e-4
STAT1,291,308,0.0028735632183908046,6.494210948524315e-4
PRDM14,196,0,0.0036231884057971015,6.344412324202858e-4
CEBPA,147,0,0.002570694087403599,6.344412324202858e-4
ETS1,146,160,0.00546448087431694,6.486326810402134e-4
SPI1,103,109,0.006097560975609756,6.381097701587705e-4
ZBTB7A,92,164,0.011111111111111112,6.519177385911224e-4
IRF3,74,0,0.013513513513513514,6.344412324202858e-4
MAZ,72,0,0.004424778761061947,6.344412324202858e-4
NR2F1,68,0,0.014705882352941176,6.344412324202858e-4
