ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0010721,negative regulation of cell development,34/633,285/18805,0.11929824561403508,3.5440813724675038,8.077157456815648,1.606299979726483e-10,7.901389600274569e-07,6.071813923366106e-07,HES5/BTG2/CR1/HLX/MYCN/IL1A/IL1B/FRZB/WNT7A/LTF/BCL6/SPP1/IRF1/ID4/KIAA0319/VEGFA/GLI3/SEMA3A/TTPA/ANXA1/LHX2/SLIT1/PAX6/SORL1/CD69/IGF1/IL17D/EDNRB/IL4R/JAK3/CEBPA/LILRB3/MAFB/RUNX1,34
GO:0070372,regulation of ERK1 and ERK2 cascade,33/633,296/18805,0.11148648648648649,3.3120116562059687,7.48290116929609,1.7367596292957656e-09,3.120357680049355e-06,2.397835338602676e-06,EPHA2/PLA2G5/GBP1/SLC30A10/NRXN1/IL1A/IL1B/EPHA4/ACKR3/CCR1/EPHB1/FGFR3/PDE8B/SPRY4/PDGFRB/HLA-DRB1/VEGFA/CD36/CALCR/FGF20/NRG1/FFAR4/CD44/LMO3/PTPRR/IGF1/HTR2A/DUSP3/ITGB3/ICAM1/BMP2/XBP1/FBLN1,33
GO:0006935,chemotaxis,43/633,466/18805,0.09227467811158799,2.741272230471425,7.103909486528518,2.3531147911377708e-09,3.120357680049355e-06,2.397835338602676e-06,EPHA2/NBL1/CSF1/FCER1G/SEMA4C/IL1B/ACKR3/CX3CR1/CCR1/EPHB1/P2RY12/EFNA5/PDGFRB/DUSP1/RIPOR2/VEGFA/SEMA3A/NRG1/ANXA1/NINJ1/CXCL12/ALOX5/NRG3/CH25H/SLIT1/PARVA/FOSL1/CMKLR1/EDNRB/FLRT2/CCL2/MMP28/CCL4/DUSP3/ITGB3/PLAUR/FPR1/RAC2/TYMP/CYSLTR1/S100A9/S100A8/TREM1,43
GO:0042330,taxis,43/633,468/18805,0.09188034188034189,2.7295573918796667,7.071627467358137,2.679188693865237e-09,3.120357680049355e-06,2.397835338602676e-06,EPHA2/NBL1/CSF1/FCER1G/SEMA4C/IL1B/ACKR3/CX3CR1/CCR1/EPHB1/P2RY12/EFNA5/PDGFRB/DUSP1/RIPOR2/VEGFA/SEMA3A/NRG1/ANXA1/NINJ1/CXCL12/ALOX5/NRG3/CH25H/SLIT1/PARVA/FOSL1/CMKLR1/EDNRB/FLRT2/CCL2/MMP28/CCL4/DUSP3/ITGB3/PLAUR/FPR1/RAC2/TYMP/CYSLTR1/S100A9/S100A8/TREM1,43
GO:0070371,ERK1 and ERK2 cascade,34/633,319/18805,0.10658307210031348,3.166342292016422,7.283272473760039,3.171739865876555e-09,3.120357680049355e-06,2.397835338602676e-06,EPHA2/PLA2G5/GBP1/SLC30A10/NRXN1/IL1A/IL1B/EPHA4/ACKR3/CCR1/EPHB1/FGFR3/PDE8B/SPRY4/PDGFRB/HLA-DRB1/VEGFA/CD36/CALCR/FGF20/NRG1/FFAR4/DUSP5/CD44/LMO3/PTPRR/IGF1/HTR2A/DUSP3/ITGB3/ICAM1/BMP2/XBP1/FBLN1,34
GO:0042060,wound healing,41/633,450/18805,0.09111111111111111,2.7067052834825347,6.839324464718254,8.070658377754802e-09,6.616594760029312e-06,5.084514777985526e-06,PDPN/GRHL3/FCER1G/IL1A/SLC11A1/WNT7A/PROS1/PLSCR1/P2RY12/SLC7A11/CLIC1/CDKN1A/VEGFA/CD36/NRG1/FUT10/ANXA1/TGFBR1/ALOX5/PRKG1/CD59/CD44/SERPING1/CD9/IGF1/HTR2A/RASA3/SERPINA1/ANXA2/TNFRSF12A/ITGB3/LRG1/ANGPTL4/CYP4F11/PLAUR/GP6/FERMT1/THBD/XBP1/HMOX1/FBLN1,41
GO:0046632,alpha-beta T cell differentiation,20/633,138/18805,0.14492753623188406,4.305469698010395,7.273795249302784,3.8328046303032064e-08,2.6933665680659244e-05,2.0697145003637317e-05,HLX/RSAD2/FOSL2/BCL6/IRF1/HLA-DRB1/GLI3/TOX/ANXA1/ZBTB16/CD69/RORA/IL4R/IL27/STAT3/SOCS3/JUNB/JAK3/BCL3/RUNX1,20
GO:0007159,leukocyte cell-cell adhesion,38/633,433/18805,0.08775981524249422,2.6071458540838925,6.314611472339201,7.70299785887073e-08,4.649415248131905e-05,3.572837901593536e-05,PLA2G5/CR1/HLX/NCK2/IL1A/IL1B/CX3CR1/BCL6/IRF1/RIPOR2/HLA-DRB5/HLA-DRB1/NT5E/CARD11/GLI3/ANXA1/CXCL12/ALOX5/GPAM/CD44/ZBTB16/CD69/IGF1/SELPLG/IL4R/CCL2/DUSP3/LRG1/ICAM1/JAK3/CEBPB/RUNX1/XBP1/RAC2/TNFRSF13C/VSIG4/S100A9/S100A8,38
GO:0045600,positive regulation of fat cell differentiation,14/633,71/18805,0.19718309859154928,5.857864406025409,7.6539375975485315,8.506756908556036e-08,4.649415248131905e-05,3.572837901593536e-05,PTGS2/FRZB/PIM1/FFAR4/ZBTB16/LMO3/WIF1/CMKLR1/HTR2A/CEBPA/ZFP36/BMP2/CEBPB/XBP1,14
GO:0045444,fat cell differentiation,27/633,252/18805,0.10714285714285714,3.182972241029113,6.511289776583202,1.2022755465626205e-07,5.91399341354153e-05,4.544601566006706e-05,PTGS2/FOSL2/FRZB/ID4/PIM1/VEGFA/CEBPD/ALOX5/FFAR4/TCF7L2/ADRB1/ZBTB16/GNB3/LMO3/WIF1/HMGA2/CMKLR1/HTR2A/RORA/LRG1/CEBPA/ZFP36/BMP2/PLCB1/MAFB/CEBPB/XBP1,27
