ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,47/245,200/4384,0.235,4.205061224489796,11.286948780056244,1.8794413908192652e-18,9.021318675932472e-17,6.5285858838985e-17,GADD45A/CSF1/MCL1/IER5/PTGS2/BTG2/FOSL2/IL1A/IL1B/ACKR3/CCNL1/BCL6/TLR2/IRF1/DUSP1/TAP1/CDKN1A/VEGFA/NAMPT/CEBPD/KLF9/NFIL3/NINJ1/KLF6/DUSP5/CD44/FOSL1/SLC2A3/CD69/NFKBIA/FOS/BCL2A1/PER1/CCL2/CCL4/SOCS3/GADD45B/ICAM1/JUNB/ZFP36/PLAUR/BCL3/PPP1R15A/BMP2/CEBPB/ETS2/MAFF,47
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,21/245,87/4384,0.2413793103448276,4.319211822660098,7.607342725607583,5.826744067123335e-09,1.3984185761096005e-07,1.0120134432372109e-07,CSF1/IL1B/CCR1/CD38/TLR2/OSMR/IRF1/CD14/PIM1/CD36/CNTFR/CD44/CD9/A2M/TNFRSF12A/IL4R/STAT3/ITGB3/SOCS3/HMOX1/CSF2RA,21
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,32/245,200/4384,0.16,2.8630204081632655,6.560815675677336,3.2985013455207875e-08,5.27760215283326e-07,3.8193173474451223e-07,PDPN/CSF1/RGS16/BTG2/IL1A/IL1B/CALCRL/FZD5/PCDH7/SLC4A4/TLR2/OSMR/IRF1/CD14/CDKN1A/AHR/NAMPT/KLF6/ADM/SLC1A2/CD69/CMKLR1/NFKBIA/MEFV/IL4R/CCL2/ITGB3/ICAM1/SCN1B/PLAUR/FPR1/OSM,32
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,31/245,200/4384,0.155,2.773551020408163,6.245740135385409,1.1768887793385897e-07,1.4122665352063076e-06,1.0220349925835121e-06,SLC2A5/SELENBP1/FOSL2/PDK1/ACKR3/SLC6A6/P4HA2/TGFBI/DUSP1/CDKN1A/PIM1/VEGFA/NFIL3/KLF6/DDIT4/ADM/LDHA/PYGM/SLC2A3/FOS/TGFB3/ANXA2/RORA/ANGPTL4/NCAN/ZFP36/PLAUR/PPP1R15A/HMOX1/MAFF/PGK1,31
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,28/245,200/4384,0.14,2.505142857142858,5.300513514509628,4.1570017896576955e-06,3.3256014317261564e-05,2.406685246643929e-05,FCGR1A/PTGS2/RSAD2/MTHFD2/PLSCR1/CD38/IRF1/HLA-DRB1/TAP1/CDKN1A/PIM1/NAMPT/IFITM2/SERPING1/CASP4/CD69/CMKLR1/NFKBIA/IL4R/NLRC5/CCL2/STAT3/SOCS3/ICAM1/IFI30/FPR1/HELZ2/APOL6,28
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,28/245,200/4384,0.14,2.505142857142858,5.300513514509628,4.1570017896576955e-06,3.3256014317261564e-05,2.406685246643929e-05,FCER1G/RGS16/PTGS2/MYCN/IL1B/WNT7A/SPARCL1/SPP1/GUCY1A1/ETV1/ABCB1/GNG11/IL33/HKDC1/SPON1/VWA5A/EMP1/PTPRR/CMKLR1/LCP1/SERPINA3/ANGPTL4/SCN1B/PLAUR/PPP1R15A/BMP2/MAFB/CSF2RA,28
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,26/245,199/4384,0.1306532663316583,2.337893549379551,4.699172970653348,3.291661053947075e-05,0.00022571390084208512,0.0001633455861357195,CSF1/RGS16/BATF3/CDCP1/CISH/PLSCR1/SPP1/SPRY4/PIM1/NT5E/PLAGL1/AHR/ABCB1/NFIL3/KLF6/CD44/MAP6/SLC2A3/EMP1/RORA/IL4R/GADD45B/SLC1A5/BMP2/XBP1/MAFF,26
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,22/245,161/4384,0.13664596273291926,2.4451261249841556,4.544951089176007,6.927357709271483e-05,0.00041564146255628897,0.0003007931636920512,GADD45A/MCL1/LMNA/BTG2/IL1A/IL1B/CD38/IRF1/CD14/PDGFRB/TAP1/CDKN1A/ANXA1/CD44/CASP4/CD69/EMP1/TNFRSF12A/GADD45B/BMP2/AIFM3/HMOX1,22
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,24/245,200/4384,0.12,2.1472653061224487,4.0402113533419195,0.00025884088456910523,0.001242436245931705,0.0008991314937663655,GADD45A/COL5A2/SPP1/TGFBI/PDGFRB/SGCD/VEGFA/NT5E/GJA1/CXCL12/ADAM12/CD59/CD44/GLIPR1/COL4A1/COL4A2/TNFRSF12A/ITGB3/LAMA1/GADD45B/COL5A3/PLAUR/FBLN1/SLC6A8,24
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,24/245,200/4384,0.12,2.1472653061224487,4.0402113533419195,0.00025884088456910523,0.001242436245931705,0.0008991314937663655,EPHA2/PLK3/GADD45A/IER5/RGS16/PHLDA3/BTG2/PTPN14/IL1A/MXD4/SLC7A11/TAP1/CDKN1A/NINJ1/DDIT4/ZBTB16/VWA5A/FOS/ITGB4/IFI30/CEBPA/PPP1R15A/BMP2/HMOX1,24
