ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0070372,regulation of ERK1 and ERK2 cascade,27/427,296/18805,0.09121621621621621,4.017145072472941,7.975180217487987,9.66195889318888e-10,3.3293305374878674e-06,2.444892332197974e-06,CHI3L1/NRXN1/IL1A/IL1B/FN1/EPHA4/EPHB1/FGFR3/PDE8B/SPRY4/PDGFRB/TNF/VEGFA/AKAP12/EZR/PDGFA/CALCR/FGF20/TLR4/FFAR4/CD44/LMO3/IGF1/ITGB3/BMP2/XBP1/FBLN1,27
GO:0001503,ossification,34/427,458/18805,0.07423580786026202,3.269331069817862,7.494419565719979,1.5160885871984824e-09,3.3293305374878674e-06,2.444892332197974e-06,BMP8A/BMP8B/CSF1/FGFR3/SPP1/RANBP3L/ADGRV1/ID4/TNF/CLIC1/VEGFA/GJA1/GLI3/CALCR/CSGALNACT1/STC1/CEBPD/KLF10/DDX21/FFAR4/YAP1/ZBTB16/IGF1/TMEM119/MRC2/SBNO2/JUNB/CEBPA/RYR1/BMP2/SLC24A3/CEBPB/BMP7/CHRDL1,34
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,21/427,190/18805,0.11052631578947368,4.86755823986195,8.16717906626496,2.419983330086141e-09,3.385334266088678e-06,2.4860186442564734e-06,VAV3/CHI3L1/NRXN1/FN1/CX3CR1/PROS1/P2RY12/FGFR3/PDGFRB/TNF/VEGFA/PDGFA/CALCR/NKX3-1/AKR1C3/STOX1/TCF7L2/IGF1/FLT1/XBP1/OSM,21
GO:0061448,connective tissue development,26/427,291/18805,0.08934707903780069,3.934828621325157,7.690756226520667,3.0831823917018925e-09,3.385334266088678e-06,2.4860186442564734e-06,HES5/BMP8A/BMP8B/CSF1/PBXIP1/CHI3L1/EFEMP1/FGFR3/CYTL1/PPARGC1A/PDGFRB/ID4/GLI3/CSGALNACT1/SLC39A14/STC1/SOX6/CD44/ZBTB16/SORL1/SOX5/MAF/ITGB3/BMP2/BMP7/XBP1,26
GO:0070371,ERK1 and ERK2 cascade,27/427,319/18805,0.08463949843260188,3.727507653454516,7.489102597177248,4.938530775890604e-09,4.338005433542306e-06,3.185612273121855e-06,CHI3L1/NRXN1/IL1A/IL1B/FN1/EPHA4/EPHB1/FGFR3/PDE8B/SPRY4/PDGFRB/TNF/VEGFA/AKAP12/EZR/PDGFA/CALCR/FGF20/TLR4/FFAR4/CD44/LMO3/IGF1/ITGB3/BMP2/XBP1/FBLN1,27
GO:0002526,acute inflammatory response,15/427,111/18805,0.13513513513513514,5.951326033293246,7.9748372717004745,3.2043905270656354e-08,2.345613865812045e-05,1.7225004517419488e-05,FCGR1A/FCGR2A/FCGR3A/IL1A/IL1B/FN1/TFRC/OSMR/TNF/CD163/A2M/SERPINA1/SERPINA3/CEBPB/OSM,15
GO:0045785,positive regulation of cell adhesion,33/427,499/18805,0.06613226452905811,2.9124525397399013,6.599851218637883,4.45248295817117e-08,2.5334461701651925e-05,1.860435017109134e-05,PDPN/VAV3/CSF1/CR1/NID1/IL1A/IL1B/FN1/EPHA4/P2RY12/BCL6/TFRC/CARMIL1/TNF/HLA-DMB/VEGFA/GLI3/CXCL12/CD44/ZBTB16/IGF1/SLC7A1/PNP/CCL2/ITGB3/EMILIN2/LAMA1/FERMT1/TGM2/BMP7/XBP1/TNFRSF13C/FBLN1,33
GO:0042060,wound healing,31/427,450/18805,0.06888888888888889,3.033853760083268,6.656389400022047,4.614656047659731e-08,2.5334461701651925e-05,1.860435017109134e-05,PDPN/GRHL3/VAV3/FCER1G/IL1A/FN1/SLC11A1/PROS1/P2RY12/SLC7A11/TNF/CLIC1/CDKN1A/VEGFA/PDGFA/TLR4/PRKG1/CD59/CD44/SERPING1/YAP1/IGF1/SERPINA1/TNFRSF12A/ITGB3/EMILIN2/FERMT1/THBD/XBP1/HMOX1/FBLN1,31
GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,25/427,316/18805,0.07911392405063292,3.484162392909021,6.788233115895384,6.980625120687948e-08,3.018872356389734e-05,2.216907511259262e-05,PLK3/VAV3/FCGR3A/CHI3L1/NRXN1/FN1/CX3CR1/PROS1/P2RY12/FGFR3/PDGFRB/TNF/VEGFA/PDGFA/CALCR/NKX3-1/AKR1C3/STOX1/TCF7L2/SESN3/IGF1/FLT1/STAT3/XBP1/OSM,25
GO:0033002,muscle cell proliferation,22/427,251/18805,0.08764940239043825,3.8600632598411972,6.953182987366881,7.21758838624889e-08,3.018872356389734e-05,2.216907511259262e-05,HES5/JUN/STAT1/EPHB1/PPARGC1A/PDGFRB/TNF/CDKN1A/PIM1/GJA1/MAP3K5/FGF20/TLR4/PRKG1/TCF7L2/YAP1/IGF1/FOS/ITGB3/BMP2/XBP1/HMOX1,22
GO:2001237,negative regulation of extrinsic apoptotic signaling pathway,14/427,102/18805,0.13725490196078433,6.044680167148828,7.786961389046416,7.560928032852248e-08,3.018872356389734e-05,2.216907511259262e-05,MCL1/LMNA/IL1A/IL1B/TNF/HSPA1A/HSPA1B/EYA1/TCF7L2/YAP1/IGF1/EYA2/HMOX1/DDX3X,14
GO:0006953,acute-phase response,10/427,48/18805,0.20833333333333334,9.174960967993755,8.643995904038313,9.923004097730488e-08,3.541341552679132e-05,2.6005825226269916e-05,IL1A/IL1B/FN1/TFRC/TNF/CD163/A2M/SERPINA1/SERPINA3/CEBPB,10
GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,23/427,278/18805,0.08273381294964029,3.6435816218219803,6.768656991908037,1.0482112974687776e-07,3.541341552679132e-05,2.6005825226269916e-05,PLK3/VAV3/CHI3L1/NRXN1/FN1/CX3CR1/PROS1/P2RY12/FGFR3/PDGFRB/TNF/VEGFA/PDGFA/CALCR/NKX3-1/AKR1C3/STOX1/TCF7L2/SESN3/IGF1/FLT1/XBP1/OSM,23
GO:0045669,positive regulation of osteoblast differentiation,12/427,77/18805,0.15584415584415584,6.863347425408316,7.858419812003339,1.55978459475643e-07,4.841730065780619e-05,3.5555222225941466e-05,CLIC1/VEGFA/GLI3/CEBPD/FFAR4/YAP1/IGF1/TMEM119/CEBPA/BMP2/CEBPB/BMP7,12
GO:0032350,regulation of hormone metabolic process,9/427,39/18805,0.23076923076923078,10.163033687623852,8.731234770382223,1.70900291295535e-07,4.841730065780619e-05,3.5555222225941466e-05,PDE8B/STC2/RDH10/AKR1C3/TCF7L2/ADM/SLCO1C1/HPN/BMP2,9
GO:0140467,integrated stress response signaling,10/427,51/18805,0.19607843137254902,8.63525738164118,8.322460621536488,1.8241603194910673e-07,4.841730065780619e-05,3.5555222225941466e-05,JUN/CEBPD/FOSL1/FOS/MAF/JUNB/CEBPA/PPP1R15A/MAFB/CEBPB,10
GO:0009612,response to mechanical stimulus,20/427,223/18805,0.08968609865470852,3.9497589817372214,6.754336153121118,1.9609944414751583e-07,4.841730065780619e-05,3.5555222225941466e-05,SLC2A1/GADD45A/ATP1A2/CHI3L1/BTG2/NRXN1/IL1B/STAT1/ADGRV1/IRF1/KIAA0319/TNF/ETV1/TLR4/CXCL12/FOSL1/NFKBIA/FOS/ITGB3/HPN,20
GO:0070486,leukocyte aggregation,6/427,13/18805,0.46153846153846156,20.326067375247703,10.624747034796547,1.9843156007297618e-07,4.841730065780619e-05,3.5555222225941466e-05,IL1B/CD44/BMP7/JAM2/S100A9/S100A8,6
GO:2001236,regulation of extrinsic apoptotic signaling pathway,17/427,165/18805,0.10303030303030303,4.5374352423532756,6.956606713110166,2.274734066258087e-07,5.258227378423957e-05,3.8613768304791015e-05,MCL1/LMNA/IL1A/IL1B/TNF/HSPA1A/HSPA1B/EYA1/DEPTOR/TLR4/TCF7L2/YAP1/IGF1/TNFRSF12A/EYA2/HMOX1/DDX3X,17
GO:0045598,regulation of fat cell differentiation,16/427,147/18805,0.10884353741496598,4.793448995523267,7.038016932476396,2.4284716872134033e-07,5.332923825120634e-05,3.9162301313799305e-05,ID4/TNF/PIM1/VEGFA/FFAR4/YAP1/ZBTB16/LMO3/WIF1/RORA/CEBPA/ZFP36/BMP2/CEBPB/BMP7/XBP1,16
GO:0001934,positive regulation of protein phosphorylation,28/427,414/18805,0.06763285024154589,2.978538053377682,6.20485791500278,3.0555305288857884e-07,6.390423848983991e-05,4.69280478220855e-05,HES5/CHI3L1/IL1B/EPHA4/TFRC/FGFR3/EFNA5/PDGFRB/TNF/CDKN1A/PIM1/VEGFA/MAP3K5/PDGFA/MMD2/NKX3-1/TLR4/STOX1/KNDC1/IGF1/TMEM119/FLT1/ITGB3/BMP2/XBP1/OSM/LIMK2/DDX3X,28
GO:0051216,cartilage development,19/427,210/18805,0.09047619047619047,3.9845544775287163,6.629503461980904,3.461207420108048e-07,6.909828631415702e-05,5.074229442684717e-05,HES5/BMP8A/BMP8B/PBXIP1/CHI3L1/EFEMP1/FGFR3/CYTL1/GLI3/CSGALNACT1/SLC39A14/STC1/SOX6/CD44/ZBTB16/SOX5/MAF/BMP2/BMP7,19
GO:0048660,regulation of smooth muscle cell proliferation,17/427,174/18805,0.09770114942528736,4.302740316024658,6.671460272870991,4.872999175901316e-07,9.305309730677642e-05,6.833349874124317e-05,HES5/JUN/STAT1/PPARGC1A/PDGFRB/TNF/CDKN1A/GJA1/MAP3K5/TLR4/PRKG1/TCF7L2/IGF1/ITGB3/BMP2/XBP1/HMOX1,17
