ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,14/285,102/11214,0.13725490196078433,5.40061919504644,7.209595291165385,2.729788070225891e-07,0.0002931792387422607,0.0002611976164037194,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/ATF4/RPS11/ATF3/RPL13/FAU/RPL18/RPS6,14
R-HSA-9711097,Cellular response to starvation,16/285,157/11214,0.10191082802547771,4.009922896413007,6.133094693690455,2.34633752716452e-06,0.0006583726751427038,0.0005865537211650669,RPL28/ATP6V0B/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/ATF4/RPS11/ATF3/RPL13/FAU/RPL18/RRAGD/RPS6,16
R-HSA-156902,Peptide chain elongation,12/285,90/11214,0.13333333333333333,5.246315789473685,6.53124809789859,2.6942295610013632e-06,0.0006583726751427038,0.0005865537211650669,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-192823,Viral mRNA Translation,12/285,90/11214,0.13333333333333333,5.246315789473685,6.53124809789859,2.6942295610013632e-06,0.0006583726751427038,0.0005865537211650669,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-156842,Eukaryotic Translation Elongation,12/285,94/11214,0.1276595744680851,5.023068309070548,6.325022400683679,4.291069577280193e-06,0.0006583726751427038,0.0005865537211650669,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-2408557,Selenocysteine synthesis,12/285,94/11214,0.1276595744680851,5.023068309070548,6.325022400683679,4.291069577280193e-06,0.0006583726751427038,0.0005865537211650669,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-72764,Eukaryotic Translation Termination,12/285,94/11214,0.1276595744680851,5.023068309070548,6.325022400683679,4.291069577280193e-06,0.0006583726751427038,0.0005865537211650669,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),12/285,96/11214,0.125,4.918421052631579,6.226249371533944,5.364906704973393e-06,0.000720238725142678,0.0006416710782658966,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-72689,Formation of a pool of free 40S subunits,12/285,102/11214,0.11764705882352941,4.629102167182662,5.945608273747055,1.0131314859286792e-05,0.0012090035732082239,0.0010771187376715432,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,12/285,112/11214,0.10714285714285714,4.21578947368421,5.523179238844513,2.6426965245979046e-05,0.002587168745387332,0.0023049459860404633,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,12/285,113/11214,0.10619469026548672,4.178481602235678,5.4836660713265015,2.890691335628304e-05,0.002587168745387332,0.0023049459860404633,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,12/285,113/11214,0.10619469026548672,4.178481602235678,5.4836660713265015,2.890691335628304e-05,0.002587168745387332,0.0023049459860404633,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-927802,Nonsense-Mediated Decay (NMD),12/285,116/11214,0.10344827586206896,4.070417422867513,5.367810607870475,3.760020464137685e-05,0.0027896574855790423,0.0024853461279930895,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),12/285,116/11214,0.10344827586206896,4.070417422867513,5.367810607870475,3.760020464137685e-05,0.0027896574855790423,0.0024853461279930895,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-76002,"Platelet activation, signaling and aggregation",19/285,262/11214,0.07251908396946564,2.8534351145038164,4.9020128226737905,3.939270308153015e-05,0.0027896574855790423,0.0024853461279930895,GNA14/DGKI/PRKCB/VEGFA/ARRB1/ITPR1/ANXA5/GNA13/CD9/P2RY12/GNAI1/PIK3R3/PECAM1/FN1/TTN/A2M/PLCG2/HSPA5/FLNA,19
R-HSA-168273,Influenza Viral RNA Transcription and Replication,13/285,136/11214,0.09558823529411764,3.7611455108359126,5.231439367478874,4.15591431743619e-05,0.0027896574855790423,0.0024853461279930895,RPL28/RPLP1/HSP90AA1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,13
