ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007409,axonogenesis,27/312,459/18805,0.058823529411764705,3.5454374057315237,7.171282043994661,1.4176113659969786e-08,2.384260638687977e-05,1.9693151661923803e-05,CTNNA2/PTPRJ/IGF1R/UNC5D/SPP1/BCL2/ETV1/NTRK2/PTPRZ1/TRIO/KALRN/EVL/MATN2/LAMA2/ROBO2/PAK1/CNTN4/SEMA5A/EPHA4/DPYSL5/EPHA6/VEGFA/NRXN1/MT3/SEMA6A/SEMA3C/NRCAM,27
GO:0007411,axon guidance,19/312,238/18805,0.07983193277310924,4.811665050635638,7.68654321771895,1.8497940979649715e-08,2.384260638687977e-05,1.9693151661923803e-05,PTPRJ/UNC5D/ETV1/TRIO/KALRN/EVL/MATN2/LAMA2/ROBO2/CNTN4/SEMA5A/EPHA4/DPYSL5/EPHA6/VEGFA/NRXN1/SEMA6A/SEMA3C/NRCAM,19
GO:0097485,neuron projection guidance,19/312,239/18805,0.0794979079497908,4.791532560884026,7.66219677132199,1.9797348231563608e-08,2.384260638687977e-05,1.9693151661923803e-05,PTPRJ/UNC5D/ETV1/TRIO/KALRN/EVL/MATN2/LAMA2/ROBO2/CNTN4/SEMA5A/EPHA4/DPYSL5/EPHA6/VEGFA/NRXN1/SEMA6A/SEMA3C/NRCAM,19
GO:0050807,regulation of synapse organization,20/312,315/18805,0.06349206349206349,3.8268213268213267,6.571793581964793,3.391509288318491e-07,0.00030633807646736767,0.0002530244429574453,CTNNA2/NECTIN3/SNCA/LRRK2/IL1RAPL2/PTPN13/TANC1/NTRK2/FARP1/DTNBP1/ZNF804A/ARHGAP12/MRTFB/CACNA2D3/LINGO2/ROBO2/EPHA4/NRXN1/CUX2/NRCAM,20
GO:0050803,regulation of synapse structure or activity,20/312,321/18805,0.06230529595015576,3.7552919562265354,6.46726853321144,4.575430134431384e-07,0.0003306205815140118,0.0002730809353918521,CTNNA2/NECTIN3/SNCA/LRRK2/IL1RAPL2/PTPN13/TANC1/NTRK2/FARP1/DTNBP1/ZNF804A/ARHGAP12/MRTFB/CACNA2D3/LINGO2/ROBO2/EPHA4/NRXN1/CUX2/NRCAM,20
GO:0048008,platelet-derived growth factor receptor signaling pathway,11/312,106/18805,0.10377358490566038,6.2546867440735365,7.046757171159663,1.5072071623648373e-06,0.0007824237729847353,0.000646254431049201,PTPRJ/IGF1R/SNCA/NTRK2/ARID5B/HIP1/EPHA4/EPHA6/PIK3C2A/VEGFA/SMPD3,11
GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,19/312,316/18805,0.060126582278481014,3.6239755761116523,6.110058267580004,1.5159054555475083e-06,0.0007824237729847353,0.000646254431049201,PTPRJ/IGF1R/STAT3/INPP5F/LRP2/PTPN13/NTRK2/CAV3/DIPK2A/HIP1/CHI3L1/PRKD1/SEMA5A/PIK3C2A/VEGFA/NRXN1/IRS2/SMPD3/ERRFI1,19
GO:0010975,regulation of neuron projection development,23/312,448/18805,0.05133928571428571,3.094343807234432,5.827534635591573,1.845574003577949e-06,0.0008335073593658913,0.0006884476710715113,CTNNA2/TNIK/IGF1R/LRRC7/INPP5F/PPP3CA/LRRK2/SPP1/NTRK2/SYNE1/DTNBP1/ZNF804A/ROBO2/PAK1/PRKD1/SEMA5A/EPHA4/DPYSL5/VEGFA/MT3/CUX2/RAPGEF1/NRCAM,23
GO:1901888,regulation of cell junction assembly,17/312,270/18805,0.06296296296296296,3.7949311490978155,6.008352916598521,2.926019754583828e-06,0.0011746343748123744,0.0009702065502041114,CNTNAP2/PTPRJ/NECTIN3/SNCA/IL1RAPL2/PTPN13/FMN1/NTRK2/FARP1/ARHGAP12/LINGO2/ROBO2/VEGFA/NRXN1/DLC1/CUX2/RAPGEF1,17
GO:0046777,protein autophosphorylation,13/312,173/18805,0.07514450867052024,4.529142581888247,6.057051301157474,6.584219933368836e-06,0.0023788786619261607,0.0019648698432737526,TNIK/IGF1R/DAPK2/LRRK2/NTRK2/NRG1/TNNI3K/PAK1/PRKD1/EPHA4/VEGFA/ERRFI1/DAPK1,13
GO:0042391,regulation of membrane potential,22/312,463/18805,0.047516198704103674,2.8639170404829155,5.274635619015193,1.0611456970390163e-05,0.003485381275819969,0.0028788019627804897,GRIN2A/PIEZO2/GRIK2/CTNNA3/SNCA/PPP3CA/CACNA1C/LRRK2/SLC4A4/BCL2/NTRK2/TMEM108/SYNE1/CAV3/RYR2/TACR1/SOD2/KCNIP1/NRXN1/CUX2/NRCAM/KCNH7,22
GO:0008038,neuron recognition,7/312,48/18805,0.14583333333333334,8.789730235042736,7.018754965687319,1.3293367873728299e-05,0.003952986790972809,0.003265027620262478,CNTNAP2/OPCML/ROBO2/CNTN4/SEMA5A/EPHA4/NRCAM,7
GO:0099173,postsynapse organization,15/312,243/18805,0.06172839506172839,3.720520734409623,5.544233673978686,1.422331256093178e-05,0.003952986790972809,0.003265027620262478,IGF1R/NECTIN3/LRRK2/TANC1/SHISA6/TMEM108/FARP1/DTNBP1/ZNF804A/ARHGAP12/ACTN1/EPHA4/NRXN1/CUX2/NRCAM,15
GO:0086004,regulation of cardiac muscle cell contraction,6/312,36/18805,0.16666666666666666,10.045405982905983,7.0559822665836025,2.5456497820067414e-05,0.006569594758850254,0.0054262534826985806,PDE4B/CTNNA3/PDE4D/CACNA1C/CAV3/RYR2,6
GO:0048813,dendrite morphogenesis,11/312,144/18805,0.0763888888888889,4.6041444088319095,5.6391637624179305,2.902419358696207e-05,0.0069909607619795975,0.005774286934669296,CTNNA2/TNIK/PPP3CA/LRRK2/PHACTR1/SYNE1/FARP1/DTNBP1/EPHA4/DPYSL5/CUX2,11
GO:0071872,cellular response to epinephrine stimulus,4/312,12/18805,0.3333333333333333,20.090811965811966,8.592424003619515,3.3123294024842174e-05,0.007479653831984673,0.0061779301684491824,PDE4B/SNCA/PDE4D/RYR2,4
GO:0097120,receptor localization to synapse,8/312,78/18805,0.10256410256410256,6.181788297172913,5.956506161697944,4.492749690292501e-05,0.009346438375252779,0.00771982833739031,LRRC7/SHISA6/TMEM108/STX7/NRXN1/EPB41L3/GRIP1/VWC2,8
GO:0006942,regulation of striated muscle contraction,9/312,101/18805,0.0891089108910891,5.370811119573495,5.720766379056062,4.6564043939814566e-05,0.009346438375252779,0.00771982833739031,PDE4B/CTNNA3/PDE5A/PDE4D/CACNA1C/CAV3/RYR2/TNNI3K/PRKD1,9
GO:0055117,regulation of cardiac muscle contraction,8/312,79/18805,0.10126582278481013,6.103537812398572,5.904200624666293,4.927873523568896e-05,0.009370740547712853,0.007739901074414306,PDE4B/CTNNA3/PDE5A/PDE4D/CACNA1C/CAV3/RYR2/TNNI3K,8
GO:1903115,regulation of actin filament-based movement,6/312,42/18805,0.14285714285714285,8.610347985347984,6.41322910448927,6.306212537677294e-05,0.011066441625358293,0.009140490336909337,PDE4B/CTNNA3/PDE4D/CACNA1C/CAV3/RYR2,6
GO:0009214,cyclic nucleotide catabolic process,4/312,14/18805,0.2857142857142857,17.220695970695967,7.886009379138275,6.524605160771341e-05,0.011066441625358293,0.009140490336909337,PDE4B/PDE5A/PDE4D/PDE8B,4
GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,15/312,278/18805,0.0539568345323741,3.2521098505810735,4.913694491938785,6.738491994405824e-05,0.011066441625358293,0.009140490336909337,PTPRJ/IGF1R/INPP5F/PTPN13/NTRK2/CAV3/DIPK2A/HIP1/CHI3L1/PRKD1/SEMA5A/VEGFA/NRXN1/IRS2/SMPD3,15
GO:0060079,excitatory postsynaptic potential,9/312,109/18805,0.08256880733944955,4.976623147494708,5.408191595042749,8.468691027521815e-05,0.01232465170162116,0.010179727467797862,GRIN2A/GRIK2/SNCA/PPP3CA/LRRK2/TMEM108/SYNE1/NRXN1/CUX2,9
GO:0001764,neuron migration,12/312,191/18805,0.06282722513089005,3.786749899315344,5.027980172194594,8.655349281626032e-05,0.01232465170162116,0.010179727467797862,CTNNA2/STAT3/SH3RF1/UNC5D/NTRK2/PHACTR1/NEXMIF/MATN2/NAV1/VEGFA/SEMA6A/NRCAM,12
