ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0097060,synaptic membrane,32/323,452/19880,0.07079646017699115,4.357379654237102,9.279039733751205,3.1038909540651276e-12,1.1391279801419019e-09,8.91960242589242e-10,GRIN2A/CNTNAP2/GRIK2/NECTIN3/PCDH9/LRRC7/CACNA1C/PCDH17/SHISA6/TMEM108/SYNE1/FARP1/DTNBP1/CACNA2D3/HIP1/LINGO2/TENM2/TACR1/CRYAB/SYT1/GAD2/CASK/EPHA4/CDH9/ATP2B1/NRXN1/DGKI/SLC6A11/NRCAM/GRIP1/VWC2/CNTNAP4,32
GO:0045211,postsynaptic membrane,21/323,321/19880,0.06542056074766354,4.026503862735453,7.025347897938154,7.440348071630485e-08,1.365303871144194e-05,1.0690605387132223e-05,GRIN2A/GRIK2/NECTIN3/LRRC7/CACNA1C/PCDH17/SHISA6/TMEM108/SYNE1/FARP1/DTNBP1/HIP1/TENM2/TACR1/SYT1/EPHA4/CDH9/SLC6A11/NRCAM/GRIP1/VWC2,21
GO:0014069,postsynaptic density,22/323,360/19880,0.06111111111111111,3.761265909872721,6.794648348099197,1.1981755345695947e-07,1.4657680706234708e-05,1.1477260383771906e-05,PDE4B/GRIN2A/TNIK/BAALC/GRIK2/NECTIN3/LRRC7/CACNA1C/SH3GL3/TANC1/SHISA6/NTRK2/TMEM108/KALRN/DTNBP1/SYT1/EPHA4/DGKI/NRCAM/GRIP1/DAPK1/DLGAP1,22
GO:0043197,dendritic spine,15/323,178/19880,0.08426966292134831,5.1866281698959895,7.210520986491014,2.301253680228116e-07,1.4992901853966435e-05,1.1739745320903016e-05,PDE4B/GRIN2A/PPP3CA/SHISA6/NTRK2/SYNE1/FARP1/DTNBP1/ZNF804A/LAMA2/TENM2/CRYAB/EPHA4/MT3/DGKI,15
GO:0032279,asymmetric synapse,22/323,376/19880,0.05851063829787234,3.601212041367499,6.544180120038966,2.5374758141504717e-07,1.4992901853966435e-05,1.1739745320903016e-05,PDE4B/GRIN2A/TNIK/BAALC/GRIK2/NECTIN3/LRRC7/CACNA1C/SH3GL3/TANC1/SHISA6/NTRK2/TMEM108/KALRN/DTNBP1/SYT1/EPHA4/DGKI/NRCAM/GRIP1/DAPK1/DLGAP1,22
GO:0044309,neuron spine,15/323,180/19880,0.08333333333333333,5.128998968008255,7.151470046133569,2.6612479767100837e-07,1.4992901853966435e-05,1.1739745320903016e-05,PDE4B/GRIN2A/PPP3CA/SHISA6/NTRK2/SYNE1/FARP1/DTNBP1/ZNF804A/LAMA2/TENM2/CRYAB/EPHA4/MT3/DGKI,15
GO:0042734,presynaptic membrane,15/323,181/19880,0.08287292817679558,5.100661957135282,7.122272348987172,2.859681552527658e-07,1.4992901853966435e-05,1.1739745320903016e-05,GRIN2A/CNTNAP2/GRIK2/PCDH17/CACNA2D3/HIP1/SYT1/GAD2/CASK/EPHA4/CDH9/ATP2B1/NRXN1/SLC6A11/CNTNAP4,15
GO:0099572,postsynaptic specialization,22/323,396/19880,0.05555555555555555,3.419332645338837,6.249590023116574,6.111289411099702e-07,2.803554017341988e-05,2.195239485829235e-05,PDE4B/GRIN2A/TNIK/BAALC/GRIK2/NECTIN3/LRRC7/CACNA1C/SH3GL3/TANC1/SHISA6/NTRK2/TMEM108/KALRN/DTNBP1/SYT1/EPHA4/DGKI/NRCAM/GRIP1/DAPK1/DLGAP1,22
GO:0098984,neuron to neuron synapse,22/323,414/19880,0.05314009661835749,3.270666008584975,6.000155143329097,1.2810857715203525e-06,5.223983090532993e-05,4.090484393275512e-05,PDE4B/GRIN2A/TNIK/BAALC/GRIK2/NECTIN3/LRRC7/CACNA1C/SH3GL3/TANC1/SHISA6/NTRK2/TMEM108/KALRN/DTNBP1/SYT1/EPHA4/DGKI/NRCAM/GRIP1/DAPK1/DLGAP1,22
GO:0008021,synaptic vesicle,14/323,226/19880,0.061946902654867256,3.8127071974574642,5.4651322816681995,2.1142492497246688e-05,0.0007759294746489535,0.000607568468605089,PDE4B/GRIN2A/SNCA/LRRK2/DTNBP1/DYSF/SYT1/GAD2/SYNPR/STX7/SV2B/ATP2B1/MT3/DGKI,14
GO:0044291,cell-cell contact zone,8/323,76/19880,0.10526315789473684,6.478735538536744,6.1497588303786275,3.216368726800371e-05,0.0010730975661233965,0.0008402570932215323,NECTIN3/PCDH9/CTNNA3/CAV3/ACTN1/PAK1/AHNAK/TMEM65,8
GO:0070382,exocytic vesicle,14/323,243/19880,0.05761316872427984,3.545974595166202,5.131768334828678,4.695722120313422e-05,0.0014361083484625214,0.0011245018761803195,PDE4B/GRIN2A/SNCA/LRRK2/DTNBP1/DYSF/SYT1/GAD2/SYNPR/STX7/SV2B/ATP2B1/MT3/DGKI,14
GO:0005912,adherens junction,12/323,189/19880,0.06349206349206349,3.9078087375300994,5.161908040889296,6.45321174170553e-05,0.0018011946000429943,0.0014103717935228383,CTNNA2/CDH19/CDH20/NECTIN3/CTNNA3/LRRC7/FMN1/LAMA3/EPHA4/CDH9/VEGFA/LIMD1,12
