ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005516,calmodulin binding,16/311,207/18639,0.07729468599033816,4.632461904096183,6.845770258005859,4.181662573653548e-07,0.0002822622237216145,0.0002332927541090927,RYR3/CALD1/RASGRF2/PPP3CA/CACNA1C/DAPK2/MYO10/MBP/SPTAN1/RYR2/SYT1/ITPKB/CASK/ATP2B1/EPB41/DAPK1,16
GO:0042578,phosphoric ester hydrolase activity,17/311,363/18639,0.046831955922865015,2.806755068959103,4.528291018614959,0.000137027737603525,0.035357284443972715,0.029223174667143144,PDE4B/PTPRJ/PDE5A/INPP5F/PLCL1/PDE4D/PPP3CA/SYNJ2/DUSP16/PTPN13/INPP4B/PTPRZ1/TNS1/PLCXD1/ACP7/PDE8B/SMPD3,17
GO:0003779,actin binding,19/311,443/18639,0.04288939051918736,2.5704673629811357,4.357778226324577,0.00017594491022330852,0.035357284443972715,0.029223174667143144,CTNNA2/CALD1/CTNNA3/SNCA/LRRK2/DIAPH2/MYO10/FMN1/PHACTR1/SYNE1/TNS1/UACA/EVL/SPTAN1/HIP1/ACTN1/DAAM2/EPB41L3/EPB41,19
GO:0008013,beta-catenin binding,8/311,106/18639,0.07547169811320754,4.523205727112783,4.738494524727213,0.00040193798328781353,0.035357284443972715,0.029223174667143144,CTNNA2/PTPRJ/CDH19/CDH20/CTNNA3/CDH9/RORA/GRIP1,8
GO:0004879,nuclear receptor activity,6/311,59/18639,0.1016949152542373,6.094828056024852,5.105696470903157,0.0004406474367134656,0.035357284443972715,0.029223174667143144,ABHD2/STAT3/ESRRG/THRB/RORB/RORA,6
GO:0098531,ligand-modulated transcription factor activity,6/311,60/18639,0.1,5.993247588424437,5.046262856421241,0.0004828381594563124,0.035357284443972715,0.029223174667143144,ABHD2/STAT3/ESRRG/THRB/RORB/RORA,6
GO:0034596,phosphatidylinositol phosphate 4-phosphatase activity,3/311,10/18639,0.3,17.97974276527331,6.996142477669038,0.0005061008719856067,0.035357284443972715,0.029223174667143144,INPP5F/SYNJ2/INPP4B,3
GO:0047555,"3',5'-cyclic-GMP phosphodiesterase activity",4/311,23/18639,0.17391304347826086,10.423039284216411,5.890254295595994,0.0005239763646885476,0.035357284443972715,0.029223174667143144,PDE4B/PDE5A/PDE4D/PDE8B,4
GO:0019905,syntaxin binding,6/311,61/18639,0.09836065573770492,5.894997627958463,4.988158375946896,0.0005281088179653481,0.035357284443972715,0.029223174667143144,LRRK2/STXBP5L/SYT1/STX7/STXBP4/DAPK1,6
GO:0004114,"3',5'-cyclic-nucleotide phosphodiesterase activity",4/311,24/18639,0.16666666666666666,9.988745980707396,5.739783589848703,0.0006205677903703403,0.035357284443972715,0.029223174667143144,PDE4B/PDE5A/PDE4D/PDE8B,4
GO:0004115,"3',5'-cyclic-AMP phosphodiesterase activity",4/311,24/18639,0.16666666666666666,9.988745980707396,5.739783589848703,0.0006205677903703403,0.035357284443972715,0.029223174667143144,PDE4B/PDE5A/PDE4D/PDE8B,4
GO:0008081,phosphoric diester hydrolase activity,7/311,87/18639,0.08045977011494253,4.822153232065639,4.654731802715429,0.000628573945670626,0.035357284443972715,0.029223174667143144,PDE4B/PDE5A/PLCL1/PDE4D/PLCXD1/PDE8B/SMPD3,7
GO:0008235,metalloexopeptidase activity,6/311,66/18639,0.09090909090909091,5.44840689856767,4.715825799832029,0.0008061206520689594,0.04100515084954782,0.0338911968035249,CNDP1/TRHDE/AGBL3/CPQ/CPE/AGBL1,6
GO:0004112,cyclic-nucleotide phosphodiesterase activity,4/311,26/18639,0.15384615384615385,9.220380905268366,5.463774126316933,0.0008504772028054362,0.04100515084954782,0.0338911968035249,PDE4B/PDE5A/PDE4D/PDE8B,4
GO:0004180,carboxypeptidase activity,5/311,46/18639,0.10869565217391304,6.514399552635258,4.877808223830156,0.0009801813981691033,0.04410816291760965,0.03645586954593858,CNDP1/AGBL3/CPQ/CPE/AGBL1,5
GO:0045499,chemorepellent activity,4/311,28/18639,0.14285714285714285,8.561782269177767,5.216036713388887,0.0011346454692612857,0.04614568571359408,0.03813990398160603,NRG1/SEMA5A/SEMA6A/SEMA3C,4
GO:0140410,monoatomic cation:bicarbonate symporter activity,3/311,13/18639,0.23076923076923078,13.830571357902548,6.028096323504481,0.0011621876401942213,0.04614568571359408,0.03813990398160603,SLC4A4/SLC39A10/SLC39A14,3
GO:0099604,ligand-gated calcium channel activity,4/311,29/18639,0.13793103448275862,8.26654839782681,5.101246302100253,0.0012990634504313461,0.04871487939117548,0.04026337010108851,GRIN2A/GRIK2/RYR3/RYR2,4
