category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,49/195,238/9387,0.20588235294117646,9.910859728506788,20.28027523367524,6.674312367482496e-36,1.6352065300332116e-33,1.3418880654622704e-33,6233/5336/6222/6228/6147/6176/6224/6168/6208/6206/23521/6137/6169/6229/6161/6152/6133/6154/6181/6202/6223/6143/2197/6122/6129/6139/6194/6189/6164/6134/6203/3455/6135/6207/6191/9349/6141/6128/6227/4736/6132/6165/6136/6774/6230/6217/6187/6142/6158,49
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,17/195,254/9387,0.06692913385826772,3.2218655360387647,5.228540481054514,2.0629450106321784e-05,0.0025271076380244187,0.0020738026159512956,5336/114/1133/23236/4773/952/774/51196/4916/5154/3358/107/3360/808/818/6262/108,17
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,12/195,149/9387,0.08053691275167785,3.876923076923077,5.155668413114347,6.075076952249022e-05,0.0037867450576198336,0.0031074900365430217,2560/4535/4538/114/23236/4536/2555/2557/774/107/4539/108,12
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,10/195,105/9387,0.09523809523809523,4.584615384615384,5.379835602458811,6.182440910399728e-05,0.0037867450576198336,0.0031074900365430217,3673/114/783/137868/7273/3691/107/6262/108/1837,10
Human Diseases,Substance dependence,hsa05032,Morphine addiction,9/195,91/9387,0.0989010989010989,4.76094674556213,5.2507627467547895,0.00010797745561702081,0.004727718243077139,0.003879674261773291,5144/2560/114/10846/2555/2557/774/107/108,9
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,13/195,184/9387,0.07065217391304347,3.401086956521739,4.790762724681921,0.00011578085493250135,0.004727718243077139,0.003879674261773291,5336/6092/1630/80031/57556/59277/2043/285220/4773/56963/56288/56896/818,13
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,9/195,99/9387,0.09090909090909091,4.376223776223776,4.918586242059628,0.00020676910491578107,0.0072369186720523376,0.005938781810363036,5336/114/23236/8605/3358/107/808/818/108,9
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,11/195,155/9387,0.07096774193548387,3.416277915632754,4.417915535470754,0.00037489871690749184,0.009770263444853204,0.008017702762478894,114/783/23236/4773/952/8605/107/808/818/6262/108,11
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,8/195,86/9387,0.09302325581395349,4.477996422182469,4.719175267801412,0.00039878626305523286,0.009770263444853204,0.008017702762478894,114/23236/3782/107/10242/818/6262/108,8
Human Diseases,Cardiovascular disease,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,8/195,86/9387,0.09302325581395349,4.477996422182469,4.719175267801412,0.00039878626305523286,0.009770263444853204,0.008017702762478894,29119/3673/783/137868/3691/6262/1837/83439,8
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,10/195,134/9387,0.07462686567164178,3.592422502870264,4.40219699962411,0.0004645450685412507,0.010278210019587787,0.008434535397384608,5592/800/94274/114/23236/8605/107/10242/808/108,10
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,8/195,89/9387,0.0898876404494382,4.32705272255834,4.593169667999154,0.0005034225315716467,0.010278210019587787,0.008434535397384608,2560/114/2555/2557/774/5334/107/108,8
NA_character_,NA_character_,hsa04082,Neuroactive ligand signaling,12/195,199/9387,0.06030150753768844,2.9028218013142637,3.951543219732735,0.0008908689063453504,0.01565604448749872,0.012847709976851796,2560/2918/79627/114/1133/23236/2555/2557/3358/107/3360/108,12
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,8/195,97/9387,0.08247422680412371,3.9701823949246626,4.282661038679772,0.0008946311135713555,0.01565604448749872,0.012847709976851796,5592/114/23236/107/808/818/6262/108,8
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,7/195,92/9387,0.07608695652173914,3.6627090301003347,3.738053394047668,0.0029625751237127985,0.04821374172957852,0.03956530470612029,5592/114/23236/5154/3358/107/108,7
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,7/195,93/9387,0.07526881720430108,3.62332506203474,3.702924194074176,0.003148652521115332,0.04821374172957852,0.03956530470612029,114/23236/8605/107/808/818/108,7
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,12/195,235/9387,0.05106382978723404,2.4581342062193126,3.2970535152913483,0.003612289966485643,0.04877545328621559,0.04002625812101903,5592/4535/6194/4538/114/4536/7381/1350/4217/107/4539/108,12
Organismal Systems,Digestive system,hsa04970,Salivary secretion,7/195,97/9387,0.07216494845360824,3.4739095955590797,3.5670928008398084,0.0039837358857291415,0.04877545328621559,0.04002625812101903,5592/114/23236/952/107/808/108,7
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,13/195,271/9387,0.04797047970479705,2.3092250922509225,3.185292949016254,0.004243183582111594,0.04877545328621559,0.04002625812101903,6233/6622/201266/4535/4538/4536/7381/1350/4217/7316/808/818/4539,13
Organismal Systems,Endocrine system,hsa04913,Ovarian steroidogenesis,5/195,52/9387,0.09615384615384616,4.628698224852071,3.821623824385233,0.004329088299442002,0.04877545328621559,0.04002625812101903,3480/114/8605/107/108,5
Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,7/195,99/9387,0.0707070707070707,3.403729603729604,3.5018269351090083,0.0044595296234495735,0.04877545328621559,0.04002625812101903,3673/783/137868/7273/3691/6262/1837,7
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,11/195,212/9387,0.05188679245283019,2.4977503628447026,3.2126018140579955,0.00466651324504323,0.04877545328621559,0.04002625812101903,3480/114/23236/9732/51196/999/56288/5154/107/808/108,11
Organismal Systems,Immune system,hsa04611,Platelet activation,8/195,126/9387,0.06349206349206349,3.056410256410256,3.384688177886183,0.004672168060958637,0.04877545328621559,0.04002625812101903,5336/5592/3673/114/23236/8605/107/108,8
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,6/195,76/9387,0.07894736842105263,3.8004048582995953,3.570113538803438,0.004872621223390066,0.04877545328621559,0.04002625812101903,114/23236/107/808/818/108,6
Organismal Systems,Endocrine system,hsa04916,Melanogenesis,7/195,101/9387,0.06930693069306931,3.3363290175171367,3.438214147493577,0.0049770870700219984,0.04877545328621559,0.04002625812101903,114/23236/107/808/818/108/83439,7
