ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0022626,cytosolic ribosome,39/372,118/19880,0.3305084745762712,17.66265718972116,25.068721116054814,3.7589337059079574e-38,1.3757697363623124e-35,1.1553775180264459e-35,RPL19/RPS8/RPL37A/RPS27A/RPL23A/RPS14/RPLP1/RPLP2/RPS20/RPS6/RPS23/RPL32/RPS13/RPS11/RPL26/RPL24/RPS18/RPS3A/RPS15A/RPS4X/RPS24/RPL38/RPL17/RPL7/RPL34/RPL10/RPL11/RPL23/FAU/RPS27/RPS12/RPS21/RPL13A/RPL10A/RPS15/RPL8/RPL18A/RPL35/RPS25,39
GO:0044391,ribosomal subunit,39/372,186/19880,0.20967741935483872,11.205341657995145,19.309872998024755,1.0327192938062291e-29,1.8898763076653993e-27,1.5871264936390468e-27,RPL19/RPS8/RPL37A/RPS27A/RPL23A/RPS14/RPLP1/RPLP2/RPS20/RPS6/RPS23/RPL32/RPS13/RPS11/RPL26/RPL24/RPS18/RPS3A/RPS15A/RPS4X/RPS24/RPL38/RPL17/RPL7/RPL34/RPL10/RPL11/RPL23/FAU/RPS27/RPS12/RPS21/RPL13A/RPL10A/RPS15/RPL8/RPL18A/RPL35/RPS25,39
GO:0005840,ribosome,40/372,244/19880,0.16393442622950818,8.76079675656619,16.843683601678965,4.048460209149682e-26,4.939121455162612e-24,4.1478960739358154e-24,RPL19/RPS8/RPL37A/RPS27A/RPL23A/RPS14/RPLP1/RPLP2/RPS20/RPS6/RPS23/RPL32/MT3/RPS13/RPS11/RPL26/RPL24/RPS18/RPS3A/RPS15A/RPS4X/RPS24/RPL38/RPL17/RPL7/RPL34/RPL10/RPL11/RPL23/FAU/RPS27/RPS12/RPS21/RPL13A/RPL10A/RPS15/RPL8/RPL18A/RPL35/RPS25,40
GO:0022627,cytosolic small ribosomal subunit,19/372,42/19880,0.4523809523809524,24.17562724014337,20.76201796890705,2.825490178256374e-22,2.5853235131045823e-20,2.1711661369759505e-20,RPS8/RPS27A/RPS14/RPS20/RPS6/RPS23/RPS13/RPS11/RPS18/RPS3A/RPS15A/RPS4X/RPS24/FAU/RPS27/RPS12/RPS21/RPS15/RPS25,19
GO:0022625,cytosolic large ribosomal subunit,20/372,57/19880,0.3508771929824561,18.75117902282588,18.532854008396413,1.0719317712528468e-20,7.846540565570839e-19,6.589559520122762e-19,RPL19/RPL37A/RPL23A/RPLP1/RPLP2/RPL32/RPL26/RPL24/RPL38/RPL17/RPL7/RPL34/RPL10/RPL11/RPL23/RPL13A/RPL10A/RPL8/RPL18A/RPL35,20
GO:0015935,small ribosomal subunit,19/372,74/19880,0.25675675675675674,13.721301947108397,15.139495276355415,7.853962971547652e-17,4.7909174126440675e-15,4.023433662617393e-15,RPS8/RPS27A/RPS14/RPS20/RPS6/RPS23/RPS13/RPS11/RPS18/RPS3A/RPS15A/RPS4X/RPS24/FAU/RPS27/RPS12/RPS21/RPS15/RPS25,19
GO:0015934,large ribosomal subunit,20/372,114/19880,0.17543859649122806,9.37558951141294,12.384280436713096,3.225593650543913e-14,1.6865246801415316e-12,1.4163508961786807e-12,RPL19/RPL37A/RPL23A/RPLP1/RPLP2/RPL32/RPL26/RPL24/RPL38/RPL17/RPL7/RPL34/RPL10/RPL11/RPL23/RPL13A/RPL10A/RPL8/RPL18A/RPL35,20
GO:0098984,neuron to neuron synapse,32/372,414/19880,0.07729468599033816,4.130694509376136,8.889244791914152,1.3091502639231537e-11,5.989362457448428e-10,5.029893119283695e-10,GRID2/EPS8/ACTN2/BAALC/SRGAP2/RPS14/PDE10A/SH3KBP1/NECTIN3/NTRK2/ABHD17A/PTPRT/RPS13/PTPRO/RPS18/GRM7/SORCS2/BMPR2/CAMK2D/RNF19A/RPL38/RPL7/CACNA1C/GRIA1/RPS27/KCNH1/GPR158/DCLK1/RPL10A/RPL8/ROGDI/RPS25,32
GO:0032279,asymmetric synapse,30/372,376/19880,0.0797872340425532,4.263898421413864,8.823300610117847,2.68012588542802e-11,1.0899178600740613e-09,9.153178462514407e-10,GRID2/EPS8/ACTN2/BAALC/SRGAP2/RPS14/PDE10A/SH3KBP1/NECTIN3/NTRK2/ABHD17A/PTPRT/RPS13/PTPRO/RPS18/GRM7/SORCS2/BMPR2/CAMK2D/RPL38/RPL7/CACNA1C/GRIA1/RPS27/KCNH1/GPR158/DCLK1/RPL10A/RPL8/RPS25,30
GO:0014069,postsynaptic density,29/372,360/19880,0.08055555555555556,4.3049581839904425,8.738556046139047,4.6201177098923e-11,1.690963081820582e-09,1.4200782855668963e-09,GRID2/EPS8/ACTN2/BAALC/SRGAP2/RPS14/PDE10A/SH3KBP1/NECTIN3/NTRK2/ABHD17A/PTPRT/RPS13/PTPRO/RPS18/SORCS2/BMPR2/CAMK2D/RPL38/RPL7/CACNA1C/GRIA1/RPS27/KCNH1/GPR158/DCLK1/RPL10A/RPL8/RPS25,29
GO:0099572,postsynaptic specialization,30/372,396/19880,0.07575757575757576,4.048550016291951,8.46182852979465,9.60864140965542e-11,3.197057050848985e-09,2.684902671406107e-09,GRID2/EPS8/GABRB1/ACTN2/BAALC/SRGAP2/RPS14/PDE10A/SH3KBP1/NECTIN3/NTRK2/ABHD17A/PTPRT/RPS13/PTPRO/RPS18/SORCS2/BMPR2/CAMK2D/RPL38/RPL7/CACNA1C/GRIA1/RPS27/KCNH1/GPR158/DCLK1/RPL10A/RPL8/RPS25,30
GO:0032040,small-subunit processome,13/372,74/19880,0.17567567567567569,9.388259226968904,9.982784110584427,1.0455085603582017e-09,3.188801109092515e-08,2.6779692949525873e-08,RPS8/RPS27A/RPS14/RPS6/RPS23/RPS13/RPS11/RPS3A/RPS15A/RPS4X/RPS24/RPS27/RPS12,13
GO:0030055,cell-substrate junction,29/372,434/19880,0.06682027649769585,3.5709330558446064,7.477955142350911,3.6350251628152943e-09,1.0233993919926136e-07,8.594553421393248e-08,DLC1/CDH13/ACTN2/RPL19/RPS8/RPL37A/RPS14/RPLP1/RPLP2/SH3KBP1/LIMS1/ITGA2/DMD/CYFIP1/RPS13/RPS11/RPS18/RPS3A/PTPRC/RPS4X/SORBS1/RPL38/RPL7/RPL23/RPL13A/ITGB5/RPL10A/RPS15/RPL8,29
GO:0005925,focal adhesion,28/372,424/19880,0.0660377358490566,3.529113410428079,7.269203336275293,8.819933216980017e-09,2.30578254101049e-07,1.9364063904948607e-07,DLC1/CDH13/ACTN2/RPL19/RPS8/RPL37A/RPS14/RPLP1/RPLP2/SH3KBP1/LIMS1/ITGA2/CYFIP1/RPS13/RPS11/RPS18/RPS3A/PTPRC/RPS4X/SORBS1/RPL38/RPL7/RPL23/RPL13A/ITGB5/RPL10A/RPS15/RPL8,28
GO:0030684,preribosome,13/372,106/19880,0.12264150943396226,6.554067762223574,7.917338350941795,9.26903181239322e-08,2.2616437622239456e-06,1.8993384485746105e-06,RPS8/RPS27A/RPS14/RPS6/RPS23/RPS13/RPS11/RPS3A/RPS15A/RPS4X/RPS24/RPS27/RPS12,13
GO:0097060,synaptic membrane,26/372,452/19880,0.05752212389380531,3.0740317822818533,6.159322448132444,4.56128064263391e-07,1.0433929470025068e-05,8.762460181901984e-06,GRID2/IL1RAPL1/GABRB1/ACTN2/LRRTM4/SRGAP2/PDE10A/NECTIN3/KCTD8/ABHD17A/CACNA2D3/DMD/PTPRT/PTPRO/NCAM2/GRM7/SORCS2/ANK3/CHRM5/CACNA1C/GRIA1/NTNG1/KCNH1/GPR158/CNTN5/CDH8,26
GO:0045211,postsynaptic membrane,21/372,321/19880,0.06542056074766354,3.4961310421063203,6.225997435129061,7.733485403337673e-07,1.664973916247993e-05,1.3982524692102789e-05,GRID2/IL1RAPL1/GABRB1/ACTN2/LRRTM4/SRGAP2/PDE10A/NECTIN3/KCTD8/ABHD17A/DMD/PTPRT/PTPRO/GRM7/SORCS2/ANK3/CHRM5/CACNA1C/GRIA1/KCNH1/GPR158,21
GO:0098839,postsynaptic density membrane,12/372,126/19880,0.09523809523809523,5.089605734767025,6.359186358223876,4.43021551363646e-06,9.008104877727468e-05,7.565046374162844e-05,GRID2/ACTN2/PDE10A/NECTIN3/ABHD17A/PTPRT/PTPRO/SORCS2/CACNA1C/GRIA1/KCNH1/GPR158,12
GO:0099634,postsynaptic specialization membrane,13/372,156/19880,0.08333333333333333,4.453405017921146,5.9796350835011545,7.82142143295456e-06,0.00015066527602428258,0.00012652936611760285,GRID2/GABRB1/ACTN2/PDE10A/NECTIN3/ABHD17A/PTPRT/PTPRO/SORCS2/CACNA1C/GRIA1/KCNH1/GPR158,13
GO:0005912,adherens junction,14/372,189/19880,0.07407407407407407,3.9585822381521307,5.643428472627992,1.3655366314531638e-05,0.000249893203555929,0.0002098614191496441,CTNNA3/CDH13/PTPRM/FRMD4A/NECTIN3/PARD3B/CRB1/CTNNA2/BMPR2/SORBS1/LLGL1/PLPP3/LLGL2/CDH8,14
