ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,14/283,102/11214,0.13725490196078433,5.438786115152775,7.245900566964763,2.504792391809718e-07,0.0002685137444020018,0.00023808710840043956,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/ATF4/RPS11/ATF3/RPL13/FAU/RPL18/RPS6,14
R-HSA-9711097,Cellular response to starvation,16/283,157/11214,0.10191082802547771,4.038261574126174,6.168513422741712,2.1407345885186033e-06,0.0006111920511050585,0.0005419348214334916,RPL28/ATP6V0B/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/ATF4/RPS11/ATF3/RPL13/FAU/RPL18/RRAGD/RPS6,16
R-HSA-156902,Peptide chain elongation,12/283,90/11214,0.13333333333333333,5.28339222614841,6.564517198193708,2.5041654116843002e-06,0.0006111920511050585,0.0005419348214334916,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-192823,Viral mRNA Translation,12/283,90/11214,0.13333333333333333,5.28339222614841,6.564517198193708,2.5041654116843002e-06,0.0006111920511050585,0.0005419348214334916,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-156842,Eukaryotic Translation Elongation,12/283,94/11214,0.1276595744680851,5.058567025035711,6.357823062265556,3.990992871021838e-06,0.0006111920511050585,0.0005419348214334916,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-2408557,Selenocysteine synthesis,12/283,94/11214,0.1276595744680851,5.058567025035711,6.357823062265556,3.990992871021838e-06,0.0006111920511050585,0.0005419348214334916,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-72764,Eukaryotic Translation Termination,12/283,94/11214,0.1276595744680851,5.058567025035711,6.357823062265556,3.990992871021838e-06,0.0006111920511050585,0.0005419348214334916,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),12/283,96/11214,0.125,4.953180212014134,6.258828855527974,4.9913832595348e-06,0.0006688453567776632,0.0005930551425473586,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-72689,Formation of a pool of free 40S subunits,12/283,102/11214,0.11764705882352941,4.66181667013095,5.9775710741380585,9.435263268308162e-06,0.0011238446915140389,0.0009964962258809673,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,12/283,112/11214,0.10714285714285714,4.245583038869258,5.554248502932531,2.4651836512377045e-05,0.0024092866856507034,0.002136278355403167,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,12/283,113/11214,0.10619469026548672,4.208011507551831,5.514654005431193,2.696962707817952e-05,0.0024092866856507034,0.002136278355403167,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,12/283,113/11214,0.10619469026548672,4.208011507551831,5.514654005431193,2.696962707817952e-05,0.0024092866856507034,0.002136278355403167,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-927802,Nonsense-Mediated Decay (NMD),12/283,116/11214,0.10344827586206896,4.0991836237358354,5.3985623877883135,3.5097564063518014e-05,0.00255650171403718,0.002266811712269809,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),12/283,116/11214,0.10344827586206896,4.0991836237358354,5.3985623877883135,3.5097564063518014e-05,0.00255650171403718,0.002266811712269809,RPL28/RPLP1/RPS15/RPL37A/RPL10/RPL13A/RPS8/RPS11/RPL13/FAU/RPL18/RPS6,12
R-HSA-76002,"Platelet activation, signaling and aggregation",19/283,262/11214,0.07251908396946564,2.873600733687589,4.937477818469241,3.5771945625520244e-05,0.00255650171403718,0.002266811712269809,GNA14/DGKI/PRKCB/VEGFA/ARRB1/ITPR1/ANXA5/GNA13/CD9/P2RY12/GNAI1/PIK3R3/PECAM1/FN1/TTN/A2M/PLCG2/HSPA5/FLNA,19
