ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,cytoplasmic translation,46/349,169/18805,0.27218934911242604,14.666248452891608,24.540610207371348,9.576253229801505e-41,3.2722057286231742e-37,2.967630474582698e-37,RPS27A/RPS18/RPS23/RPL23A/RPLP1/RPS20/RPL37A/RPS14/RPS12/RPL13A/RPL13/RPL38/RPS24/RPL32/RPL24/RPL9/RPL26/RPLP2/RPS8/RPS19/RPL19/FAU/RPL3/RPL7/RPL17/RPS6/RPS3A/RPL34/RPL10/RPS9/RPL11/RPS13/RPS4X/RPL23/RPL18/RPL6/RPS21/RPL10A/RPL8/RPL35A/RPL12/RPS25/RPS16/RPS2/RPL18A/RPL28,46
GO:0042274,ribosomal small subunit biogenesis,16/349,108/18805,0.14814814814814814,7.982595776292051,10.007183399766326,1.5240901741567895e-10,2.603908062546875e-07,2.3615376172197834e-07,RPS27A/RPS23/RPS14/RPS12/RPS24/RPS8/RPS19/FAU/RPS6/RPS3A/RPS9/RPS13/RPS4X/RPS21/RPS25/RPS16,16
GO:0042254,ribosome biogenesis,23/349,317/18805,0.07255520504731862,3.9094573951714233,7.183989862412115,2.9536441995826585e-08,3.364200743324648e-05,3.0510626398495954e-05,RPS27A/RPS23/RPS14/RPS12/RPL38/RPS24/RPL24/RPL26/RPS8/RPS19/FAU/RPL7/RPS6/RPS3A/RPS9/RPL11/RPS13/RPS4X/RPS21/RPL35A/RPS25/RPS16/SBDS,23
GO:0007409,axonogenesis,25/349,459/18805,0.054466230936819175,2.9347778589309015,5.770797047993387,1.7254063157792309e-06,0.001473928345254408,0.001336735840435278,PTPRJ/DAB1/IGF1R/TNR/CNTN5/ROBO2/DCC/PRKG1/SEMA6D/CDH11/SEMA6A/RPL24/NTN4/DSCAM/ANK3/DISC1/EPHA4/CNTN1/EPHA6/RGMA/CDH1/PARD3/ADCY1/SSNA1/DPYSL5,25
GO:0010563,negative regulation of phosphorus metabolic process,18/349,271/18805,0.06642066420664207,3.578912866492562,5.880385242338404,3.4031170768350976e-06,0.001938075175257588,0.0017576801182811453,SPRED1/PTPRJ/PDE4D/DEPTOR/PREX2/PRKG1/DBNDD2/SPRED2/SNCA/PID1/MIDN/NTRK3/STAT3/PARD3/PPM1E/PDGFA/CALM3/ERRFI1,18
GO:0045936,negative regulation of phosphate metabolic process,18/349,271/18805,0.06642066420664207,3.578912866492562,5.880385242338404,3.4031170768350976e-06,0.001938075175257588,0.0017576801182811453,SPRED1/PTPRJ/PDE4D/DEPTOR/PREX2/PRKG1/DBNDD2/SPRED2/SNCA/PID1/MIDN/NTRK3/STAT3/PARD3/PPM1E/PDGFA/CALM3/ERRFI1,18
GO:0022613,ribonucleoprotein complex biogenesis,25/349,494/18805,0.05060728744939271,2.72684825354106,5.348483530510542,6.301009045031229e-06,0.00307579255812453,0.002789499342642397,RPS27A/RPS23/HSP90AA1/RPS14/RPS12/RPL13A/RPL38/RPS24/RPL24/RPL26/RPS8/RPS19/FAU/RPL7/RPS6/RPS3A/RPS9/RPL11/RPS13/RPS4X/RPS21/RPL35A/RPS25/RPS16/SBDS,25
GO:1901798,positive regulation of signal transduction by p53 class mediator,6/349,27/18805,0.2222222222222222,11.973893664438076,7.846699234267756,8.334198538110045e-06,0.003559744550590253,0.003228405328446839,SPRED1/RPS20/RPL26/SPRED2/RPL11/RPL23,6
GO:0010975,regulation of neuron projection development,23/349,448/18805,0.05133928571428571,2.766290165779779,5.203184764666372,1.1818890944489521e-05,0.004256787376810336,0.003860567760987518,DAB1/TANC2/IGF1R/TNR/ROBO2/DCC/GFAP/SEMA6D/CSMD3/DSCAM/DISC1/EPHA4/CNTN1/GRID2/DPYSL3/RGMA/CD38/NTRK3/ZNF804A/CDH1/PRRX1/DPYSL5/CAMK2G,23
GO:0007626,locomotory behavior,15/349,215/18805,0.06976744186046512,3.7592456853468383,5.595500658261116,1.2457674500469232e-05,0.004256787376810336,0.003860567760987518,DAB1/SELENOP/TNR/PBX3/PREX2/KCND2/NAV2/SNCA/ADCY8/DSCAM/EPHA4/CNTN1/OXR1/HTR2C/CALB1,15
