ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0022626,cytosolic ribosome,46/368,118/19880,0.3898305084745763,21.059322033898304,30.013185285042024,4.907132144614942e-49,1.6880534577475399e-46,1.3843278050071625e-46,RPS27A/RPS18/RPS23/RPL23A/RPLP1/RPS20/RPL37A/RPS14/RPS12/RPL13A/RPL13/RPL38/RPS24/RPL32/RPL24/RPL9/RPL26/RPLP2/RPS8/RPS19/RPL19/FAU/RPL3/RPL7/RPL17/RPS6/RPS3A/RPL34/RPL10/RPS9/RPL11/RPS13/RPS4X/RPL23/RPL18/RPL6/RPS21/RPL10A/RPL8/RPL35A/RPL12/RPS25/RPS16/RPS2/RPL18A/RPL28,46
GO:0044391,ribosomal subunit,46/368,186/19880,0.24731182795698925,13.360215053763442,23.25872023781648,1.2234950011710328e-38,2.1044114020141762e-36,1.7257718963886147e-36,RPS27A/RPS18/RPS23/RPL23A/RPLP1/RPS20/RPL37A/RPS14/RPS12/RPL13A/RPL13/RPL38/RPS24/RPL32/RPL24/RPL9/RPL26/RPLP2/RPS8/RPS19/RPL19/FAU/RPL3/RPL7/RPL17/RPS6/RPS3A/RPL34/RPL10/RPS9/RPL11/RPS13/RPS4X/RPL23/RPL18/RPL6/RPS21/RPL10A/RPL8/RPL35A/RPL12/RPS25/RPS16/RPS2/RPL18A/RPL28,46
GO:0005840,ribosome,46/368,244/19880,0.1885245901639344,10.184426229508196,19.82397376062238,5.982879223493224e-33,6.860368176272231e-31,5.626005725951524e-31,RPS27A/RPS18/RPS23/RPL23A/RPLP1/RPS20/RPL37A/RPS14/RPS12/RPL13A/RPL13/RPL38/RPS24/RPL32/RPL24/RPL9/RPL26/RPLP2/RPS8/RPS19/RPL19/FAU/RPL3/RPL7/RPL17/RPS6/RPS3A/RPL34/RPL10/RPS9/RPL11/RPS13/RPS4X/RPL23/RPL18/RPL6/RPS21/RPL10A/RPL8/RPL35A/RPL12/RPS25/RPS16/RPS2/RPL18A/RPL28,46
GO:0022625,cytosolic large ribosomal subunit,27/368,57/19880,0.47368421052631576,25.589244851258577,25.531022680602028,5.409848382463554e-32,4.6524696089186565e-30,3.8153667539479806e-30,RPL23A/RPLP1/RPL37A/RPL13A/RPL13/RPL38/RPL32/RPL24/RPL9/RPL26/RPLP2/RPL19/RPL3/RPL7/RPL17/RPL34/RPL10/RPL11/RPL23/RPL18/RPL6/RPL10A/RPL8/RPL35A/RPL12/RPL18A/RPL28,27
GO:0015934,large ribosomal subunit,27/368,114/19880,0.23684210526315788,12.794622425629289,17.343923740869684,1.6468146012959488e-22,1.1330084456916128e-20,9.291501329417144e-21,RPL23A/RPLP1/RPL37A/RPL13A/RPL13/RPL38/RPL32/RPL24/RPL9/RPL26/RPLP2/RPL19/RPL3/RPL7/RPL17/RPL34/RPL10/RPL11/RPL23/RPL18/RPL6/RPL10A/RPL8/RPL35A/RPL12/RPL18A/RPL28,27
GO:0022627,cytosolic small ribosomal subunit,19/368,42/19880,0.4523809523809524,24.43840579710145,20.88209435869338,2.2992400903202045e-22,1.3182309851169173e-20,1.0810462179049383e-20,RPS27A/RPS18/RPS23/RPS20/RPS14/RPS12/RPS24/RPS8/RPS19/FAU/RPS6/RPS3A/RPS9/RPS13/RPS4X/RPS21/RPS25/RPS16/RPS2,19
GO:0015935,small ribosomal subunit,19/368,74/19880,0.25675675675675674,13.87044653349001,15.232857165455963,6.431011940221332e-17,3.1603830106230547e-15,2.5917461653824317e-15,RPS27A/RPS18/RPS23/RPS20/RPS14/RPS12/RPS24/RPS8/RPS19/FAU/RPS6/RPS3A/RPS9/RPS13/RPS4X/RPS21/RPS25/RPS16/RPS2,19
GO:0099572,postsynaptic specialization,34/368,396/19880,0.08585858585858586,4.638230127360562,10.043127608280377,1.0776107731977424e-13,4.633726324750292e-12,3.799995884434144e-12,SH3GL3/GABRB1/RPS18/DCC/KCND2/RPS14/RPL38/RPS19/RPL7/NLGN4Y/ADCY8/DLGAP1/DLGAP2/DISC1/EPHA4/SYT1/RPS13/PDE10A/GABRA2/NETO1/RPL6/GRID2/GABRA4/SORCS3/RPL10A/RPL8/CLSTN2/RPL12/RPS25/PLEKHA5/TANC1/ADCY1/GPR158/CAMK2G,34
GO:0005925,focal adhesion,33/368,424/19880,0.07783018867924528,4.204522149302707,9.159878430443479,3.808307167543397e-12,1.3744137504985941e-10,1.1271202115471948e-10,CASK/RPS18/RPLP1/TNC/RPL37A/RPS14/RPL13A/RPL38/RPL9/RPLP2/RPS8/RPS19/RPL19/RPL3/RPL7/RPS3A/ITGA2/RPS9/RPS13/RPS4X/RPL23/RPL18/RPL6/RPL10A/CD44/RPL8/RPL12/MARCKS/ITGB4/RPS16/RPS2/MCAM/BCAR3,33
GO:0032279,asymmetric synapse,31/368,376/19880,0.08244680851063829,4.453919981498612,9.285699663007675,3.995388809588937e-12,1.3744137504985941e-10,1.1271202115471948e-10,SH3GL3/RPS18/DCC/RPS14/SLC4A8/RPL38/RPS19/RPL7/NLGN4Y/ADCY8/DLGAP1/DLGAP2/DISC1/EPHA4/SYT1/RPS13/PDE10A/NETO1/RPL6/GRID2/SORCS3/RPL10A/RPL8/CLSTN2/RPL12/RPS25/PLEKHA5/TANC1/ADCY1/GPR158/CAMK2G,31
GO:0014069,postsynaptic density,30/368,360/19880,0.08333333333333333,4.5018115942028984,9.208192771102228,6.8814214590885626e-12,2.0544303342203675e-10,1.6847837502174373e-10,SH3GL3/RPS18/DCC/RPS14/RPL38/RPS19/RPL7/NLGN4Y/ADCY8/DLGAP1/DLGAP2/DISC1/EPHA4/SYT1/RPS13/PDE10A/NETO1/RPL6/GRID2/SORCS3/RPL10A/RPL8/CLSTN2/RPL12/RPS25/PLEKHA5/TANC1/ADCY1/GPR158/CAMK2G,30
GO:0030055,cell-substrate junction,33/368,434/19880,0.07603686635944701,4.107643758765779,8.989410952155293,7.16661744495477e-12,2.0544303342203675e-10,1.6847837502174373e-10,CASK/RPS18/RPLP1/TNC/RPL37A/RPS14/RPL13A/RPL38/RPL9/RPLP2/RPS8/RPS19/RPL19/RPL3/RPL7/RPS3A/ITGA2/RPS9/RPS13/RPS4X/RPL23/RPL18/RPL6/RPL10A/CD44/RPL8/RPL12/MARCKS/ITGB4/RPS16/RPS2/MCAM/BCAR3,33
GO:0098984,neuron to neuron synapse,32/368,414/19880,0.07729468599033816,4.17559336273892,8.967202539369893,9.842434879057458e-12,2.6044596910736655e-10,2.1358482166699586e-10,SH3GL3/RPS18/DCC/RPS14/SLC4A8/RPL38/RPS19/RPL7/NLGN4Y/ADCY8/DLGAP1/DLGAP2/DISC1/EPHA4/SYT1/RPS13/PDE10A/NETO1/RPL6/GRID2/SORCS3/RPL10A/RPL8/CLSTN2/RPL12/RPS25/PLEKHA5/TANC1/ADCY1/GPR158/CAMK2G/CALB1,32
GO:0032040,small-subunit processome,13/368,74/19880,0.17567567567567569,9.490305522914218,10.048727601260932,9.168408563977953e-10,2.252808961434583e-08,1.847468793342926e-08,RPS27A/RPS23/RPS14/RPS12/RPS24/RPS8/RPS19/RPS6/RPS3A/RPS9/RPS13/RPS4X/RPS16,13
GO:0030684,preribosome,13/368,106/19880,0.12264150943396226,6.625307629204265,7.974844577471684,8.177341580487044e-08,1.875337002458362e-06,1.5379140656635284e-06,RPS27A/RPS23/RPS14/RPS12/RPS24/RPS8/RPS19/RPS6/RPS3A/RPS9/RPS13/RPS4X/RPS16,13
GO:0097060,synaptic membrane,27/368,452/19880,0.059734513274336286,3.226962293189689,6.577158626250456,1.0323153333962057e-07,2.219477966801842e-06,1.8201349299354152e-06,CNTNAP4/PCDH9/CASK/GABRB1/CNTN5/DCC/KCND2/SLC4A8/NLGN4Y/NCAM2/ADCY8/CHRM5/ANK3/EPHA4/CNTN1/SYT1/PDE10A/GABRA2/NETO1/GRID2/GABRA4/SORCS3/CLSTN2/UTRN/KCTD8/ADCY1/GPR158,27
GO:0099634,postsynaptic specialization membrane,14/368,156/19880,0.08974358974358974,4.848104793756968,6.626466019762746,1.2824563809689313e-06,2.5950882061959552e-05,2.1281629108338925e-05,GABRB1/DCC/KCND2/NLGN4Y/EPHA4/PDE10A/GABRA2/NETO1/GRID2/GABRA4/SORCS3/CLSTN2/ADCY1/GPR158,14
GO:0045211,postsynaptic membrane,20/368,321/19880,0.06230529595015576,3.3658404442638497,5.868605647514709,2.5428855539821955e-06,4.8597368364993066e-05,3.985341102147535e-05,GABRB1/DCC/KCND2/NLGN4Y/CHRM5/ANK3/EPHA4/CNTN1/SYT1/PDE10A/GABRA2/NETO1/GRID2/GABRA4/SORCS3/CLSTN2/UTRN/KCTD8/ADCY1/GPR158,20
GO:0098685,Schaffer collateral - CA1 synapse,9/368,98/19880,0.09183673469387756,4.961180124223603,5.398496359909504,8.549044414279762e-05,0.0015478269886906517,0.001269331802231012,CASK/TNR/GABRB1/DCC/CDH11/ADCY8/EPHA4/NETO1/ADCY1,9
GO:0098839,postsynaptic density membrane,10/368,126/19880,0.07936507936507936,4.28743961352657,5.083769069346754,0.00012014339551466688,0.00206646640285227,0.0016946542104174069,DCC/NLGN4Y/EPHA4/PDE10A/NETO1/GRID2/SORCS3/CLSTN2/ADCY1/GPR158,10
GO:0098982,GABA-ergic synapse,9/368,108/19880,0.08333333333333333,4.5018115942028984,5.011291152600021,0.00018076209811581943,0.00296105532151628,0.0024282828218064965,GABRB1/CNTN5/KCND2/NLGN4Y/DISC1/PLCB1/GABRA2/GABRA4/CALB1,9
GO:0042734,presynaptic membrane,11/368,181/19880,0.06077348066298342,3.283089118424213,4.237506174352383,0.0005744301412203536,0.008981998571809166,0.007365898461581567,CNTNAP4/CASK/GABRB1/CNTN5/SLC4A8/ADCY8/EPHA4/CNTN1/SYT1/KCTD8/GPR158,11
GO:0150034,distal axon,14/368,277/19880,0.05054151624548736,2.73034060587035,3.9827266177352487,0.0006953780040966606,0.010400436235184838,0.008529121514778262,PCDH9/ROR1/HSP90AA1/SLC4A8/SNCA/ITGA2/DSCAM/DISC1/EPHA4/DPYSL3/ZNF804A/TANC1/CALM3/CALB1,14
GO:0044306,neuron projection terminus,9/368,131/19880,0.06870229007633588,3.7114171921672754,4.27592147375221,0.0007540240111590498,0.010807677493279714,0.008863089253974795,ROR1/SLC4A8/SNCA/ITGA2/EPHA4/SYT1/TANC1/CALM3/CALB1,9
GO:0005912,adherens junction,11/368,189/19880,0.0582010582010582,3.144122383252818,4.067399858042676,0.0008221721754768369,0.011313089134561275,0.009277563916959676,PARD3B/CTNNA3/FMN1/CDH11/CDH19/FRMD4A/EPHA4/CDH18/CDH1/PARD3/SMAD7,11
GO:0098966,perisynaptic extracellular matrix,3/368,11/19880,0.2727272727272727,14.733201581027666,6.256773235019071,0.0009295345934267606,0.01229845769764637,0.010085638503577809,TNR/TNC/VCAN,3
GO:1902495,transmembrane transporter complex,20/368,498/19880,0.040160642570281124,2.1695477562423604,3.6299748777733623,0.0010574593798292754,0.013472815802269287,0.011048698393537849,DPP10/PDE4D/GABRB1/KCND2/MT-ND1/MT-ND4/KCNIP1/CACNB2/MT-ND2/UQCRB/GABRA2/GRID2/GABRA4/COX7C/CACNA1B/OLFM3/KCNMB2/CALM3/MT-ND4L/RYR2,20
GO:0099535,synapse-associated extracellular matrix,3/368,12/19880,0.25,13.505434782608695,5.950899632755598,0.001222433591406062,0.015018469837274475,0.01231624821416634,TNR/TNC/VCAN,3
GO:0031252,cell leading edge,18/368,434/19880,0.041474654377880185,2.240532959326788,3.588461688900533,0.0013006416841340887,0.015428301356625053,0.012652340157819813,PTPRJ/PLCG2/ROBO2/CTNNA3/ARHGEF4/SH3RF1/GABRA2/PLEKHH2/RAB3IP/CARMIL1/GABRA4/DPYSL3/CD44/PLCE1/ARHGAP18/CDH1/ITGB4/ANTXR1,18
GO:0043679,axon terminus,8/368,115/19880,0.06956521739130435,3.7580340264650287,4.073525255436145,0.0013541105355189401,0.01552713414061718,0.012733390298914947,ROR1/SLC4A8/SNCA/ITGA2/EPHA4/TANC1/CALM3/CALB1,8
GO:0042383,sarcolemma,9/368,143/19880,0.06293706293706294,3.3999695956217697,3.955518959785996,0.0014017421512049588,0.01555481612950019,0.012756091562748014,IGF1R/DYSF/PRKG1/ANK3/CACNB2/SGCZ/UTRN/RYR2/DTNA,9
GO:0016342,catenin complex,4/368,31/19880,0.12903225806451613,6.97054698457223,4.568734636863987,0.0024483003677311242,0.026319228953109584,0.021583700610261228,CDH11/CDH19/CDH18/CDH1,4
GO:0030427,site of polarized growth,9/368,171/19880,0.05263157894736842,2.84324942791762,3.324452642901282,0.004672692845782232,0.04630238339929622,0.037971354807256386,PCDH9/HSP90AA1/SNCA/DSCAM/DISC1/EPHA4/FRY/DPYSL3/ZNF804A,9
